Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 7018.7212661459753, 3.3876292222696502, 3587.4940048537055, 3.9097139947646058, 3431.2272612922698, 2.9726037443518742
2100-Jan-01 01:00:00, 7034.8534904247372, 3.3954155400780723, 3603.1161353961725, 3.9267392670932248, 3431.7373550285652, 2.9730456581147973
2100-Jan-01 02:00:00, 7052.8946065263644, 3.4041231963292216, 3620.6690881703294, 3.9458687834123363, 3432.2255183560346, 2.973468572723649
2100-Jan-01 03:00:00, 7072.6723511914151, 3.4136690470956683, 3639.9804517036796, 3.9669146466701357, 3432.6918994877351, 2.973872616581084
2100-Jan-01 04:00:00, 7094.2386138157308, 3.424078137115194, 3661.10122519988, 3.9899324366947675, 3433.1373886158508, 2.9742585608947247
2100-Jan-01 05:00:00, 7117.6992780326127, 3.4354015717781872, 3684.1357934375505, 4.0150359138518965, 3433.5634845950617, 2.974627704179853
2100-Jan-01 06:00:00, 7142.7954753328813, 3.4475144065978718, 3708.8233220047396, 4.0419408162168065, 3433.9721533281422, 2.9749817495734239
2100-Jan-01 07:00:00, 7169.0762112418442, 3.4601989663021269, 3734.7105181405345, 4.070153137374807, 3434.3656931013097, 2.9753226881689128
2100-Jan-01 08:00:00, 7194.9088843175759, 3.4726672657091413, 3760.1622691151701, 4.0978909027458892, 3434.7466152024058, 2.975652695591271
2100-Jan-01 09:00:00, 7216.108715867842, 3.4828994955047992, 3780.9911741567248, 4.1205906094008444, 3435.1175417111176, 2.9759740434486734
2100-Jan-01 10:00:00, 7228.2145443063064, 3.4887424484620184, 3792.7334285752013, 4.1333875245644354, 3435.4811157311051, 2.9762890215631677
2100-Jan-01 11:00:00, 7226.8371328431058, 3.4880776323015112, 3790.9972218748117, 4.1314953759991324, 3435.8399109682941, 2.9765998596348848
2100-Jan-01 12:00:00, 7211.1423996168078, 3.480502472254968, 3774.9460768295435, 4.1140025561280531, 3436.1963227872643, 2.9769086328600087
2100-Jan-01 13:00:00, 7183.4305859196584, 3.4671271940065838, 3746.8781566809189, 4.0834136436279787, 3436.5524292387395, 2.9772171415335626
2100-Jan-01 14:00:00, 7147.7308785354235, 3.4498965094736849, 3710.8210505236079, 4.0441179758545349, 3436.909828011816, 2.9775267697948729
2100-Jan-01 15:00:00, 7109.2525368854422, 3.4313246999295899, 3671.983060532054, 4.0017916520215007, 3437.2694763533882, 2.9778383469436287
2100-Jan-01 16:00:00, 7072.9964522251012, 3.4138254764637894, 3635.3648802205503, 3.9618845157773701, 3437.6315720045504, 2.9781520442905229
2100-Jan-01 17:00:00, 7043.0057928068491, 3.3993502992359304, 3605.0102839043843, 3.9288035434155546, 3437.9955089024643, 2.9784673367800796
2100-Jan-01 18:00:00, 7021.6456399112512, 3.3890406893515346, 3583.2857134430101, 3.9051277248502361, 3438.3599264682412, 2.9787830456906366
2100-Jan-01 19:00:00, 7009.3384975022564, 3.3831005709615307, 3570.615645925137, 3.8913196626702793, 3438.7228515771199, 2.9790974616285553
2100-Jan-01 20:00:00, 7004.8375043869619, 3.3809281388006824, 3565.7555911848813, 3.8860230896285985, 3439.0819132020802, 2.9794085304822131
2100-Jan-01 21:00:00, 7006.2859443230755, 3.3816272372928746, 3566.8513485567255, 3.8872172652636712, 3439.43459576635, 2.9797140729109945
2100-Jan-01 22:00:00, 7011.9365521951777, 3.3843545381252147, 3572.1580611739446, 3.8930006139069486, 3439.7784910212331, 2.9800120025567112
2100-Jan-01 23:00:00, 7020.7848855572538, 3.3886252409397475, 3580.6733738195608, 3.9022807512327025, 3440.1115117376926, 2.9803005111728154
2100-Jan-02 00:00:00, 7032.6506122757673, 3.3943523073170643, 3592.2185695187409, 3.914862908341902, 3440.432042757026, 2.9805781994853908
2100-Jan-02 01:00:00, 7047.6132208008567, 3.4015741028491737, 3606.8741989350574, 3.9308348707628937, 3440.7390218657997, 2.9808441472582108
2100-Jan-02 02:00:00, 7065.5637525247566, 3.4102380379902471, 3624.5317937692689, 3.950078427837497, 3441.0319587554882, 2.9810979297181981
