Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 8183.846880255931, 4.0662800160285926, 1983.249637348596, 2.1363335995918993, 6200.5972429073354, 5.7186835012994583
2100-Jan-01 01:00:00, 8217.2532384743081, 4.0828785190088235, 2018.6837078226995, 2.1745027709854394, 6198.5695306516081, 5.7168133839272208
2100-Jan-01 02:00:00, 8254.2638838802377, 4.1012678718396458, 2057.8734675304659, 2.2167175274371598, 6196.3904163497709, 5.7148036315570572
2100-Jan-01 03:00:00, 8294.8892856762923, 4.1214532763179443, 2100.8347931991921, 2.2629949711743031, 6194.0544924771002, 5.7126492569399652
2100-Jan-01 04:00:00, 8338.0308441213092, 4.1428888749468147, 2146.4658953050493, 2.3121482672492628, 6191.5649488162589, 5.7103532019469876
2100-Jan-01 05:00:00, 8383.241824408191, 4.1653527001301942, 2194.3092241588843, 2.3636845484223254, 6188.9326002493062, 5.7079254409217546
2100-Jan-01 06:00:00, 8429.5298233068643, 4.1883516598685198, 2243.3550787492263, 2.4165161764276251, 6186.1747445576375, 5.7053819272528168
2100-Jan-01 07:00:00, 8475.1520366143832, 4.2110198129967165, 2291.8380692858068, 2.4687414937762084, 6183.3139673285768, 5.7027434911635453
2100-Jan-01 08:00:00, 8514.9367355612922, 4.2307875003250102, 2334.5597671861756, 2.5147608132493677, 6180.376968375117, 5.7000347573431549
2100-Jan-01 09:00:00, 8540.41759258604, 4.2434480866271542, 2363.0241692139757, 2.5454223383035597, 6177.3934233720647, 5.6972830950570978
2100-Jan-01 10:00:00, 8544.3357568949268, 4.2453948915297701, 2369.9409513439455, 2.552873016113876, 6174.3948055509809, 5.6945175314205061
2100-Jan-01 11:00:00, 8521.1839213485364, 4.2338915181658585, 2349.7709140920397, 2.5311460849828697, 6171.4130072564967, 5.6917674800878899
2100-Jan-01 12:00:00, 8471.8053723248395, 4.2093569673545579, 2303.3267582196349, 2.4811169767826788, 6168.4786141052045, 5.689061149545326
2100-Jan-01 13:00:00, 8401.7320726730832, 4.1745398865611048, 2236.1132595763829, 2.4087153724694321, 6165.6188130967012, 5.6864236138042266
2100-Jan-01 14:00:00, 8319.308857220698, 4.1335865453323679, 2156.4537534259321, 2.3229070726410663, 6162.8551037947655, 5.6838747014707502
2100-Jan-01 15:00:00, 8235.4406672923833, 4.0919152445766365, 2075.2395079798821, 2.2354240256032498, 6160.2011593125017, 5.6814270229763206
2100-Jan-01 16:00:00, 8160.9447746632522, 4.0549007251328693, 2003.283523918783, 2.1579138707813201, 6157.6612507444688, 5.6790845174637372
2100-Jan-01 17:00:00, 8104.9883373007151, 4.027097841434693, 1949.7587405535121, 2.1002575924385818, 6155.2295967472028, 5.67684185291865
2100-Jan-01 18:00:00, 8072.0425873551885, 4.010728199312017, 1919.1517248199152, 2.0672880686511799, 6152.8908625352733, 5.6746848863833721
2100-Jan-01 19:00:00, 8061.2721591448317, 4.0053767334749049, 1910.6503321968182, 2.058130466722496, 6150.6218269480132, 5.6725922014582917
2100-Jan-01 20:00:00, 8067.6210319264064, 4.0085312761849243, 1919.2270292698613, 2.0673691857347727, 6148.3940026565451, 5.6705375248650034
2100-Jan-01 21:00:00, 8085.3103448682041, 4.0173205046205203, 1939.1335535277019, 2.0888122637125761, 6146.1767913405019, 5.668492636401
2100-Jan-01 22:00:00, 8109.4511454240328, 4.0293152616470627, 1965.5104925813318, 2.1172251977645855, 6143.9406528427007, 5.666430291785951
2100-Jan-01 23:00:00, 8137.2611975630571, 4.043133147161325, 1995.6013855166457, 2.1496387600357352, 6141.6598120464114, 5.6643267191590159
2100-Jan-02 00:00:00, 8168.5192188536912, 4.0586642133181643, 2029.2050212797617, 2.1858362083030984, 6139.31419757393, 5.6621634071007252
2100-Jan-02 01:00:00, 8203.7718590638324, 4.076180072118575, 2066.8813353670184, 2.2264206986151653, 6136.890523696813, 5.6599281024565711
2100-Jan-02 02:00:00, 8242.5978096134986, 4.0954713894090187, 2108.2151878479294, 2.2709450470343571, 6134.3826217655687, 5.6576151160078076
2100-Jan-02 03:00:00, 8283.8664159956497, 4.1159763807506753, 2152.0751822350435, 2.3181905263338622, 6131.7912337606058, 5.6552251320677289
2100-Jan-02 04:00:00, 8327.0073953140636, 4.1374116916308905, 2197.8839251132217, 2.3675351749967257, 6129.1234702008414, 5.652764708521909
2100-Jan-02 05:00:00, 8370.9119635799179, 4.1592264043404503, 2244.5198954445609, 2.4177709035163115, 6126.3920681353575, 5.6502455924891484
2100-Jan-02 06:00:00, 8415.3867052273927, 4.1813244171485175, 2291.7721671227855, 2.4686705047274793, 6123.6145381046072, 5.6476839335813098
2100-Jan-02 07:00:00, 8459.7053053640175, 4.2033448484579905, 2338.8930429063462, 2.5194285677987507, 6120.8122624576717, 5.6450994522998403
2100-Jan-02 08:00:00, 8498.973147614226, 4.2228557269667037, 2380.9635570071578, 2.5647464396052597, 6118.0095906070692, 5.6425146056078654
2100-Jan-02 09:00:00, 8525.5411219496473, 4.2360564655297779, 2410.3081663971539, 2.596356113862182, 6115.2329555524939, 5.6399537721181732
2100-Jan-02 10:00:00, 8532.7128343606855, 4.2396198497529189, 2420.2028812568938, 2.6070145864090386, 6112.5099531037913, 5.6374424028794756
2100-Jan-02 11:00:00, 8514.0525988989848, 4.230348202364774, 2404.1843700973473, 2.5897596312278406, 6109.868228801638, 5.6350059948062068
2100-Jan-02 12:00:00, 8470.8592814112635, 4.2088868863973365, 2363.5252536359176, 2.5459621006545352, 6107.3340277753468, 5.6326687532421618
2100-Jan-02 13:00:00, 8407.7922146370511, 4.1775509685770489, 2302.8618442951506, 2.4806161768737369, 6104.9303703419009, 5.6304519093529466
2100-Jan-02 14:00:00, 8325.778630149558, 4.1368011592851701, 2223.1036355368374, 2.3947015557363573, 6102.6749946127211, 5.6283718226344543
2100-Jan-02 15:00:00, 8232.2800627032175, 4.090344845781603, 2131.7016853040964, 2.2962444307868828, 6100.5783773991216, 5.6264381556346077
2100-Jan-02 16:00:00, 8143.5387101866563, 4.0462522333936555, 2044.8965868881623, 2.2027389815133551, 6098.642123298494, 5.6246523882406283
2100-Jan-02 17:00:00, 8074.343093404409, 4.0118712438864783, 1977.4851378993671, 2.1301241473745374, 6096.8579555050419, 5.6230068869245029
2100-Jan-02 18:00:00, 8031.1946961979456, 3.9904322473055913, 1935.9870538143762, 2.0854228905685726, 6095.2076423835697, 5.6214848370234973
2100-Jan-02 19:00:00, 8014.2290013996981, 3.9820025605426843, 1920.5648270611528, 2.068810246061811, 6093.6641743385453, 5.6200613281423237
2100-Jan-02 20:00:00, 8019.072368793506, 3.98440906793852, 1926.8781848506119, 2.0756109221430621, 6092.1941839428946, 5.6187055861882254
2100-Jan-02 21:00:00, 8039.8559208983197, 3.9947357204067848, 1949.0946961718257, 2.0995422915014221, 6090.7612247264942, 5.6173839973302746
2100-Jan-02 22:00:00, 8070.8074550604197, 4.010114503352054, 1981.4781294898814, 2.13442535179029, 6089.3293255705385, 5.6160633861443028
2100-Jan-02 23:00:00, 8105.7245634823857, 4.0274636476201708, 2017.8583201052681, 2.1736136728707933, 6087.8662433771178, 5.614714015483254
2100-Jan-03 00:00:00, 8141.3904928352385, 4.0451848559837442, 2055.0445088648175, 2.2136702058415989, 6086.345983970421, 5.6133119114525956
2100-Jan-03 01:00:00, 8177.2179484618919, 4.0629863213546669, 2092.4675919661381, 2.2539819186608452, 6084.7503564957542, 5.6118402970006107
2100-Jan-03 02:00:00, 8213.9575859129982, 4.0812410193896449, 2130.88804834448, 2.2953679904528146, 6083.0695375685173, 5.6102901122214179
2100-Jan-03 03:00:00, 8251.7506282176637, 4.100019119092261, 2170.4488113745451, 2.3379823873976235, 6081.301816843119, 5.6086597796984012
2100-Jan-03 04:00:00, 8289.9211714159974, 4.1189847863731091, 2210.4683773727975, 2.3810910015998425, 6079.4527940431999, 5.606954463941678
2100-Jan-03 05:00:00, 8327.7861732965193, 4.1377986403841263, 2250.2518919808963, 2.4239453439713663, 6077.534281315623, 5.6051850590517249
2100-Jan-03 06:00:00, 8363.9616446652126, 4.1557730231468115, 2288.3985554601986, 2.4650364892152439, 6075.563089205014, 5.6033670690486286
2100-Jan-03 07:00:00, 8399.1665017522701, 4.1732651401102423, 2325.606697549078, 2.5051166700588072, 6073.5598042031916, 5.601519480431028
2100-Jan-03 08:00:00, 8431.5221383377611, 4.1893415746255167, 2359.9745192730943, 2.5421372906156607, 6071.5476190646668, 5.5996636834001201
2100-Jan-03 09:00:00, 8455.5517964033152, 4.2012811086629505, 2386.0005343734588, 2.5701722134389553, 6069.5512620298568, 5.5978224843042224
2100-Jan-03 10:00:00, 8464.6319035482211, 4.205792710452056, 2397.035872222752, 2.5820593518941077, 6067.5960313254691, 5.5960192151782993
2100-Jan-03 11:00:00, 8454.1026209888896, 4.20056106183001, 2388.3957858977215, 2.5727523507118391, 6065.7068350911686, 5.5942768482880503
2100-Jan-03 12:00:00, 8421.8162330640171, 4.1845190346599521, 2357.9091559334588, 2.5399125050845122, 6063.9070771305587, 5.5926169684809164
