Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 3287.2757883444474, 1.6325671341980281, 1157.3719677990923, 1.2453783265342824, 2129.9038205453553, 1.9644413620246486
2100-Jan-01 01:00:00, 3305.6915582030902, 1.6417129992114763, 1175.405841387817, 1.2647834926655872, 2130.2857168152732, 1.9647935905250122
2100-Jan-01 02:00:00, 3326.0393407121765, 1.6518183639928334, 1195.3832849488585, 1.2862800174844793, 2130.6560557633179, 1.9651351595388287
2100-Jan-01 03:00:00, 3348.3197039821553, 1.6628835106840634, 1217.3060315429223, 1.3098697658332914, 2131.0136724392332, 1.9654649946154839
2100-Jan-01 04:00:00, 3371.9804453324523, 1.6746341976316619, 1240.6224548445316, 1.3349591658187971, 2131.3579904879207, 1.9657825641742634
2100-Jan-01 05:00:00, 3396.7896052682418, 1.6869552262724108, 1265.1006040683526, 1.3612986291591693, 2131.6890011998894, 1.9660878601822767
2100-Jan-01 06:00:00, 3422.2280568405699, 1.6995887814274488, 1290.2208334786519, 1.3883289963492846, 2132.007223361918, 1.966381361124137
2100-Jan-01 07:00:00, 3447.3926057114363, 1.7120863076706567, 1315.0789541344011, 1.4150773240817378, 2132.3136515770352, 1.9666639843367257
2100-Jan-01 08:00:00, 3469.6399355796593, 1.7231350489096189, 1337.0302376007705, 1.4386977792415541, 2132.6096979788886, 1.9669370322515045
2100-Jan-01 09:00:00, 3484.6173405160807, 1.7305733110540589, 1351.7202113545163, 1.4545047759887295, 2132.8971291615644, 1.9672021342239681
2100-Jan-01 10:00:00, 3488.5461354738791, 1.7325244772895925, 1355.3681398529898, 1.4584300923218916, 2133.1779956208893, 1.967461181456327
2100-Jan-01 11:00:00, 3478.5379239925969, 1.7275540768156263, 1345.0833792884935, 1.4473632803919507, 2133.4545447041032, 1.9677162467097224
