Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 8189.3501252385095, 4.0690143945455732, 1983.4979579664603, 2.1366010876929695, 6205.852167272049, 5.7235300101254545
2100-Jan-01 01:00:00, 8222.7678103358048, 4.085618525473401, 2018.9330543900992, 2.1747713642274977, 6203.8347559457052, 5.7216693930888463
2100-Jan-01 02:00:00, 8259.7889122363304, 4.1040130737869385, 2058.123495363589, 2.216986854530786, 6201.6654168727409, 5.7196686562115282
2100-Jan-01 03:00:00, 8300.4240211145061, 4.1242033013899393, 2101.0851984993437, 2.2632647048710526, 6199.3388226151628, 5.7175228861068419
2100-Jan-01 04:00:00, 8343.5747223458839, 4.1456434427638067, 2146.7164546991621, 2.3124181669342474, 6196.8582676467213, 5.7152351212002728
2100-Jan-01 05:00:00, 8388.7945024359105, 4.168111640275284, 2194.559815686117, 2.3639544827207364, 6194.2346867497936, 5.71281544641705
2100-Jan-01 06:00:00, 8435.0911754337667, 4.1911149098836109, 2243.6056710577705, 2.4167861115676557, 6191.4855043759962, 5.7102799319710691
2100-Jan-01 07:00:00, 8480.7221186375427, 4.2137874006055105, 2292.0886861447352, 2.4690114553616298, 6188.6334324928075, 5.7076495246435224
2100-Jan-01 08:00:00, 8520.5157567389542, 4.2335595295009352, 2334.81046532245, 2.5150308623858075, 6185.7052914165033, 5.7049489602613264
2100-Jan-01 09:00:00, 8546.0058860905774, 4.2462247229124284, 2363.2750189434487, 2.5456925507344419, 6182.7308671471283, 5.7022057098406354
2100-Jan-01 10:00:00, 8549.9334706264253, 4.248176208411004, 2370.1917410797419, 2.5531431639202631, 6179.741729546683, 5.6994488896168525
2100-Jan-01 11:00:00, 8526.7910652725732, 4.2366775205946139, 2350.0212149111549, 2.5314157061338554, 6176.7698503614174, 5.6967079864749701
2100-Jan-01 12:00:00, 8477.421938155876, 4.2121476512140275, 2303.5760649747699, 2.4813855271394281, 6173.8458731811052, 5.6940112623685373
2100-Jan-01 13:00:00, 8407.3579718206638, 4.1773352078336519, 2236.3609552163643, 2.408982187351548, 6170.9970166042995, 5.6913838204520379
2100-Jan-01 14:00:00, 8324.9443757536465, 4.1363866461560317, 2156.6995952995617, 2.3231718906674819, 6168.2447804540843, 5.6888454895707801
2100-Jan-01 15:00:00, 8241.0863107722162, 4.0947203761480386, 2075.4835075738583, 2.2356868591473034, 6165.6028031983578, 5.6864088482036257
2100-Jan-01 16:00:00, 8166.6012772684771, 4.0577112522407743, 2003.5259915031913, 2.1581750540623639, 6163.075285765286, 5.6840777707803518
2100-Jan-01 17:00:00, 8110.6564675648269, 4.0299141459377106, 1950.0001229706295, 2.1005176067899547, 6160.6563445941974, 5.6818468310137771
2100-Jan-01 18:00:00, 8077.7229502550699, 4.0135505818029413, 1919.3924317500757, 2.0675473553758055, 6158.330518504994, 5.6797017693750078
2100-Jan-01 19:00:00, 8066.9651853128189, 4.0082054079205536, 1910.8907378932356, 2.0583894289616134, 6156.0744474195835, 5.6776210413437438
2100-Jan-01 20:00:00, 8073.326903533427, 4.0113663330999421, 1919.4673971003356, 2.0676281071851337, 6153.8595064330912, 5.6755782467580618
2100-Jan-01 21:00:00, 8091.0289137230593, 4.020161870373653, 1939.3739388453728, 2.0890712039999433, 6151.654974877687, 5.6735450525769036
2100-Jan-01 22:00:00, 8115.1820127308865, 4.0321627380899878, 1965.7507956542497, 2.1174840494588549, 6149.431217076637, 5.6714941264242178
2100-Jan-01 23:00:00, 8143.0038860907989, 4.0459864971738515, 1995.8414893436147, 2.1498973971045703, 6147.1623967471842, 5.6694016400269929
2100-Jan-02 00:00:00, 8174.2733101618032, 4.0615232289911836, 2029.4448917698578, 2.1860945940241496, 6144.8284183919459, 5.6672490597206746
2100-Jan-02 01:00:00, 8209.5371013286731, 4.0790446283293349, 2067.1210939041152, 2.226678963741739, 6142.4160074245574, 5.6650241426268675
2100-Jan-02 02:00:00, 8248.3740855506167, 4.0983414278827945, 2108.4550489946278, 2.2712034226908089, 6139.9190365559889, 5.6627212376727298
2100-Jan-02 03:00:00, 8289.6536846361669, 4.118851881131401, 2152.3153720259475, 2.3184492560020562, 6137.3383126102199, 5.6603410889754473
2100-Jan-02 04:00:00, 8332.8056549708836, 4.140292653080305, 2198.1246276489669, 2.36779445698774, 6134.6810273219171, 5.6578903293242142
2100-Jan-02 05:00:00, 8376.7212935239877, 4.1621128662456366, 2244.761284894983, 2.418030925443881, 6131.9600086290047, 5.6553807896627433
2100-Jan-02 06:00:00, 8421.2072605519861, 4.1842164565701419, 2292.0143988261971, 2.4689314339202397, 6129.192861725789, 5.652828706900201
2100-Jan-02 07:00:00, 8465.5372402618559, 4.206242542009262, 2339.1361778721766, 2.5196904699753553, 6126.4010623896784, 5.6502538877050634
2100-Jan-02 08:00:00, 8504.8167423960003, 4.2257592139246372, 2381.2076942052654, 2.5650094213748957, 6123.6090481907358, 5.6476788703463487
2100-Jan-02 09:00:00, 8531.3965966993183, 4.2389658552467377, 2410.553264863473, 2.5966201310988319, 6120.8433318358457, 5.6451281069491488
2100-Jan-02 10:00:00, 8538.5801859826188, 4.242535140690789, 2420.4486082480803, 2.607279280685415, 6118.131577734538, 5.6426271118302571
2100-Jan-02 11:00:00, 8519.9318014927594, 4.2332693816545008, 2404.4303153991559, 2.5900245606658974, 6115.5014860936035, 5.6402014323215415
2100-Jan-02 12:00:00, 8476.7502075956145, 4.2118138907474263, 2363.7708684199056, 2.5462266740626132, 6112.9793391757094, 5.6378753080141273
