Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 84.750421297433448, 11.468577372724969, null, null, 84.750421297433448, 11.468577372724969
2100-Jan-01 01:00:00, 85.068404009574053, 11.511607357491357, null, null, 85.068404009574053, 11.511607357491357
2100-Jan-01 02:00:00, 85.416249618987294, 11.558678442498922, null, null, 85.416249618987294, 11.558678442498922
2100-Jan-01 03:00:00, 85.789095611200423, 11.609132623662221, null, null, 85.789095611200423, 11.609132623662221
2100-Jan-01 04:00:00, 86.186923121412789, 11.662967348162962, null, null, 86.186923121412789, 11.662967348162962
2100-Jan-01 05:00:00, 86.610611871293727, 11.720301661498226, null, null, 86.610611871293727, 11.720301661498226
2100-Jan-01 06:00:00, 87.050398564386001, 11.779814377069544, null, null, 87.050398564386001, 11.779814377069544
2100-Jan-01 07:00:00, 87.49635973287775, 11.840162633606569, null, null, 87.49635973287775, 11.840162633606569
2100-Jan-01 08:00:00, 87.905721531469879, 11.895558198474799, null, null, 87.905721531469879, 11.895558198474799
2100-Jan-01 09:00:00, 88.181036685574995, 11.932814333587768, null, null, 88.181036685574995, 11.932814333587768
2100-Jan-01 10:00:00, 88.250782617670978, 11.942252476861043, null, null, 88.250782617670978, 11.942252476861043
2100-Jan-01 11:00:00, 88.047504769656243, 11.914744557815586, null, null, 88.047504769656243, 11.914744557815586
2100-Jan-01 12:00:00, 87.59799128314981, 11.853915595302352, null, null, 87.59799128314981, 11.853915595302352
2100-Jan-01 13:00:00, 86.97463823418704, 11.769562354774331, null, null, 86.97463823418704, 11.769562354774331
2100-Jan-01 14:00:00, 86.260269946391489, 11.672892770649769, null, null, 86.260269946391489, 11.672892770649769
2100-Jan-01 15:00:00, 85.555659992885552, 11.577543701634347, null, null, 85.555659992885552, 11.577543701634347
2100-Jan-01 16:00:00, 84.943608565342814, 11.494719816568031, null, null, 84.943608565342814, 11.494719816568031
2100-Jan-01 17:00:00, 84.483803132905891, 11.432498129671687, null, null, 84.483803132905891, 11.432498129671687
2100-Jan-01 18:00:00, 84.199521219918921, 11.394028596838154, null, null, 84.199521219918921, 11.394028596838154
2100-Jan-01 19:00:00, 84.076756760402816, 11.377415892369818, null, null, 84.076756760402816, 11.377415892369818
2100-Jan-01 20:00:00, 84.076192677158275, 11.37733955962438, null, null, 84.076192677158275, 11.37733955962438
2100-Jan-01 21:00:00, 84.16090634498363, 11.388803163452057, null, null, 84.16090634498363, 11.388803163452057
2100-Jan-01 22:00:00, 84.302756520545742, 11.40799858087729, null, null, 84.302756520545742, 11.40799858087729
2100-Jan-01 23:00:00, 84.491578378321094, 11.43355028967598, null, null, 84.491578378321094, 11.43355028967598
2100-Jan-02 00:00:00, 84.731038413709882, 11.465954446510713, null, null, 84.731038413709882, 11.465954446510713
2100-Jan-02 01:00:00, 85.021966002952723, 11.505323284045836, null, null, 85.021966002952723, 11.505323284045836
2100-Jan-02 02:00:00, 85.3577133444184, 11.550757209970195, null, null, 85.3577133444184, 11.550757209970195
2100-Jan-02 03:00:00, 85.734067246669056, 11.601686087743447, null, null, 85.734067246669056, 11.601686087743447
2100-Jan-02 04:00:00, 86.145751522977733, 11.65739593441678, null, null, 86.145751522977733, 11.65739593441678
2100-Jan-02 05:00:00, 86.585747194989665, 11.716936929386273, null, null, 86.585747194989665, 11.716936929386273
2100-Jan-02 06:00:00, 87.054591206053942, 11.780381732778563, null, null, 87.054591206053942, 11.780381732778563
2100-Jan-02 07:00:00, 87.539637127797334, 11.846019007469106, null, null, 87.539637127797334, 11.846019007469106
2100-Jan-02 08:00:00, 87.999501547002978, 11.908248676559646, null, null, 87.999501547002978, 11.908248676559646
2100-Jan-02 09:00:00, 88.347497019782352, 11.955340041343801, null, null, 88.347497019782352, 11.955340041343801
2100-Jan-02 10:00:00, 88.510778827038607, 11.977435625193523, null, null, 88.510778827038607, 11.977435625193523
2100-Jan-02 11:00:00, 88.396404664813957, 11.96195831064059, null, null, 88.396404664813957, 11.96195831064059
