Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 4604.9071084913203, 3.964029637652716, null, null, 4604.9071084913203, 3.964029637652716
2100-Jan-01 01:00:00, 4610.5872547507206, 3.9689192624785772, null, null, 4610.5872547507206, 3.9689192624785772
2100-Jan-01 02:00:00, 4616.9289634489787, 3.9743783782958975, null, null, 4616.9289634489787, 3.9743783782958975
2100-Jan-01 03:00:00, 4623.7911263213246, 3.9802855152616399, null, null, 4623.7911263213246, 3.9802855152616399
2100-Jan-01 04:00:00, 4631.1224276190942, 3.9865964993797194, null, null, 4631.1224276190942, 3.9865964993797194
2100-Jan-01 05:00:00, 4638.917377426993, 3.9933066047813135, null, null, 4638.917377426993, 3.9933066047813135
2100-Jan-01 06:00:00, 4647.0895848837863, 4.0003414638567634, null, null, 4647.0895848837863, 4.0003414638567634
2100-Jan-01 07:00:00, 4655.5104907461246, 4.0075904093029466, null, null, 4655.5104907461246, 4.0075904093029466
2100-Jan-01 08:00:00, 4663.7031076841367, 4.0146428374164973, null, null, 4663.7031076841367, 4.0146428374164973
2100-Jan-01 09:00:00, 4670.4960519678361, 4.0204903891331991, null, null, 4670.4960519678361, 4.0204903891331991
2100-Jan-01 10:00:00, 4674.6325648895527, 4.0240512122794421, null, null, 4674.6325648895527, 4.0240512122794421
2100-Jan-01 11:00:00, 4674.8647049610527, 4.0242510447846014, null, null, 4674.8647049610527, 4.0242510447846014
2100-Jan-01 12:00:00, 4670.8381798846831, 4.0207849021755466, null, null, 4670.8381798846831, 4.0207849021755466
2100-Jan-01 13:00:00, 4663.1042601809022, 4.014127333152171, null, null, 4663.1042601809022, 4.014127333152171
2100-Jan-01 14:00:00, 4652.7468660049763, 4.0052114057480077, null, null, 4652.7468660049763, 4.0052114057480077
2100-Jan-01 15:00:00, 4641.2775311733576, 3.9953382894992862, null, null, 4641.2775311733576, 3.9953382894992862
2100-Jan-01 16:00:00, 4630.2230773812398, 3.9858223141652314, null, null, 4630.2230773812398, 3.9858223141652314
2100-Jan-01 17:00:00, 4620.8589880356158, 3.9777614506513435, null, null, 4620.8589880356158, 3.9777614506513435
2100-Jan-01 18:00:00, 4613.9929689848777, 3.9718509941820637, null, null, 4613.9929689848777, 3.9718509941820637
2100-Jan-01 19:00:00, 4609.8586837523035, 3.9682920886913942, null, null, 4609.8586837523035, 3.9682920886913942
2100-Jan-01 20:00:00, 4608.1817211556481, 3.966848513549103, null, null, 4608.1817211556481, 3.966848513549103
2100-Jan-01 21:00:00, 4608.4701517658023, 3.9670968024852575, null, null, 4608.4701517658023, 3.9670968024852575
2100-Jan-01 22:00:00, 4610.2209849010214, 3.9686039674019602, null, null, 4610.2209849010214, 3.9686039674019602
2100-Jan-01 23:00:00, 4613.1011393128183, 3.9710832828757354, null, null, 4613.1011393128183, 3.9710832828757354
2100-Jan-02 00:00:00, 4616.9952931426005, 3.9744354767053069, null, null, 4616.9952931426005, 3.9744354767053069
2100-Jan-02 01:00:00, 4621.8660198611742, 3.978628331113538, null, null, 4621.8660198611742, 3.978628331113538
2100-Jan-02 02:00:00, 4627.6374320594468, 3.9835965201488559, null, null, 4627.6374320594468, 3.9835965201488559
2100-Jan-02 03:00:00, 4634.2379431672671, 3.9892784201391529, null, null, 4634.2379431672671, 3.9892784201391529
2100-Jan-02 04:00:00, 4641.5818974658669, 3.9956002963054571, null, null, 4641.5818974658669, 3.9956002963054571
2100-Jan-02 05:00:00, 4649.5647466912387, 4.0024721506505614, null, null, 4649.5647466912387, 4.0024721506505614
2100-Jan-02 06:00:00, 4658.1413789626276, 4.0098551496370867, null, null, 4658.1413789626276, 4.0098551496370867
2100-Jan-02 07:00:00, 4667.1725812564664, 4.0176294548973166, null, null, 4667.1725812564664, 4.0176294548973166
2100-Jan-02 08:00:00, 4676.0608124211467, 4.025280686710035, null, null, 4676.0608124211467, 4.025280686710035
2100-Jan-02 09:00:00, 4683.7120954399643, 4.0318671198210811, null, null, 4683.7120954399643, 4.0318671198210811
2100-Jan-02 10:00:00, 4688.9850604034873, 4.0364062318815979, null, null, 4688.9850604034873, 4.0364062318815979
2100-Jan-02 11:00:00, 4690.4843693615076, 4.0376968779262556, null, null, 4690.4843693615076, 4.0376968779262556
2100-Jan-02 12:00:00, 4687.937891890092, 4.0355048006637864, null, null, 4687.937891890092, 4.0355048006637864
2100-Jan-02 13:00:00, 4681.8096294696606, 4.0302294252241584, null, null, 4681.8096294696606, 4.0302294252241584
2100-Jan-02 14:00:00, 4671.4071368975101, 4.0212746758904681, null, null, 4671.4071368975101, 4.0212746758904681
2100-Jan-02 15:00:00, 4657.4928262770818, 4.0092968577961194, null, null, 4657.4928262770818, 4.0092968577961194
2100-Jan-02 16:00:00, 4642.635266949057, 3.996507065487199, null, null, 4642.635266949057, 3.996507065487199
2100-Jan-02 17:00:00, 4629.3561844442556, 3.9850760690806042, null, null, 4629.3561844442556, 3.9850760690806042
2100-Jan-02 18:00:00, 4619.1608286865157, 3.9762996287664074, null, null, 4619.1608286865157, 3.9762996287664074
2100-Jan-02 19:00:00, 4612.5881208124192, 3.9706416625580321, null, null, 4612.5881208124192, 3.9706416625580321
2100-Jan-02 20:00:00, 4609.4628167767214, 3.9679513156015567, null, null, 4609.4628167767214, 3.9679513156015567
2100-Jan-02 21:00:00, 4609.2633720350896, 3.9677796281281124, null, null, 4609.2633720350896, 3.9677796281281124
2100-Jan-02 22:00:00, 4611.3667442881715, 3.9695902683329622, null, null, 4611.3667442881715, 3.9695902683329622
2100-Jan-02 23:00:00, 4615.2925140365132, 3.9729696780075527, null, null, 4615.2925140365132, 3.9729696780075527
2100-Jan-03 00:00:00, 4620.6056283703219, 3.9775433517410832, null, null, 4620.6056283703219, 3.9775433517410832
2100-Jan-03 01:00:00, 4626.8863460860948, 3.9829499648571534, null, null, 4626.8863460860948, 3.9829499648571534
2100-Jan-03 02:00:00, 4633.8030703938266, 3.9889040697946374, null, null, 4633.8030703938266, 3.9889040697946374
2100-Jan-03 03:00:00, 4641.1393014057167, 3.9952192975450895, null, null, 4641.1393014057167, 3.9952192975450895
2100-Jan-03 04:00:00, 4648.7741099341101, 4.0017915489654383, null, null, 4648.7741099341101, 4.0017915489654383
2100-Jan-03 05:00:00, 4656.6455434316622, 4.0085674936131754, null, null, 4656.6455434316622, 4.0085674936131754
2100-Jan-03 06:00:00, 4664.8332241914231, 4.0156156725298535, null, null, 4664.8332241914231, 4.0156156725298535
2100-Jan-03 07:00:00, 4673.2869708524531, 4.022892888231282, null, null, 4673.2869708524531, 4.022892888231282
2100-Jan-03 08:00:00, 4681.6303017878736, 4.0300750550645201, null, null, 4681.6303017878736, 4.0300750550645201
2100-Jan-03 09:00:00, 4689.0819217318794, 4.0364896127549663, null, null, 4689.0819217318794, 4.0364896127549663
2100-Jan-03 10:00:00, 4694.6807212363337, 4.0413092120754408, null, null, 4694.6807212363337, 4.0413092120754408
2100-Jan-03 11:00:00, 4697.6170479883558, 4.0438368822317798, null, null, 4697.6170479883558, 4.0438368822317798
2100-Jan-03 12:00:00, 4697.3125560590597, 4.0435747672740368, null, null, 4697.3125560590597, 4.0435747672740368
2100-Jan-03 13:00:00, 4693.5023714475656, 4.040294856437824, null, null, 4693.5023714475656, 4.040294856437824
2100-Jan-03 14:00:00, 4686.3416808563252, 4.0341307386693259, null, null, 4686.3416808563252, 4.0341307386693259
2100-Jan-03 15:00:00, 4676.6160594139574, 4.0257586584657865, null, null, 4676.6160594139574, 4.0257586584657865
2100-Jan-03 16:00:00, 4665.6937177332875, 4.0163564088406183, null, null, 4665.6937177332875, 4.0163564088406183
2100-Jan-03 17:00:00, 4655.3172287980033, 4.0074240441467914, null, null, 4655.3172287980033, 4.0074240441467914
