Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 4871.2333964754753, 4.0219014598990528, null, null, 4871.2333964754753, 4.0219014598990528
2100-Jan-01 01:00:00, 4876.0466759198762, 4.0258755120638172, null, null, 4876.0466759198762, 4.0258755120638172
2100-Jan-01 02:00:00, 4881.5416116990291, 4.030412369248328, null, null, 4881.5416116990291, 4.030412369248328
2100-Jan-01 03:00:00, 4887.6027780859704, 4.0354167309687021, null, null, 4887.6027780859704, 4.0354167309687021
2100-Jan-01 04:00:00, 4894.1959999825876, 4.0408603807824495, null, null, 4894.1959999825876, 4.0408603807824495
2100-Jan-01 05:00:00, 4901.3247500559564, 4.0467461858740474, null, null, 4901.3247500559564, 4.0467461858740474
2100-Jan-01 06:00:00, 4908.8965044197248, 4.0529977545120168, null, null, 4908.8965044197248, 4.0529977545120168
2100-Jan-01 07:00:00, 4916.7745314684689, 4.0595021951556109, null, null, 4916.7745314684689, 4.0595021951556109
2100-Jan-01 08:00:00, 4924.5365247723648, 4.0659108333094007, null, null, 4924.5365247723648, 4.0659108333094007
2100-Jan-01 09:00:00, 4931.110232429779, 4.0713383713213203, null, null, 4931.110232429779, 4.0713383713213203
2100-Jan-01 10:00:00, 4935.2670271734924, 4.0747704012586121, null, null, 4935.2670271734924, 4.0747704012586121
2100-Jan-01 11:00:00, 4935.7689324383637, 4.0751847960028629, null, null, 4935.7689324383637, 4.0751847960028629
2100-Jan-01 12:00:00, 4932.2059485850232, 4.0722430420783402, null, null, 4932.2059485850232, 4.0722430420783402
2100-Jan-01 13:00:00, 4925.0065588572188, 4.0662989138258139, null, null, 4925.0065588572188, 4.0662989138258139
2100-Jan-01 14:00:00, 4915.1115271482431, 4.058129146697663, null, null, 4915.1115271482431, 4.058129146697663
2100-Jan-01 15:00:00, 4903.9000640377581, 4.0488724767371789, null, null, 4903.9000640377581, 4.0488724767371789
2100-Jan-01 16:00:00, 4892.8302317032258, 4.0397327432850085, null, null, 4892.8302317032258, 4.0397327432850085
2100-Jan-01 17:00:00, 4883.202644694552, 4.0317837900951439, null, null, 4883.202644694552, 4.0317837900951439
2100-Jan-01 18:00:00, 4875.9024241397938, 4.0257564115408728, null, null, 4875.9024241397938, 4.0257564115408728
2100-Jan-01 19:00:00, 4871.2353959520233, 4.0219031107535681, null, null, 4871.2353959520233, 4.0219031107535681
2100-Jan-01 20:00:00, 4868.9686338878801, 4.0200315737293684, null, null, 4868.9686338878801, 4.0200315737293684
2100-Jan-01 21:00:00, 4868.6334538071887, 4.0197548345247069, null, null, 4868.6334538071887, 4.0197548345247069
2100-Jan-01 22:00:00, 4869.742170908522, 4.0206702394264084, null, null, 4869.742170908522, 4.0206702394264084
2100-Jan-01 23:00:00, 4871.9841493519161, 4.0225213140189489, null, null, 4871.9841493519161, 4.0225213140189489
2100-Jan-02 00:00:00, 4875.2734760154981, 4.0252371247045788, null, null, 4875.2734760154981, 4.0252371247045788
2100-Jan-02 01:00:00, 4879.5934743637335, 4.0288039026126334, null, null, 4879.5934743637335, 4.0288039026126334
2100-Jan-02 02:00:00, 4884.8745608807867, 4.0331641965759975, null, null, 4884.8745608807867, 4.0331641965759975
2100-Jan-02 03:00:00, 4891.0505271424827, 4.0382633420495395, null, null, 4891.0505271424827, 4.0382633420495395
2100-Jan-02 04:00:00, 4898.0344387749228, 4.0440295622455658, null, null, 4898.0344387749228, 4.0440295622455658
2100-Jan-02 05:00:00, 4905.7161892270078, 4.0503719484223764, null, null, 4905.7161892270078, 4.0503719484223764
2100-Jan-02 06:00:00, 4914.0536869695889, 4.0572557479888376, null, null, 4914.0536869695889, 4.0572557479888376
2100-Jan-02 07:00:00, 4922.9003930373656, 4.0645599720227414, null, null, 4922.9003930373656, 4.0645599720227414
2100-Jan-02 08:00:00, 4931.6943091262983, 4.0718206103616676, null, null, 4931.6943091262983, 4.0718206103616676
2100-Jan-02 09:00:00, 4939.3912701002346, 4.0781755550046936, null, null, 4939.3912701002346, 4.0781755550046936
2100-Jan-02 10:00:00, 4944.8514109894604, 4.0826836840197229, null, null, 4944.8514109894604, 4.0826836840197229
2100-Jan-02 11:00:00, 4946.7209968066063, 4.0842272951168272, null, null, 4946.7209968066063, 4.0842272951168272
2100-Jan-02 12:00:00, 4944.6679206140143, 4.0825321864114539, null, null, 4944.6679206140143, 4.0825321864114539
2100-Jan-02 13:00:00, 4939.0558874270555, 4.0778986485308915, null, null, 4939.0558874270555, 4.0778986485308915
2100-Jan-02 14:00:00, 4929.3120459421061, 4.0698537106057868, null, null, 4929.3120459421061, 4.0698537106057868
2100-Jan-02 15:00:00, 4916.2049157798174, 4.0590318957502438, null, null, 4916.2049157798174, 4.0590318957502438
2100-Jan-02 16:00:00, 4902.1118564447761, 4.0473960550296866, null, null, 4902.1118564447761, 4.0473960550296866
2100-Jan-02 17:00:00, 4889.378891849643, 4.0368831674864492, null, null, 4889.378891849643, 4.0368831674864492
2100-Jan-02 18:00:00, 4879.4577666513023, 4.0286918564423271, null, null, 4879.4577666513023, 4.0286918564423271
2100-Jan-02 19:00:00, 4872.9255787929169, 4.0232985989763668, null, null, 4872.9255787929169, 4.0232985989763668
2100-Jan-02 20:00:00, 4869.6667366088477, 4.0206079575985232, null, null, 4869.6667366088477, 4.0206079575985232
2100-Jan-02 21:00:00, 4869.2154244229241, 4.0202353346934601, null, null, 4869.2154244229241, 4.0202353346934601
2100-Jan-02 22:00:00, 4870.9905930208351, 4.0217009908413814, null, null, 4870.9905930208351, 4.0217009908413814
2100-Jan-02 23:00:00, 4874.518926456175, 4.0246141358787089, null, null, 4874.518926456175, 4.0246141358787089
2100-Jan-03 00:00:00, 4879.382819081693, 4.0286299764798832, null, null, 4879.382819081693, 4.0286299764798832
2100-Jan-03 01:00:00, 4885.1938145427512, 4.0334277862389492, null, null, 4885.1938145427512, 4.0334277862389492
2100-Jan-03 02:00:00, 4891.6470610570295, 4.0387558663091099, null, null, 4891.6470610570295, 4.0387558663091099
2100-Jan-03 03:00:00, 4898.543025313651, 4.0444494733391458, null, null, 4898.543025313651, 4.0444494733391458
2100-Jan-03 04:00:00, 4905.7702621121798, 4.0504165933404312, null, null, 4905.7702621121798, 4.0504165933404312
2100-Jan-03 05:00:00, 4913.2704887019354, 4.0566091055474498, null, null, 4913.2704887019354, 4.0566091055474498
2100-Jan-03 06:00:00, 4921.111437691291, 4.0630829329378804, null, null, 4921.111437691291, 4.0630829329378804
2100-Jan-03 07:00:00, 4929.2388489605119, 4.0697932760046962, null, null, 4929.2388489605119, 4.0697932760046962
2100-Jan-03 08:00:00, 4937.3066255295771, 4.0764543820779018, null, null, 4937.3066255295771, 4.0764543820779018
2100-Jan-03 09:00:00, 4944.5744346717747, 4.0824550003649298, null, null, 4944.5744346717747, 4.0824550003649298
2100-Jan-03 10:00:00, 4950.0767018695042, 4.0869979106864331, null, null, 4950.0767018695042, 4.0869979106864331
2100-Jan-03 11:00:00, 4952.9674451299088, 4.0893846336358255, null, null, 4952.9674451299088, 4.0893846336358255
2100-Jan-03 12:00:00, 4952.6465173143097, 4.0891196617190593, null, null, 4952.6465173143097, 4.0891196617190593
2100-Jan-03 13:00:00, 4948.8506543016083, 4.0859856326652668, null, null, 4948.8506543016083, 4.0859856326652668
2100-Jan-03 14:00:00, 4941.749237748706, 4.0801223953130723, null, null, 4941.749237748706, 4.0801223953130723
2100-Jan-03 15:00:00, 4932.1144643461739, 4.0721675087249087, null, null, 4932.1144643461739, 4.0721675087249087
2100-Jan-03 16:00:00, 4921.2602517429395, 4.0632058002700049, null, null, 4921.2602517429395, 4.0632058002700049
2100-Jan-03 17:00:00, 4910.8718786849176, 4.054628709137754, null, null, 4910.8718786849176, 4.054628709137754
2100-Jan-03 18:00:00, 4902.3227763985869, 4.0475701996869242, null, null, 4902.3227763985869, 4.0475701996869242
2100-Jan-03 19:00:00, 4896.3175046524557, 4.0426119870050332, null, null, 4896.3175046524557, 4.0426119870050332
2100-Jan-03 20:00:00, 4892.965802857414, 4.0398446767069105, null, null, 4892.965802857414, 4.0398446767069105
2100-Jan-03 21:00:00, 4892.118645937222, 4.0391452272293824, null, null, 4892.118645937222, 4.0391452272293824
2100-Jan-03 22:00:00, 4893.5427644372994, 4.0403210411985251, null, null, 4893.5427644372994, 4.0403210411985251
2100-Jan-03 23:00:00, 4896.8974899808445, 4.0430908480344909, null, null, 4896.8974899808445, 4.0430908480344909
2100-Jan-04 00:00:00, 4901.7180881369814, 4.0470709428449307, null, null, 4901.7180881369814, 4.0470709428449307
2100-Jan-04 01:00:00, 4907.6541981991031, 4.0519720526423475, null, null, 4907.6541981991031, 4.0519720526423475
2100-Jan-04 02:00:00, 4914.4404426802703, 4.0575750702694204, null, null, 4914.4404426802703, 4.0575750702694204
2100-Jan-04 03:00:00, 4921.7932577059637, 4.0636458730988645, null, null, 4921.7932577059637, 4.0636458730988645
2100-Jan-04 04:00:00, 4929.4681815230415, 4.0699826229098779, null, null, 4929.4681815230415, 4.0699826229098779
2100-Jan-04 05:00:00, 4937.3141568795136, 4.0764606002868931, null, null, 4937.3141568795136, 4.0764606002868931
2100-Jan-04 06:00:00, 4945.2936001078588, 4.0830487745247526, null, null, 4945.2936001078588, 4.0830487745247526
2100-Jan-04 07:00:00, 4953.373625817846, 4.0897199940197027, null, null, 4953.373625817846, 4.0897199940197027
2100-Jan-04 08:00:00, 4961.4943416116566, 4.0964248090117712, null, null, 4961.4943416116566, 4.0964248090117712
2100-Jan-04 09:00:00, 4969.2444603257472, 4.1028236429894545, null, null, 4969.2444603257472, 4.1028236429894545
2100-Jan-04 10:00:00, 4976.008634957313, 4.1084084387919688, null, null, 4976.008634957313, 4.1084084387919688
2100-Jan-04 11:00:00, 4980.8407595999461, 4.1123980503693334, null, null, 4980.8407595999461, 4.1123980503693334
2100-Jan-04 12:00:00, 4983.2207984982178, 4.1143631136583352, null, null, 4983.2207984982178, 4.1143631136583352
2100-Jan-04 13:00:00, 4983.21774897045, 4.114360595836013, null, null, 4983.21774897045, 4.114360595836013
2100-Jan-04 14:00:00, 4981.2542283262082, 4.1127394280735876, null, null, 4981.2542283262082, 4.1127394280735876
2100-Jan-04 15:00:00, 4977.9575212586833, 4.1100175238065217, null, null, 4977.9575212586833, 4.1100175238065217
2100-Jan-04 16:00:00, 4974.1244921767402, 4.106852808834816, null, null, 4974.1244921767402, 4.106852808834816
2100-Jan-04 17:00:00, 4970.6020918530494, 4.1039445624316659, null, null, 4970.6020918530494, 4.1039445624316659
2100-Jan-04 18:00:00, 4967.9493854610546, 4.1017543730397215, null, null, 4967.9493854610546, 4.1017543730397215
2100-Jan-04 19:00:00, 4966.4308986678216, 4.1005006445168881, null, null, 4966.4308986678216, 4.1005006445168881
2100-Jan-04 20:00:00, 4966.179207517026, 4.10029283739199, null, null, 4966.179207517026, 4.10029283739199
2100-Jan-04 21:00:00, 4967.1674230502003, 4.1011087509752819, null, null, 4967.1674230502003, 4.1011087509752819
2100-Jan-04 22:00:00, 4969.3188364395874, 4.1028850511332422, null, null, 4969.3188364395874, 4.1028850511332422
2100-Jan-04 23:00:00, 4972.4198346565345, 4.1054453696893001, null, null, 4972.4198346565345, 4.1054453696893001
2100-Jan-05 00:00:00, 4976.1410252109854, 4.1085177459245132, null, null, 4976.1410252109854, 4.1085177459245132
2100-Jan-05 01:00:00, 4980.2200112847031, 4.1118855336508542, null, null, 4980.2200112847031, 4.1118855336508542
2100-Jan-05 02:00:00, 4984.5718411800963, 4.1154785930641395, null, null, 4984.5718411800963, 4.1154785930641395
2100-Jan-05 03:00:00, 4989.1121126945309, 4.1192272380470412, null, null, 4989.1121126945309, 4.1192272380470412
2100-Jan-05 04:00:00, 4993.8295537614622, 4.1231221618927778, null, null, 4993.8295537614622, 4.1231221618927778
2100-Jan-05 05:00:00, 4998.7634466669824, 4.1271957977596312, null, null, 4998.7634466669824, 4.1271957977596312
2100-Jan-05 06:00:00, 5003.9333380780918, 4.1314642842232248, null, null, 5003.9333380780918, 4.1314642842232248
2100-Jan-05 07:00:00, 5009.3010357963303, 4.1358960881488791, null, null, 5009.3010357963303, 4.1358960881488791
2100-Jan-05 08:00:00, 5014.7104513977365, 4.1403623361673461, null, null, 5014.7104513977365, 4.1403623361673461
2100-Jan-05 09:00:00, 5019.4822022749668, 4.1443021005467928, null, null, 5019.4822022749668, 4.1443021005467928
2100-Jan-05 10:00:00, 5022.432060787537, 4.1467376316110167, null, null, 5022.432060787537, 4.1467376316110167
2100-Jan-05 11:00:00, 5022.5004854941408, 4.1467941260149974, null, null, 5022.5004854941408, 4.1467941260149974
