Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 6015.6557277546572, 5.1784405272287097, null, null, 6015.6557277546572, 5.1784405272287097
2100-Jan-01 01:00:00, 6034.7528462983973, 5.1948798477443319, null, null, 6034.7528462983973, 5.1948798477443319
2100-Jan-01 02:00:00, 6056.5130343311348, 5.2136116111111992, null, null, 6056.5130343311348, 5.2136116111111992
2100-Jan-01 03:00:00, 6080.5953953588205, 5.2343423643292981, null, null, 6080.5953953588205, 5.2343423643292981
2100-Jan-01 04:00:00, 6106.9797561676123, 5.257054741745927, null, null, 6106.9797561676123, 5.257054741745927
2100-Jan-01 05:00:00, 6135.7135696690375, 5.2817895921216067, null, null, 6135.7135696690375, 5.2817895921216067
2100-Jan-01 06:00:00, 6166.1505668159425, 5.3079905894335839, null, null, 6166.1505668159425, 5.3079905894335839
2100-Jan-01 07:00:00, 6197.6142672159158, 5.3350754009090933, null, null, 6197.6142672159158, 5.3350754009090933
2100-Jan-01 08:00:00, 6226.9938634985947, 5.3603661587165767, null, null, 6226.9938634985947, 5.3603661587165767
2100-Jan-01 09:00:00, 6247.759221799296, 5.3782415455161656, null, null, 6247.759221799296, 5.3782415455161656
2100-Jan-01 10:00:00, 6255.1922049782888, 5.3846400601709714, null, null, 6255.1922049782888, 5.3846400601709714
2100-Jan-01 11:00:00, 6244.7246307022406, 5.3756292867314652, null, null, 6244.7246307022406, 5.3756292867314652
2100-Jan-01 12:00:00, 6217.6949021146756, 5.3523613591284862, null, null, 6217.6949021146756, 5.3523613591284862
2100-Jan-01 13:00:00, 6178.418468459814, 5.3185511337751716, null, null, 6178.418468459814, 5.3185511337751716
2100-Jan-01 14:00:00, 6132.0502153910529, 5.2786360768412717, null, null, 6132.0502153910529, 5.2786360768412717
2100-Jan-01 15:00:00, 6085.1198007667281, 5.2382370959074072, null, null, 6085.1198007667281, 5.2382370959074072
2100-Jan-01 16:00:00, 6043.1256765940525, 5.2020874084314546, null, null, 6043.1256765940525, 5.2020874084314546
2100-Jan-01 17:00:00, 6010.1692184711237, 5.1737175903931156, null, null, 6010.1692184711237, 5.1737175903931156
2100-Jan-01 18:00:00, 5988.1462570613267, 5.1547596245361404, null, null, 5988.1462570613267, 5.1547596245361404
2100-Jan-01 19:00:00, 5976.6158778246954, 5.1448339595986008, null, null, 5976.6158778246954, 5.1448339595986008
2100-Jan-01 20:00:00, 5973.4333343678782, 5.1420943393872225, null, null, 5973.4333343678782, 5.1420943393872225
2100-Jan-01 21:00:00, 5976.4453737940339, 5.1446871850785163, null, null, 5976.4453737940339, 5.1446871850785163
2100-Jan-01 22:00:00, 5983.9057232499299, 5.1511092573708943, null, null, 5983.9057232499299, 5.1511092573708943
2100-Jan-01 23:00:00, 5995.1171620643836, 5.1607603696939366, null, null, 5995.1171620643836, 5.1607603696939366
2100-Jan-02 00:00:00, 6010.2585864766179, 5.1737945208097535, null, null, 6010.2585864766179, 5.1737945208097535
2100-Jan-02 01:00:00, 6029.3682722027943, 5.1902446594987861, null, null, 6029.3682722027943, 5.1902446594987861
2100-Jan-02 02:00:00, 6052.039781959078, 5.2097609134615475, null, null, 6052.039781959078, 5.2097609134615475
2100-Jan-02 03:00:00, 6078.0117969880384, 5.2321183323841831, null, null, 6078.0117969880384, 5.2321183323841831
2100-Jan-02 04:00:00, 6106.9359494378114, 5.257017031718088, null, null, 6106.9359494378114, 5.257017031718088
2100-Jan-02 05:00:00, 6138.3179727757752, 5.2840315333508805, null, null, 6138.3179727757752, 5.2840315333508805
2100-Jan-02 06:00:00, 6172.1448218884434, 5.3131506076930677, null, null, 6172.1448218884434, 5.3131506076930677
2100-Jan-02 07:00:00, 6207.5579132754074, 5.3436351626496652, null, null, 6207.5579132754074, 5.3436351626496652
2100-Jan-02 08:00:00, 6241.370306077958, 5.3727417926058081, null, null, 6241.370306077958, 5.3727417926058081
2100-Jan-02 09:00:00, 6267.8316649711724, 5.3955204520736286, null, null, 6267.8316649711724, 5.3955204520736286
2100-Jan-02 10:00:00, 6282.2752053433696, 5.4079538455730214, null, null, 6282.2752053433696, 5.4079538455730214
2100-Jan-02 11:00:00, 6278.5453768768884, 5.4047431074981471, null, null, 6278.5453768768884, 5.4047431074981471
2100-Jan-02 12:00:00, 6259.0351255484793, 5.3879481510133012, null, null, 6259.0351255484793, 5.3879481510133012
2100-Jan-02 13:00:00, 6227.2088084469742, 5.3605511891907565, null, null, 6227.2088084469742, 5.3605511891907565
2100-Jan-02 14:00:00, 6177.1033349569125, 5.3174190309856586, null, null, 6177.1033349569125, 5.3174190309856586
2100-Jan-02 15:00:00, 6116.165313506709, 5.2649619200391431, null, null, 6116.165313506709, 5.2649619200391431
2100-Jan-02 16:00:00, 6058.59803979961, 5.2154064406869063, null, null, 6058.59803979961, 5.2154064406869063
2100-Jan-02 17:00:00, 6013.0314921454728, 5.1761815136403992, null, null, 6013.0314921454728, 5.1761815136403992
2100-Jan-02 18:00:00, 5982.051488580405, 5.1495130815931889, null, null, 5982.051488580405, 5.1495130815931889
2100-Jan-02 19:00:00, 5965.2351462307515, 5.1350371154335193, null, null, 5965.2351462307515, 5.1350371154335193
2100-Jan-02 20:00:00, 5960.337308334987, 5.1308209229845056, null, null, 5960.337308334987, 5.1308209229845056
2100-Jan-02 21:00:00, 5964.8796415361912, 5.134731087296065, null, null, 5964.8796415361912, 5.134731087296065
2100-Jan-02 22:00:00, 5976.5396987010408, 5.1447683825311756, null, null, 5976.5396987010408, 5.1447683825311756
2100-Jan-02 23:00:00, 5993.5455425840328, 5.15940747677939, null, null, 5993.5455425840328, 5.15940747677939
2100-Jan-03 00:00:00, 6014.5469311891875, 5.1774860449027695, null, null, 6014.5469311891875, 5.1774860449027695
2100-Jan-03 01:00:00, 6038.3742357043475, 5.1979972385182291, null, null, 6038.3742357043475, 5.1979972385182291
2100-Jan-03 02:00:00, 6064.2438002396784, 5.2202664652616155, null, null, 6064.2438002396784, 5.2202664652616155
2100-Jan-03 03:00:00, 6091.6939657553248, 5.2438963164396872, null, null, 6091.6939657553248, 5.2438963164396872
2100-Jan-03 04:00:00, 6120.4666934267907, 5.2686646651943203, null, null, 6120.4666934267907, 5.2686646651943203
2100-Jan-03 05:00:00, 6150.4047152071653, 5.2944361309012544, null, null, 6150.4047152071653, 5.2944361309012544
2100-Jan-03 06:00:00, 6181.4647141577807, 5.3211734251582152, null, null, 6181.4647141577807, 5.3211734251582152
