Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 122.20149536212379, 16.536523160217612, null, null, 122.20149536212379, 16.536523160217612
2100-Jan-01 01:00:00, 125.6117159079345, 16.998000254832018, null, null, 125.6117159079345, 16.998000254832018
2100-Jan-01 02:00:00, 129.34462196567972, 17.50314372542455, null, null, 129.34462196567972, 17.50314372542455
2100-Jan-01 03:00:00, 133.3471908949754, 18.044778454226574, null, null, 133.3471908949754, 18.044778454226574
2100-Jan-01 04:00:00, 137.43730643797193, 18.598260146118307, null, null, 137.43730643797193, 18.598260146118307
2100-Jan-01 05:00:00, 141.62279127940789, 19.164647380677451, null, null, 141.62279127940789, 19.164647380677451
2100-Jan-01 06:00:00, 145.77123183894372, 19.726021717286535, null, null, 145.77123183894372, 19.726021717286535
2100-Jan-01 07:00:00, 149.67931563843538, 20.254870550689567, null, null, 149.67931563843538, 20.254870550689567
2100-Jan-01 08:00:00, 152.64455203380464, 20.656131600582924, null, null, 152.64455203380464, 20.656131600582924
2100-Jan-01 09:00:00, 153.73912625823192, 20.8042513266074, null, null, 153.73912625823192, 20.8042513266074
2100-Jan-01 10:00:00, 152.55924436600273, 20.644587615624555, null, null, 152.55924436600273, 20.644587615624555
2100-Jan-01 11:00:00, 148.8218766424678, 20.138840384501549, null, null, 148.8218766424678, 20.138840384501549
2100-Jan-01 12:00:00, 143.14793565939991, 19.371032624063194, null, null, 143.14793565939991, 19.371032624063194
2100-Jan-01 13:00:00, 136.35761811093866, 18.452154806139493, null, null, 136.35761811093866, 18.452154806139493
2100-Jan-01 14:00:00, 129.28177764751729, 17.494639520793491, null, null, 129.28177764751729, 17.494639520793491
2100-Jan-01 15:00:00, 122.97621005055906, 16.641358926342299, null, null, 122.97621005055906, 16.641358926342299
2100-Jan-01 16:00:00, 118.21556608492139, 15.997140138658642, null, null, 118.21556608492139, 15.997140138658642
2100-Jan-01 17:00:00, 115.53726627349876, 15.634707856382949, null, null, 115.53726627349876, 15.634707856382949
2100-Jan-01 18:00:00, 114.9294229862241, 15.552453424323719, null, null, 114.9294229862241, 15.552453424323719
2100-Jan-01 19:00:00, 115.9747012006661, 15.693902326816843, null, null, 115.9747012006661, 15.693902326816843
2100-Jan-01 20:00:00, 118.03888163791437, 15.97323088581911, null, null, 118.03888163791437, 15.97323088581911
2100-Jan-01 21:00:00, 120.66795385821435, 16.329001603125327, null, null, 120.66795385821435, 16.329001603125327
2100-Jan-01 22:00:00, 123.53359525095225, 16.716785280562849, null, null, 123.53359525095225, 16.716785280562849
2100-Jan-01 23:00:00, 126.52349046068902, 17.121383204965667, null, null, 126.52349046068902, 17.121383204965667
2100-Jan-02 00:00:00, 129.75582484360837, 17.55878842841501, null, null, 129.75582484360837, 17.55878842841501
2100-Jan-02 01:00:00, 133.28384528235139, 18.036206413539585, null, null, 133.28384528235139, 18.036206413539585
2100-Jan-02 02:00:00, 136.98889671009357, 18.537580546180894, null, null, 136.98889671009357, 18.537580546180894
2100-Jan-02 03:00:00, 140.73853063471566, 19.044987661397499, null, null, 140.73853063471566, 19.044987661397499
2100-Jan-02 04:00:00, 144.54331958283757, 19.559858452249209, null, null, 144.54331958283757, 19.559858452249209
2100-Jan-02 05:00:00, 148.25944859215485, 20.062731622882918, null, null, 148.25944859215485, 20.062731622882918
2100-Jan-02 06:00:00, 151.94479549678863, 20.561439304497767, null, null, 151.94479549678863, 20.561439304497767
2100-Jan-02 07:00:00, 155.50161586961923, 21.042754547799426, null, null, 155.50161586961923, 21.042754547799426
2100-Jan-02 08:00:00, 158.19245337826348, 21.406883453507316, null, null, 158.19245337826348, 21.406883453507316
2100-Jan-02 09:00:00, 159.24183575614023, 21.548887738677969, null, null, 159.24183575614023, 21.548887738677969
2100-Jan-02 10:00:00, 158.25804596700516, 21.415759558989095, null, null, 158.25804596700516, 21.415759558989095
2100-Jan-02 11:00:00, 154.7275068900376, 20.938000747271452, null, null, 154.7275068900376, 20.938000747271452
2100-Jan-02 12:00:00, 149.46016339750469, 20.225214480630648, null, null, 149.46016339750469, 20.225214480630648
2100-Jan-02 13:00:00, 143.05566425450988, 19.35854629384712, null, null, 143.05566425450988, 19.35854629384712
