Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 7798.0825860249388, 1.3481859022400415, 5286.2309966165667, 2.6275100523102735, 2511.8515894083721, 0.66587595277008171
2100-Jan-01 01:00:00, 7841.9231463852793, 1.3557653584425238, 5329.4795061555187, 2.6490066334535807, 2512.4436402297611, 0.66603290169431073
2100-Jan-01 02:00:00, 7889.6180772632742, 1.3640111846066709, 5376.5828423646371, 2.6724192481247941, 2513.0352348986371, 0.6661897296953968
2100-Jan-01 03:00:00, 7940.8669311032263, 1.3728714373022255, 5427.2405538739258, 2.6975985575993295, 2513.6263772293, 0.66634643778448632
2100-Jan-01 04:00:00, 7995.8707668377783, 1.3823808769738886, 5481.6536972299373, 2.7246444966128207, 2514.217069607841, 0.66650302659411731
2100-Jan-01 05:00:00, 8054.8128628358954, 1.3925711900407891, 5540.0055501956795, 2.753648162993755, 2514.8073126402164, 0.66665949628492471
2100-Jan-01 06:00:00, 8116.3305174036977, 1.403206783305192, 5600.933412465768, 2.7839322294075943, 2515.3971049379293, 0.66681584648882686
2100-Jan-01 07:00:00, 8178.9978883939657, 1.4140411474155359, 5663.0114454146942, 2.8147879857499394, 2515.9864429792715, 0.66697207627224131
2100-Jan-01 08:00:00, 8236.3871650722613, 1.4239629984480049, 5719.811843952366, 2.8430205049547346, 2516.5753211198944, 0.66712818413888686
2100-Jan-01 09:00:00, 8274.4440036197593, 1.4305425252287949, 5757.2802719161427, 2.8616441086493327, 2517.163731703617, 0.66728416805915847
2100-Jan-01 10:00:00, 8283.7427525225485, 1.4321501565972645, 5765.9910872227947, 2.8659738011649827, 2517.7516652997533, 0.66744002553304083
2100-Jan-01 11:00:00, 8255.3065783639649, 1.4272339161379817, 5736.9674673609761, 2.8515476716617183, 2518.3391110029879, 0.66759575366960411
2100-Jan-01 12:00:00, 8194.3306648237467, 1.4166919827711237, 5675.4046080260005, 2.8209479812858826, 2518.9260567977467, 0.66775134928359559
2100-Jan-01 13:00:00, 8111.3005077463185, 1.4023371608007622, 5591.7880177273128, 2.7793865300949809, 2519.5124900190053, 0.66790680901759747
2100-Jan-01 14:00:00, 8017.9117760606769, 1.3861914775385333, 5497.813378280749, 2.7326766322554579, 2520.0983977799283, 0.66806212945539123
2100-Jan-01 15:00:00, 7927.8661642335946, 1.3706237757240629, 5407.1823968013196, 2.6876286926099215, 2520.6837674322751, 0.66821730724400852
2100-Jan-01 16:00:00, 7851.8304891566186, 1.3574782076853513, 5330.5619021833309, 2.6495446361336521, 2521.2685869732877, 0.668372339201594
2100-Jan-01 17:00:00, 7797.2249493561303, 1.3480376281414568, 5275.3721039249504, 2.6221126624265469, 2521.85284543118, 0.66852722241959683
2100-Jan-01 18:00:00, 7766.4578457793186, 1.3427184006470785, 5244.0213126219651, 2.60652981722943, 2522.4365331573536, 0.66868195434023459
2100-Jan-01 19:00:00, 7757.1534799495039, 1.341109798185812, 5234.1338379170202, 2.6016152686227132, 2523.0196420324837, 0.66883653281112554
2100-Jan-01 20:00:00, 7763.6575912339968, 1.3422342734710657, 5240.0554256455625, 2.6045585814087682, 2523.6021655884342, 0.66899095611760806
2100-Jan-01 21:00:00, 7780.8094731813126, 1.3451996082419102, 5256.625374185207, 2.6127946396480026, 2524.1840989961051, 0.66914522297951795
2100-Jan-01 22:00:00, 7804.7472409121592, 1.3493381334023979, 5279.9818019392851, 2.6244039031760584, 2524.7654389728741, 0.66929933252665308
2100-Jan-01 23:00:00, 7834.2594343463679, 1.3544404034403539, 5308.9132507679033, 2.6387842192601925, 2525.3461835784647, 0.66945328424465833
2100-Jan-02 00:00:00, 7870.1242867493329, 1.3606409646503941, 5344.1979547989149, 2.6563224075447409, 2525.926331950418, 0.66960707790490148
2100-Jan-02 01:00:00, 7912.7443357051179, 1.3680094104857774, 5386.2384517254995, 2.6772185485475499, 2526.5058839796179, 0.66976071347845623
2100-Jan-02 02:00:00, 7961.4198172196247, 1.3764247609567006, 5434.3349772666543, 2.7011248258974176, 2527.0848399529705, 0.66991419104137984
