Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 6672.7591016627757, 0.88937302965518505, 3282.8090728022535, 1.2579414628572014, 3389.9500288605227, 0.69280212225811677
2100-Jan-01 01:00:00, 6685.4527858976035, 0.89106489657761023, 3294.6401069006438, 1.2624750034959624, 3390.8126789969597, 0.69297842156642564
2100-Jan-01 02:00:00, 6699.546929232708, 0.89294342250179848, 3307.8719565460701, 1.2675453234354239, 3391.6749726866378, 0.69315464802791704
2100-Jan-01 03:00:00, 6714.9114050382232, 0.89499126361040526, 3322.3744963000427, 1.2731025598353112, 3392.53690873818, 0.69333080139910996
2100-Jan-01 04:00:00, 6731.5849723949877, 0.89721358587460176, 3338.1864868120761, 1.2791615654108053, 3393.3984855829117, 0.69350688135941518
2100-Jan-01 05:00:00, 6749.6484855579456, 0.89962116588508845, 3355.3887844735268, 1.2857533235681806, 3394.2597010844192, 0.69368288747221518
2100-Jan-01 06:00:00, 6768.9117245842126, 0.90218865033833262, 3373.7911721777959, 1.2928049449069183, 3395.1205524064167, 0.69385881915785985
2100-Jan-01 07:00:00, 6789.0415776833652, 0.90487164071226145, 3393.0605418044743, 1.3001887855382068, 3395.9810358788914, 0.69403467566631072
2100-Jan-01 08:00:00, 6808.8234878482617, 0.90750825580770778, 3411.9823409168921, 1.3074394404278153, 3396.8411469313696, 0.69421045606350285
2100-Jan-01 09:00:00, 6825.138004731547, 0.9096827223344901, 3427.4371246246624, 1.3133615677262205, 3397.7008801068841, 0.694386159234199
2100-Jan-01 10:00:00, 6834.6605985169044, 0.91095193315958178, 3436.1003694779511, 1.3166812414148683, 3398.5602290389534, 0.69456178387728496
2100-Jan-01 11:00:00, 6834.1227363116122, 0.91088024465235862, 3434.7035497476159, 1.3161459932734265, 3399.4191865639959, 0.6947373285287437
2100-Jan-01 12:00:00, 6822.9128898242161, 0.90938614978386856, 3422.6351449868953, 1.3115214944364915, 3400.2777448373213, 0.69491279158536057
2100-Jan-01 13:00:00, 6802.7614374034765, 0.90670028056270635, 3401.6255419589611, 1.3034708127852286, 3401.1358954445159, 0.69508817132748646
2100-Jan-01 14:00:00, 6776.6872772309925, 0.90322500826904029, 3374.6936476253263, 1.2931507649834084, 3401.9936296056658, 0.69526346596077571
2100-Jan-01 15:00:00, 6748.5852747652953, 0.89947945673758067, 3345.7343364240623, 1.2820538301669226, 3402.8509383412329, 0.69543867365008527
2100-Jan-01 16:00:00, 6722.1881004765546, 0.89596113178176695, 3318.4802878199835, 1.2716103358882465, 3403.7078126565716, 0.69561379255718447
2100-Jan-01 17:00:00, 6700.5075727547937, 0.89307146105776003, 3295.9433290451316, 1.2629743859256159, 3404.5642437096626, 0.69578882087503513
2100-Jan-01 18:00:00, 6685.3006544406071, 0.8910446198655706, 3279.8804314470908, 1.2568192351221132, 3405.4202229935167, 0.69596375686506873
2100-Jan-01 19:00:00, 6676.8744655226383, 0.88992154243204635, 3270.5987230571404, 1.2532625720415214, 3406.2757424654974, 0.69613859888361629
2100-Jan-01 20:00:00, 6674.2914234720502, 0.88957726386612512, 3267.1606288551279, 1.2519451267822914, 3407.1307946169218, 0.69631334539613265
2100-Jan-01 21:00:00, 6676.1593142824695, 0.88982622410638224, 3268.1739417040599, 1.2523334187052295, 3407.9853725784096, 0.6964879949987266
2100-Jan-01 22:00:00, 6681.1680686237823, 0.89049381167480224, 3272.3285985184539, 1.2539254439966387, 3408.8394701053285, 0.69666254641518621
2100-Jan-01 23:00:00, 6688.562550869261, 0.89147937896071761, 3278.8694693088319, 1.2564318439693256, 3409.6930815604296, 0.69683699849343017
2100-Jan-02 00:00:00, 6698.2041929310271, 0.89276445703422203, 3287.6579910893674, 1.2597995225944862, 3410.5462018416597, 0.69701135019075477
2100-Jan-02 01:00:00, 6710.1499407480114, 0.89435663588642134, 3298.7511144355522, 1.2640503027953107, 3411.3988263124588, 0.69718560055958911
2100-Jan-02 02:00:00, 6724.3173545229884, 0.89624492759895902, 3312.0664038806931, 1.2691525960787546, 3412.2509506422953, 0.6973597487149048
2100-Jan-02 03:00:00, 6740.6049374908525, 0.89841580426169965, 3327.5023667829264, 1.2750675114220553, 3413.1025707079266, 0.69753379381403724
2100-Jan-02 04:00:00, 6758.8264007576454, 0.90084443651762802, 3344.8727183245833, 1.2817236662407099, 3413.9536824330621, 0.69770773502391725
2100-Jan-02 05:00:00, 6778.7383999897938, 0.90349839042391766, 3363.9341183317924, 1.2890278148760452, 3414.8042816580009, 0.69788157149442909
2100-Jan-02 06:00:00, 6800.2558198524375, 0.90636632145545049, 3384.6014558203346, 1.2969473436019445, 3415.6543640321029, 0.69805530233643509
2100-Jan-02 07:00:00, 6823.0008857101084, 0.90939787824078433, 3406.4969607754583, 1.3053374945130769, 3416.5039249346501, 0.69822892660560165
2100-Jan-02 08:00:00, 6845.4928810039692, 0.91239570473095477, 3428.139921644578, 1.3136308729132473, 3417.3529593593917, 0.6984024432788043
2100-Jan-02 09:00:00, 6864.8616136816581, 0.91497724981593254, 3446.6601517463409, 1.3207276503468421, 3418.2014619353172, 0.69857585125837274
2100-Jan-02 10:00:00, 6878.0977332102884, 0.91674141476579896, 3459.0483063216602, 1.3254746742958396, 3419.0494268886287, 0.6987491493643192
