Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 11079.792478409119, 1.4767607303578407, 8031.6845823940394, 3.0776657517154926, 3048.1078960150808, 0.62294004373297418
2100-Jan-01 01:00:00, 11134.988356938518, 1.4841174661494774, 8086.2401724695274, 3.0985709390915028, 3048.748184468991, 0.62307089911312719
2100-Jan-01 02:00:00, 11195.168395919918, 1.4921385115338848, 8145.7806472238908, 3.1213862872432556, 3049.3877486960278, 0.62320160648345391
2100-Jan-01 03:00:00, 11259.952537090665, 1.5007732107683107, 8209.9259525259349, 3.1459661630135498, 3050.02658456473, 0.62333216499961008
2100-Jan-01 04:00:00, 11329.598456661919, 1.5100559080077138, 8278.9337695330141, 3.1724093073906205, 3050.6646871289045, 0.62346257365074498
2100-Jan-01 05:00:00, 11404.337564543795, 1.5200174465254264, 8353.0355141001328, 3.2008043967466584, 3051.3020504436618, 0.62359283122190501
2100-Jan-01 06:00:00, 11482.42587625848, 1.5304253808314978, 8430.4872087852091, 3.2304831553805702, 3051.9386674732714, 0.62372293627520203
2100-Jan-01 07:00:00, 11562.039036781798, 1.541036553315966, 8509.4645067709553, 3.260746510804982, 3052.5745300108424, 0.62385288713339859
2100-Jan-01 08:00:00, 11634.962290828265, 1.5507560672974403, 8581.7526621184097, 3.2884466498835558, 3053.2096287098561, 0.62398268188635186
2100-Jan-01 09:00:00, 11683.239921119755, 1.5571907102483924, 8629.3959679624222, 3.3067031151605968, 3053.8439531573322, 0.62411231840596726
2100-Jan-01 10:00:00, 11694.822934653354, 1.5587345423697028, 8640.3454426283806, 3.3108988505425074, 3054.4774920249729, 0.62424179437708716
2100-Jan-01 11:00:00, 11658.229635645686, 1.5538572355903502, 8603.11940239662, 3.2966341831594761, 3055.1102332490655, 0.62437110733425749
2100-Jan-01 12:00:00, 11580.069179301399, 1.5434396855485948, 8524.3270150628941, 3.2664416837522561, 3055.7421642385057, 0.62450025470424153
2100-Jan-01 13:00:00, 11473.701441912464, 1.5292625520093979, 8417.3281697601378, 3.2254407357838488, 3056.3732721523261, 0.62462923386273839
2100-Jan-01 14:00:00, 11354.033670767894, 1.5133127347668709, 8297.0301266630249, 3.1793436607007508, 3057.0035441048699, 0.6247580421763137
2100-Jan-01 15:00:00, 11238.541856389258, 1.4979195063752291, 8180.9088889395607, 3.134847098027993, 3057.6329674496978, 0.624886677060422
2100-Jan-01 16:00:00, 11140.837164671389, 1.4848970195207294, 8082.5756346921535, 3.0971667227907265, 3058.2615299792369, 0.62501513602020886
2100-Jan-01 17:00:00, 11070.398365175824, 1.4755086439540115, 8011.509145039905, 3.06993471447994, 3058.8892201359204, 0.6251434166936608
2100-Jan-01 18:00:00, 11030.313299284569, 1.4701659399911562, 7970.797272124244, 3.0543343089018395, 3059.5160271603258, 0.6252715168818811
2100-Jan-01 19:00:00, 11017.568726667552, 1.4684672904539307, 7957.4267854656673, 3.049210864567002, 3060.141941201884, 0.62539943457171454
2100-Jan-01 20:00:00, 11024.968018508393, 1.4694534987826788, 7964.2010651577666, 3.0518067046285773, 3060.7669533506255, 0.62552716794223584
2100-Jan-01 21:00:00, 11045.944543885151, 1.4722493371520451, 7984.5534882629072, 3.0596055611340258, 3061.3910556222436, 0.62565471536169692
2100-Jan-01 22:00:00, 11075.585939017386, 1.4762000653276499, 8013.5716980898032, 3.0707250653481357, 3062.0142409275836, 0.62578207538129127
2100-Jan-01 23:00:00, 11112.359314026726, 1.481101373383946, 8049.7228111366576, 3.0845778307760248, 3062.6365028900673, 0.62590924669784143
2100-Jan-02 00:00:00, 11157.266109187472, 1.4870867374373653, 8094.0082734688458, 3.1015476021011379, 3063.2578357186271, 0.62603622812783011
2100-Jan-02 01:00:00, 11210.824931634868, 1.4942252795994724, 8146.9466976163503, 3.1218331067517697, 3063.8782340185176, 0.62616301856873635
2100-Jan-02 02:00:00, 11272.146159039812, 1.5023984273136946, 8207.6484664923501, 3.1450934518539335, 3064.4976925474621, 0.62628961694919916
2100-Jan-02 03:00:00, 11340.608851595814, 1.5115234191452909, 8275.4926455216992, 3.1710907011370524, 3065.1162060741144, 0.6264160222000914
2100-Jan-02 04:00:00, 11415.245544778201, 1.5214713074067632, 8349.5117756403251, 3.1994541334159088, 3065.7337691378762, 0.62654223320543356
2100-Jan-02 05:00:00, 11494.793850160722, 1.5320738357288719, 8428.4434742188059, 3.2297000155776945, 3066.3503759419159, 0.62666824878053073
2100-Jan-02 06:00:00, 11579.343074482749, 1.5433429072845257, 8512.3770542664333, 3.2618625715248872, 3066.9660202163163, 0.62679406764400347
2100-Jan-02 07:00:00, 11666.466674306546, 1.5549551022925019, 8598.8859791300893, 3.2950119753067826, 3067.5806951764575, 0.62691968840928303
2100-Jan-02 08:00:00, 11748.340551175515, 1.5658675924350616, 8680.1461576810943, 3.3261501090244501, 3068.1943934944211, 0.6270451095787668
2100-Jan-02 09:00:00, 11808.867807048156, 1.5739349163279248, 8740.0606997207597, 3.3491087962305444, 3068.8071073273973, 0.62717032954962448
2100-Jan-02 10:00:00, 11835.749693121958, 1.577517845682342, 8766.3308647180438, 3.3591752755941995, 3069.4188284039146, 0.62729534663142017
2100-Jan-02 11:00:00, 11812.863025441278, 1.5744674156182918, 8742.8334773051884, 3.3501712984392875, 3070.0295481360899, 0.62742015906905313
2100-Jan-02 12:00:00, 11750.082967367514, 1.5660998288973689, 8679.4437096237616, 3.3258809375565925, 3070.6392577437537, 0.62754476506812518
2100-Jan-02 13:00:00, 11658.262682771267, 1.553861640248416, 8587.0147343385233, 3.2904630263097912, 3071.2479484327423, 0.6276691628313783
2100-Jan-02 14:00:00, 11518.676599209339, 1.5352570276520705, 8446.8209876551155, 3.236742105331643, 3071.8556115542228, 0.62779335059125541
2100-Jan-02 15:00:00, 11357.241294547797, 1.5137402601781234, 8284.7790557696389, 3.1746491659252634, 3072.4622387781583, 0.62791732664535183
2100-Jan-02 16:00:00, 11213.092364194195, 1.4945274924223997, 8140.0245419524335, 3.1191806020130279, 3073.0678222417623, 0.62804108938675429
2100-Jan-02 17:00:00, 11107.619121968417, 1.4804695809113249, 8033.9467672378923, 3.0785325996035731, 3073.6723547305251, 0.62816463734103778
2100-Jan-02 18:00:00, 11044.581479512821, 1.472067662274837, 7970.3056497879652, 3.0541459238611148, 3074.2758297248552, 0.62828796917579699
2100-Jan-02 19:00:00, 11019.64140458009, 1.4687435455691669, 7944.7631630341684, 3.0443582839346006, 3074.8782415459223, 0.62841108373045285
2100-Jan-02 20:00:00, 11024.45500832267, 1.469385122655777, 7948.9754230092321, 3.0459723822136833, 3075.4795853134369, 0.62853398000762328
2100-Jan-02 21:00:00, 11051.145948781341, 1.472942601986053, 7975.0660918191552, 3.0559700803319174, 3076.0798569621857, 0.6286566571765031
