Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 11751.625656787866, 1.5720011215236893, 6808.6317785816136, 2.6090034569978515, 4942.9938782062536, 1.0158403820361257
2100-Jan-01 01:00:00, 11851.836746868539, 1.5854062410021963, 6907.6840745677782, 2.6469593622451337, 4944.1526723007619, 1.0160785271491224
2100-Jan-01 02:00:00, 11962.749216877211, 1.6002428714682022, 7017.4436081914764, 2.6890181799305801, 4945.3056086857341, 1.0163154684374653
2100-Jan-01 03:00:00, 12083.098322602564, 1.6163418295783381, 7136.6455770305984, 2.7346952496996559, 4946.4527455719663, 1.0165512178641225
2100-Jan-01 04:00:00, 12207.181992313479, 1.6329403559137703, 7259.5878598876134, 2.781805572509914, 4947.5941324258647, 1.0167857855949927
2100-Jan-01 05:00:00, 12335.330552314448, 1.6500826378351494, 7386.6007455930057, 2.830475711924866, 4948.7298067214433, 1.0170191793314032
2100-Jan-01 06:00:00, 12463.629370855309, 1.667245019664416, 7513.7695794071969, 2.8792056091837144, 4949.8597914481124, 1.0172514037979346
2100-Jan-01 07:00:00, 12585.935063146862, 1.6836057080547917, 7634.950969466001, 2.9256411744880091, 4950.9840936808623, 1.0174824604485764
2100-Jan-01 08:00:00, 12681.680476136869, 1.6964134591691324, 7729.5777720180376, 2.9619012724065881, 4952.1027041188308, 1.0177123473718974
2100-Jan-01 09:00:00, 12723.233056690726, 1.7019718989238175, 7770.0174590763354, 2.977397378932265, 4953.2155976143913, 1.01794105939978
2100-Jan-01 10:00:00, 12696.132836694014, 1.698346734417002, 7741.8101021164812, 2.9665885858862762, 4954.3227345775322, 1.018168588396035
2100-Jan-01 11:00:00, 12589.992347504154, 1.6841484462040723, 7634.5682842289234, 2.9254945331158591, 4955.4240632752308, 1.0183949237289494
2100-Jan-01 12:00:00, 12420.505518473121, 1.6614763927281022, 7463.9859957550261, 2.8601290096444578, 4956.5195227180939, 1.0186200528645224
2100-Jan-01 13:00:00, 12210.637012284955, 1.6334025298655852, 7253.0279662514458, 2.779291883162204, 4957.6090460335081, 1.0188439620596859
2100-Jan-01 14:00:00, 11986.515401351216, 1.6034220459704036, 7027.8228372062549, 2.6929954025593195, 4958.6925641449616, 1.0190666371184463
2100-Jan-01 15:00:00, 11781.286163208497, 1.5759687725295959, 6821.5161536985815, 2.6139406279764867, 4959.7700095099153, 1.0192880641600583
2100-Jan-01 16:00:00, 11621.604295487703, 1.5546083171785448, 6660.7629757763234, 2.552341526929208, 4960.8413197113796, 1.0195082303571343
2100-Jan-01 17:00:00, 11526.932383240073, 1.5419441669940037, 6565.025942610172, 2.5156559991145078, 4961.9064406299012, 1.019727124587523
2100-Jan-01 18:00:00, 11498.462718853625, 1.538135813524282, 6535.4973897824193, 2.5043409362776394, 4962.9653290712049, 1.0199447379743189
2100-Jan-01 19:00:00, 11523.632092469088, 1.5415026909850784, 6559.6141378637312, 2.5135822465969349, 4964.017954605356, 1.0201610642638308
2100-Jan-01 20:00:00, 11582.069372291036, 1.5493197770718732, 6617.0050718078628, 2.5355739109914759, 4965.0643004831727, 1.0203761000139153
2100-Jan-01 21:00:00, 11658.630216419546, 1.5595612310076781, 6692.5258527942397, 2.5645127617145329, 4966.1043636253062, 1.0205898445917319
2100-Jan-01 22:00:00, 11742.62596203469, 1.5707972429575616, 6775.4878083498943, 2.5963030003238377, 4967.1381536847957, 1.0208022999810875
2100-Jan-01 23:00:00, 11830.57741029572, 1.5825624045908468, 6862.4117190191719, 2.6296114227509881, 4968.1656912765484, 1.0210134704185758
2100-Jan-02 00:00:00, 11926.506446987754, 1.5953947188315121, 6957.319441456345, 2.6659791665190262, 4969.1870055314103, 1.0212233618909103
2100-Jan-02 01:00:00, 12032.703298747881, 1.6096005465990753, 7062.5011675020469, 2.7062838115329479, 4970.2021312458337, 1.0214319815491506
2100-Jan-02 02:00:00, 12145.916912403376, 1.6247449983401319, 7174.7058065535748, 2.749279570548369, 4971.2111058498003, 1.021639337085575
2100-Jan-02 03:00:00, 12262.000556901023, 1.6402733707262496, 7289.7865905123181, 2.7933774411553371, 4972.2139663887046, 1.0218454361134255
2100-Jan-02 04:00:00, 12381.073615803485, 1.6562016335559806, 7407.862868951941, 2.838623156984398, 4973.2107468515451, 1.0220502856178206
2100-Jan-02 05:00:00, 12498.821990328666, 1.6719526949169474, 7524.6205143467532, 2.8833635850722059, 4974.201475981914, 1.0222538915058887
2100-Jan-02 06:00:00, 12616.942420662848, 1.6877535257452285, 7641.7562450112109, 2.9282488918680456, 4975.1861756516373, 1.0224562582725347
2100-Jan-02 07:00:00, 12732.395853850068, 1.7031975955066949, 7756.2309937979162, 2.9721145355151299, 4976.1648600521521, 1.0226573888342565
2100-Jan-02 08:00:00, 12823.954157343098, 1.7154452419157442, 7846.8166217878106, 3.006826093470639, 4977.1375355552873, 1.0228572845005366
