Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 6874.9020034207388, 1.1682201845013562, 2210.8922086359457, 1.064441651678822, 4664.0097947847926, 1.2248269739542372
2100-Jan-01 01:00:00, 6896.8843140888148, 1.1719555365124319, 2231.6162322625601, 1.0744193040728998, 4665.2680818262543, 1.2251574157794414
2100-Jan-01 02:00:00, 6921.0874619040169, 1.1760682650709076, 2254.5670759142349, 1.0854690666206106, 4666.520385989782, 1.225486286426497
2100-Jan-01 03:00:00, 6947.5158107836642, 1.1805591117169958, 2279.749085320047, 1.0975930315881528, 4667.7667254636171, 1.2258135906718619
2100-Jan-01 04:00:00, 6975.5262750434185, 1.1853187998855279, 2306.5191565149007, 1.1104815743614753, 4669.0071185285178, 1.2261393333162911
2100-Jan-01 05:00:00, 7004.8493237519006, 1.1903015294364829, 2334.6077427015225, 1.1240049207087208, 4670.241581050378, 1.226463518526365
2100-Jan-01 06:00:00, 7034.8836205214448, 1.1954051180688776, 2363.4134963323991, 1.1378735497865813, 4671.4701241890452, 1.2267861492327989
2100-Jan-01 07:00:00, 7064.5801414899815, 1.2004513100273448, 2391.887388958367, 1.151582403243173, 4672.6927525316141, 1.2271072266402208
2100-Jan-01 08:00:00, 7090.8635521202659, 1.2049175279895148, 2416.9540894125566, 1.1636508523196922, 4673.9094627077093, 1.2274267498635281
2100-Jan-01 09:00:00, 7108.6701085224377, 1.2079433134618209, 2433.5498660091421, 1.1716409459942549, 4675.120242513296, 1.2277447156977892
2100-Jan-01 10:00:00, 7113.6076197357252, 1.208782321822623, 2437.2825490560263, 1.1734380590747113, 4676.3250706796989, 1.228061118557586
2100-Jan-01 11:00:00, 7102.3232126118592, 1.2068648149016994, 2424.7992954761712, 1.1674279537394248, 4677.523917135688, 1.2283759505458394
2100-Jan-01 12:00:00, 7075.2738743232694, 1.2022684464079503, 2396.5571304509726, 1.1538306663325657, 4678.7167438722963, 1.2286892016809217
