Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 12984.075061496849, 2.2447757841020346, 10676.904384837904, 5.3069329767603577, 2307.1706766589455, 0.61161633872060039
2100-Jan-01 01:00:00, 13471.660507348997, 2.3290728939343088, 11164.033480689004, 5.5490594742480379, 2307.6270266599927, 0.61173731421653543
2100-Jan-01 02:00:00, 13996.25948435544, 2.4197691564228752, 11688.176723310422, 5.8095837759139597, 2308.0827610450169, 0.61185812651656057
2100-Jan-01 03:00:00, 14549.968953373429, 2.5154982400574459, 12241.431072152021, 6.0845776919944523, 2308.5378812214071, 0.6119787759937656
2100-Jan-01 04:00:00, 15093.8430765955, 2.609526921779183, 12784.850691237205, 6.3546832762344954, 2308.992385358295, 0.61209926216279897
2100-Jan-01 05:00:00, 15633.162895404101, 2.7027682241756801, 13323.716626996758, 6.6225254617088023, 2309.4462684073419, 0.61221958368537799
2100-Jan-01 06:00:00, 16150.27233143858, 2.7921696435484851, 13840.372809158209, 6.8793283356441899, 2309.8995222803719, 0.61233973841737865
2100-Jan-01 07:00:00, 16613.535068762259, 2.8722616770199192, 14303.182932500633, 7.109367138748234, 2310.3521362616257, 0.61245972351812072
2100-Jan-01 08:00:00, 16914.530718388298, 2.9242998655085413, 14603.726620867281, 7.2587517499858452, 2310.8040975210156, 0.61257953558642941
2100-Jan-01 09:00:00, 16926.150352506098, 2.9263087474014928, 14614.894960786038, 7.2643029499661207, 2311.2553917200621, 0.61269917082126446
2100-Jan-01 10:00:00, 16611.842710950514, 2.8719690906157394, 14300.136707221829, 7.1078530188494291, 2311.7060037286865, 0.6128186252117378
2100-Jan-01 11:00:00, 15952.727822758585, 2.7580167965211153, 13640.571904422915, 6.7800177141468163, 2312.155918335669, 0.61293789472545146
2100-Jan-01 12:00:00, 15065.899914696123, 2.6046959166543764, 12753.29479376183, 6.3389984834436977, 2312.6051209342936, 0.61305697549025751
2100-Jan-01 13:00:00, 14082.651849618915, 2.4347052599617274, 11769.598251385329, 5.8500541760209943, 2313.0535982335855, 0.61317586398280266
2100-Jan-01 14:00:00, 13129.104837676643, 2.2698495246650077, 10815.603498915272, 5.3758730811027648, 2313.5013387613712, 0.61329455716188619
2100-Jan-01 15:00:00, 12348.646600737966, 2.1349185617365678, 10034.698267380611, 4.9877257702735038, 2313.9483333573553, 0.613413052599172
2100-Jan-01 16:00:00, 11829.871085241277, 2.0452290991405491, 9515.4765097950913, 4.7296476824435647, 2314.3945754461847, 0.61353134855157554
2100-Jan-01 17:00:00, 11623.376146197199, 2.0095288404382297, 9308.5360850408179, 4.6267883774644156, 2314.8400611563816, 0.61364944399279253
