Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 16613.4901810995, 2.2143149288619188, 13622.601740036413, 5.2200524553060745, 2990.8884410630876, 0.61124613689431828
2100-Jan-01 01:00:00, 17236.26652590499, 2.2973211450520434, 14244.788265595738, 5.4584684614687591, 2991.4782603092499, 0.61136667791174071
2100-Jan-01 02:00:00, 17906.342099269721, 2.3866315987491991, 14914.274809257533, 5.7150093882849005, 2992.0672900121863, 0.61148705757067168
2100-Jan-01 03:00:00, 18613.623295838708, 2.4809009723361992, 15620.967763921102, 5.9858074607483482, 2992.6555319176055, 0.6116072762278808
2100-Jan-01 04:00:00, 19308.345185409893, 2.5734963893566838, 16315.102201803618, 6.2517932280729571, 2993.2429836062747, 0.6117273333889508
2100-Jan-01 05:00:00, 19997.249514454594, 2.6653164177632811, 17003.419875897816, 6.515550066396, 2993.8296385567787, 0.61184722772110389
2100-Jan-01 06:00:00, 20657.786698681994, 2.7533555553652724, 17663.371212305901, 6.7684371917587605, 2994.4154863760928, 0.61196695710032345
2100-Jan-01 07:00:00, 21249.540733907939, 2.8322269893705005, 18254.540220606093, 6.9949675779630942, 2995.0005133018444, 0.61208651871400166
2100-Jan-01 08:00:00, 21634.022765786907, 2.883472350446846, 18638.438062930207, 7.1420736090027521, 2995.5847028567018, 0.61220590919467555
2100-Jan-01 09:00:00, 21648.888821551525, 2.8854537600636125, 18652.720784879948, 7.1475466132940744, 2996.1680366715764, 0.61232512478826528
2100-Jan-01 10:00:00, 21247.464645202672, 2.8319502796506519, 18250.714149869327, 6.9935014637563686, 2996.750495333345, 0.61244416152732206
2100-Jan-01 11:00:00, 20405.64400174109, 2.7197489301496431, 17408.311942410477, 6.6707008860607697, 2997.3320593306139, 0.61256301542431357
2100-Jan-01 12:00:00, 19272.98063460119, 2.5687828552374476, 16275.067924639347, 6.2364524707935622, 2997.9127099618431, 0.61268168265721712
2100-Jan-01 13:00:00, 18017.160731976328, 2.4014019660906425, 15018.668301822319, 5.7550119896660474, 2998.49243015401, 0.61280015973682889
2100-Jan-01 14:00:00, 16799.266630911527, 2.2390759851941842, 13800.195425700236, 5.2881046800269758, 2999.0712052112913, 0.61291844365977188
2100-Jan-01 15:00:00, 15802.435258765707, 2.1062141623719359, 12802.786235403748, 4.9059068890242337, 2999.6490233619588, 0.61303653202026509
2100-Jan-01 16:00:00, 15139.824342065967, 2.017898629098601, 12139.598465917183, 4.6517795930420753, 3000.2258761487856, 0.61315442308990964
2100-Jan-01 17:00:00, 14876.062848243764, 1.982743402408554, 11875.261089661293, 4.5504880045272049, 3000.8017585824705, 0.61327211584904517
2100-Jan-01 18:00:00, 14981.273593449017, 1.9967663272271885, 11979.896924411652, 4.5905834691473251, 3001.3766690373654, 0.61338960996543879
2100-Jan-01 19:00:00, 15362.15238093683, 2.0475314329351133, 12360.20177199825, 4.7363126985040598, 3001.9506089385795, 0.61350690573033928
2100-Jan-01 20:00:00, 15889.699679146492, 2.1178451265282505, 12887.176096923165, 4.9382442877263264, 3002.5235822233262, 0.61362400394839278
2100-Jan-01 21:00:00, 16476.734894166519, 2.1960876165900518, 13473.639299526871, 5.1629714535878124, 3003.0955946396498, 0.6137409057943235
2100-Jan-01 22:00:00, 17062.661482614676, 2.274182344300784, 14058.994829654059, 5.3872741698073687, 3003.6666529606159, 0.61385761265233918
2100-Jan-01 23:00:00, 17627.548352968828, 2.3494728110545018, 14623.311588828103, 5.603515027501925, 3004.236764140725, 0.61397412594372702
2100-Jan-02 00:00:00, 18203.112242106374, 2.4261863551887148, 15198.306307614199, 5.8238475785715247, 3004.8059344921762, 0.61409044695850734
2100-Jan-02 01:00:00, 18807.23549034122, 2.5067064092445959, 15801.861321303229, 6.0551241651768741, 3005.3741690379884, 0.61420657672323176
2100-Jan-02 02:00:00, 19418.272562930884, 2.5881479665076603, 16412.331091983808, 6.289050421419522, 3005.9414709470757, 0.61432251588552933
2100-Jan-02 03:00:00, 20009.180002303649, 2.6669065627036157, 17002.672161136183, 6.5152635491541533, 3006.5078411674658, 0.61443826463914797
2100-Jan-02 04:00:00, 20590.707869491402, 2.7444150105870122, 17583.634591153419, 6.7378828708611938, 3007.0732783379822, 0.61455382270590486
2100-Jan-02 05:00:00, 21133.362700052479, 2.8167422987987001, 18125.724921265217, 6.9456067706490918, 3007.6377787872621, 0.61466918933548553
2100-Jan-02 06:00:00, 21656.951066978683, 2.8865283295980633, 18648.749730149946, 7.1460249425890892, 3008.201336828738, 0.61478436336572972
2100-Jan-02 07:00:00, 22145.804784000393, 2.9516847820852292, 19137.040838876339, 7.3331334883465544, 3008.7639451240543, 0.61489934329690177
2100-Jan-02 08:00:00, 22457.547646936968, 2.9932351648068525, 19448.222051680012, 7.4523751930472741, 3009.3255952569543, 0.61501412740897632
2100-Jan-02 09:00:00, 22457.556552761238, 2.9932363518120764, 19447.670274456839, 7.452163757221463, 3009.8862783043978, 0.61512871387835666
2100-Jan-02 10:00:00, 22094.049243483114, 2.9447865888236406, 19083.603257968825, 7.3126567115351122, 3010.4459855142877, 0.6152431009163819
2100-Jan-02 11:00:00, 21292.039506548655, 2.8378914021874837, 18281.034797558601, 7.0051200498706274, 3011.0047089900554, 0.61535728690923486
2100-Jan-02 12:00:00, 20234.673823297773, 2.6969613151217109, 17223.111381018549, 6.5997337783329755, 3011.5624422792243, 0.61547127053822659
2100-Jan-02 13:00:00, 19043.213126917224, 2.5381584881185617, 16031.093945940069, 6.1429639440903987, 3012.1191809771572, 0.61558505090318394
2100-Jan-02 14:00:00, 17661.778813371835, 2.3540351888972038, 14649.103890198025, 5.6133983940322967, 3012.6749231738104, 0.61569862761375249
2100-Jan-02 15:00:00, 16329.859230065551, 2.1765114184426402, 13316.629560285122, 5.1028068029229487, 3013.2296697804295, 0.61581200085616294
2100-Jan-02 16:00:00, 15374.72827965322, 2.0492076009147495, 12360.944854958527, 4.7365974408833287, 3013.7834246946936, 0.61592517142698167
2100-Jan-02 17:00:00, 14909.126741574528, 1.9871502953498037, 11894.790546785185, 4.5579715082334573, 3014.3361947893432, 0.61603814073078667
2100-Jan-02 18:00:00, 14880.762516969891, 1.9833697937632622, 11865.874527310607, 4.5468911623981736, 3014.8879896592853, 0.61615091072848349
2100-Jan-02 19:00:00, 15207.822788826858, 2.0269617443236823, 12192.383967632451, 4.6720064992595223, 3015.438821194406, 0.61626348385000129
2100-Jan-02 20:00:00, 15762.163260633926, 2.1008465433041645, 12746.174557674172, 4.8842138282587007, 3015.988702959753, 0.61637586286762114
2100-Jan-02 21:00:00, 16435.163572528145, 2.1905468182922267, 13418.625923108286, 5.1418908468044169, 3016.5376494198581, 0.61648805073745072
2100-Jan-02 22:00:00, 17138.616193299702, 2.2843059034056963, 14121.53051821083, 5.4112372556278716, 3017.0856750888734, 0.61660005042573918
2100-Jan-02 23:00:00, 17752.000105917996, 2.3660602572487934, 14734.367312267656, 5.6460705328950445, 3017.632793650339, 0.61671186472898354
2100-Jan-03 00:00:00, 18288.355430683179, 2.4375479211806792, 15270.176413576903, 5.8513875250702263, 3018.1790171062762, 0.61682349610002996
2100-Jan-03 01:00:00, 18793.155899697973, 2.5048298229635821, 15774.431544659263, 6.0446133335713359, 3018.7243550387084, 0.61693494649715097
2100-Jan-03 02:00:00, 19309.072808311019, 2.5735933699570865, 16289.80399421057, 6.2420991936160277, 3019.2688141004501, 0.61704621727997844
2100-Jan-03 03:00:00, 19825.135236239872, 2.6423763123690076, 16805.322838602726, 6.4396411507824736, 3019.8123976371448, 0.61715730913225952
2100-Jan-03 04:00:00, 20312.271259201771, 2.7073038234622588, 17291.916153615148, 6.6260991180077076, 3020.3551055866242, 0.61726822204128906
2100-Jan-03 05:00:00, 20761.097038171083, 2.7671251862220525, 17740.200103588657, 6.7978772980051554, 3020.8969345824253, 0.61737895531906495
2100-Jan-03 06:00:00, 21128.575440722419, 2.8161042330047379, 18107.137562414784, 6.9384842701123768, 3021.4378783076345, 0.61748950767460309
2100-Jan-03 07:00:00, 21491.90995488839, 2.8645309651434063, 18469.932026950424, 7.0775036858973133, 3021.9779279379641, 0.61759987730448895
2100-Jan-03 08:00:00, 21782.473324166771, 2.9032584570406539, 18759.956251360403, 7.1886382322652169, 3022.5170728063672, 0.61771006202870449
2100-Jan-03 09:00:00, 21868.983573545953, 2.9147889021555415, 18845.928272435027, 7.2215818995809293, 3023.0553011109268, 0.61782005943529861
2100-Jan-03 10:00:00, 21654.879379867543, 2.8862522065409499, 18631.286779229318, 7.1393333045621024, 3023.5926006382265, 0.6179298670282225
2100-Jan-03 11:00:00, 21120.834900932703, 2.8150725417329472, 18096.70594139949, 6.9344869713633672, 3024.1289595332123, 0.61803948238466566
2100-Jan-03 12:00:00, 20286.812731867696, 2.7039106052685997, 17262.148364860837, 6.614692382221012, 3024.6643670068584, 0.6181489032996812
2100-Jan-03 13:00:00, 19224.554321489177, 2.5623283952230391, 16199.355507544249, 6.2074401869217617, 3025.1988139449263, 0.61825812791059742
2100-Jan-03 14:00:00, 18048.829388145292, 2.405622896031764, 15023.097094678007, 5.7567090613019616, 3025.7322934672852, 0.61836715481132609
2100-Jan-03 15:00:00, 16923.611720737106, 2.2556492148846377, 13897.34691945263, 5.325332215792657, 3026.2648012844747, 0.61847598312523244
2100-Jan-03 16:00:00, 16013.402459394885, 2.1343327465322259, 12986.606123445645, 4.9763449357511744, 3026.7963359492405, 0.61858461255654218
2100-Jan-03 17:00:00, 15469.154973241642, 2.061793182572587, 12441.828074342888, 4.7675911274050096, 3027.3268988987556, 0.61869304339896947
2100-Jan-03 18:00:00, 15328.411353480413, 2.0430342887470196, 12300.554859145228, 4.7134565642771618, 3027.8564943351853, 0.61880127651130823
