Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 9011.2006566139698, 1.8593539771142029, 1171.5250444130129, 1.128069517262869, 7839.6756122009565, 2.0587963103362217
2100-Jan-01 01:00:00, 9029.9832094033281, 1.8632295332759248, 1192.6137005564374, 1.1483759292076132, 7837.3695088468912, 2.058190698916635
2100-Jan-01 02:00:00, 9050.892172172651, 1.8675438488220932, 1216.0336372187915, 1.1709271471871365, 7834.8585349538589, 2.057531285945736
2100-Jan-01 03:00:00, 9073.9324977577598, 1.8722979457114166, 1241.7903508303152, 1.1957284637518948, 7832.1421469274446, 2.0568179286688713
2100-Jan-01 04:00:00, 9098.4364521472362, 1.877354044980015, 1269.2063094123707, 1.2221274787029188, 7829.2301427348657, 2.0560532001540799
2100-Jan-01 05:00:00, 9124.1241696598117, 1.8826543996763603, 1297.983091289703, 1.2498368397580264, 7826.1410783701094, 2.055241973436146
2100-Jan-01 06:00:00, 9150.404870770908, 1.8880771094787883, 1327.5042651074182, 1.2782629809288018, 7822.9006056634889, 2.0543909850047175
2100-Jan-01 07:00:00, 9176.2423146034071, 1.8934083584187573, 1356.7024371726363, 1.3063781014920774, 7819.5398774307714, 2.0535084159766326
2100-Jan-01 08:00:00, 9198.5628761138596, 1.8980139405600696, 1382.4687911343258, 1.3311887008162693, 7816.0940849795343, 2.0526035080269018
2100-Jan-01 09:00:00, 9212.313959570587, 1.9008513129246642, 1399.7128494601495, 1.3477931230981772, 7812.6011101104368, 2.0516862093874781
2100-Jan-01 10:00:00, 9213.1413383296094, 1.9010220326816414, 1404.0411696222727, 1.3519608923312216, 7809.1001687073367, 2.050766818637153
2100-Jan-01 11:00:00, 9197.737826177794, 1.897843701327985, 1392.1076278643218, 1.340470002952179, 7805.6301983134726, 2.0498555612590104
2100-Jan-01 12:00:00, 9166.6075089091155, 1.8914203309661386, 1364.3797532323076, 1.3137706418928226, 7802.2277556768086, 2.0489620375096869
2100-Jan-01 13:00:00, 9123.0771006421764, 1.8824383494499317, 1324.1527096252473, 1.2750357451194756, 7798.9243910169289, 2.0480945328692051
2100-Jan-01 14:00:00, 9072.1629261077615, 1.8719328156681967, 1276.4191587441464, 1.2290727808990514, 7795.743767363615, 2.0472592615434606
2100-Jan-01 15:00:00, 9020.423865575387, 1.8612570764810537, 1227.7248122882872, 1.1821846600160577, 7792.6990532871005, 2.0464596817627614
2100-Jan-01 16:00:00, 8974.3766998871251, 1.8517557920329635, 1184.5855350578065, 1.1406455534706741, 7789.7911648293193, 2.0456960340911112
2100-Jan-01 17:00:00, 8939.5367564317803, 1.8445669844706125, 1152.5284490652034, 1.1097775650371453, 7787.0083073665764, 2.0449652211136495
2100-Jan-01 18:00:00, 8918.5776904662507, 1.8402423307263853, 1134.2506448708939, 1.0921777417534435, 7784.327045595357, 2.0442610884282306
2100-Jan-01 19:00:00, 8910.9736743625781, 1.8386733325292333, 1129.2588351052812, 1.0873710938209751, 7781.7148392572972, 2.0435750905583361
2100-Jan-01 20:00:00, 8913.6640809768214, 1.8392284659047813, 1134.530395570873, 1.0924471156252051, 7779.1336854059482, 2.0428972474576219
2100-Jan-01 21:00:00, 8923.1489763136415, 1.8411855611398191, 1146.6047054973856, 1.1040735516412683, 7776.5442708162564, 2.042217234984288
2100-Jan-01 22:00:00, 8936.4665192258253, 1.8439334775743492, 1162.5565755691273, 1.1194337169719939, 7773.9099436566985, 2.0415254279115724
2100-Jan-01 23:00:00, 8951.9240512267479, 1.8471229552807624, 1180.724131681505, 1.1369273816198586, 7771.1999195452436, 2.0408137418779178
2100-Jan-02 00:00:00, 8969.3710786784686, 1.8507229416884967, 1200.9796794478718, 1.1564315877823048, 7768.391399230597, 2.0400761895164017
2100-Jan-02 01:00:00, 8989.1311453904418, 1.8548001962108431, 1223.6605715368471, 1.1782711746626018, 7765.4705738535949, 2.0393091444488802
2100-Jan-02 02:00:00, 9010.9585394979913, 1.8593040191297261, 1248.5258096975797, 1.2022140833886017, 7762.4327298004118, 2.0385113688217436
2100-Jan-02 03:00:00, 9034.1826478726907, 1.8640960374097466, 1274.9008898086222, 1.2276108293058354, 7759.2817580640694, 2.0376838844581484
2100-Jan-02 04:00:00, 9058.4673536737137, 1.8691068973422729, 1302.4380322176987, 1.2541265329968054, 7756.0293214560152, 2.0368297541574196
2100-Jan-02 05:00:00, 9083.158287238457, 1.8742015775376997, 1330.4644477955405, 1.281113361184798, 7752.6938394429162, 2.0359538151005698
2100-Jan-02 06:00:00, 9108.1491162569364, 1.8793581375897483, 1358.8497285965461, 1.3084457431626884, 7749.2993876603905, 2.0350623898489175
2100-Jan-02 07:00:00, 9133.0255958744965, 1.8844911030042475, 1387.1510224880426, 1.3356972535681628, 7745.8745733864534, 2.0341629910294312
2100-Jan-02 08:00:00, 9154.8982854600363, 1.8890042721057709, 1412.4468524142401, 1.3600547820646249, 7742.4514330457969, 2.0332640318056416
2100-Jan-02 09:00:00, 9169.2136092506644, 1.8919580687459827, 1430.1492464770226, 1.3771005389778337, 7739.0643627736417, 2.0323745450304096
2100-Jan-02 10:00:00, 9171.9548445323126, 1.8925236900119344, 1436.2058724370918, 1.3829325057425221, 7735.7489720952199, 2.0315038822079026
2100-Jan-02 11:00:00, 9159.2533783730614, 1.8899028936809759, 1426.7127481745479, 1.373791511143017, 7732.540630198514, 2.0306613317267379
2100-Jan-02 12:00:00, 9131.8684791357955, 1.8842523457406957, 1402.3959677990968, 1.3503767161880647, 7729.4725113366994, 2.0298556055583559
2100-Jan-02 13:00:00, 9092.5971106173893, 1.8761491663727141, 1366.0240002141531, 1.3153538986126998, 7726.5731104032357, 2.0290941868161427
2100-Jan-02 14:00:00, 9042.0449822905011, 1.8657183365157408, 1318.1815005600881, 1.2692860268699737, 7723.8634817304137, 2.028382604629591
2100-Jan-02 15:00:00, 8984.6919819398627, 1.8538842276810739, 1263.3372970588737, 1.2164761663694839, 7721.3546848809892, 2.0277237633774172
2100-Jan-02 16:00:00, 8930.2610836652711, 1.8426530598221629, 1211.2152844466905, 1.1662875221859061, 7719.0457992185811, 2.0271174212890588
2100-Jan-02 17:00:00, 8887.6160758322039, 1.8338537701447899, 1170.6932705460877, 1.1272685964895495, 7716.9228052861154, 2.0265598966807414
2100-Jan-02 18:00:00, 8860.6738872508649, 1.8282945702778881, 1145.7150521832939, 1.1032168983504618, 7714.9588350675704, 2.0260441336773263
2100-Jan-02 19:00:00, 8849.519902168955, 1.8259930782444709, 1136.4037187537924, 1.0942509513935579, 7713.1161834151626, 2.025560230438102
2100-Jan-02 20:00:00, 8851.51977084387, 1.8264057273370953, 1140.1698384103881, 1.097877373895775, 7711.3499324334816, 2.0250963909651327
2100-Jan-02 21:00:00, 8863.1255484452413, 1.8288004413783119, 1153.5130105258215, 1.1107256060345545, 7709.61253791942, 2.0246401295594207
2100-Jan-02 22:00:00, 8880.8422997520665, 1.8324560820924836, 1172.9837645858631, 1.129474128943222, 7707.8585351662041, 2.0241795066235659
2100-Jan-02 23:00:00, 8900.9044840656916, 1.8365956749852195, 1194.8558712176407, 1.1505349307479276, 7706.0486128480516, 2.0237041985145408
2100-Jan-03 00:00:00, 8921.3501931505052, 1.8408144036486263, 1217.1976299468063, 1.1720479637851693, 7704.1525632036992, 2.0232062722985718
2100-Jan-03 01:00:00, 8941.8157809585118, 1.8450372340499077, 1239.6648682763948, 1.1936818219920911, 7702.1509126821165, 2.0226806139789848
2100-Jan-03 02:00:00, 8962.7590382391918, 1.8493586258602186, 1262.7237426072604, 1.2158853705710102, 7700.0352956319321, 2.0221250266316937
2100-Jan-03 03:00:00, 8984.2764746532048, 1.8537984926990878, 1286.4686517740338, 1.2387495068086043, 7697.8078228791701, 2.0215400645858632
2100-Jan-03 04:00:00, 9005.9729774873376, 1.8582753077619623, 1310.4931932795696, 1.2618829029471312, 7695.4797842077678, 2.0209286926791554
2100-Jan-03 05:00:00, 9027.4474617327596, 1.8627063119321885, 1334.3774528145468, 1.2848812206120366, 7693.0700089182128, 2.0202958557200401
2100-Jan-03 06:00:00, 9047.8707052644204, 1.8669204050961548, 1357.2675742454192, 1.3069222758636982, 7690.6031310190019, 2.0196480229054985
2100-Jan-03 07:00:00, 9067.6824971619226, 1.8710083324947464, 1379.5745767608164, 1.3284018419038199, 7688.1079204011066, 2.0189927495666833
2100-Jan-03 08:00:00, 9085.8086096525185, 1.8747484400157428, 1400.1928335598288, 1.3482553030867326, 7685.6157760926899, 2.01833828147887
2100-Jan-03 09:00:00, 9099.0244980483494, 1.877475381251021, 1415.8650788296284, 1.3633462157737817, 7683.1594192187204, 2.0176932116163968
2100-Jan-03 10:00:00, 9103.3709771385365, 1.878372225466431, 1422.5992484502856, 1.3698305939860693, 7680.7717286882507, 2.0170661743896643
2100-Jan-03 11:00:00, 9096.019718169242, 1.8768553806948829, 1417.5351805233661, 1.3649543681734417, 7678.4845376458761, 2.0164655295783223
2100-Jan-03 12:00:00, 9075.6470398527254, 1.8726517210610827, 1399.3198693985576, 1.3474147198958828, 7676.3271704541676, 2.0158989781246603
2100-Jan-03 13:00:00, 9042.761534332556, 1.8658661884990639, 1368.4369119938274, 1.317677307949509, 7674.3246223387287, 2.015373084085764
2100-Jan-03 14:00:00, 8999.7941252169821, 1.8570003751552342, 1327.2986478027262, 1.2780649906128876, 7672.4954774142552, 2.0148927278812656
2100-Jan-03 15:00:00, 8951.3626471110529, 1.8470071162250068, 1280.5128316186303, 1.2330146066460759, 7670.8498154924218, 2.0144605565950635
2100-Jan-03 16:00:00, 8903.6376879792897, 1.8371596390739875, 1234.2502336358273, 1.188468033081415, 7669.3874543434622, 2.0140765223713553
2100-Jan-03 17:00:00, 8863.6388810731987, 1.828906361454864, 1195.5419570024994, 1.1511955674656977, 7668.0969240707, 2.013737613072633
2100-Jan-03 18:00:00, 8836.2619134149063, 1.8232574501014793, 1169.3063594398864, 1.1259331302530229, 7666.955553975019, 2.0134378750913755
2100-Jan-03 19:00:00, 8822.5238506341029, 1.8204227643983502, 1156.5929235392236, 1.1136912754436801, 7665.9309270948788, 2.0131687953303428
2100-Jan-03 20:00:00, 8820.3503065859659, 1.8199742794600673, 1155.3666323493603, 1.1125104712285503, 7664.9836742366051, 2.0129200349496794
2100-Jan-03 21:00:00, 8825.970922734683, 1.8211340266888985, 1161.8997196134724, 1.1188012258576634, 7664.0712031212115, 2.0126804086872436
2100-Jan-03 22:00:00, 8837.5633244339679, 1.8235259807719597, 1174.4116193438254, 1.1308490201034387, 7663.1517050901421, 2.0124389370693643
2100-Jan-03 23:00:00, 8854.3107474142598, 1.8269816121258087, 1192.1229645308836, 1.1479033961157343, 7662.1877828833758, 2.0121857991104859
2100-Jan-04 00:00:00, 8875.1531401624325, 1.831282191740629, 1214.0038755512055, 1.1689726757266825, 7661.1492646112274, 2.0119130712971578
2100-Jan-04 01:00:00, 8897.6136882687751, 1.8359166584494622, 1237.5986462354467, 1.1916922425875311, 7660.0150420333293, 2.0116152103429568
2100-Jan-04 02:00:00, 8920.7057437145249, 1.8406814291796847, 1261.9318047657896, 1.2151228081803975, 7658.773938948736, 2.0112892812385268
2100-Jan-04 03:00:00, 8944.2250197592166, 1.8455343517944363, 1286.8003233830484, 1.2390688756805335, 7657.4246963761689, 2.0109349533597269
2100-Jan-04 04:00:00, 8968.6957369450538, 1.8505835929617525, 1312.720500080263, 1.2640275919740001, 7655.9752368647905, 2.0105543072664926
2100-Jan-04 05:00:00, 8994.3685265105887, 1.8558808674539431, 1339.9270944735215, 1.2902250087086524, 7654.4414320370679, 2.0101515110442643
2100-Jan-04 06:00:00, 9020.8868650763725, 1.8613526109160712, 1368.0412576225992, 1.3172963296360851, 7652.8456074537735, 2.009732427662942
2100-Jan-04 07:00:00, 9046.3059414600848, 1.8665975347136492, 1395.090954193987, 1.3433426683796852, 7651.2149872660975, 2.0093042065231894
2100-Jan-04 08:00:00, 9069.7891273269233, 1.8714430105498543, 1420.208908351889, 1.3675289190762996, 7649.5802189750339, 2.0088748960399014
2100-Jan-04 09:00:00, 9089.9747816667259, 1.8756080800125809, 1442.0007491805341, 1.3885124323874947, 7647.9740324861923, 2.0084530914933212
2100-Jan-04 10:00:00, 9104.7371124896599, 1.8786541112322888, 1458.307095381645, 1.4042139252195365, 7646.4300171080158, 2.0080476138535648
2100-Jan-04 11:00:00, 9110.2423839025523, 1.879790058448062, 1465.2609461922946, 1.4109098359595564, 7644.9814377102575, 2.0076671988891124
2100-Jan-04 12:00:00, 9105.2507408207566, 1.8787600923236634, 1461.5907912761616, 1.4073758185655054, 7643.6599495445953, 2.0073201596627208
2100-Jan-04 13:00:00, 9091.2640064871175, 1.8758740962060423, 1448.7699403576053, 1.3950305330971597, 7642.4940661295122, 2.0070139841789394
2100-Jan-04 14:00:00, 9071.3271307127361, 1.8717603592385805, 1429.8197453746543, 1.3767832601016723, 7641.5073853380818, 2.0067548695327013
2100-Jan-04 15:00:00, 9048.8343466694751, 1.8671192410279334, 1408.1175126868493, 1.355886031085177, 7640.7168339826258, 2.0065472609154251
2100-Jan-04 16:00:00, 9027.4923997620517, 1.8627155843595455, 1387.3610944116695, 1.3358995332672663, 7640.1313053503827, 2.0063934938149366
2100-Jan-04 17:00:00, 9010.1404043593648, 1.8591352066837723, 1370.3894082805159, 1.3195573800436449, 7639.7509960788493, 2.006293619870688
2100-Jan-04 18:00:00, 8998.5544029692846, 1.8567445732283199, 1358.9867865233393, 1.3085777171824091, 7639.5676164459446, 2.0062454620985695
2100-Jan-04 19:00:00, 8993.1642548979798, 1.8556323803435395, 1353.598757717923, 1.3033895472132644, 7639.5654971800577, 2.0062449055529923
2100-Jan-04 20:00:00, 8992.8835449612779, 1.8555744591899539, 1353.1601062271484, 1.3029671666779061, 7639.7234387341305, 2.0062863829692605
2100-Jan-04 21:00:00, 8997.2061837568526, 1.8564663842443894, 1357.1891843099361, 1.3068467936560406, 7640.0169994469161, 2.0063634756631727
