Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 19901.729624821102, 4.1651182385771746, 15026.34213956329, 14.93762381796282, 4875.3874852578128, 1.292434354226303
2100-Jan-01 01:00:00, 20810.336471087361, 4.3552753263490729, 15936.01475157453, 15.841925553509649, 4874.3217195128309, 1.2921518264751168
2100-Jan-01 02:00:00, 21784.897578581651, 4.5592356011570425, 16911.79506319794, 16.81194467650219, 4873.1025153837099, 1.2918286231797775
2100-Jan-01 03:00:00, 22811.666115788445, 4.7741220678982801, 17939.9069192754, 17.833986368767221, 4871.759196513045, 1.2914725178522775
2100-Jan-01 04:00:00, 23818.935106484758, 4.9849275869859282, 18948.609866907875, 18.836733746396284, 4870.3252395768814, 1.2910923849474811
2100-Jan-01 05:00:00, 24817.850724665012, 5.1939848769057519, 19949.014459985319, 19.831231764500597, 4868.8362646796941, 1.2906976671295589
2100-Jan-01 06:00:00, 25775.398808888825, 5.3943845941715871, 20908.070342227089, 20.784625202256326, 4867.3284666617355, 1.2902979594214976
2100-Jan-01 07:00:00, 26632.840103347502, 5.5738335386294064, 21767.002738031468, 21.638486301279606, 4865.8373653160324, 1.2899026778955374
2100-Jan-01 08:00:00, 27187.925304290435, 5.6900041196792159, 22323.528480967303, 22.191726212615034, 4864.3968233231317, 1.2895207993338929
2100-Jan-01 09:00:00, 27204.701976640925, 5.6935152127001221, 22341.663793481992, 22.2097544508682, 4863.038183158932, 1.2891606324284821
2100-Jan-01 10:00:00, 26616.856240798894, 5.5704883682005466, 21755.067045939591, 21.626621079736033, 4861.7891948593006, 1.2888295335381166
2100-Jan-01 11:00:00, 25389.517944865416, 5.3136258131530116, 20528.845577633536, 20.407639451277102, 4860.6723672318813, 1.2885334696051902
2100-Jan-01 12:00:00, 23740.453495400507, 4.9685026231319203, 18880.75078160888, 18.769275313770915, 4859.7027137916248, 1.2882764206174593
2100-Jan-01 13:00:00, 21913.085990057582, 4.5860634146525463, 17054.200686593791, 16.953509510584393, 4858.8853034637923, 1.2880597303149173
2100-Jan-01 14:00:00, 20141.213910179562, 4.2152385237786731, 15283.000598729341, 15.192766917801212, 4858.2133114502194, 1.2878815894867814
2100-Jan-01 15:00:00, 18690.627428392163, 3.9116536431765931, 13832.960093449139, 13.751287721633123, 4857.667334943023, 1.2877368545715291
2100-Jan-01 16:00:00, 17725.047413091121, 3.7095729693682156, 12867.830975231585, 12.791856905417527, 4857.2164378595353, 1.2876173246095144
2100-Jan-01 17:00:00, 17338.65606966722, 3.628707353059367, 12481.835083066379, 12.408140004864485, 4856.8209866008428, 1.2875124929846022
2100-Jan-01 18:00:00, 17488.207951174059, 3.6600062040145525, 12631.770983998524, 12.557190656322419, 4856.4369671755358, 1.2874106918663406
2100-Jan-01 19:00:00, 18038.278930632143, 3.775127387562109, 13182.257829942204, 13.104427325437857, 4856.021100689939, 1.2873004482940336
2100-Jan-01 20:00:00, 18801.405927860378, 3.934837836574629, 13945.870103507103, 13.863531089970087, 4855.5358243532755, 1.2871718046096712
2100-Jan-01 21:00:00, 19651.755846889439, 4.1128026679580927, 14796.802650027485, 14.709439572308957, 4854.9531968619531, 1.2870173537505798
2100-Jan-01 22:00:00, 20501.4326147832, 4.2906266194218796, 15647.175540557409, 15.554791702970537, 4854.2570742257913, 1.2868328160471767
2100-Jan-01 23:00:00, 21321.592479661609, 4.4622731484498699, 16468.149077162616, 16.370918058966549, 4853.4434024989923, 1.2866171168240981
