Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 7837.7121786560074, 2.0777278747306389, null, null, 7837.7121786560074, 2.0777278747306389
2100-Jan-01 01:00:00, 7856.0399041816845, 2.0825864387270068, null, null, 7856.0399041816845, 2.0825864387270068
2100-Jan-01 02:00:00, 7876.7988570756233, 2.0880895057055842, null, null, 7876.7988570756233, 2.0880895057055842
2100-Jan-01 03:00:00, 7899.6613583499693, 2.0941502100413638, null, null, 7899.6613583499693, 2.0941502100413638
2100-Jan-01 04:00:00, 7924.6762037212793, 2.1007814871698587, null, null, 7924.6762037212793, 2.1007814871698587
2100-Jan-01 05:00:00, 7951.9195425749567, 2.1080035238110058, null, null, 7951.9195425749567, 2.1080035238110058
2100-Jan-01 06:00:00, 7980.6565947423169, 2.115621534394287, null, null, 7980.6565947423169, 2.115621534394287
2100-Jan-01 07:00:00, 8010.171896130978, 2.1234458539187138, null, null, 8010.171896130978, 2.1234458539187138
2100-Jan-01 08:00:00, 8037.6931299115695, 2.130741558745517, null, null, 8037.6931299115695, 2.130741558745517
2100-Jan-01 09:00:00, 8056.8383492892463, 2.1358168351861546, null, null, 8056.8383492892463, 2.1358168351861546
2100-Jan-01 10:00:00, 8062.5399393922098, 2.1373282906233007, null, null, 8062.5399393922098, 2.1373282906233007
2100-Jan-01 11:00:00, 8050.105104834568, 2.1340318947122037, null, null, 8050.105104834568, 2.1340318947122037
2100-Jan-01 12:00:00, 8020.8352236291648, 2.1262726345245007, null, null, 8020.8352236291648, 2.1262726345245007
2100-Jan-01 13:00:00, 7979.0342887147035, 2.1151914713378641, null, null, 7979.0342887147035, 2.1151914713378641
2100-Jan-01 14:00:00, 7929.9015637827315, 2.1021666970382116, null, null, 7929.9015637827315, 2.1021666970382116
2100-Jan-01 15:00:00, 7880.0895201146095, 2.0889618396426566, null, null, 7880.0895201146095, 2.0889618396426566
2100-Jan-01 16:00:00, 7835.3873276781505, 2.0771115714560122, null, null, 7835.3873276781505, 2.0771115714560122
2100-Jan-01 17:00:00, 7800.3467789309252, 2.0678225438394797, null, null, 7800.3467789309252, 2.0678225438394797
2100-Jan-01 18:00:00, 7777.1090287016887, 2.0616623633816165, null, null, 7777.1090287016887, 2.0616623633816165
2100-Jan-01 19:00:00, 7765.0809494079258, 2.0584737957156363, null, null, 7765.0809494079258, 2.0584737957156363
2100-Jan-01 20:00:00, 7761.6926512325535, 2.0575755793220769, null, null, 7761.6926512325535, 2.0575755793220769
2100-Jan-01 21:00:00, 7764.4367237413453, 2.0583030155702877, null, null, 7764.4367237413453, 2.0583030155702877
2100-Jan-01 22:00:00, 7771.3774139486386, 2.060142948599831, null, null, 7771.3774139486386, 2.060142948599831
2100-Jan-01 23:00:00, 7781.8731268904085, 2.0629252956479496, null, null, 7781.8731268904085, 2.0629252956479496
2100-Jan-02 00:00:00, 7796.2773358354889, 2.0667437602402243, null, null, 7796.2773358354889, 2.0667437602402243
2100-Jan-02 01:00:00, 7814.6971027811114, 2.0716267238342669, null, null, 7814.6971027811114, 2.0716267238342669
2100-Jan-02 02:00:00, 7836.6599922782443, 2.0774489467837256, null, null, 7836.6599922782443, 2.0774489467837256
2100-Jan-02 03:00:00, 7861.888436864795, 2.084136847711795, null, null, 7861.888436864795, 2.084136847711795
2100-Jan-02 04:00:00, 7889.9792635630638, 2.0915835480147433, null, null, 7889.9792635630638, 2.0915835480147433
2100-Jan-02 05:00:00, 7920.4124751124264, 2.0996511997110994, null, null, 7920.4124751124264, 2.0996511997110994
2100-Jan-02 06:00:00, 7953.2425116138565, 2.1083542345269484, null, null, 7953.2425116138565, 2.1083542345269484
2100-Jan-02 07:00:00, 7987.5394246134401, 2.1174461290150495, null, null, 7987.5394246134401, 2.1174461290150495
2100-Jan-02 08:00:00, 8020.195633527891, 2.1261030832381653, null, null, 8020.195633527891, 2.1261030832381653
2100-Jan-02 09:00:00, 8045.3739729995923, 2.1327777016175244, null, null, 8045.3739729995923, 2.1327777016175244
2100-Jan-02 10:00:00, 8058.0959023971473, 2.136150204552965, null, null, 8058.0959023971473, 2.136150204552965
2100-Jan-02 11:00:00, 8052.293263845283, 2.1346119618117951, null, null, 8052.293263845283, 2.1346119618117951
2100-Jan-02 12:00:00, 8030.2378294766022, 2.1287652058028295, null, null, 8030.2378294766022, 2.1287652058028295
2100-Jan-02 13:00:00, 7995.5044531427466, 2.1195576076482445, null, null, 7995.5044531427466, 2.1195576076482445
2100-Jan-02 14:00:00, 7942.9148655070676, 2.1056164409326819, null, null, 7942.9148655070676, 2.1056164409326819
2100-Jan-02 15:00:00, 7880.1961382709669, 2.0889901034408629, null, null, 7880.1961382709669, 2.0889901034408629
2100-Jan-02 16:00:00, 7821.4507187104618, 2.073417064657173, null, null, 7821.4507187104618, 2.073417064657173
2100-Jan-02 17:00:00, 7775.351939584004, 2.0611965701813837, null, null, 7775.351939584004, 2.0611965701813837
2100-Jan-02 18:00:00, 7744.5144542065054, 2.0530217480528155, null, null, 7744.5144542065054, 2.0530217480528155
2100-Jan-02 19:00:00, 7728.4080979854125, 2.0487520549946754, null, null, 7728.4080979854125, 2.0487520549946754
2100-Jan-02 20:00:00, 7724.4829753405611, 2.047711529833117, null, null, 7724.4829753405611, 2.047711529833117
2100-Jan-02 21:00:00, 7729.9644143247206, 2.049164624602537, null, null, 7729.9644143247206, 2.049164624602537
2100-Jan-02 22:00:00, 7742.3049689582413, 2.052436027502675, null, null, 7742.3049689582413, 2.052436027502675
2100-Jan-02 23:00:00, 7759.7110846853666, 2.0570502785765434, null, null, 7759.7110846853666, 2.0570502785765434
2100-Jan-03 00:00:00, 7780.8111724890687, 2.0626437782598317, null, null, 7780.8111724890687, 2.0626437782598317
2100-Jan-03 01:00:00, 7804.422363255263, 2.0689029554396341, null, null, 7804.422363255263, 2.0689029554396341
2100-Jan-03 02:00:00, 7829.7682954380625, 2.0756220015856059, null, null, 7829.7682954380625, 2.0756220015856059
2100-Jan-03 03:00:00, 7856.42526286263, 2.0826885948734586, null, null, 7856.42526286263, 2.0826885948734586
2100-Jan-03 04:00:00, 7884.1906878674836, 2.0900490332477366, null, null, 7884.1906878674836, 2.0900490332477366
2100-Jan-03 05:00:00, 7912.9507750802668, 2.0976731502757149, null, null, 7912.9507750802668, 2.0976731502757149
2100-Jan-03 06:00:00, 7942.9335507107926, 2.1056213942618855, null, null, 7942.9335507107926, 2.1056213942618855
2100-Jan-03 07:00:00, 7973.6935597576312, 2.1137756779057311, null, null, 7973.6935597576312, 2.1137756779057311
2100-Jan-03 08:00:00, 8003.1504236749124, 2.1215845060264873, null, null, 8003.1504236749124, 2.1215845060264873
2100-Jan-03 09:00:00, 8027.1454986519002, 2.1279454484800397, null, null, 8027.1454986519002, 2.1279454484800397
2100-Jan-03 10:00:00, 8041.233146461479, 2.1316799947195739, null, null, 8041.233146461479, 2.1316799947195739
2100-Jan-03 11:00:00, 8042.5557744375774, 2.132030615021927, null, null, 8042.5557744375774, 2.132030615021927
2100-Jan-03 12:00:00, 8029.5571102599251, 2.1285847514484062, null, null, 8029.5571102599251, 2.1285847514484062
2100-Jan-03 13:00:00, 8002.315253480212, 2.1213631076956836, null, null, 8002.315253480212, 2.1213631076956836
2100-Jan-03 14:00:00, 7962.9346382587855, 2.110923555935615, null, null, 7962.9346382587855, 2.110923555935615
2100-Jan-03 15:00:00, 7916.4206686122143, 2.0985929970816883, null, null, 7916.4206686122143, 2.0985929970816883
2100-Jan-03 16:00:00, 7869.5899709693704, 2.0861784756412871, null, null, 7869.5899709693704, 2.0861784756412871
2100-Jan-03 17:00:00, 7830.0814415387213, 2.0757050146342317, null, null, 7830.0814415387213, 2.0757050146342317
2100-Jan-03 18:00:00, 7802.0441893685347, 2.0682725165994751, null, null, 7802.0441893685347, 2.0682725165994751
2100-Jan-03 19:00:00, 7786.0127525534754, 2.0640226842015288, null, null, 7786.0127525534754, 2.0640226842015288
2100-Jan-03 20:00:00, 7780.5295932352547, 2.0625691333824414, null, null, 7780.5295932352547, 2.0625691333824414
2100-Jan-03 21:00:00, 7783.9408569770794, 2.063473437802263, null, null, 7783.9408569770794, 2.063473437802263
2100-Jan-03 22:00:00, 7795.2580683489969, 2.0664735588829637, null, null, 7795.2580683489969, 2.0664735588829637
2100-Jan-03 23:00:00, 7813.0574695060186, 2.0711920674342434, null, null, 7813.0574695060186, 2.0711920674342434
2100-Jan-04 00:00:00, 7835.236243467768, 2.0770715199884169, null, null, 7835.236243467768, 2.0770715199884169
2100-Jan-04 01:00:00, 7860.414827075846, 2.0837462030867839, null, null, 7860.414827075846, 2.0837462030867839
2100-Jan-04 02:00:00, 7887.9610874010805, 2.0910485422921181, null, null, 7887.9610874010805, 2.0910485422921181
2100-Jan-04 03:00:00, 7916.9408490712922, 2.0987308936279101, null, null, 7916.9408490712922, 2.0987308936279101
2100-Jan-04 04:00:00, 7946.6609276152267, 2.1066094982796701, null, null, 7946.6609276152267, 2.1066094982796701
2100-Jan-04 05:00:00, 7976.8394065929215, 2.1146096219840955, null, null, 7976.8394065929215, 2.1146096219840955
2100-Jan-04 06:00:00, 8007.6253808101546, 2.1227707888302163, null, null, 8007.6253808101546, 2.1227707888302163
2100-Jan-04 07:00:00, 8038.4182816564953, 2.1309337918818581, null, null, 8038.4182816564953, 2.1309337918818581
2100-Jan-04 08:00:00, 8068.9304787171423, 2.1390223821371652, null, null, 8068.9304787171423, 2.1390223821371652
2100-Jan-04 09:00:00, 8096.6173982177743, 2.1463620091993256, null, null, 8096.6173982177743, 2.1463620091993256
2100-Jan-04 10:00:00, 8118.548426567243, 2.1521757859602646, null, null, 8118.548426567243, 2.1521757859602646
2100-Jan-04 11:00:00, 8129.8806579736101, 2.155179888757, null, null, 8129.8806579736101, 2.155179888757
2100-Jan-04 12:00:00, 8130.1373755174845, 2.1552479429524949, null, null, 8130.1373755174845, 2.1552479429524949
