Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 5632.1447226687724, 1.5204786193415338, null, null, 5632.1447226687724, 1.5204786193415338
2100-Jan-01 01:00:00, 5638.3616326561623, 1.5221569637697496, null, null, 5638.3616326561623, 1.5221569637697496
2100-Jan-01 02:00:00, 5645.2761852473586, 1.5240236468709334, null, null, 5645.2761852473586, 1.5240236468709334
2100-Jan-01 03:00:00, 5652.7415047007707, 1.526039017422365, null, null, 5652.7415047007707, 1.526039017422365
2100-Jan-01 04:00:00, 5660.7059440760349, 1.5281891325883319, null, null, 5660.7059440760349, 1.5281891325883319
2100-Jan-01 05:00:00, 5669.1633958418115, 1.5304723435527481, null, null, 5669.1633958418115, 1.5304723435527481
2100-Jan-01 06:00:00, 5678.0176150405014, 1.5328626676025521, null, null, 5678.0176150405014, 1.5328626676025521
2100-Jan-01 07:00:00, 5687.1275339900685, 1.5353220214843868, null, null, 5687.1275339900685, 1.5353220214843868
2100-Jan-01 08:00:00, 5696.0196493380972, 1.537722576145736, null, null, 5696.0196493380972, 1.537722576145736
2100-Jan-01 09:00:00, 5703.4657021318526, 1.5397327453847873, null, null, 5703.4657021318526, 1.5397327453847873
2100-Jan-01 10:00:00, 5708.099970525047, 1.5409838329109622, null, null, 5708.099970525047, 1.5409838329109622
2100-Jan-01 11:00:00, 5708.547611817813, 1.5411046801278396, null, null, 5708.547611817813, 1.5411046801278396
2100-Jan-01 12:00:00, 5704.4176591855812, 1.5399897399078328, null, null, 5704.4176591855812, 1.5399897399078328
2100-Jan-01 13:00:00, 5696.3106465664114, 1.5378011350403893, null, null, 5696.3106465664114, 1.5378011350403893
2100-Jan-01 14:00:00, 5685.396723570143, 1.5348547642729309, null, null, 5685.396723570143, 1.5348547642729309
2100-Jan-01 15:00:00, 5673.2946057779209, 1.5315876232000525, null, null, 5673.2946057779209, 1.5315876232000525
2100-Jan-01 16:00:00, 5661.6384195707924, 1.5284408677838308, null, null, 5661.6384195707924, 1.5284408677838308
2100-Jan-01 17:00:00, 5651.8008748783341, 1.5257850808486166, null, null, 5651.8008748783341, 1.5257850808486166
2100-Jan-01 18:00:00, 5644.6479837708102, 1.5238540548308201, null, null, 5644.6479837708102, 1.5238540548308201
2100-Jan-01 19:00:00, 5640.4185842129082, 1.5227122674803353, null, null, 5640.4185842129082, 1.5227122674803353
2100-Jan-01 20:00:00, 5638.8035283462677, 1.5222762598784028, null, null, 5638.8035283462677, 1.5222762598784028
2100-Jan-01 21:00:00, 5639.2667116260354, 1.5224013028786099, null, null, 5639.2667116260354, 1.5224013028786099
2100-Jan-01 22:00:00, 5641.2672726348019, 1.5229413831482581, null, null, 5641.2672726348019, 1.5229413831482581
2100-Jan-01 23:00:00, 5644.4541959138032, 1.5238017390066048, null, null, 5644.4541959138032, 1.5238017390066048
2100-Jan-02 00:00:00, 5648.7110244249425, 1.5249509311982292, null, null, 5648.7110244249425, 1.5249509311982292
2100-Jan-02 01:00:00, 5653.9997339743013, 1.5263786945441074, null, null, 5653.9997339743013, 1.5263786945441074
2100-Jan-02 02:00:00, 5660.2373653779168, 1.5280626330172007, null, null, 5660.2373653779168, 1.5280626330172007
2100-Jan-02 03:00:00, 5667.3488090697683, 1.5299824697079361, null, null, 5667.3488090697683, 1.5299824697079361
2100-Jan-02 04:00:00, 5675.2418995251892, 1.5321133232049515, null, null, 5675.2418995251892, 1.5321133232049515
2100-Jan-02 05:00:00, 5683.8041037307366, 1.5344248135998224, null, null, 5683.8041037307366, 1.5344248135998224
2100-Jan-02 06:00:00, 5692.9904932389818, 1.536904811810808, null, null, 5692.9904932389818, 1.536904811810808
2100-Jan-02 07:00:00, 5702.6493724904485, 1.5395123654359033, null, null, 5702.6493724904485, 1.5395123654359033
2100-Jan-02 08:00:00, 5712.1888552415703, 1.5420876862553912, null, null, 5712.1888552415703, 1.5420876862553912
2100-Jan-02 09:00:00, 5720.4650343475432, 1.5443219600534037, null, null, 5720.4650343475432, 1.5443219600534037
2100-Jan-02 10:00:00, 5726.2351000385852, 1.5458796724254089, null, null, 5726.2351000385852, 1.5458796724254089
2100-Jan-02 11:00:00, 5727.9644534693025, 1.5463465363016349, null, null, 5727.9644534693025, 1.5463465363016349
2100-Jan-02 12:00:00, 5725.3403021123886, 1.5456381088324249, null, null, 5725.3403021123886, 1.5456381088324249
2100-Jan-02 13:00:00, 5718.8695545881728, 1.5438912373036933, null, null, 5718.8695545881728, 1.5438912373036933
2100-Jan-02 14:00:00, 5707.67221690103, 1.5408683546568176, null, null, 5707.67221690103, 1.5408683546568176
2100-Jan-02 15:00:00, 5692.5877998193582, 1.5367960989199223, null, null, 5692.5877998193582, 1.5367960989199223
2100-Jan-02 16:00:00, 5676.4969576394778, 1.5324521442265646, null, null, 5676.4969576394778, 1.5324521442265646
2100-Jan-02 17:00:00, 5662.1807256309721, 1.5285872711186606, null, null, 5662.1807256309721, 1.5285872711186606
2100-Jan-02 18:00:00, 5651.2600375652537, 1.5256390740232288, null, null, 5651.2600375652537, 1.5256390740232288
2100-Jan-02 19:00:00, 5644.2852509643499, 1.5237561298832354, null, null, 5644.2852509643499, 1.5237561298832354
2100-Jan-02 20:00:00, 5641.0330523813782, 1.5228781520160548, null, null, 5641.0330523813782, 1.5228781520160548
2100-Jan-02 21:00:00, 5640.9188310450454, 1.5228473163205394, null, null, 5640.9188310450454, 1.5228473163205394
2100-Jan-02 22:00:00, 5643.2602179280329, 1.5234794074457658, null, null, 5643.2602179280329, 1.5234794074457658
2100-Jan-02 23:00:00, 5647.5412208518119, 1.5246351258684026, null, null, 5647.5412208518119, 1.5246351258684026
2100-Jan-03 00:00:00, 5653.2929303770406, 1.5261878827289594, null, null, 5653.2929303770406, 1.5261878827289594
2100-Jan-03 01:00:00, 5660.0619477068021, 1.528015276489356, null, null, 5660.0619477068021, 1.528015276489356
2100-Jan-03 02:00:00, 5667.4922846947384, 1.530021203020183, null, null, 5667.4922846947384, 1.530021203020183
2100-Jan-03 03:00:00, 5675.3546640515378, 1.532143765613621, null, null, 5675.3546640515378, 1.532143765613621
2100-Jan-03 04:00:00, 5683.523447653708, 1.5343490464479606, null, null, 5683.523447653708, 1.5343490464479606
2100-Jan-03 05:00:00, 5691.9350112880438, 1.5366198692501094, null, null, 5691.9350112880438, 1.5366198692501094
2100-Jan-03 06:00:00, 5700.6770666935927, 1.5389799130678288, null, null, 5700.6770666935927, 1.5389799130678288
2100-Jan-03 07:00:00, 5709.6915196679383, 1.5414134945341194, null, null, 5709.6915196679383, 1.5414134945341194
2100-Jan-03 08:00:00, 5718.6115361263946, 1.5438215815022451, null, null, 5718.6115361263946, 1.5438215815022451
2100-Jan-03 09:00:00, 5726.6420634526594, 1.5459895380628212, null, null, 5726.6420634526594, 1.5459895380628212
2100-Jan-03 10:00:00, 5732.7527062456566, 1.5476391941307468, null, null, 5732.7527062456566, 1.5476391941307468
2100-Jan-03 11:00:00, 5736.0471323808842, 1.5485285719340998, null, null, 5736.0471323808842, 1.5485285719340998
2100-Jan-03 12:00:00, 5735.8813850393462, 1.5484838260510605, null, null, 5735.8813850393462, 1.5484838260510605
2100-Jan-03 13:00:00, 5731.9562954421099, 1.5474241915591453, null, null, 5731.9562954421099, 1.5474241915591453
2100-Jan-03 14:00:00, 5724.429136941294, 1.5453921266658515, null, null, 5724.429136941294, 1.5453921266658515
2100-Jan-03 15:00:00, 5714.1423459998987, 1.5426150592327161, null, null, 5714.1423459998987, 1.5426150592327161
2100-Jan-03 16:00:00, 5702.5668032965159, 1.5394900746922926, null, null, 5702.5668032965159, 1.5394900746922926
2100-Jan-03 17:00:00, 5691.5864998860743, 1.5365257835755777, null, null, 5691.5864998860743, 1.5365257835755777
2100-Jan-03 18:00:00, 5682.7002296217206, 1.5341268068787861, null, null, 5682.7002296217206, 1.5341268068787861
2100-Jan-03 19:00:00, 5676.6357280573329, 1.5324896073003553, null, null, 5676.6357280573329, 1.5324896073003553
2100-Jan-03 20:00:00, 5673.4651485060913, 1.5316336636668082, null, null, 5673.4651485060913, 1.5316336636668082
2100-Jan-03 21:00:00, 5673.0173716913914, 1.5315127798638322, null, null, 5673.0173716913914, 1.5315127798638322
2100-Jan-03 22:00:00, 5675.0015367535625, 1.5320484338114539, null, null, 5675.0015367535625, 1.5320484338114539
2100-Jan-03 23:00:00, 5679.0047832924274, 1.5331291678958958, null, null, 5679.0047832924274, 1.5331291678958958
