Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 7825.6100758740768, 2.0094333304951846, null, null, 7825.6100758740768, 2.0094333304951846
2100-Jan-01 01:00:00, 7843.1548986668668, 2.0139384299514114, null, null, 7843.1548986668668, 2.0139384299514114
2100-Jan-01 02:00:00, 7863.751845228513, 2.0192272432868723, null, null, 7863.751845228513, 2.0192272432868723
2100-Jan-01 03:00:00, 7887.0555500060755, 2.0252110887187347, null, null, 7887.0555500060755, 2.0252110887187347
2100-Jan-01 04:00:00, 7913.1295562826981, 2.0319062826734289, null, null, 7913.1295562826981, 2.0319062826734289
2100-Jan-01 05:00:00, 7942.0538250489835, 2.0393333572600301, null, null, 7942.0538250489835, 2.0393333572600301
2100-Jan-01 06:00:00, 7973.064625153499, 2.0472962042114067, null, null, 7973.064625153499, 2.0472962042114067
2100-Jan-01 07:00:00, 8005.4174396239323, 2.0556036490114793, null, null, 8005.4174396239323, 2.0556036490114793
2100-Jan-01 08:00:00, 8036.2077364460047, 2.0635098758858361, null, null, 8036.2077364460047, 2.0635098758858361
2100-Jan-01 09:00:00, 8058.7527892385933, 2.0692989172615195, null, null, 8058.7527892385933, 2.0692989172615195
2100-Jan-01 10:00:00, 8067.6878364004078, 2.0715932280439913, null, null, 8067.6878364004078, 2.0715932280439913
2100-Jan-01 11:00:00, 8057.9211330625858, 2.0690853674394125, null, null, 8057.9211330625858, 2.0690853674394125
2100-Jan-01 12:00:00, 8030.5055949392872, 2.0620456995356595, null, null, 8030.5055949392872, 2.0620456995356595
2100-Jan-01 13:00:00, 7989.5743437537812, 2.0515355131612329, null, null, 7989.5743437537812, 2.0515355131612329
2100-Jan-01 14:00:00, 7940.2298624194036, 2.0388650063882232, null, null, 7940.2298624194036, 2.0388650063882232
2100-Jan-01 15:00:00, 7889.1869369083779, 2.0257583789414957, null, null, 7889.1869369083779, 2.0257583789414957
2100-Jan-01 16:00:00, 7842.3961423783858, 2.0137435991125359, null, null, 7842.3961423783858, 2.0137435991125359
2100-Jan-01 17:00:00, 7804.681824757351, 2.0040594459117229, null, null, 7804.681824757351, 2.0040594459117229
2100-Jan-01 18:00:00, 7778.5096308252851, 1.9973390396674338, null, null, 7778.5096308252851, 1.9973390396674338
2100-Jan-01 19:00:00, 7763.6227239061654, 1.993516430738389, null, null, 7763.6227239061654, 1.993516430738389
2100-Jan-01 20:00:00, 7757.7425935495103, 1.9920065510214393, null, null, 7757.7425935495103, 1.9920065510214393
2100-Jan-01 21:00:00, 7758.5601210090072, 1.9922164729201515, null, null, 7758.5601210090072, 1.9922164729201515
2100-Jan-01 22:00:00, 7764.2110944312808, 1.9936675105049995, null, null, 7764.2110944312808, 1.9936675105049995
2100-Jan-01 23:00:00, 7774.0529040494739, 1.996194656642801, null, null, 7774.0529040494739, 1.996194656642801
2100-Jan-02 00:00:00, 7788.4097916433884, 1.9998811690263307, null, null, 7788.4097916433884, 1.9998811690263307
2100-Jan-02 01:00:00, 7807.3659911527311, 2.0047486769578877, null, null, 7807.3659911527311, 2.0047486769578877
