Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 5169.1453928262399, 1.3703077156186438, null, null, 5169.1453928262399, 1.3703077156186438
2100-Jan-01 01:00:00, 5172.7276717154127, 1.3712573550712588, null, null, 5172.7276717154127, 1.3712573550712588
2100-Jan-01 02:00:00, 5177.1776640242379, 1.3724370198575675, null, null, 5177.1776640242379, 1.3724370198575675
2100-Jan-01 03:00:00, 5182.3948421838113, 1.3738200607555353, null, null, 5182.3948421838113, 1.3738200607555353
2100-Jan-01 04:00:00, 5188.3529701213847, 1.3753995227483882, null, null, 5188.3529701213847, 1.3753995227483882
2100-Jan-01 05:00:00, 5195.0576697289844, 1.377176896164108, null, null, 5195.0576697289844, 1.377176896164108
2100-Jan-01 06:00:00, 5202.4114345821627, 1.3791263326669272, null, null, 5202.4114345821627, 1.3791263326669272
2100-Jan-01 07:00:00, 5210.2710362662237, 1.3812098633109491, null, null, 5210.2710362662237, 1.3812098633109491
2100-Jan-01 08:00:00, 5218.2024348006144, 1.3833124268454176, null, null, 5218.2024348006144, 1.3833124268454176
2100-Jan-01 09:00:00, 5225.1060937747607, 1.3851425431295137, null, null, 5225.1060937747607, 1.3851425431295137
2100-Jan-01 10:00:00, 5229.7254317707111, 1.3863671003852811, null, null, 5229.7254317707111, 1.3863671003852811
2100-Jan-01 11:00:00, 5230.7898855094327, 1.3866492803319146, null, null, 5230.7898855094327, 1.3866492803319146
2100-Jan-01 12:00:00, 5227.8484332993248, 1.3858695199745783, null, null, 5227.8484332993248, 1.3858695199745783
2100-Jan-01 13:00:00, 5221.2776364723968, 1.3841276433382201, null, null, 5221.2776364723968, 1.3841276433382201
2100-Jan-01 14:00:00, 5211.9396175194206, 1.3816521936366863, null, null, 5211.9396175194206, 1.3816521936366863
2100-Jan-01 15:00:00, 5201.1224507684574, 1.3787846312190091, null, null, 5201.1224507684574, 1.3787846312190091
2100-Jan-01 16:00:00, 5190.2082682904038, 1.3758913505463273, null, null, 5190.2082682904038, 1.3758913505463273
2100-Jan-01 17:00:00, 5180.4575351082731, 1.3733064929157108, null, null, 5180.4575351082731, 1.3733064929157108
2100-Jan-01 18:00:00, 5172.7611009418069, 1.3712662169475216, null, null, 5172.7611009418069, 1.3712662169475216
2100-Jan-01 19:00:00, 5167.4734396725444, 1.3698644914234333, null, null, 5167.4734396725444, 1.3698644914234333
2100-Jan-01 20:00:00, 5164.4390826817498, 1.3690601025969558, null, null, 5164.4390826817498, 1.3690601025969558
2100-Jan-01 21:00:00, 5163.2762298430789, 1.3687518376719312, null, null, 5163.2762298430789, 1.3687518376719312
2100-Jan-01 22:00:00, 5163.5751732737344, 1.3688310856826622, null, null, 5163.5751732737344, 1.3688310856826622
2100-Jan-01 23:00:00, 5165.0829269340484, 1.369230781631793, null, null, 5165.0829269340484, 1.369230781631793
2100-Jan-02 00:00:00, 5167.7484961319906, 1.3699374071493349, null, null, 5167.7484961319906, 1.3699374071493349
2100-Jan-02 01:00:00, 5171.5731956965792, 1.3709513107881361, null, null, 5171.5731956965792, 1.3709513107881361
2100-Jan-02 02:00:00, 5176.4998848119849, 1.3722573448797026, null, null, 5176.4998848119849, 1.3722573448797026
2100-Jan-02 03:00:00, 5182.4752095503391, 1.3738413656355624, null, null, 5182.4752095503391, 1.3738413656355624
2100-Jan-02 04:00:00, 5189.4226891347344, 1.3756830984859891, null, null, 5189.4226891347344, 1.3756830984859891
2100-Jan-02 05:00:00, 5197.2368848490851, 1.377754592294925, null, null, 5197.2368848490851, 1.377754592294925
2100-Jan-02 06:00:00, 5205.877828430509, 1.3800452517289357, null, null, 5205.877828430509, 1.3800452517289357
2100-Jan-02 07:00:00, 5215.1969119748637, 1.382515681773532, null, null, 5215.1969119748637, 1.382515681773532
2100-Jan-02 08:00:00, 5224.625485917345, 1.3850151370294421, null, null, 5224.625485917345, 1.3850151370294421
2100-Jan-02 09:00:00, 5233.1090984871589, 1.3872640890084034, null, null, 5233.1090984871589, 1.3872640890084034
2100-Jan-02 10:00:00, 5239.4982581498989, 1.3889578147825559, null, null, 5239.4982581498989, 1.3889578147825559
2100-Jan-02 11:00:00, 5242.4039769759247, 1.3897281024460153, null, null, 5242.4039769759247, 1.3897281024460153
2100-Jan-02 12:00:00, 5241.4509679713119, 1.3894754657927906, null, null, 5241.4509679713119, 1.3894754657927906
2100-Jan-02 13:00:00, 5236.9532794122988, 1.388283157032542, null, null, 5236.9532794122988, 1.388283157032542
2100-Jan-02 14:00:00, 5228.2094708903624, 1.3859652287540825, null, null, 5228.2094708903624, 1.3859652287540825
2100-Jan-02 15:00:00, 5215.8934569383255, 1.3827003314332285, null, null, 5215.8934569383255, 1.3827003314332285
2100-Jan-02 16:00:00, 5202.3765418645489, 1.3791170828284081, null, null, 5202.3765418645489, 1.3791170828284081
2100-Jan-02 17:00:00, 5189.9877209002188, 1.3758328848295669, null, null, 5189.9877209002188, 1.3758328848295669
2100-Jan-02 18:00:00, 5180.1373851213493, 1.3732216231811807, null, null, 5180.1373851213493, 1.3732216231811807
2100-Jan-02 19:00:00, 5173.3985663506928, 1.3714352049913574, null, null, 5173.3985663506928, 1.3714352049913574
2100-Jan-02 20:00:00, 5169.7104398205447, 1.3704575059992854, null, null, 5169.7104398205447, 1.3704575059992854
2100-Jan-02 21:00:00, 5168.7020353840544, 1.3701901843678017, null, null, 5168.7020353840544, 1.3701901843678017
2100-Jan-02 22:00:00, 5169.895008849483, 1.3705064340802733, null, null, 5169.895008849483, 1.3705064340802733
2100-Jan-02 23:00:00, 5172.9053909149943, 1.3713044673058534, null, null, 5172.9053909149943, 1.3713044673058534
2100-Jan-03 00:00:00, 5177.3744884108428, 1.3724891967562791, null, null, 5177.3744884108428, 1.3724891967562791
2100-Jan-03 01:00:00, 5182.9375758276301, 1.3739639360082381, null, null, 5182.9375758276301, 1.3739639360082381
2100-Jan-03 02:00:00, 5189.296160268299, 1.3756495564846043, null, null, 5189.296160268299, 1.3756495564846043
2100-Jan-03 03:00:00, 5196.2558156690629, 1.37749451706686, null, null, 5196.2558156690629, 1.37749451706686
2100-Jan-03 04:00:00, 5203.7107378441406, 1.3794707697352455, null, null, 5203.7107378441406, 1.3794707697352455
2100-Jan-03 05:00:00, 5211.6016829826776, 1.3815626093306006, null, null, 5211.6016829826776, 1.3815626093306006
2100-Jan-03 06:00:00, 5219.9904774866454, 1.3837864256406389, null, null, 5219.9904774866454, 1.3837864256406389
