Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 5171.9190856856876, 1.4273919168748161, null, null, 5171.9190856856876, 1.4273919168748161
2100-Jan-01 01:00:00, 5173.7218930435347, 1.4278894715750425, null, null, 5173.7218930435347, 1.4278894715750425
2100-Jan-01 02:00:00, 5177.9662216865499, 1.4290608588874172, null, null, 5177.9662216865499, 1.4290608588874172
2100-Jan-01 03:00:00, 5184.5371597300846, 1.430874364414908, null, null, 5184.5371597300846, 1.430874364414908
2100-Jan-01 04:00:00, 5193.2269497589477, 1.433272649430787, null, null, 5193.2269497589477, 1.433272649430787
2100-Jan-01 05:00:00, 5203.8466958683712, 1.4362035807745908, null, null, 5203.8466958683712, 1.4362035807745908
2100-Jan-01 06:00:00, 5216.1508510713602, 1.4395993902197401, null, null, 5216.1508510713602, 1.4395993902197401
2100-Jan-01 07:00:00, 5229.7864764691358, 1.4433626705711646, null, null, 5229.7864764691358, 1.4433626705711646
2100-Jan-01 08:00:00, 5243.9766303556198, 1.4472789945934867, null, null, 5243.9766303556198, 1.4472789945934867
2100-Jan-01 09:00:00, 5257.3551693045092, 1.4509713219557019, null, null, 5257.3551693045092, 1.4509713219557019
2100-Jan-01 10:00:00, 5268.3492548834292, 1.4540055668131309, null, null, 5268.3492548834292, 1.4540055668131309
2100-Jan-01 11:00:00, 5275.354675125096, 1.4559389845757833, null, null, 5275.354675125096, 1.4559389845757833
2100-Jan-01 12:00:00, 5277.3442860844279, 1.4564880949841299, null, null, 5277.3442860844279, 1.4564880949841299
2100-Jan-01 13:00:00, 5274.0360955720998, 1.4555750713427027, null, null, 5274.0360955720998, 1.4555750713427027
2100-Jan-01 14:00:00, 5265.8226989300083, 1.4533082655820604, null, null, 5265.8226989300083, 1.4533082655820604
