Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 9297.786216281067, 1.9107987860718658, null, null, 9297.786216281067, 1.9107987860718658
2100-Jan-01 01:00:00, 9328.8854571275115, 1.9171900269839321, null, null, 9328.8854571275115, 1.9171900269839321
2100-Jan-01 02:00:00, 9369.8436184708153, 1.9256073860362921, null, null, 9369.8436184708153, 1.9256073860362921
2100-Jan-01 03:00:00, 9419.7123404250087, 1.9358559646932383, null, null, 9419.7123404250087, 1.9358559646932383
2100-Jan-01 04:00:00, 9477.5944187413334, 1.9477513774731623, null, null, 9477.5944187413334, 1.9477513774731623
2100-Jan-01 05:00:00, 9542.9635694793305, 1.9611854671554989, null, null, 9542.9635694793305, 1.9611854671554989
2100-Jan-01 06:00:00, 9613.9604036183009, 1.9757761085546461, null, null, 9613.9604036183009, 1.9757761085546461
2100-Jan-01 07:00:00, 9688.4187362417433, 1.9910781265060458, null, null, 9688.4187362417433, 1.9910781265060458
2100-Jan-01 08:00:00, 9760.2764966617397, 2.005845697859745, null, null, 9760.2764966617397, 2.005845697859745
2100-Jan-01 09:00:00, 9817.8202646281152, 2.017671584088836, null, null, 9817.8202646281152, 2.017671584088836
2100-Jan-01 10:00:00, 9850.553289986201, 2.024398585943231, null, null, 9850.553289986201, 2.024398585943231
2100-Jan-01 11:00:00, 9848.8014136040729, 2.0240385558041796, null, null, 9848.8014136040729, 2.0240385558041796
2100-Jan-01 12:00:00, 9811.8848507524526, 2.0164517903266832, null, null, 9811.8848507524526, 2.0164517903266832
2100-Jan-01 13:00:00, 9744.5608722242705, 2.0026159617269768, null, null, 9744.5608722242705, 2.0026159617269768
2100-Jan-01 14:00:00, 9654.5632152122653, 1.9841204392695206, null, null, 9654.5632152122653, 1.9841204392695206
2100-Jan-01 15:00:00, 9553.8314836093687, 1.9634189447429322, null, null, 9553.8314836093687, 1.9634189447429322
2100-Jan-01 16:00:00, 9454.6495336829339, 1.9430359476389749, null, null, 9454.6495336829339, 1.9430359476389749
2100-Jan-01 17:00:00, 9368.5688844115048, 1.9253454139671957, null, null, 9368.5688844115048, 1.9253454139671957
2100-Jan-01 18:00:00, 9303.0043435331445, 1.911871169431399, null, null, 9303.0043435331445, 1.911871169431399
2100-Jan-01 19:00:00, 9259.95051964497, 1.9030231283485421, null, null, 9259.95051964497, 1.9030231283485421
2100-Jan-01 20:00:00, 9236.8315661513134, 1.8982719255091418, null, null, 9236.8315661513134, 1.8982719255091418
2100-Jan-01 21:00:00, 9230.1410101040728, 1.896896941606971, null, null, 9230.1410101040728, 1.896896941606971
2100-Jan-01 22:00:00, 9236.4560436539832, 1.8981947514469135, null, null, 9236.4560436539832, 1.8981947514469135
2100-Jan-01 23:00:00, 9254.0490105020344, 1.9018103023871786, null, null, 9254.0490105020344, 1.9018103023871786
2100-Jan-02 00:00:00, 9283.0604370931142, 1.9077724741797908, null, null, 9283.0604370931142, 1.9077724741797908
2100-Jan-02 01:00:00, 9323.412853159065, 1.9160653458204473, null, null, 9323.412853159065, 1.9160653458204473
2100-Jan-02 02:00:00, 9373.8766459450544, 1.9264362181714594, null, null, 9373.8766459450544, 1.9264362181714594
2100-Jan-02 03:00:00, 9433.2638478086792, 1.9386409506303015, null, null, 9433.2638478086792, 1.9386409506303015
2100-Jan-02 04:00:00, 9500.4667918179875, 1.9524519052862157, null, null, 9500.4667918179875, 1.9524519052862157
2100-Jan-02 05:00:00, 9573.8675698469924, 1.9675365839712298, null, null, 9573.8675698469924, 1.9675365839712298
2100-Jan-02 06:00:00, 9653.0346107586556, 1.9838062940024219, null, null, 9653.0346107586556, 1.9838062940024219
2100-Jan-02 07:00:00, 9736.0081656331804, 2.0008582851153909, null, null, 9736.0081656331804, 2.0008582851153909
2100-Jan-02 08:00:00, 9815.5542405497254, 2.0172058908627846, null, null, 9815.5542405497254, 2.0172058908627846
2100-Jan-02 09:00:00, 9881.0610364411386, 2.0306682681596069, null, null, 9881.0610364411386, 2.0306682681596069
2100-Jan-02 10:00:00, 9923.005181900613, 2.0392882579466858, null, null, 9923.005181900613, 2.0392882579466858
2100-Jan-02 11:00:00, 9930.3537253830091, 2.0407984656067599, null, null, 9930.3537253830091, 2.0407984656067599
2100-Jan-02 12:00:00, 9903.9255457121017, 2.0353671798728685, null, null, 9903.9255457121017, 2.0353671798728685
2100-Jan-02 13:00:00, 9847.3719994063922, 2.0237447952411607, null, null, 9847.3719994063922, 2.0237447952411607
2100-Jan-02 14:00:00, 9756.2260238509607, 2.0050132805133125, null, null, 9756.2260238509607, 2.0050132805133125
2100-Jan-02 15:00:00, 9641.4562777297524, 1.9814268174064098, null, null, 9641.4562777297524, 1.9814268174064098
2100-Jan-02 16:00:00, 9524.7935901104465, 1.9574513337055151, null, null, 9524.7935901104465, 1.9574513337055151
2100-Jan-02 17:00:00, 9422.8169026068517, 1.9364939868536062, null, null, 9422.8169026068517, 1.9364939868536062
2100-Jan-02 18:00:00, 9343.9052994072554, 1.9202767721217016, null, null, 9343.9052994072554, 1.9202767721217016
2100-Jan-02 19:00:00, 9291.4077305918472, 1.9094879361094741, null, null, 9291.4077305918472, 1.9094879361094741
2100-Jan-02 20:00:00, 9264.053423770627, 1.9038663209150637, null, null, 9264.053423770627, 1.9038663209150637
2100-Jan-02 21:00:00, 9258.7726178099638, 1.9027810563817227, null, null, 9258.7726178099638, 1.9027810563817227
2100-Jan-02 22:00:00, 9271.6732956661144, 1.9054322895907496, null, null, 9271.6732956661144, 1.9054322895907496
2100-Jan-02 23:00:00, 9298.3800612505747, 1.9109208278375565, null, null, 9298.3800612505747, 1.9109208278375565
2100-Jan-03 00:00:00, 9335.6612472461147, 1.9185825274385708, null, null, 9335.6612472461147, 1.9185825274385708
2100-Jan-03 01:00:00, 9381.2295538683647, 1.9279473227728277, null, null, 9381.2295538683647, 1.9279473227728277
2100-Jan-03 02:00:00, 9433.6581211052689, 1.9387219781909464, null, null, 9433.6581211052689, 1.9387219781909464
2100-Jan-03 03:00:00, 9491.7227708286591, 1.950654911431642, null, null, 9491.7227708286591, 1.950654911431642
