Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 217.69734448943743, 3.2338288310408689, null, null, 217.69734448943743, 3.2338288310408689
2100-Jan-01 01:00:00, 218.37104594641474, 3.2438364643457076, null, null, 218.37104594641474, 3.2438364643457076
2100-Jan-01 02:00:00, 219.35825634431845, 3.2585011790418452, null, null, 219.35825634431845, 3.2585011790418452
2100-Jan-01 03:00:00, 220.63667982906523, 3.2774917768966318, null, null, 220.63667982906523, 3.2774917768966318
2100-Jan-01 04:00:00, 222.15968303340458, 3.3001155332107523, null, null, 222.15968303340458, 3.3001155332107523
2100-Jan-01 05:00:00, 223.9008651597978, 3.3259802720463547, null, null, 223.9008651597978, 3.3259802720463547
2100-Jan-01 06:00:00, 225.81433452943398, 3.3544042862636863, null, null, 225.81433452943398, 3.3544042862636863
2100-Jan-01 07:00:00, 227.83370302435017, 3.3844014002600513, null, null, 227.83370302435017, 3.3844014002600513
2100-Jan-01 08:00:00, 229.78765372293958, 3.413426752490921, null, null, 229.78765372293958, 3.413426752490921
2100-Jan-01 09:00:00, 231.4016935328919, 3.4374028303071791, null, null, 231.4016935328919, 3.4374028303071791
2100-Jan-01 10:00:00, 232.42997034666911, 3.4526775743077653, null, null, 232.42997034666911, 3.4526775743077653
2100-Jan-01 11:00:00, 232.64659326974274, 3.4558954429305673, null, null, 232.64659326974274, 3.4558954429305673
2100-Jan-01 12:00:00, 231.99984635322954, 3.4462882112488384, null, null, 231.99984635322954, 3.4462882112488384
2100-Jan-01 13:00:00, 230.5660365959213, 3.4249893968683254, null, null, 230.5660365959213, 3.4249893968683254
2100-Jan-01 14:00:00, 228.50925777002436, 3.3944365636132434, null, null, 228.50925777002436, 3.3944365636132434
2100-Jan-01 15:00:00, 226.10979843101038, 3.3587933140016704, null, null, 226.10979843101038, 3.3587933140016704
2100-Jan-01 16:00:00, 223.67790604119642, 3.3226682811372901, null, null, 223.67790604119642, 3.3226682811372901
2100-Jan-01 17:00:00, 221.51688418112366, 3.2905669488403682, null, null, 221.51688418112366, 3.2905669488403682
2100-Jan-01 18:00:00, 219.82894667386262, 3.265493142870076, null, null, 219.82894667386262, 3.265493142870076
2100-Jan-01 19:00:00, 218.68877967636928, 3.2485563037122875, null, null, 218.68877967636928, 3.2485563037122875
2100-Jan-01 20:00:00, 218.05930224703238, 3.2392056050886855, null, null, 218.05930224703238, 3.2392056050886855
2100-Jan-01 21:00:00, 217.86959254223657, 3.2363875242602966, null, null, 217.86959254223657, 3.2363875242602966
2100-Jan-01 22:00:00, 218.03819091216246, 3.2388920025340737, null, null, 218.03819091216246, 3.2388920025340737
2100-Jan-01 23:00:00, 218.50797295583155, 3.2458704740477495, null, null, 218.50797295583155, 3.2458704740477495
2100-Jan-02 00:00:00, 219.26801809624078, 3.2571607169017094, null, null, 219.26801809624078, 3.2571607169017094
2100-Jan-02 01:00:00, 220.31402591977007, 3.2726988497400153, null, null, 220.31402591977007, 3.2726988497400153
2100-Jan-02 02:00:00, 221.61565038255853, 3.2920340911726806, null, null, 221.61565038255853, 3.2920340911726806
2100-Jan-02 03:00:00, 223.13055381020538, 3.3145375277306988, null, null, 223.13055381020538, 3.3145375277306988
2100-Jan-02 04:00:00, 224.83333883238973, 3.3398318890869136, null, null, 224.83333883238973, 3.3398318890869136
2100-Jan-02 05:00:00, 226.67880107751043, 3.3672456778442603, null, null, 226.67880107751043, 3.3672456778442603
2100-Jan-02 06:00:00, 228.64778788197287, 3.3964943869231101, null, null, 228.64778788197287, 3.3964943869231101
2100-Jan-02 07:00:00, 230.70287106088853, 3.4270220318502949, null, null, 230.70287106088853, 3.4270220318502949
2100-Jan-02 08:00:00, 232.68020155764125, 3.4563946839783761, null, null, 232.68020155764125, 3.4563946839783761
2100-Jan-02 09:00:00, 234.33970575116774, 3.4810461215916613, null, null, 234.33970575116774, 3.4810461215916613
2100-Jan-02 10:00:00, 235.45920187017774, 3.4976759010425011, null, null, 235.45920187017774, 3.4976759010425011
2100-Jan-02 11:00:00, 235.78943326353911, 3.502581389454734, null, null, 235.78943326353911, 3.502581389454734
2100-Jan-02 12:00:00, 235.30797027154367, 3.495429400953241, null, null, 235.30797027154367, 3.495429400953241
2100-Jan-02 13:00:00, 234.06647862329689, 3.476987414465015, null, null, 234.06647862329689, 3.476987414465015
2100-Jan-02 14:00:00, 232.00155444463886, 3.4463135844349857, null, null, 232.00155444463886, 3.4463135844349857
2100-Jan-02 15:00:00, 229.31750544044479, 3.4064428406092131, null, null, 229.31750544044479, 3.4064428406092131
2100-Jan-02 16:00:00, 226.48243093247123, 3.3643286581715, null, null, 226.48243093247123, 3.3643286581715
2100-Jan-02 17:00:00, 223.90638940979983, 3.3260623331250891, null, null, 223.90638940979983, 3.3260623331250891
2100-Jan-02 18:00:00, 221.82333610913867, 3.2951192004191241, null, null, 221.82333610913867, 3.2951192004191241
2100-Jan-02 19:00:00, 220.35231898538623, 3.273267681757277, null, null, 220.35231898538623, 3.273267681757277
2100-Jan-02 20:00:00, 219.49784628876338, 3.2605747458459242, null, null, 219.49784628876338, 3.2605747458459242
2100-Jan-02 21:00:00, 219.20553180650663, 3.2562325017883786, null, null, 219.20553180650663, 3.2562325017883786
2100-Jan-02 22:00:00, 219.38912445781588, 3.2589597156198726, null, null, 219.38912445781588, 3.2589597156198726
2100-Jan-02 23:00:00, 219.90778298857492, 3.2666642327060478, null, null, 219.90778298857492, 3.2666642327060478
2100-Jan-03 00:00:00, 220.67595425417747, 3.278075186715196, null, null, 220.67595425417747, 3.278075186715196
2100-Jan-03 01:00:00, 221.65896367376013, 3.2926774971369723, null, null, 221.65896367376013, 3.2926774971369723
2100-Jan-03 02:00:00, 222.84563543079858, 3.3103051505651431, null, null, 222.84563543079858, 3.3103051505651431
2100-Jan-03 03:00:00, 224.21028782357399, 3.3305766530148211, null, null, 224.21028782357399, 3.3305766530148211
2100-Jan-03 04:00:00, 225.71078682244115, 3.3528661160988324, null, null, 225.71078682244115, 3.3528661160988324
2100-Jan-03 05:00:00, 227.31026749093081, 3.3766259222305299, null, null, 227.31026749093081, 3.3766259222305299
2100-Jan-03 06:00:00, 228.94951855975134, 3.400976505744072, null, null, 228.94951855975134, 3.400976505744072
2100-Jan-03 07:00:00, 230.63189288937741, 3.4259676723773049, null, null, 230.63189288937741, 3.4259676723773049
2100-Jan-03 08:00:00, 232.28148575834604, 3.4504718802336805, null, null, 232.28148575834604, 3.4504718802336805
2100-Jan-03 09:00:00, 233.71931504381118, 3.4718304035007277, null, null, 233.71931504381118, 3.4718304035007277
2100-Jan-03 10:00:00, 234.73602478359922, 3.4869333220826588, null, null, 234.73602478359922, 3.4869333220826588
2100-Jan-03 11:00:00, 235.16053364360423, 3.4932392740166893, null, null, 235.16053364360423, 3.4932392740166893
2100-Jan-03 12:00:00, 234.87176300830677, 3.4889496727440004, null, null, 234.87176300830677, 3.4889496727440004
2100-Jan-03 13:00:00, 233.82889799038438, 3.4734582253414117, null, null, 233.82889799038438, 3.4734582253414117
2100-Jan-03 14:00:00, 232.08993371729412, 3.4476264320521639, null, null, 232.08993371729412, 3.4476264320521639
2100-Jan-03 15:00:00, 229.83521576119091, 3.4141332723197269, null, null, 229.83521576119091, 3.4141332723197269
2100-Jan-03 16:00:00, 227.34053861770622, 3.3770755907496564, null, null, 227.34053861770622, 3.3770755907496564
2100-Jan-03 17:00:00, 224.95094356299586, 3.3415788721261093, null, null, 224.95094356299586, 3.3415788721261093
2100-Jan-03 18:00:00, 222.94046002347775, 3.3117137414802817, null, null, 222.94046002347775, 3.3117137414802817
2100-Jan-03 19:00:00, 221.43369723087042, 3.2893312316168708, null, null, 221.43369723087042, 3.2893312316168708
2100-Jan-03 20:00:00, 220.43830387725183, 3.2745449615651729, null, null, 220.43830387725183, 3.2745449615651729
2100-Jan-03 21:00:00, 219.87605716843345, 3.2661929551527891, null, null, 219.87605716843345, 3.2661929551527891
2100-Jan-03 22:00:00, 219.73811415816766, 3.2641438530625257, null, null, 219.73811415816766, 3.2641438530625257
2100-Jan-03 23:00:00, 220.02254592300193, 3.2683690017143943, null, null, 220.02254592300193, 3.2683690017143943
2100-Jan-04 00:00:00, 220.68892447959641, 3.278267855527961, null, null, 220.68892447959641, 3.278267855527961
2100-Jan-04 01:00:00, 221.62424705799481, 3.2921617922107531, null, null, 221.62424705799481, 3.2921617922107531
2100-Jan-04 02:00:00, 222.78126062388898, 3.3093488820949641, null, null, 222.78126062388898, 3.3093488820949641
2100-Jan-04 03:00:00, 224.13407397574775, 3.3294445191387601, null, null, 224.13407397574775, 3.3294445191387601
2100-Jan-04 04:00:00, 225.68214040824748, 3.3524405821983492, null, null, 225.68214040824748, 3.3524405821983492
2100-Jan-04 05:00:00, 227.41746503441476, 3.3782183096229814, null, null, 227.41746503441476, 3.3782183096229814
2100-Jan-04 06:00:00, 229.30714656163681, 3.406288962568004, null, null, 229.30714656163681, 3.406288962568004
2100-Jan-04 07:00:00, 231.24219907721837, 3.4350335879521201, null, null, 231.24219907721837, 3.4350335879521201
2100-Jan-04 08:00:00, 233.16865429380155, 3.4636505030353359, null, null, 233.16865429380155, 3.4636505030353359
2100-Jan-04 09:00:00, 234.99565397877117, 3.4907900359929553, null, null, 234.99565397877117, 3.4907900359929553
2100-Jan-04 10:00:00, 236.59056218006265, 3.5144819194943189, null, null, 236.59056218006265, 3.5144819194943189
2100-Jan-04 11:00:00, 237.73312600864668, 3.5314543628598773, null, null, 237.73312600864668, 3.5314543628598773
2100-Jan-04 12:00:00, 238.33085048465819, 3.5403333808749022, null, null, 238.33085048465819, 3.5403333808749022
2100-Jan-04 13:00:00, 238.4061621060365, 3.5414521124473834, null, null, 238.4061621060365, 3.5414521124473834
2100-Jan-04 14:00:00, 238.04466911919724, 3.5360822424298983, null, null, 238.04466911919724, 3.5360822424298983
2100-Jan-04 15:00:00, 237.37218491608326, 3.5260926910665145, null, null, 237.37218491608326, 3.5260926910665145
2100-Jan-04 16:00:00, 236.55568274649067, 3.5139637959583614, null, null, 236.55568274649067, 3.5139637959583614
2100-Jan-04 17:00:00, 235.73930230888212, 3.5018367091423599, null, null, 235.73930230888212, 3.5018367091423599
2100-Jan-04 18:00:00, 235.04191642851799, 3.4914772508238792, null, null, 235.04191642851799, 3.4914772508238792
2100-Jan-04 19:00:00, 234.53619608052645, 3.4839649265664812, null, null, 234.53619608052645, 3.4839649265664812
2100-Jan-04 20:00:00, 234.22361838733067, 3.4793216785812224, null, null, 234.22361838733067, 3.4793216785812224
2100-Jan-04 21:00:00, 234.13332306568878, 3.4779803686303894, null, null, 234.13332306568878, 3.4779803686303894
2100-Jan-04 22:00:00, 234.24232203896821, 3.4795995157227506, null, null, 234.24232203896821, 3.4795995157227506
2100-Jan-04 23:00:00, 234.52858900546897, 3.4838519257455549, null, null, 234.52858900546897, 3.4838519257455549
2100-Jan-05 00:00:00, 234.96612080985429, 3.4903513296167272, null, null, 234.96612080985429, 3.4903513296167272
2100-Jan-05 01:00:00, 235.54463915390818, 3.4989450462956109, null, null, 235.54463915390818, 3.4989450462956109
2100-Jan-05 02:00:00, 236.27083192032674, 3.5097324222759898, null, null, 236.27083192032674, 3.5097324222759898
2100-Jan-05 03:00:00, 237.11829586461596, 3.522321245271224, null, null, 237.11829586461596, 3.522321245271224
2100-Jan-05 04:00:00, 238.07628717139255, 3.536551919122604, null, null, 238.07628717139255, 3.536551919122604
