Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 11885.610958661688, 3.2086919335931512, null, null, 11885.610958661688, 3.2086919335931512
2100-Jan-01 01:00:00, 12141.064540704136, 3.2776553088001901, null, null, 12141.064540704136, 3.2776553088001901
2100-Jan-01 02:00:00, 12423.971744026932, 3.3540301846407727, null, null, 12423.971744026932, 3.3540301846407727
2100-Jan-01 03:00:00, 12730.501547082729, 3.4367823216484426, null, null, 12730.501547082729, 3.4367823216484426
2100-Jan-01 04:00:00, 13045.03215298049, 3.5216943906638623, null, null, 13045.03215298049, 3.5216943906638623
2100-Jan-01 05:00:00, 13367.566781920825, 3.6087672610265855, null, null, 13367.566781920825, 3.6087672610265855
2100-Jan-01 06:00:00, 13688.273193982131, 3.6953465779007253, null, null, 13688.273193982131, 3.6953465779007253
2100-Jan-01 07:00:00, 13990.908145743328, 3.7770472436819689, null, null, 13990.908145743328, 3.7770472436819689
2100-Jan-01 08:00:00, 14221.358681829202, 3.8392606863735361, null, null, 14221.358681829202, 3.8392606863735361
2100-Jan-01 09:00:00, 14309.649079013856, 3.863095951236692, null, null, 14309.649079013856, 3.863095951236692
2100-Jan-01 10:00:00, 14225.94995781139, 3.8405001674788979, null, null, 14225.94995781139, 3.8405001674788979
2100-Jan-01 11:00:00, 13949.402961497244, 3.7658423211621339, null, null, 13949.402961497244, 3.7658423211621339
2100-Jan-01 12:00:00, 13526.236075998409, 3.6516023231690702, null, null, 13526.236075998409, 3.6516023231690702
2100-Jan-01 13:00:00, 13017.717507331257, 3.514320408504386, null, null, 13017.717507331257, 3.514320408504386
2100-Jan-01 14:00:00, 12486.006136049778, 3.3707772625975863, null, null, 12486.006136049778, 3.3707772625975863
2100-Jan-01 15:00:00, 12010.2225974339, 3.2423326409619917, null, null, 12010.2225974339, 3.2423326409619917
2100-Jan-01 16:00:00, 11648.874933662708, 3.1447816326042433, null, null, 11648.874933662708, 3.1447816326042433
2100-Jan-01 17:00:00, 11442.81085773112, 3.0891516662066669, null, null, 11442.81085773112, 3.0891516662066669
2100-Jan-01 18:00:00, 11391.937515021638, 3.0754176743273622, null, null, 11391.937515021638, 3.0754176743273622
2100-Jan-01 19:00:00, 11466.05468130995, 3.0954266712932927, null, null, 11466.05468130995, 3.0954266712932927
2100-Jan-01 20:00:00, 11618.738625052678, 3.1366459018722184, null, null, 11618.738625052678, 3.1366459018722184
2100-Jan-01 21:00:00, 11816.502725089729, 3.1900351701858303, null, null, 11816.502725089729, 3.1900351701858303
2100-Jan-01 22:00:00, 12034.484616474401, 3.2488825225842914, null, null, 12034.484616474401, 3.2488825225842914
2100-Jan-01 23:00:00, 12262.810965076904, 3.3105225102581031, null, null, 12262.810965076904, 3.3105225102581031
2100-Jan-02 00:00:00, 12509.50040706268, 3.3771198795776423, null, null, 12509.50040706268, 3.3771198795776423
2100-Jan-02 01:00:00, 12778.591615569412, 3.4497649285481504, null, null, 12778.591615569412, 3.4497649285481504
2100-Jan-02 02:00:00, 13061.09093571258, 3.5260296904473565, null, null, 13061.09093571258, 3.5260296904473565
2100-Jan-02 03:00:00, 13346.367060210448, 3.6030440906920451, null, null, 13346.367060210448, 3.6030440906920451
2100-Jan-02 04:00:00, 13635.626197034637, 3.6811337625039515, null, null, 13635.626197034637, 3.6811337625039515
2100-Jan-02 05:00:00, 13917.55220702213, 3.757243751066023, null, null, 13917.55220702213, 3.757243751066023
2100-Jan-02 06:00:00, 14196.533470531713, 3.8325587628866371, null, null, 14196.533470531713, 3.8325587628866371
2100-Jan-02 07:00:00, 14465.795337999789, 3.9052498837027203, null, null, 14465.795337999789, 3.9052498837027203
2100-Jan-02 08:00:00, 14669.863786402031, 3.9603411016945027, null, null, 14669.863786402031, 3.9603411016945027
2100-Jan-02 09:00:00, 14750.803365774244, 3.9821919073740184, null, null, 14750.803365774244, 3.9821919073740184
2100-Jan-02 10:00:00, 14679.539705238194, 3.9629532554010036, null, null, 14679.539705238194, 3.9629532554010036
2100-Jan-02 11:00:00, 14417.331579896818, 3.8921663939067428, null, null, 14417.331579896818, 3.8921663939067428
2100-Jan-02 12:00:00, 14024.123859348265, 3.7860143041623586, null, null, 14024.123859348265, 3.7860143041623586
2100-Jan-02 13:00:00, 13544.529910248111, 3.656541007313761, null, null, 13544.529910248111, 3.656541007313761
2100-Jan-02 14:00:00, 12954.963821114396, 3.4973791467158586, null, null, 12954.963821114396, 3.4973791467158586
2100-Jan-02 15:00:00, 12349.841455802531, 3.3340176452191264, null, null, 12349.841455802531, 3.3340176452191264
2100-Jan-02 16:00:00, 11870.840969962872, 3.2047045623286885, null, null, 11870.840969962872, 3.2047045623286885
2100-Jan-02 17:00:00, 11579.108703556452, 3.1259472335516638, null, null, 11579.108703556452, 3.1259472335516638
2100-Jan-02 18:00:00, 11466.068374022567, 3.0954303678383566, null, null, 11466.068374022567, 3.0954303678383566
2100-Jan-02 19:00:00, 11507.24022792269, 3.1065453030284678, null, null, 11507.24022792269, 3.1065453030284678
2100-Jan-02 20:00:00, 11659.039926881564, 3.147525818987241, null, null, 11659.039926881564, 3.147525818987241
2100-Jan-02 21:00:00, 11881.902817567307, 3.2076908674755114, null, null, 11881.902817567307, 3.2076908674755114
2100-Jan-02 22:00:00, 12141.832455285139, 3.2778626184059245, null, null, 12141.832455285139, 3.2778626184059245
2100-Jan-02 23:00:00, 12392.681593921823, 3.3455829577718825, null, null, 12392.681593921823, 3.3455829577718825
2100-Jan-03 00:00:00, 12629.675771349086, 3.4095629507284273, null, null, 12629.675771349086, 3.4095629507284273
2100-Jan-03 01:00:00, 12863.9989634503, 3.4728218727109805, null, null, 12863.9989634503, 3.4728218727109805
2100-Jan-03 02:00:00, 13107.23563676823, 3.5384871173789882, null, null, 13107.23563676823, 3.5384871173789882
2100-Jan-03 03:00:00, 13355.875774999944, 3.6056111052569682, null, null, 13355.875774999944, 3.6056111052569682
2100-Jan-03 04:00:00, 13599.401498591209, 3.6713543832110793, null, null, 13599.401498591209, 3.6713543832110793
2100-Jan-03 05:00:00, 13833.208149351447, 3.7344738574159861, null, null, 13833.208149351447, 3.7344738574159861
2100-Jan-03 06:00:00, 14041.041727621385, 3.7905815264658944, null, null, 14041.041727621385, 3.7905815264658944
2100-Jan-03 07:00:00, 14245.197657426887, 3.8456963613229731, null, null, 14245.197657426887, 3.8456963613229731
2100-Jan-03 08:00:00, 14420.900138158328, 3.8931297776274523, null, null, 14420.900138158328, 3.8931297776274523
2100-Jan-03 09:00:00, 14514.952613236577, 3.9185205984416003, null, null, 14514.952613236577, 3.9185205984416003
2100-Jan-03 10:00:00, 14485.126465128906, 3.910468600006173, null, null, 14485.126465128906, 3.910468600006173
2100-Jan-03 11:00:00, 14315.77352172413, 3.8647493327911246, null, null, 14315.77352172413, 3.8647493327911246
2100-Jan-03 12:00:00, 14006.916618481351, 3.7813689615576669, null, null, 14006.916618481351, 3.7813689615576669
2100-Jan-03 13:00:00, 13580.602578862859, 3.6662793439638404, null, null, 13580.602578862859, 3.6662793439638404
