Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 12976.51008282894, 0.82919780931289, 9366.1562987046091, 4.120318865520133, 3610.3537841243296, 0.26990652407798638
2100-Jan-01 01:00:00, 12996.155644175116, 0.83045315888893101, 9385.1120164890399, 4.1286577826923212, 3611.0436276860769, 0.26995809610916166
2100-Jan-01 02:00:00, 13018.122350434962, 0.83185682941299488, 9406.3897278997683, 4.1380181812319918, 3611.7326225351926, 0.27000960469140928
2100-Jan-01 03:00:00, 13042.199452044148, 0.83339535400716591, 9429.7786913180262, 4.1483073526000309, 3612.4207607261205, 0.2700610492307271
2100-Jan-01 04:00:00, 13068.453983806017, 0.83507301618925633, 9455.3459499672099, 4.1595547901605627, 3613.1080338388074, 0.27011242909764022
2100-Jan-01 05:00:00, 13097.020239126618, 0.83689839729564941, 9483.2258060851273, 4.1718195755716847, 3613.7944330414907, 0.27016374363189466
2100-Jan-01 06:00:00, 13127.582776674633, 0.83885134065407918, 9513.1028277581081, 4.1849629453937069, 3614.4799489165262, 0.27021499212943656
2100-Jan-01 07:00:00, 13159.589211250292, 0.84089654890072252, 9544.4246398910254, 4.1987419011699822, 3615.1645713592666, 0.27026617383485235
2100-Jan-01 08:00:00, 13191.028130973738, 0.8429054930001334, 9575.1798413069846, 4.212271596016584, 3615.8482896667542, 0.27031728794799936
2100-Jan-01 09:00:00, 13216.736438850079, 0.84454825152581836, 9600.2053463645461, 4.2232807076862349, 3616.5310924855321, 0.27036833362010426
2100-Jan-01 10:00:00, 13231.209285248511, 0.84547306508905684, 9613.9963173178385, 4.2293475718277769, 3617.2129679306736, 0.27041930996266145
2100-Jan-01 11:00:00, 13229.031248415549, 0.84533388873432302, 9611.137344868639, 4.2280898650649643, 3617.8939035469107, 0.27047021604452737
2100-Jan-01 12:00:00, 13209.177623910653, 0.84406524394143956, 9590.603737372885, 4.2190568094929963, 3618.5738865377684, 0.27052105090904993
2100-Jan-01 13:00:00, 13174.493655545206, 0.8418489415301339, 9555.2407517092688, 4.2035000781803795, 3619.2529038359371, 0.27057181357932991
2100-Jan-01 14:00:00, 13129.957728943677, 0.83900309988719679, 9510.0267867737293, 4.1836097467821478, 3619.9309421699477, 0.27062250306320518
2100-Jan-01 15:00:00, 13082.001607388613, 0.8359387080990518, 9461.3936190882268, 4.1622152545364557, 3620.6079883003854, 0.27067311837091007
2100-Jan-01 16:00:00, 13036.79603322474, 0.83305007603803138, 9415.5120041782393, 4.1420312134565203, 3621.2840290465006, 0.27072365851706454
2100-Jan-01 17:00:00, 12999.326686945751, 0.8306557882324036, 9377.3676354029885, 4.1252509081460307, 3621.9590515427626, 0.27077412253985411
2100-Jan-01 18:00:00, 12972.507040913195, 0.82894201530002087, 9349.8739977942259, 4.1131560263067408, 3622.6330431189695, 0.27082450949206688
