Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 17910.30357356173, 1.086905304763925, 14364.92719587624, 5.7753481552568138, 3545.3763776854885, 0.25340457223394541
2100-Jan-01 01:00:00, 18568.718031117482, 1.1268618674046047, 15022.764841802969, 6.0398285374443459, 3545.9531893145104, 0.2534457996491874
2100-Jan-01 02:00:00, 19277.149199915781, 1.1698537459210365, 15730.620007573547, 6.3244182168821705, 3546.5291923422319, 0.25348696926992609
2100-Jan-01 03:00:00, 20024.925048446967, 1.2152332970383413, 16477.82065924018, 6.6248265549382372, 3547.1043892067846, 0.25352808127042614
2100-Jan-01 04:00:00, 20759.422617858982, 1.2598070420478107, 17211.743839787741, 6.9198967511932086, 3547.6787780712398, 0.2535691355193937
2100-Jan-01 05:00:00, 21487.768783625248, 1.3040074827619705, 17939.516430915646, 7.2124941332964481, 3548.2523527096032, 0.25361013157182793
2100-Jan-01 06:00:00, 22186.122245914725, 1.3463877852311674, 18637.297143101583, 7.4930334283409579, 3548.8251028131408, 0.25365106869091558
2100-Jan-01 07:00:00, 22811.748823152579, 1.3843545814280167, 19262.351808656611, 7.7443335749009909, 3549.3970144959676, 0.25369194588416777
2100-Jan-01 08:00:00, 23218.221355353708, 1.409021787635643, 19668.253284400969, 7.9075242619953992, 3549.9680709527379, 0.25373276195042804
2100-Jan-01 09:00:00, 23233.894864349339, 1.4099729507469576, 19683.356610974723, 7.9135964799799785, 3550.5382533746174, 0.25377351554534144
2100-Jan-01 10:00:00, 22809.42428167566, 1.3842135142232075, 19258.316739878836, 7.7427112953931108, 3551.107541796825, 0.25381420524193199
2100-Jan-01 11:00:00, 21919.325011094385, 1.3301969189718912, 18367.649095036333, 7.3846227600704433, 3551.6759160580496, 0.25385482959917677
2100-Jan-01 12:00:00, 20721.720579612782, 1.2575190548452544, 17169.477222729383, 6.9029036661933061, 3552.2433568833967, 0.25389538723940935
2100-Jan-01 13:00:00, 19393.904944661928, 1.1769391891021099, 15841.095098058433, 6.3688341823328605, 3552.8098466034962, 0.25393587689971742
