Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1352.1112978975434, 1.7868071285786418, 781.23032266515884, 7.1074451174803155, 570.88097523238457, 0.8826208624824784
2100-Jan-01 01:00:00, 1361.0703794211977, 1.7986465021249425, 790.18211513377116, 7.1888863670425218, 570.88826428742664, 0.88263213185792966
2100-Jan-01 02:00:00, 1370.8465589378909, 1.811565665863796, 799.95762329491401, 7.2778215833738296, 570.88893564297689, 0.88263316981932705
2100-Jan-01 03:00:00, 1381.3774987505499, 1.8254822408951197, 810.49417364645967, 7.3736805780627446, 570.88332510409032, 0.88262449554415257
2100-Jan-01 04:00:00, 1392.7040316914954, 1.840450187566693, 821.83199934589629, 7.4768293826756986, 570.87203234559911, 0.88260703617053227
2100-Jan-01 05:00:00, 1404.8625869145346, 1.8565176467910369, 834.0067287362458, 7.5875921352873528, 570.85585817828883, 0.88258202980647271
2100-Jan-01 06:00:00, 1417.569651315496, 1.873309957668293, 846.73390703637972, 7.703380934882321, 570.83574427911628, 0.88255093234867366
2100-Jan-01 07:00:00, 1430.5286465915867, 1.8904351937154593, 859.71592678071181, 7.8214882204931913, 570.81271981087491, 0.8825153349528958
2100-Jan-01 08:00:00, 1442.4091193775807, 1.9061351686346151, 871.62126282107226, 7.9298000973585872, 570.78785655650859, 0.88247689466855461
2100-Jan-01 09:00:00, 1450.3036368781982, 1.9165677270850372, 879.54140522188857, 8.0018556433394341, 570.7622316563095, 0.88243727682789075
2100-Jan-01 10:00:00, 1452.2592072436655, 1.9191520018225439, 881.5223131856161, 8.0198774663876513, 570.73689405804953, 0.88239810317558898
2100-Jan-01 11:00:00, 1446.4133532537548, 1.9114267401535938, 875.70052636637536, 7.9669122535650567, 570.71282688737938, 0.88236089369085224
2100-Jan-01 12:00:00, 1433.8315445841613, 1.8947999539887275, 863.14064632885447, 7.8526454932269827, 570.69089825530682, 0.88232699053241359
2100-Jan-01 13:00:00, 1416.6724119188352, 1.8721242610821553, 846.00061282383274, 7.6967096009370852, 570.6717990950026, 0.88229746193000469
2100-Jan-01 14:00:00, 1397.3474301540068, 1.8465864113276715, 826.69145439584429, 7.5210395330837638, 570.65597575816253, 0.88227299797374237
2100-Jan-01 15:00:00, 1378.6860184384095, 1.8219254654908763, 808.04244538224168, 7.351375345437547, 570.64357305616772, 0.88225382255188256
2100-Jan-01 16:00:00, 1362.894011248869, 1.8010564208606654, 792.25960718919396, 7.2077868888701255, 570.63440405967492, 0.88223964665893173
2100-Jan-01 17:00:00, 1351.5096054447113, 1.7860119955407001, 780.88164787222945, 7.1042729582812978, 570.62795757248171, 0.8822296799507503
2100-Jan-01 18:00:00, 1345.0362411721014, 1.7774574827234704, 774.41279474476494, 7.0454208921970665, 570.62344642733649, 0.88222270541316439
2100-Jan-01 19:00:00, 1342.9889645221433, 1.7747520186703218, 772.3690735335199, 7.0268276093674897, 570.61989098862352, 0.8822172084628026
2100-Jan-01 20:00:00, 1344.2047681242584, 1.7763586959805322, 773.58854310705931, 7.03792204952798, 570.61622501719921, 0.88221154062134222
2100-Jan-01 21:00:00, 1347.6222629820188, 1.780874895337214, 777.01085616232126, 7.0690574285697583, 570.61140681969755, 0.88220409135990419
2100-Jan-01 22:00:00, 1352.4474854760465, 1.7872513984865575, 781.842967189756, 7.1130188096537639, 570.60451828629039, 0.88219344121817433
