Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 16916.865146147084, 0.89758855698931284, 5088.0165828770178, 3.3014361831106571, 11828.848563270065, 0.68351683950039854
2100-Jan-01 01:00:00, 17040.68834524872, 0.90415846729144422, 5215.8911076074055, 3.384409494216547, 11824.797237641314, 0.68328273816122431
2100-Jan-01 02:00:00, 17178.095129204739, 0.91144910629968356, 5357.7754087187614, 3.4764732597083507, 11820.319720485979, 0.68302400981936973
2100-Jan-01 03:00:00, 17327.490330070264, 0.91937583631777775, 5512.0366477383777, 3.5765679877532164, 11815.453682331889, 0.68274283122432877
2100-Jan-01 04:00:00, 17481.515228660312, 0.92754821253946518, 5671.2613178477804, 3.6798833128077981, 11810.253910812533, 0.68244236821848137
2100-Jan-01 05:00:00, 17640.60061544153, 0.93598909218976867, 5835.8129738590069, 3.7866551328868625, 11804.787641582521, 0.68212650593924329
2100-Jan-01 06:00:00, 17799.810850781265, 0.94443659615471387, 6000.6803534340015, 3.8936318149549369, 11799.130497347265, 0.6817996141604199
2100-Jan-01 07:00:00, 17951.338266821011, 0.95247645895035793, 6157.9751643483987, 3.9956949218080013, 11793.363102472613, 0.68146635167119385
2100-Jan-01 08:00:00, 18068.95944462324, 0.95871729744749123, 6281.3911523239794, 4.0757752441969153, 11787.568292299262, 0.68113150501946718
2100-Jan-01 09:00:00, 18117.512702567765, 0.96129347502880158, 6335.6840377415374, 4.1110040005272754, 11781.828664826229, 0.68079984703861696
2100-Jan-01 10:00:00, 18078.689123970431, 0.95923354255376625, 6302.4651633798376, 4.0894494336359255, 11776.223960590594, 0.68047598544676502
2100-Jan-01 11:00:00, 17939.330666039321, 0.95183935006727416, 6168.503187366061, 4.0025261880904468, 11770.827478673258, 0.68016415574966227
2100-Jan-01 12:00:00, 17719.480475388362, 0.94017436286808465, 5953.7794194765329, 3.8631994376490213, 11765.701055911828, 0.67986793112009725
2100-Jan-01 13:00:00, 17448.409690839631, 0.92579167244387972, 5687.5207371719289, 3.690433481896036, 11760.888953667702, 0.67958986915154085
2100-Jan-01 14:00:00, 17159.391646014112, 0.9104567219339802, 5402.9797985875548, 3.5058048088331155, 11756.411847426556, 0.67933116455390508
2100-Jan-01 15:00:00, 16894.644931625469, 0.89640957908080887, 5142.382348374972, 3.3367122287787248, 11752.262583250498, 0.67909140394485668
2100-Jan-01 16:00:00, 16688.083689033374, 0.88544968751305075, 4939.6786582243822, 3.2051848867953381, 11748.405030808994, 0.67886849957348694
2100-Jan-01 17:00:00, 16564.423479935889, 0.87888842526488009, 4819.6467815935812, 3.1273003960157255, 11744.776698342306, 0.67865884042306146
2100-Jan-01 18:00:00, 16525.093958366575, 0.87680164806310523, 4783.7989119510139, 3.1040399659448621, 11741.29504641556, 0.67845765704426664
2100-Jan-01 19:00:00, 16554.057142337093, 0.87833839983604434, 4816.190491238277, 3.1250577299684608, 11737.866651098815, 0.67825955103936475
2100-Jan-01 20:00:00, 16625.377713149417, 0.88212258370734908, 4890.979997452213, 3.1735860273727221, 11734.397715697205, 0.67805910247081158
2100-Jan-01 21:00:00, 16719.781824617399, 0.88713155253545983, 4988.9777437222738, 3.2371733408433738, 11730.804080895125, 0.67785144828628985
2100-Jan-01 22:00:00, 16823.626111151545, 0.89264140572022665, 5096.6070821804033, 3.3070102579528324, 11727.019028971141, 0.67763273327657547
2100-Jan-01 23:00:00, 16932.379789345032, 0.89841174533301271, 5209.3819105363, 3.3801859036712907, 11722.997878808732, 0.67740037559311495
2100-Jan-02 00:00:00, 17051.111894214067, 0.90471152828671042, 5332.3925883131842, 3.4600032344339859, 11718.719305900882, 0.67715314302302132
2100-Jan-02 01:00:00, 17182.742624235234, 0.91169569680696716, 5468.5585445097213, 3.5483565657120284, 11714.184079725514, 0.67689108002971921
2100-Jan-02 02:00:00, 17323.145090335725, 0.91914528311365851, 5613.73278878363, 3.6425550603699639, 11709.412301552096, 0.67661534814267665
2100-Jan-02 03:00:00, 17467.035763558721, 0.92677994950288989, 5762.5956401478852, 3.7391469632872849, 11704.440123410834, 0.67632803636669359
2100-Jan-02 04:00:00, 17614.633142486844, 0.93461128924716119, 5915.316661091033, 3.8382422976382218, 11699.316481395812, 0.67603197241946256
2100-Jan-02 05:00:00, 17760.459467920358, 0.94234865901905018, 6066.3594504598977, 3.9362486861587489, 11694.10001746046, 0.67573054486094841
2100-Jan-02 06:00:00, 17906.736843641484, 0.95010996097774159, 6217.880597985516, 4.0345654645731512, 11688.856245655968, 0.67542753934763111
2100-Jan-02 07:00:00, 18049.667618917374, 0.95769369633419854, 6366.0126360876366, 4.1306831682996075, 11683.654982829736, 0.67512699016827671
2100-Jan-02 08:00:00, 18162.251171526248, 0.96366724448593422, 6483.683101151938, 4.2070354216224679, 11678.568070374309, 0.67483304859773841
2100-Jan-02 09:00:00, 18214.271566030271, 0.9664273841710056, 6540.6042524341028, 4.2439695678396161, 11673.667313596168, 0.6745498638256755
2100-Jan-02 10:00:00, 18188.060480855449, 0.96503665545643935, 6519.0383268920286, 4.2299761922782073, 11669.022153963422, 0.6742814484499805
2100-Jan-02 11:00:00, 18062.940280709994, 0.95839792783589361, 6398.2439501704466, 4.1515969418317731, 11664.696330539547, 0.6740314855614451
2100-Jan-02 12:00:00, 17864.729551783155, 0.94788110449893148, 6203.9863791885537, 4.0255499914658666, 11660.743172594603, 0.67380305673254237
2100-Jan-02 13:00:00, 17615.333266392234, 0.9346484369811251, 5958.1334700690559, 3.8660246289460831, 11657.199796323179, 0.67359830668123777
2100-Jan-02 14:00:00, 17306.114827820562, 0.91824167782839583, 5652.0335169825321, 3.6674070646540855, 11654.08131083803, 0.67341810847078343
2100-Jan-02 15:00:00, 16981.511093791214, 0.90101859336779144, 5330.134553543623, 3.4585380745687373, 11651.376540247591, 0.67326181631473281
2100-Jan-02 16:00:00, 16715.568134762812, 0.88690797921005327, 5066.5222969835886, 3.2874892920141336, 11649.045837779226, 0.67312713926848677
2100-Jan-02 17:00:00, 16548.110607379156, 0.8780228838296289, 4901.0891834805825, 3.1801455249671626, 11647.021423898574, 0.67301016076714382
2100-Jan-02 18:00:00, 16478.594122643899, 0.87433442259987793, 4833.3825667046376, 3.1362130670399684, 11645.211555939262, 0.67290557956290864
2100-Jan-02 19:00:00, 16493.22201063317, 0.87511056077670091, 4849.7129351625017, 3.1468092725420806, 11643.509075470669, 0.67280720362521873
2100-Jan-02 20:00:00, 16567.351245356545, 0.87904376898349623, 4925.5483424427957, 3.1960162186040622, 11641.802902913749, 0.67270861434431695
2100-Jan-02 21:00:00, 16678.987001169393, 0.88496702817500705, 5038.997026561372, 3.2696291057821094, 11639.989974608023, 0.67260385630137287
2100-Jan-02 22:00:00, 16809.644376575641, 0.89189955166784918, 5171.6590562335941, 3.355708861567245, 11637.985320342046, 0.67248801958735605
2100-Jan-02 23:00:00, 16936.346327156039, 0.89862220506767798, 5300.6175056166139, 3.4393854935074275, 11635.728821539427, 0.67235763031728868
2100-Jan-03 00:00:00, 17057.073592835815, 0.90502784885892462, 5423.8854038085392, 3.5193697256100491, 11633.188189027276, 0.67221082269727828
