Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 15377.961079866058, 1.0613385028191193, 6591.1072958956038, 5.7990626826721003, 8786.853783970455, 0.65806151236732047
2100-Jan-01 01:00:00, 15540.786283422711, 1.0725761862068277, 6756.909206453769, 5.9449403977613891, 8783.8770769689418, 0.6578385820262167
2100-Jan-01 02:00:00, 15721.512600747721, 1.0850493481594141, 6940.9061675890916, 6.1068266883561977, 8780.6064331586294, 0.65759363828808881
2100-Jan-01 03:00:00, 15918.042920024851, 1.0986132526157237, 7140.9824156092427, 6.2828600392781615, 8777.0605044156073, 0.65732807802172399
2100-Jan-01 04:00:00, 16120.781538770581, 1.1126056343733375, 7347.5100952289349, 6.4645695618294363, 8773.2714435416456, 0.65704430920179435
2100-Jan-01 05:00:00, 16330.238792673164, 1.1270617151962126, 7560.9568838994292, 6.6523667332828671, 8769.2819087737353, 0.65674552657179286
2100-Jan-01 06:00:00, 16539.9669737929, 1.1415364945634221, 7774.8246897300323, 6.840534328823229, 8765.1422840628657, 0.65643550346627166
2100-Jan-01 07:00:00, 16739.785693268983, 1.1553273540578999, 7978.8775162795464, 7.0200663981120908, 8760.9081769894365, 0.65611840442573122
2100-Jan-01 08:00:00, 16895.630905450213, 1.166083300396229, 8138.9926858313602, 7.1609407403118972, 8756.6382196188515, 0.65579862049918436
2100-Jan-01 09:00:00, 16961.857211052869, 1.1706540316960756, 8209.4651516213598, 7.2229446234489778, 8752.3920594315096, 0.65548061878169439
2100-Jan-01 10:00:00, 16914.67867999418, 1.1673979178810527, 8166.450467808143, 7.1850989570821904, 8748.2282121860371, 0.65516878161187364
2100-Jan-01 11:00:00, 16736.992941126839, 1.1551346070895667, 7992.7916340693355, 7.032308474839823, 8744.2013070575013, 0.65486720025588496
2100-Jan-01 12:00:00, 16454.75149746432, 1.1356551904299368, 7714.3930202730817, 6.7873646528542748, 8740.3584771912392, 0.65457940459025366
2100-Jan-01 13:00:00, 16105.881077614553, 1.1115772514133, 7369.1459570297357, 6.4836054708419644, 8736.7351205848172, 0.65430804562754752
2100-Jan-01 14:00:00, 15733.517466292164, 1.0858778862183487, 7000.1667420039057, 6.1589659982194531, 8733.3507242882588, 0.65405458278406348
2100-Jan-01 15:00:00, 15392.4137544039, 1.062335980955269, 6662.2080065414448, 5.86161931531477, 8730.2057478624556, 0.65381905047705058
2100-Jan-01 16:00:00, 15126.579846714998, 1.043988960819128, 6399.2993935907507, 5.6303040813380969, 8727.2804531242473, 0.65359997048245033
2100-Jan-01 17:00:00, 14968.117500962189, 1.0330523881538032, 6243.5812881074235, 5.4932984138553227, 8724.5362128547658, 0.65339444994615459
2100-Jan-01 18:00:00, 14918.944624918593, 1.0296586309210742, 6197.0252483359245, 5.4523369515741633, 8721.9193765826694, 0.65319847089868543
2100-Jan-01 19:00:00, 14958.334173104566, 1.032377173638233, 6238.9669392625528, 5.4892385651850111, 8719.3672338420129, 0.65300733685310042
2100-Jan-01 20:00:00, 15052.721566540542, 1.0388914946404819, 6335.9064449862299, 5.5745289792052652, 8716.8151215543112, 0.65281620508818594
2100-Jan-01 21:00:00, 15177.16840678215, 1.0474804241101714, 6462.9649746146897, 5.6863190540144588, 8714.2034321674601, 0.65262061149917228
2100-Jan-01 22:00:00, 15314.019357174415, 1.0569254462457043, 6602.5360229350008, 5.8091180347562466, 8711.483334239414, 0.65241689902138156
2100-Jan-01 23:00:00, 15457.412853686323, 1.0668220143350333, 6748.7924170985953, 5.9377989922069681, 8708.6204365877275, 0.65220249204423819
2100-Jan-02 00:00:00, 15613.925197748951, 1.0776240040173735, 6908.3289715259152, 6.0781642506936064, 8705.596226223035, 0.65197600410040368
2100-Jan-02 01:00:00, 15787.339056169041, 1.0895924830574615, 7084.9314293663192, 6.2335446256373128, 8702.407626802722, 0.65173720479766661
2100-Jan-02 02:00:00, 15972.286854663038, 1.1023569983617896, 7273.2215048905618, 6.3992081327645751, 8699.0653497724761, 0.65148689633330059
2100-Jan-02 03:00:00, 16161.887537961367, 1.1154426411398035, 7466.2958067259488, 6.5690809520788331, 8695.5917312354195, 0.65122675149373888
2100-Jan-02 04:00:00, 16356.395297022613, 1.1288669548519152, 7664.3768166409154, 6.7433588300097824, 8692.0184803816974, 0.65095914503087071
2100-Jan-02 05:00:00, 16548.665469457464, 1.1421368373733343, 7860.2809777830544, 6.9157214481948941, 8688.3844916744092, 0.65068698981315143
2100-Jan-02 06:00:00, 16741.538865351373, 1.1554483524804764, 8056.8050776582613, 7.0886295078985686, 8684.7337876931124, 0.65041358276186767
2100-Jan-02 07:00:00, 16930.050454452059, 1.1684588294026821, 8248.9368191346566, 7.257673033080807, 8681.1136353174006, 0.65014246376911655
2100-Jan-02 08:00:00, 17079.143033471439, 1.1787487302403847, 8401.5701722104131, 7.3919646387574316, 8677.5728612610255, 0.64987728954546675
2100-Jan-02 09:00:00, 17149.591397210599, 1.183610854712456, 8475.4310469096472, 7.4569497502036635, 8674.1603503009537, 0.64962172114993344
2100-Jan-02 10:00:00, 17118.441469914556, 1.1814609847116408, 8447.5180206892055, 7.4323909952860774, 8670.9234492253509, 0.64937930445909464
2100-Jan-02 11:00:00, 16958.838713470315, 1.1704457044875209, 8290.9329174061404, 7.2946225159781113, 8667.9057960641767, 0.64915330759470324
2100-Jan-02 12:00:00, 16704.220344161502, 1.1528727455322356, 8039.0760317174027, 7.0730309378708833, 8665.1443124440993, 0.64894649567634399
2100-Jan-02 13:00:00, 16382.961171918931, 1.1307004479750999, 7720.2956818008734, 6.7925579993827974, 8662.6654901180573, 0.64876085271370121
2100-Jan-02 14:00:00, 15983.86089885311, 1.1031558024859811, 7323.3793183119742, 6.4433385483379446, 8660.4815805411363, 0.64859729623781182
2100-Jan-02 15:00:00, 15564.537643151129, 1.0742154303460967, 6905.950042743043, 6.0760711946242445, 8658.5876004080856, 0.64845545304098717
2100-Jan-02 16:00:00, 15221.026297392018, 1.050507357766391, 6564.0666390472015, 5.7752714656572959, 8656.9596583448165, 0.64833353386006765
2100-Jan-02 17:00:00, 15005.024113540199, 1.0355995664652995, 6349.4692162751862, 5.5864619302747132, 8655.5548972650122, 0.64822832905941674
2100-Jan-02 18:00:00, 14915.898429283654, 1.0294483920800672, 6261.5846429275489, 5.5091383294284322, 8654.313786356106, 0.6481353802814116
2100-Jan-02 19:00:00, 14935.841050847483, 1.0308247690914873, 6282.6758105634599, 5.5276949994507145, 8653.1652402840227, 0.64804936383186085
2100-Jan-02 20:00:00, 15032.976125378347, 1.0375287264001576, 6380.9422376729317, 5.6141528804754879, 8652.0338877054146, 0.64796463503049417
2100-Jan-02 21:00:00, 15178.84954692021, 1.0475964511145246, 6528.00156183115, 5.7435402808893699, 8650.8479850890599, 0.64787582088968509
2100-Jan-02 22:00:00, 15349.540299789067, 1.0593769899749128, 6699.9938534971761, 5.8948644872072977, 8649.5464462918899, 0.64777834657062527
2100-Jan-02 23:00:00, 15515.272355122761, 1.0708152951288579, 6867.1884539338307, 6.0419675344813495, 8648.0839011889311, 0.64766881423220013
2100-Jan-03 00:00:00, 15673.4404906612, 1.0817315623306163, 7027.0071887469421, 6.1825810641114485, 8646.4333019142578, 0.64754519821653522
2100-Jan-03 01:00:00, 15830.325111087484, 1.0925592453565918, 7185.739013387677, 6.3222382961215766, 8644.5860976998083, 0.64740685814295518
2100-Jan-03 02:00:00, 15993.444530856996, 1.1038172346218635, 7350.8940804930598, 6.4675468980770381, 8642.5504503639368, 0.64725440526307076
2100-Jan-03 03:00:00, 16160.81029674895, 1.1153682933397524, 7520.4619828446912, 6.6167380507258002, 8640.3483139042582, 0.64708948374682351
2100-Jan-03 04:00:00, 16326.452572434666, 1.126800402184793, 7688.4403893086619, 6.7645307150974663, 8638.0121831260039, 0.64691452718207099
2100-Jan-03 05:00:00, 16487.602261720815, 1.1379224468478308, 7852.0202496712363, 6.9084534008131175, 8635.5820120495791, 0.64673252778920742
2100-Jan-03 06:00:00, 16634.875326385471, 1.1480867705279978, 8001.7728432221693, 7.0402104240124457, 8633.1024831633003, 0.64654683191114015
2100-Jan-03 07:00:00, 16780.635928619457, 1.158146708808605, 8150.0152802591383, 7.1706387642011702, 8630.6206483603182, 0.6463609633392885
2100-Jan-03 08:00:00, 16907.748616429519, 1.166919626692126, 8279.5647027018131, 7.2846204045420677, 8628.1839137277075, 0.64617847239122028
2100-Jan-03 09:00:00, 16982.013195114014, 1.1720451343159353, 8356.1748045567529, 7.3520243721666487, 8625.8383905572628, 0.64600281241521706
2100-Jan-03 10:00:00, 16973.521590204411, 1.1714590704551617, 8349.8940473518196, 7.3464983652165374, 8623.6275428525914, 0.64583723849992059
2100-Jan-03 11:00:00, 16869.622580772899, 1.1642882876354026, 8248.0318408551448, 7.2568768048396715, 8621.5907399177559, 0.64568469907538417
2100-Jan-03 12:00:00, 16668.911369573034, 1.1504358311694551, 8049.1500930316834, 7.0818944126116108, 8619.7612765413487, 0.64554768764149695
2100-Jan-03 13:00:00, 16384.57640255057, 1.1308119261126364, 7766.4126278731583, 6.833133133271625, 8618.1637746774104, 0.64542804817571797
2100-Jan-03 14:00:00, 16043.662376530454, 1.107283112371525, 7426.8511008569631, 6.5343762641463128, 8616.8112756734899, 0.64532675736539191
2100-Jan-03 15:00:00, 15690.044008718862, 1.0828774849210903, 7074.3414523168767, 6.2242272320703753, 8615.7025564019841, 0.64524372360853921
2100-Jan-03 16:00:00, 15374.450401311278, 1.0610962068280021, 6759.6301125188593, 5.9473343361569828, 8614.8202887924181, 0.64517764917828946
2100-Jan-03 17:00:00, 15149.668951941141, 1.0455824982357516, 6535.5382869528667, 5.7501713277591602, 8614.1306649882736, 0.64512600215027727
2100-Jan-03 18:00:00, 15037.052604014885, 1.0378100721332106, 6423.467597864581, 5.6515680245906728, 8613.5850061503043, 0.64508513688849201
2100-Jan-03 19:00:00, 15022.326560057194, 1.0367937268995784, 6409.2029720709806, 5.6390175599406041, 8613.1235879862143, 0.64505058054530484
2100-Jan-03 20:00:00, 15075.627774875273, 1.040472409088957, 6462.9464129502567, 5.6863027228805976, 8612.681361925017, 0.64501746152935269
2100-Jan-03 21:00:00, 15161.821742669876, 1.0464212456256117, 6549.627175716324, 5.7625671734646859, 8612.1945669535526, 0.64498100467653485
2100-Jan-03 22:00:00, 15281.526695798844, 1.0546829049622497, 6669.9198027019793, 5.8684043951690734, 8611.606893096865, 0.6449369928429004
2100-Jan-03 23:00:00, 15433.746400623437, 1.0651886301867481, 6822.8723060683405, 6.0029767992695922, 8610.8740945550962, 0.64488211238983806
2100-Jan-04 00:00:00, 15609.090395886516, 1.0772903212005518, 6999.1237391460318, 6.1580483316302921, 8609.9666567404838, 0.64481415292273581
2100-Jan-04 01:00:00, 15781.086752900534, 1.0891609687523007, 7172.2159846933309, 6.3103403118319079, 8608.8707682072018, 0.64473208008035932
2100-Jan-04 02:00:00, 15953.133883451985, 1.1010351205338964, 7345.5459172117289, 6.4628414164768646, 8607.5879662402567, 0.64463600899243756
2100-Jan-04 03:00:00, 16127.634337571466, 1.1130785929913023, 7521.5006739520268, 6.6176519237017608, 8606.1336636194392, 0.64452709394666308
2100-Jan-04 04:00:00, 16312.788522624363, 1.125857352446743, 7708.2536853593292, 6.7819630736663683, 8604.5348372650333, 0.64440735528767767
2100-Jan-04 05:00:00, 16508.487057178329, 1.1393638497378136, 7905.6596885535864, 6.9556470595380802, 8602.8273686247412, 0.64427948023440207
2100-Jan-04 06:00:00, 16707.626409989673, 1.1531078214820185, 8106.5729167672262, 7.1324168118548776, 8601.0534932224455, 0.6441466318726693
2100-Jan-04 07:00:00, 16885.527485925573, 1.1653859941606401, 8286.2678784367363, 7.2905180685482343, 8599.259607488837, 0.6440122849052683
2100-Jan-04 08:00:00, 17044.587943579514, 1.1763638466280382, 8447.0935231749354, 7.432017509074524, 8597.4944204045769, 0.64388008722554824
2100-Jan-04 09:00:00, 17171.767853340829, 1.1851414039591899, 8575.9606164506877, 7.5453988148386095, 8595.8072368901412, 0.64375373135774316
2100-Jan-04 10:00:00, 17248.400257954076, 1.1904303314806763, 8654.1540251706319, 7.6141958254442672, 8594.2462327834437, 0.64363682526729027
2100-Jan-04 11:00:00, 17238.119196865839, 1.1897207649831341, 8645.2624771142237, 7.606372762913149, 8592.8567197516168, 0.64353276241730339
2100-Jan-04 12:00:00, 17149.820049501039, 1.1836266355743232, 8558.1407760651073, 7.5297203610140846, 8591.6792734359315, 0.64344458158235596
2100-Jan-04 13:00:00, 17008.673917660486, 1.1738851735255933, 8417.9264345587817, 7.4063553907743929, 8590.7474831017043, 0.64337479831616917
2100-Jan-04 14:00:00, 16842.430652284929, 1.1624115862625546, 8252.3452603669666, 7.2606718864553654, 8590.0853919179644, 0.64332521325006831
2100-Jan-04 15:00:00, 16676.163843812712, 1.1509363741290386, 8086.4586231868116, 7.1147196262297658, 8589.7052206259013, 0.64329674161487738
2100-Jan-04 16:00:00, 16536.666209139497, 1.1413086861695001, 7947.060142403363, 6.9920724758130408, 8589.6060667361344, 0.64328931582172533
2100-Jan-04 17:00:00, 16436.878576082541, 1.1344216576149022, 7847.1045900184818, 6.904128449454678, 8589.7739860640577, 0.64330189156835837
2100-Jan-04 18:00:00, 16384.622180376296, 1.1308150855541752, 7794.4386353151967, 6.8577912926074047, 8590.1835450611015, 0.64333256409570716
2100-Jan-04 19:00:00, 16376.5404420336, 1.1302573093946269, 7785.7397932382701, 6.8501377788340552, 8590.8006487953298, 0.6433787799798697
2100-Jan-04 20:00:00, 16396.207575802859, 1.1316146731050043, 7804.621367643942, 6.8667503795110632, 8591.5862081589185, 0.64343761177513648
2100-Jan-04 21:00:00, 16445.753968146339, 1.1350342092578671, 7853.2539173067707, 6.9095388202467385, 8592.500050839566, 0.64350605091288449
2100-Jan-04 22:00:00, 16511.239148774435, 1.1395537904431556, 7917.7347013829776, 6.9662710341068621, 8593.5044473914586, 0.64358127177466329
2100-Jan-04 23:00:00, 16588.570153197186, 1.1448909331260695, 7994.0033032138481, 7.0333745393118825, 8594.5668499833391, 0.64366083680141173
2100-Jan-05 00:00:00, 16672.407043412531, 1.1506770915823206, 8076.7453488699157, 7.1061735831919375, 8595.6616945426158, 0.64374283145890776
2100-Jan-05 01:00:00, 16763.873451409465, 1.1569898153574385, 8167.1021984801782, 7.1856723701446219, 8596.7712529292858, 0.64382592805843508
2100-Jan-05 02:00:00, 16866.32120108854, 1.1640604367939784, 8268.4355388055355, 7.2748286174958405, 8597.8856622830026, 0.64390938795463148
2100-Jan-05 03:00:00, 16973.098865620901, 1.1714298953340754, 8374.0965077866331, 7.3677924481127111, 8599.0023578342698, 0.64399301906781348
2100-Jan-05 04:00:00, 17084.686705599397, 1.1791313370532026, 8484.5615340155891, 7.464983038795955, 8600.125171583808, 0.64407710838263466
2100-Jan-05 05:00:00, 17200.704767458868, 1.1871385387514255, 8599.4414838426474, 7.5660580175698842, 8601.2632836162193, 0.64416234341029144
2100-Jan-05 06:00:00, 17307.239364159097, 1.1944912215143113, 8704.809238776952, 7.6587638692826863, 8602.4301253821432, 0.64424973005357178
2100-Jan-05 07:00:00, 17411.834038086119, 1.2017100169093589, 8808.1917247362053, 7.7497230191574742, 8603.642313349912, 0.64434051274632576
2100-Jan-05 08:00:00, 17508.314299336293, 1.2083687810650912, 8903.3956908325235, 7.8334864510432416, 8604.9186085037691, 0.64443609652862399
2100-Jan-05 09:00:00, 17561.643737107443, 1.2120494111139162, 8955.3648281501992, 7.8792105261250214, 8606.2789089572416, 0.64453797160196591
2100-Jan-05 10:00:00, 17525.2090836516, 1.2095348059364985, 8917.4657921421331, 7.8458657669583056, 8607.7432915094687, 0.64464764154990117
2100-Jan-05 11:00:00, 17376.822374260133, 1.199293622000223, 8767.4915531222177, 7.71391373313174, 8609.3308211379135, 0.64476653417903862
2100-Jan-05 12:00:00, 17147.087676233867, 1.1834380557660209, 8536.0301013096105, 7.5102666966892526, 8611.057574924258, 0.64489585352770018
2100-Jan-05 13:00:00, 16875.520023916808, 1.1646953106109654, 8262.5863642401819, 7.2696823304724898, 8612.9336596766261, 0.64503635651088687
2100-Jan-05 14:00:00, 16571.962278353451, 1.1437447098439248, 7957.0024292012331, 7.0008200112060477, 8614.9598491522156, 0.6451881010765107
2100-Jan-05 15:00:00, 16271.762091047491, 1.1230258371867117, 7654.6371458916665, 6.7347895625638321, 8617.1249451558233, 0.64535024857384971
2100-Jan-05 16:00:00, 16011.459260357595, 1.1050605545872059, 7392.0546887566643, 6.5037612906914912, 8619.4045716009314, 0.64552097343885617
