Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 20532.283248549062, 1.0875655496468506, 12978.279421371673, 8.4211520497856274, 7554.0038271773874, 0.43569136509802125
2100-Jan-01 01:00:00, 21326.2325023841, 1.1296199011374395, 13773.221782258952, 8.9369623721326406, 7553.0107201251476, 0.43563408578268359
2100-Jan-01 02:00:00, 22180.860780826697, 1.1748883333978333, 14628.990450733538, 9.4922407601753456, 7551.8703300931575, 0.43556831164473642
2100-Jan-01 03:00:00, 23083.240910546057, 1.2226861126262094, 15532.625613185441, 10.078578043683759, 7550.6152973606158, 0.43549592527361541
2100-Jan-01 04:00:00, 23970.04343980148, 1.2696587687347816, 16420.762375146278, 10.654858956634392, 7549.2810646552016, 0.43541897089523807
2100-Jan-01 05:00:00, 24849.809952458025, 1.3162587371511447, 17301.905797665771, 11.226602135971866, 7547.9041547922552, 0.43533955503160748
2100-Jan-01 06:00:00, 25693.727305330511, 1.3609598270700234, 18147.206403292956, 11.775088163791574, 7546.5209020375569, 0.4352597733297765
2100-Jan-01 07:00:00, 26450.29555071134, 1.4010341602395262, 18905.129084339522, 12.266877709373706, 7545.1664663718184, 0.43518165370770007
2100-Jan-01 08:00:00, 26943.124813958893, 1.4271386183788202, 19399.250786505327, 12.587496017081349, 7543.8740274535648, 0.43510710986452994
2100-Jan-01 09:00:00, 26965.402640968703, 1.4283186428740782, 19422.728645688949, 12.602729979578964, 7542.6739952797543, 0.43503789575398261
2100-Jan-01 10:00:00, 26457.50550511097, 1.4014160611671844, 18915.912653624509, 12.273874790700122, 7541.5928514864609, 0.43497553875417905
2100-Jan-01 11:00:00, 25388.464549887896, 1.344790497415314, 17847.813380775679, 11.580822492402877, 7540.6511691122168, 0.43492122545377443
2100-Jan-01 12:00:00, 23948.424224759208, 1.2685136299693671, 16408.563303130246, 10.646943405044084, 7539.8609216289615, 0.43487564644526161
2100-Jan-01 13:00:00, 22350.632139641744, 1.1838808784026382, 14811.409375809762, 9.610606026860518, 7539.2227638319819, 0.4348388394951892
2100-Jan-01 14:00:00, 20800.03198922435, 1.1017478158271279, 13261.307744266596, 8.6047992393791208, 7538.7242449577543, 0.43481008648237524
