Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 2266.6155420985374, 2.995319109208197, 1668.7505938436493, 15.18189055955262, 597.86494825488796, 0.92433992227884132
2100-Jan-01 01:00:00, 2367.1120704991336, 3.128124680482403, 1769.3693619578639, 16.097295852220419, 597.74270854126962, 0.92415093135753845
2100-Jan-01 02:00:00, 2475.2149376198186, 3.2709819836433045, 1877.6120759059609, 17.082061965917418, 597.60286171385792, 0.92393471863933518
2100-Jan-01 03:00:00, 2589.2871133353719, 3.4217276930075875, 1991.8382645948111, 18.12126429016325, 597.44884874056106, 0.92369660409493404
2100-Jan-01 04:00:00, 2701.3817168338896, 3.5698600523169057, 2104.0971538154008, 19.142568598171554, 597.28456301848894, 0.92344260718139204
2100-Jan-01 05:00:00, 2812.5897342241606, 3.716820793298075, 2215.4756097448221, 20.155862936373214, 597.11412447933833, 0.92317909759366379
2100-Jan-01 06:00:00, 2919.2575326168499, 3.8577816615743856, 2322.3158283703442, 21.127869485773324, 596.94170424650565, 0.92291252417255754
2100-Jan-01 07:00:00, 3014.8948237446198, 3.9841657793691021, 2418.123439024032, 21.999504027856847, 596.77138472058778, 0.92264919858739147
2100-Jan-01 08:00:00, 3077.2043150980071, 4.0665074057584842, 2480.5972658451446, 22.567875841556074, 596.60704925286268, 0.92239512476368246
2100-Jan-01 09:00:00, 3079.9908306013122, 4.0701897696089615, 2483.5385464130995, 22.594634903007417, 596.45228418821273, 0.92215584743483492
2100-Jan-01 10:00:00, 3015.6655971702039, 3.9851843519181918, 2419.3553421193556, 22.010711585200752, 596.31025505084858, 0.92193626071683832
2100-Jan-01 11:00:00, 2880.2773669678968, 3.806269601906644, 2284.0938526381192, 20.780135166050957, 596.18351432977749, 0.92174031093151243
2100-Jan-01 12:00:00, 2697.9050666056755, 3.5652656794860547, 2101.8313278882374, 19.121954660186994, 596.07373871743812, 0.9215705903595437
2100-Jan-01 13:00:00, 2495.5576791470794, 3.2978647969385286, 1899.5762338514296, 17.281886579248507, 595.98144529564979, 0.92142789844463602
2100-Jan-01 14:00:00, 2299.1998287681554, 3.0383790524180903, 1703.294059526371, 15.496158681749844, 595.90576924178447, 0.92131089811211542
2100-Jan-01 15:00:00, 2138.3716391932953, 2.825845545704849, 1542.5272467024545, 14.033540980275957, 595.84439249084073, 0.92121600547563842
2100-Jan-01 16:00:00, 2031.3534402212504, 2.6844216251235808, 1435.5597644036973, 13.060376616660593, 595.79367581755309, 0.92113759404512763
2100-Jan-01 17:00:00, 1988.6230315055241, 2.6279536412977968, 1392.8740324331707, 12.672032118913766, 595.74899907235329, 0.92106852075473622
2100-Jan-01 18:00:00, 2005.382493709094, 2.6501011720395686, 1409.6772226252933, 12.824903491957338, 595.70527108380065, 0.92100091430672792
2100-Jan-01 19:00:00, 2066.5914718518234, 2.7309884766930428, 1470.9339445273981, 13.382202378552874, 595.65752732442547, 0.92092709920356963
2100-Jan-01 20:00:00, 2151.4466061689636, 2.8431240376709925, 1555.8451011327334, 14.154703608888324, 595.60150503623049, 0.92084048493112036
2100-Jan-01 21:00:00, 2245.8934073493378, 2.967934930001344, 1650.3593210326144, 15.014571193736012, 595.53408631672346, 0.92073625099981005
2100-Jan-01 22:00:00, 2340.1815830102687, 3.0925361996406076, 1744.7280478071341, 15.873115117208208, 595.45353520313483, 0.92061171349298454
2100-Jan-01 23:00:00, 2431.1559405330672, 3.2127582780984683, 1835.7964260686379, 16.701633265637781, 595.35951446442959, 0.92046635102849983
2100-Jan-02 00:00:00, 2523.9472320609402, 3.3353814241588795, 1928.694307810493, 17.546795795630114, 595.25292425044734, 0.92030155529930435
2100-Jan-02 01:00:00, 2621.4233598454571, 3.4641955537815248, 2026.2877242238571, 18.43467716794941, 595.13563562159982, 0.92012021909220687
2100-Jan-02 02:00:00, 2720.0894341587532, 3.594582190744029, 2125.0792341656802, 19.333458506324913, 595.01019999307312, 0.91992628706882629
2100-Jan-02 03:00:00, 2815.6005718451356, 3.7207995975078441, 2220.7209768010157, 20.203584021168989, 594.87959504411992, 0.91972436292405579
2100-Jan-02 04:00:00, 2909.6569275997008, 3.8450945185041485, 2314.90990295335, 21.060492161931275, 594.74702464635084, 0.91951940006157651
2100-Jan-02 05:00:00, 2997.5137935561652, 3.9611968501906665, 2402.8980321964459, 21.860986947453199, 594.61576135971939, 0.91931645808192519
2100-Jan-02 06:00:00, 3082.3470878822718, 4.0733035497489034, 2487.85806619188, 22.63393285249921, 594.48902169039161, 0.91912050992266614
2100-Jan-02 07:00:00, 3161.5985591638801, 4.1780339029798199, 2567.2286903505828, 23.356027654482372, 594.3698688132971, 0.91893629146083067
2100-Jan-02 08:00:00, 3212.3074978114037, 4.2450454671897644, 2618.0463586718352, 23.818354548501851, 594.26113913956863, 0.91876818798117876
2100-Jan-02 09:00:00, 3212.7391011640875, 4.2456158284821317, 2618.5737148159933, 23.823152307553475, 594.16538634809422, 0.91862014764516675
2100-Jan-02 10:00:00, 3154.5026818946667, 4.1686567428984977, 2560.4178745577592, 23.294064494517432, 594.08480733690737, 0.91849556700675472
2100-Jan-02 11:00:00, 3025.4780647377356, 3.9981514701028229, 2431.4569624200176, 22.120809208941356, 594.02110231771803, 0.9183970747090241
2100-Jan-02 12:00:00, 2855.1838419167507, 3.7731086561233536, 2261.2085805703823, 20.571930478520208, 593.97526134636826, 0.91832620144572552
2100-Jan-02 13:00:00, 2663.15031200777, 3.5193374756731726, 2069.2029994036375, 18.825109994470132, 593.94731260413255, 0.91828299078702846
2100-Jan-02 14:00:00, 2440.3387304998496, 3.2248932810367625, 1846.4026224509146, 16.798125883122317, 593.93610804893478, 0.91826566778170615
2100-Jan-02 15:00:00, 2225.3933571641692, 2.9408442342398069, 1631.454126048219, 14.842576287895106, 593.93923111595018, 0.91827049625598067
2100-Jan-02 16:00:00, 2071.1404874970322, 2.7369999741160091, 1477.1874500413019, 13.439095263970202, 593.95303745573017, 0.9182918417974385
2100-Jan-02 17:00:00, 1995.8307946605171, 2.63747865791919, 1401.857969860954, 12.753765815564217, 593.97282479956311, 0.91832243437844541
2100-Jan-02 18:00:00, 1991.0432805870914, 2.6311519862259138, 1397.0500858254481, 12.710024845811544, 593.99319476164317, 0.91835392772693636
2100-Jan-02 19:00:00, 2043.5668674292815, 2.7005615973533965, 1449.558244179045, 13.187731410560581, 594.0086232502365, 0.91837778122092162
2100-Jan-02 20:00:00, 2132.7448141474079, 2.8184097294973443, 1538.7306945195912, 13.99900086388199, 594.01411962781685, 0.91838627899494285
2100-Jan-02 21:00:00, 2241.0875549808893, 2.9615840243590403, 1647.0817513667969, 14.984752655153121, 594.00580361409232, 0.91837342187143656
2100-Jan-02 22:00:00, 2354.3988842427389, 3.1113242796091938, 1760.4176052794892, 16.015854928269167, 593.98127896324957, 0.91833550509120032
2100-Jan-02 23:00:00, 2453.3287380950546, 3.2420594996812588, 1859.3889784787905, 16.916272619195372, 593.93975961626404, 0.91827131335345469
2100-Jan-03 00:00:00, 2539.9653336745973, 3.3565492512409278, 1946.0833650729717, 17.704997246024611, 593.88196860162566, 0.91818196450948053
2100-Jan-03 01:00:00, 2621.5798406288422, 3.4644023422165247, 2027.769977862933, 18.448162354179736, 593.80986276590932, 0.91807048397733626
2100-Jan-03 02:00:00, 2704.9867323984204, 3.5746240591847993, 2111.2604689479026, 19.207738712139715, 593.72626345051776, 0.91794123374295278
2100-Jan-03 03:00:00, 2788.4179869349273, 3.684877971406296, 2194.7834966446326, 19.967611080348767, 593.63449029029482, 0.91779934618785297
2100-Jan-03 04:00:00, 2867.2199647828265, 3.7890143217079797, 2273.6818985635746, 20.685409718249478, 593.53806621925207, 0.91765026800791683
2100-Jan-03 05:00:00, 2939.8909498104176, 3.8850486010532075, 2346.4504411653793, 21.347440374019392, 593.44050864503856, 0.91749943735489148
2100-Jan-03 06:00:00, 2999.5307740372887, 3.9638622780348678, 2406.1855882317336, 21.890896339617772, 593.34518580555493, 0.91735206175393535
2100-Jan-03 07:00:00, 3058.4778343966782, 4.0417604716397069, 2465.2226206708392, 22.428001026656005, 593.2552137258391, 0.91721295879194609
2100-Jan-03 08:00:00, 3105.6252060221937, 4.1040654459751851, 2512.4518274466059, 22.857680962728796, 593.17337857558789, 0.91708643607700235
2100-Jan-03 09:00:00, 3119.8089090835365, 4.1228091261582129, 2526.7068216267776, 22.987369462837101, 593.10208745675868, 0.9169762151526446
2100-Jan-03 10:00:00, 3085.4611887846841, 4.0774188157778131, 2492.4178476558427, 22.675416644874627, 593.04334112884135, 0.91688538932928809
