Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 23103.879622549393, 1.5919554696688694, 16792.338943722763, 14.774425866798468, 6311.5406788266309, 0.4718446191311666
2100-Jan-01 01:00:00, 24133.394555553423, 1.6628934227519498, 17823.124892648597, 15.681343636739932, 6310.2696629048278, 0.47174959922175769
2100-Jan-01 02:00:00, 25241.722805867525, 1.7392619482594147, 18932.904342378617, 16.657762363367755, 6308.8184634889067, 0.47164110897024336
2100-Jan-01 03:00:00, 26412.112685876251, 1.8199067837400538, 20104.890551910201, 17.688912546059086, 6307.2221339660518, 0.47152176893362663
2100-Jan-01 04:00:00, 27562.351025261607, 1.8991630924519538, 21256.830613567156, 18.702425499852101, 6305.5204116944506, 0.47139454983800955
2100-Jan-01 05:00:00, 28703.48145211766, 1.9777918272929211, 22399.726047487176, 19.707980706815448, 6303.7554046304849, 0.47126259963310085
2100-Jan-01 06:00:00, 29798.138386006816, 2.0532183410120708, 23496.168594168288, 20.672665208327334, 6301.96979183853, 0.47112910896408527
2100-Jan-01 07:00:00, 30779.516968151744, 2.1208394949994158, 24479.311584144674, 21.537665210444281, 6300.2053840070676, 0.47099720355721347
2100-Jan-01 08:00:00, 31418.871491031241, 2.1648937381128603, 25120.369506015955, 22.101688052929344, 6298.5019850152867, 0.47086985911163276
2100-Jan-01 09:00:00, 31448.085057532022, 2.1669066769672534, 25151.188676640446, 22.128803724736219, 6296.896380891576, 0.47074982571491092
2100-Jan-01 10:00:00, 30789.834889283375, 2.121550443604129, 24494.413823062001, 21.550952633361035, 6295.4210662213745, 0.4706395326305306
2100-Jan-01 11:00:00, 29403.96082761421, 2.0260578324587204, 23109.858552522106, 20.332777531510587, 6294.1022750921038, 0.47054094109325478
2100-Jan-01 12:00:00, 27536.953724784194, 1.8974131105411072, 21243.996431235977, 18.691133584172668, 6292.9572935482156, 0.47045534339089018
2100-Jan-01 13:00:00, 25465.21356811469, 1.7546614113449388, 19173.222010761157, 16.869201376592709, 6291.9915573535309, 0.47038314589583308
2100-Jan-01 14:00:00, 23454.497054621737, 1.6161145004406559, 17163.300679527398, 15.100809623309841, 6291.1963750943378, 0.4703236988464799
2100-Jan-01 15:00:00, 21807.210387780313, 1.5026094501100034, 15516.662198778849, 13.65204550267307, 6290.5481890014635, 0.47027524108700697
2100-Jan-01 16:00:00, 20710.623901095267, 1.4270499820049407, 14420.613990984335, 12.687707952867315, 6290.0099101109308, 0.47023499988267758
2100-Jan-01 17:00:00, 20272.142430313088, 1.3968367456496555, 13982.608051013585, 12.302336605194853, 6289.5343792995036, 0.4701994496634806
2100-Jan-01 18:00:00, 20442.825163252142, 1.4085975111452982, 14153.755598244181, 12.452917578894652, 6289.0695650079597, 0.47016470060084747
2100-Jan-01 19:00:00, 21068.971664259436, 1.4517416654335551, 14780.406999022556, 13.004265112800073, 6288.5646652368805, 0.47012695478690009
2100-Jan-01 20:00:00, 21937.889311866184, 1.5116137832076317, 15649.913322777755, 13.769284016008662, 6287.9759890884279, 0.47008294593277195
2100-Jan-01 21:00:00, 22905.846372616397, 1.5783101373455726, 16618.574872686029, 14.621542793484549, 6287.2714999303671, 0.47003027901111488
2100-Jan-01 22:00:00, 23872.862154884322, 1.644941633396783, 17586.428893456399, 15.473091081526938, 6286.433261427921, 0.46996761311905233
2100-Jan-01 23:00:00, 24806.05034639208, 1.7092422647180801, 18520.592710361161, 16.294997672774265, 6285.4576360309175, 0.46989467631688481
2100-Jan-02 00:00:00, 25757.672788344822, 1.774813094218409, 19473.319128439238, 17.133236222056098, 6284.3536599055842, 0.46981214413957739
2100-Jan-02 01:00:00, 26757.119686758382, 1.843679231965256, 20473.979350946749, 18.013648434127237, 6283.1403358116331, 0.46972143721489362
2100-Jan-02 02:00:00, 27768.553469873405, 1.9133713169978632, 21486.709800880355, 18.90468041041942, 6281.8436689930495, 0.46962449966948461
2100-Jan-02 03:00:00, 28747.2333012616, 1.9808065155916277, 22466.739234694818, 19.766941008284785, 6280.4940665667827, 0.46952360470972671
2100-Jan-02 04:00:00, 29710.791187101888, 2.0471997478870771, 23431.666902978239, 20.615914599733483, 6279.124284123649, 0.46942120111160984
2100-Jan-02 05:00:00, 30610.426249323111, 2.1091884260401246, 24332.658443681878, 21.408635183170404, 6277.7678056412342, 0.4693197921046075
2100-Jan-02 06:00:00, 31478.75177099292, 2.1690197438213237, 25202.294212190765, 22.173767975928484, 6276.4575588021535, 0.4692218393301244
2100-Jan-02 07:00:00, 32289.780521788591, 2.2249030706469943, 26014.555609534131, 22.888420999532308, 6275.2249122544599, 0.46912968787766351
2100-Jan-02 08:00:00, 32808.417618521293, 2.2606393701951872, 26534.318700735763, 23.345724850115143, 6274.0989177855308, 0.46904550963048564
2100-Jan-02 09:00:00, 32812.335892997638, 2.2609093559545568, 26539.230159899631, 23.350046105751868, 6273.1057330980102, 0.46897126011290236
2100-Jan-02 10:00:00, 32215.826086235837, 2.2198072958200874, 25943.558222763884, 22.825955274472275, 6272.2678634719541, 0.46890862179767862
2100-Jan-02 11:00:00, 30894.838898214839, 2.1287856659601374, 24623.236162839297, 21.66429456359516, 6271.6027353755426, 0.46885889747056181
2100-Jan-02 12:00:00, 29151.358874903199, 2.0086524846627229, 22880.238354162844, 20.13075048753845, 6271.1205207403536, 0.46882284757522591
2100-Jan-02 13:00:00, 27185.174593435524, 1.8731740337533584, 20914.353023246389, 18.40110298687809, 6270.8215701891349, 0.4688004983238851
2100-Jan-02 14:00:00, 24904.046343584356, 1.7159946052896453, 18633.352120715557, 16.394206934488679, 6270.6942228688004, 0.46879097796254726
2100-Jan-02 15:00:00, 22703.163411814596, 1.564344420187741, 16432.449555275954, 14.457783908362865, 6270.7138565386431, 0.46879244575653617
2100-Jan-02 16:00:00, 21123.030082090143, 1.4554665201052894, 14852.186788578902, 13.067419220342135, 6270.8432935112414, 0.46880212233823709
2100-Jan-02 17:00:00, 20350.588514024348, 1.4022420141187812, 14079.553988784064, 12.387632678331384, 6271.0345252402849, 0.46881641863559897
2100-Jan-02 18:00:00, 20299.896399380315, 1.3987491120393449, 14028.664005973282, 12.342858077192117, 6271.2323934070328, 0.46883121106656445
2100-Jan-02 19:00:00, 20836.145105835418, 1.4356989263255509, 14564.764703946683, 12.814536266031189, 6271.380401888734, 0.46884227603615436
2100-Jan-02 20:00:00, 21748.133699757425, 1.4985388153004207, 15476.70625653459, 13.616891012961764, 6271.4274432228367, 0.46884579280036498
2100-Jan-02 21:00:00, 22856.888649949509, 1.5749367422424394, 16585.554950166657, 14.592490831216228, 6271.3336997828528, 0.46883878463231438
2100-Jan-02 22:00:00, 24016.952590461613, 1.654870076618949, 17745.878108889148, 15.613379496430031, 6271.0744815724656, 0.46881940573198305
2100-Jan-02 23:00:00, 25029.457663677895, 1.7246359780912264, 18758.81612108929, 16.504594092506746, 6270.6415425886044, 0.46878703963623208
2100-Jan-03 00:00:00, 25915.820307895174, 1.7857101302520035, 19645.778233041689, 17.284971145019632, 6270.0420748534862, 0.46874222401362076
2100-Jan-03 01:00:00, 26750.86917873827, 1.8432485454055358, 20481.573262103764, 18.020329795062384, 6269.2959166345063, 0.46868644195365128
