Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 9218.8436056584142, 0.68919174751328094, null, null, 9218.8436056584142, 0.68919174751328094
2100-Jan-01 01:00:00, 9243.2345123126852, 0.69101518788167726, null, null, 9243.2345123126852, 0.69101518788167726
2100-Jan-01 02:00:00, 9270.9689366868242, 0.69308858637050252, null, null, 9270.9689366868242, 0.69308858637050252
2100-Jan-01 03:00:00, 9301.615054250864, 0.6953796601994906, null, null, 9301.615054250864, 0.6953796601994906
2100-Jan-01 04:00:00, 9335.1466180424613, 0.69788644717136195, null, null, 9335.1466180424613, 0.69788644717136195
2100-Jan-01 05:00:00, 9371.6165269972262, 0.70061290195889703, null, null, 9371.6165269972262, 0.70061290195889703
2100-Jan-01 06:00:00, 9410.1894216580495, 0.70349657390465181, null, null, 9410.1894216580495, 0.70349657390465181
2100-Jan-01 07:00:00, 9450.0055617370363, 0.70647318966407613, null, null, 9450.0055617370363, 0.70647318966407613
2100-Jan-01 08:00:00, 9487.4357194840741, 0.70927143171382134, null, null, 9487.4357194840741, 0.70927143171382134
2100-Jan-01 09:00:00, 9514.2936351451972, 0.71127930326700539, null, null, 9514.2936351451972, 0.71127930326700539
2100-Jan-01 10:00:00, 9524.4400625466315, 0.71203784027348183, null, null, 9524.4400625466315, 0.71203784027348183
2100-Jan-01 11:00:00, 9511.9556220960203, 0.71110451569407351, null, null, 9511.9556220960203, 0.71110451569407351
2100-Jan-01 12:00:00, 9478.6032991764296, 0.7086111285947988, null, null, 9478.6032991764296, 0.7086111285947988
2100-Jan-01 13:00:00, 9429.9259273800089, 0.70497205580348499, null, null, 9429.9259273800089, 0.70497205580348499
2100-Jan-01 14:00:00, 9372.435309637558, 0.70067411334970287, null, null, 9372.435309637558, 0.70067411334970287
2100-Jan-01 15:00:00, 9314.2981675274259, 0.69632783736540071, null, null, 9314.2981675274259, 0.69632783736540071
2100-Jan-01 16:00:00, 9262.4081815317531, 0.69244859267305703, null, null, 9262.4081815317531, 0.69244859267305703
2100-Jan-01 17:00:00, 9221.9662874089063, 0.68942519615224351, null, null, 9221.9662874089063, 0.68942519615224351
2100-Jan-01 18:00:00, 9195.3210632937062, 0.68743322521137984, null, null, 9195.3210632937062, 0.68743322521137984
2100-Jan-01 19:00:00, 9181.8223415454595, 0.68642407395241289, null, null, 9181.8223415454595, 0.68642407395241289
2100-Jan-01 20:00:00, 9178.6929873406261, 0.68619012648727817, null, null, 9178.6929873406261, 0.68619012648727817
2100-Jan-01 21:00:00, 9183.2059333310008, 0.68652750992348599, null, null, 9183.2059333310008, 0.68652750992348599
2100-Jan-01 22:00:00, 9193.1759671568016, 0.68727285991846288, null, null, 9193.1759671568016, 0.68727285991846288
2100-Jan-01 23:00:00, 9207.7653303989955, 0.68836354647071352, null, null, 9207.7653303989955, 0.68836354647071352
2100-Jan-02 00:00:00, 9227.2277389999726, 0.68981853713638575, null, null, 9227.2277389999726, 0.68981853713638575
2100-Jan-02 01:00:00, 9251.6093098263245, 0.69164127956740151, null, null, 9251.6093098263245, 0.69164127956740151
2100-Jan-02 02:00:00, 9280.3877585553182, 0.69379272829770466, null, null, 9280.3877585553182, 0.69379272829770466
2100-Jan-02 03:00:00, 9313.2377974013652, 0.69624856513002598, null, null, 9313.2377974013652, 0.69624856513002598
2100-Jan-02 04:00:00, 9349.7246178396217, 0.69897628420355606, null, null, 9349.7246178396217, 0.69897628420355606
2100-Jan-02 05:00:00, 9389.2277564860924, 0.70192950028147183, null, null, 9389.2277564860924, 0.70192950028147183
2100-Jan-02 06:00:00, 9431.7448746219197, 0.70510803852343462, null, null, 9431.7448746219197, 0.70510803852343462
2100-Jan-02 07:00:00, 9476.1840724945705, 0.70843026956997734, null, null, 9476.1840724945705, 0.70843026956997734
2100-Jan-02 08:00:00, 9519.2143141214219, 0.71164716842316167, null, null, 9519.2143141214219, 0.71164716842316167
2100-Jan-02 09:00:00, 9553.5208828125378, 0.71421189400467633, null, null, 9553.5208828125378, 0.71421189400467633
2100-Jan-02 10:00:00, 9572.7830038413031, 0.71565191136699269, null, null, 9572.7830038413031, 0.71565191136699269
2100-Jan-02 11:00:00, 9568.9362657149668, 0.71536433298027524, null, null, 9568.9362657149668, 0.71536433298027524
2100-Jan-02 12:00:00, 9544.9860406696625, 0.7135738375387235, null, null, 9544.9860406696625, 0.7135738375387235
2100-Jan-02 13:00:00, 9505.4771788696344, 0.71062019360343542, null, null, 9505.4771788696344, 0.71062019360343542
2100-Jan-02 14:00:00, 9441.8323273268888, 0.70586216663918089, null, null, 9441.8323273268888, 0.70586216663918089
2100-Jan-02 15:00:00, 9364.1730944465489, 0.70005643820850316, null, null, 9364.1730944465489, 0.70005643820850316
2100-Jan-02 16:00:00, 9291.1667292959628, 0.69459855362666234, null, null, 9291.1667292959628, 0.69459855362666234
2100-Jan-02 17:00:00, 9233.8146502456475, 0.69031096819024762, null, null, 9233.8146502456475, 0.69031096819024762
2100-Jan-02 18:00:00, 9195.1925243225924, 0.68742361576339328, null, null, 9195.1925243225924, 0.68742361576339328
2100-Jan-02 19:00:00, 9174.5567558242674, 0.68588090585735784, null, null, 9174.5567558242674, 0.68588090585735784
2100-Jan-02 20:00:00, 9168.917752577383, 0.6854593394800339, null, null, 9168.917752577383, 0.6854593394800339
2100-Jan-02 21:00:00, 9175.0804875647373, 0.68592005953095103, null, null, 9175.0804875647373, 0.68592005953095103
2100-Jan-02 22:00:00, 9190.0926037445297, 0.68704235068007879, null, null, 9190.0926037445297, 0.68704235068007879
2100-Jan-02 23:00:00, 9211.7223651440345, 0.68865937052496151, null, null, 9211.7223651440345, 0.68865937052496151
2100-Jan-03 00:00:00, 9238.2839202067444, 0.6906450864491479, null, null, 9238.2839202067444, 0.6906450864491479
2100-Jan-03 01:00:00, 9268.3177321409785, 0.69289038490705157, null, null, 9268.3177321409785, 0.69289038490705157
2100-Jan-03 02:00:00, 9300.8547662379842, 0.69532282180992422, null, null, 9300.8547662379842, 0.69532282180992422
2100-Jan-03 03:00:00, 9335.3290686225373, 0.69790008699860018, null, null, 9335.3290686225373, 0.69790008699860018
2100-Jan-03 04:00:00, 9371.4258956556423, 0.70059865054591541, null, null, 9371.4258956556423, 0.70059865054591541
2100-Jan-03 05:00:00, 9408.9533395167236, 0.70340416561056518, null, null, 9408.9533395167236, 0.70340416561056518
2100-Jan-03 06:00:00, 9447.8556664132739, 0.70631246558863514, null, null, 9447.8556664132739, 0.70631246558863514
2100-Jan-03 07:00:00, 9487.7012201005709, 0.70929128028069988, null, null, 9487.7012201005709, 0.70929128028069988
2100-Jan-03 08:00:00, 9526.2114717892255, 0.71217026909901426, null, null, 9526.2114717892255, 0.71217026909901426
2100-Jan-03 09:00:00, 9558.4260320090616, 0.71457859816966407, null, null, 9558.4260320090616, 0.71457859816966407
2100-Jan-03 10:00:00, 9579.0599797565101, 0.71612117195814151, null, null, 9579.0599797565101, 0.71612117195814151
2100-Jan-03 11:00:00, 9584.613803130791, 0.71653637037135154, null, null, 9584.613803130791, 0.71653637037135154
2100-Jan-03 12:00:00, 9572.9139653529874, 0.71566170192174716, null, null, 9572.9139653529874, 0.71566170192174716
2100-Jan-03 13:00:00, 9543.6135500944438, 0.71347123148329594, null, null, 9543.6135500944438, 0.71347123148329594
2100-Jan-03 14:00:00, 9498.7999354080548, 0.71012100940130474, null, null, 9498.7999354080548, 0.71012100940130474
2100-Jan-03 15:00:00, 9444.3705518492916, 0.70605192182638266, null, null, 9444.3705518492916, 0.70605192182638266
2100-Jan-03 16:00:00, 9388.6679607776005, 0.7018876505008389, null, null, 9388.6679607776005, 0.7018876505008389
2100-Jan-03 17:00:00, 9341.0989743273076, 0.69833143951587429, null, null, 9341.0989743273076, 0.69833143951587429
2100-Jan-03 18:00:00, 9306.7176479614536, 0.6957611251235829, null, null, 9306.7176479614536, 0.6957611251235829
2100-Jan-03 19:00:00, 9286.2637367697607, 0.69423201069224227, null, null, 9286.2637367697607, 0.69423201069224227
