Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 8990.1288220564002, 0.51852257273113, null, null, 8990.1288220564002, 0.51852257273113
2100-Jan-01 01:00:00, 8995.7208479328747, 0.51884510333126277, null, null, 8995.7208479328747, 0.51884510333126277
2100-Jan-01 02:00:00, 9002.642466659272, 0.51924432069738879, null, null, 9002.642466659272, 0.51924432069738879
2100-Jan-01 03:00:00, 9010.7373524808136, 0.51971120844785712, null, null, 9010.7373524808136, 0.51971120844785712
2100-Jan-01 04:00:00, 9019.9638200669688, 0.52024336230290047, null, null, 9019.9638200669688, 0.52024336230290047
2100-Jan-01 05:00:00, 9030.3295858101828, 0.52084122731995264, null, null, 9030.3295858101828, 0.52084122731995264
2100-Jan-01 06:00:00, 9041.6853226349413, 0.52149619077933995, null, null, 9041.6853226349413, 0.52149619077933995
2100-Jan-01 07:00:00, 9053.811705623506, 0.52219560270430887, null, null, 9053.811705623506, 0.52219560270430887
2100-Jan-01 08:00:00, 9066.0408970496228, 0.52290094429909606, null, null, 9066.0408970496228, 0.52290094429909606
2100-Jan-01 09:00:00, 9076.6789952603776, 0.52351451660294046, null, null, 9076.6789952603776, 0.52351451660294046
2100-Jan-01 10:00:00, 9083.7933039096588, 0.5239248477224433, null, null, 9083.7933039096588, 0.5239248477224433
2100-Jan-01 11:00:00, 9085.429381534952, 0.52401921157375686, null, null, 9085.429381534952, 0.52401921157375686
2100-Jan-01 12:00:00, 9080.8984109977409, 0.52375787933409423, null, null, 9080.8984109977409, 0.52375787933409423
2100-Jan-01 13:00:00, 9070.7898158639528, 0.5231748471151777, null, null, 9070.7898158639528, 0.5231748471151777
2100-Jan-01 14:00:00, 9056.4403919131692, 0.52234721712550325, null, null, 9056.4403919131692, 0.52234721712550325
2100-Jan-01 15:00:00, 9039.8389041730279, 0.52138969512503286, null, null, 9039.8389041730279, 0.52138969512503286
2100-Jan-01 16:00:00, 9023.1126647096335, 0.52042497783450881, null, null, 9023.1126647096335, 0.52042497783450881
2100-Jan-01 17:00:00, 9008.194388281323, 0.51956453820928972, null, null, 9008.194388281323, 0.51956453820928972
2100-Jan-01 18:00:00, 8996.4444413426627, 0.51888683794084189, null, null, 8996.4444413426627, 0.51888683794084189
2100-Jan-01 19:00:00, 8988.3996708599752, 0.51842284068671129, null, null, 8988.3996708599752, 0.51842284068671129
2100-Jan-01 20:00:00, 8983.8168733580733, 0.51815851922947453, null, null, 8983.8168733580733, 0.51815851922947453
2100-Jan-01 21:00:00, 8982.1074870660177, 0.5180599271630546, null, null, 8982.1074870660177, 0.5180599271630546
2100-Jan-01 22:00:00, 8982.6412348473586, 0.51809071206928325, null, null, 8982.6412348473586, 0.51809071206928325
2100-Jan-01 23:00:00, 8985.0281558122097, 0.51822838222107948, null, null, 8985.0281558122097, 0.51822838222107948
2100-Jan-02 00:00:00, 8989.1877063215306, 0.51846829211271606, null, null, 8989.1877063215306, 0.51846829211271606
2100-Jan-02 01:00:00, 8995.1201420738307, 0.5188104564920849, null, null, 8995.1201420738307, 0.5188104564920849
2100-Jan-02 02:00:00, 9002.7371276721351, 0.51924978044917869, null, null, 9002.7371276721351, 0.51924978044917869
2100-Jan-02 03:00:00, 9011.9564032310609, 0.5197815194905373, null, null, 9011.9564032310609, 0.5197815194905373
2100-Jan-02 04:00:00, 9022.6607191425064, 0.5203989110246956, null, null, 9022.6607191425064, 0.5203989110246956
2100-Jan-02 05:00:00, 9034.6887732651176, 0.52109265164755569, null, null, 9034.6887732651176, 0.52109265164755569
2100-Jan-02 06:00:00, 9047.9791779797397, 0.52185920071283232, null, null, 9047.9791779797397, 0.52185920071283232
2100-Jan-02 07:00:00, 9062.3043872629914, 0.52268543407605617, null, null, 9062.3043872629914, 0.52268543407605617
2100-Jan-02 08:00:00, 9076.7931219287857, 0.52352109907299083, null, null, 9076.7931219287857, 0.52352109907299083
2100-Jan-02 09:00:00, 9089.8253301158911, 0.52427275616837832, null, null, 9089.8253301158911, 0.52427275616837832
2100-Jan-02 10:00:00, 9099.6347637693943, 0.52483853368677946, null, null, 9099.6347637693943, 0.52483853368677946
2100-Jan-02 11:00:00, 9104.0820225744919, 0.52509503769499377, null, null, 9104.0820225744919, 0.52509503769499377
2100-Jan-02 12:00:00, 9102.5938448753095, 0.52500920424983022, null, null, 9102.5938448753095, 0.52500920424983022
2100-Jan-02 13:00:00, 9095.6616740855734, 0.52460937827362319, null, null, 9095.6616740855734, 0.52460937827362319
2100-Jan-02 14:00:00, 9082.1854695284474, 0.52383211285330256, null, null, 9082.1854695284474, 0.52383211285330256
2100-Jan-02 15:00:00, 9063.2000739447358, 0.5227370944884675, null, null, 9063.2000739447358, 0.5227370944884675
2100-Jan-02 16:00:00, 9042.3730020341573, 0.52153585398087499, null, null, 9042.3730020341573, 0.52153585398087499
2100-Jan-02 17:00:00, 9023.3021163986232, 0.52043590481666091, null, null, 9023.3021163986232, 0.52043590481666091
2100-Jan-02 18:00:00, 9008.1586328838803, 0.51956247594955596, null, null, 9008.1586328838803, 0.51956247594955596
2100-Jan-02 19:00:00, 8997.8171184150178, 0.51896600967032147, null, null, 8997.8171184150178, 0.51896600967032147
2100-Jan-02 20:00:00, 8992.1764201910501, 0.51864067180108919, null, null, 8992.1764201910501, 0.51864067180108919
2100-Jan-02 21:00:00, 8990.6602436829889, 0.51855322347201238, null, null, 8990.6602436829889, 0.51855322347201238
2100-Jan-02 22:00:00, 8992.529427072508, 0.51866103213629555, null, null, 8992.529427072508, 0.51866103213629555
2100-Jan-02 23:00:00, 8997.1937589649515, 0.51893005624271415, null, null, 8997.1937589649515, 0.51893005624271415
2100-Jan-03 00:00:00, 9004.1008133248961, 0.51932843358163783, null, null, 9004.1008133248961, 0.51932843358163783
2100-Jan-03 01:00:00, 9012.6876819035006, 0.51982369736208089, null, null, 9012.6876819035006, 0.51982369736208089
2100-Jan-03 02:00:00, 9022.4938165603762, 0.52038928460465261, null, null, 9022.4938165603762, 0.52038928460465261
2100-Jan-03 03:00:00, 9033.2194802606627, 0.5210079074126458, null, null, 9033.2194802606627, 0.5210079074126458
2100-Jan-03 04:00:00, 9044.7016595534587, 0.52167016367896912, null, null, 9044.7016595534587, 0.52167016367896912
2100-Jan-03 05:00:00, 9056.849511418297, 0.52237081386171835, null, null, 9056.849511418297, 0.52237081386171835
2100-Jan-03 06:00:00, 9069.7589222273746, 0.52311538838758531, null, null, 9069.7589222273746, 0.52311538838758531
2100-Jan-03 07:00:00, 9083.3279468664223, 0.52389800738054448, null, null, 9083.3279468664223, 0.52389800738054448
2100-Jan-03 08:00:00, 9096.9993012993855, 0.52468652843665076, null, null, 9096.9993012993855, 0.52468652843665076
2100-Jan-03 09:00:00, 9109.619830038253, 0.52541444114629399, null, null, 9109.619830038253, 0.52541444114629399
2100-Jan-03 10:00:00, 9119.6980063232331, 0.52599571890094698, null, null, 9119.6980063232331, 0.52599571890094698
2100-Jan-03 11:00:00, 9125.9075618847874, 0.52635386668603701, null, null, 9125.9075618847874, 0.52635386668603701
2100-Jan-03 12:00:00, 9127.2599058472351, 0.52643186566519573, null, null, 9127.2599058472351, 0.52643186566519573
2100-Jan-03 13:00:00, 9123.2463170277442, 0.52620037438828982, null, null, 9123.2463170277442, 0.52620037438828982
2100-Jan-03 14:00:00, 9114.0083655097224, 0.52566755817589716, null, null, 9114.0083655097224, 0.52566755817589716
2100-Jan-03 15:00:00, 9100.6312306727614, 0.5248960067878442, null, null, 9100.6312306727614, 0.5248960067878442
2100-Jan-03 16:00:00, 9085.0607565858081, 0.52399795043714958, null, null, 9085.0607565858081, 0.52399795043714958
2100-Jan-03 17:00:00, 9069.8350769639237, 0.52311978075511456, null, null, 9069.8350769639237, 0.52311978075511456
2100-Jan-03 18:00:00, 9057.0279656886905, 0.52238110654708814, null, null, 9057.0279656886905, 0.52238110654708814
2100-Jan-03 19:00:00, 9047.7234426926971, 0.52184445069961216, null, null, 9047.7234426926971, 0.52184445069961216
2100-Jan-03 20:00:00, 9042.1555050315837, 0.52152330943256342, null, null, 9042.1555050315837, 0.52152330943256342
2100-Jan-03 21:00:00, 9040.2132288871817, 0.5214112850062973, null, null, 9040.2132288871817, 0.5214112850062973
2100-Jan-03 22:00:00, 9041.6551896482724, 0.52149445280271234, null, null, 9041.6551896482724, 0.52149445280271234
2100-Jan-03 23:00:00, 9046.0511098208754, 0.52174799575882957, null, null, 9046.0511098208754, 0.52174799575882957
2100-Jan-04 00:00:00, 9052.7723806071608, 0.52213565768104553, null, null, 9052.7723806071608, 0.52213565768104553
2100-Jan-04 01:00:00, 9061.3706323611495, 0.52263157800751847, null, null, 9061.3706323611495, 0.52263157800751847
2100-Jan-04 02:00:00, 9071.5044669445415, 0.52321606595911718, null, null, 9071.5044669445415, 0.52321606595911718
2100-Jan-04 03:00:00, 9082.7633250779836, 0.5238654417579427, null, null, 9082.7633250779836, 0.5238654417579427
2100-Jan-04 04:00:00, 9094.7772779954994, 0.52455836906730191, null, null, 9094.7772779954994, 0.52455836906730191
2100-Jan-04 05:00:00, 9107.3195396087649, 0.52528176757340805, null, null, 9107.3195396087649, 0.52528176757340805
2100-Jan-04 06:00:00, 9120.3396866968396, 0.52603272902224552, null, null, 9120.3396866968396, 0.52603272902224552
2100-Jan-04 07:00:00, 9133.7835223118982, 0.52680812750300943, null, null, 9133.7835223118982, 0.52680812750300943
2100-Jan-04 08:00:00, 9147.541505687781, 0.52760164504617879, null, null, 9147.541505687781, 0.52760164504617879
2100-Jan-04 09:00:00, 9160.9513367737218, 0.52837508225182961, null, null, 9160.9513367737218, 0.52837508225182961
