Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 10830.468944396978, 0.7755402740161802, null, null, 10830.468944396978, 0.7755402740161802
2100-Jan-01 01:00:00, 10859.127204946153, 0.77759241371144538, null, null, 10859.127204946153, 0.77759241371144538
2100-Jan-01 02:00:00, 10897.374540006753, 0.78033120081896323, null, null, 10897.374540006753, 0.78033120081896323
2100-Jan-01 03:00:00, 10944.33861968474, 0.78369417017969689, null, null, 10944.33861968474, 0.78369417017969689
2100-Jan-01 04:00:00, 10999.074835685749, 0.78761368097594842, null, null, 10999.074835685749, 0.78761368097594842
2100-Jan-01 05:00:00, 11061.031170348624, 0.79205020473204502, null, null, 11061.031170348624, 0.79205020473204502
2100-Jan-01 06:00:00, 11128.464444763084, 0.79687891717152382, null, null, 11128.464444763084, 0.79687891717152382
2100-Jan-01 07:00:00, 11199.284359452624, 0.80195013766309287, null, null, 11199.284359452624, 0.80195013766309287
2100-Jan-01 08:00:00, 11267.705802999119, 0.80684961019277346, null, null, 11267.705802999119, 0.80684961019277346
2100-Jan-01 09:00:00, 11322.793778436717, 0.81079430952067966, null, null, 11322.793778436717, 0.81079430952067966
2100-Jan-01 10:00:00, 11354.751626572048, 0.81308272366295586, null, null, 11354.751626572048, 0.81308272366295586
2100-Jan-01 11:00:00, 11354.550618416357, 0.81306833001841994, null, null, 11354.550618416357, 0.81306833001841994
2100-Jan-01 12:00:00, 11321.395044605348, 0.81069415001471323, null, null, 11321.395044605348, 0.81069415001471323
2100-Jan-01 13:00:00, 11259.561435784244, 0.80626641432065194, null, null, 11259.561435784244, 0.80626641432065194
2100-Jan-01 14:00:00, 11176.175651982448, 0.80029538629308405, null, null, 11176.175651982448, 0.80029538629308405
2100-Jan-01 15:00:00, 11082.357868338524, 0.79357735127462425, null, null, 11082.357868338524, 0.79357735127462425
2100-Jan-01 16:00:00, 10989.641654820238, 0.78693819668151554, null, null, 10989.641654820238, 0.78693819668151554
2100-Jan-01 17:00:00, 10908.921508937539, 0.78115804769831942, null, null, 10908.921508937539, 0.78115804769831942
2100-Jan-01 18:00:00, 10847.225354039911, 0.7767401547039624, null, null, 10847.225354039911, 0.7767401547039624
2100-Jan-01 19:00:00, 10806.538190686751, 0.7738266581621368, null, null, 10806.538190686751, 0.7738266581621368
2100-Jan-01 20:00:00, 10784.576195791391, 0.7722540197448593, null, null, 10784.576195791391, 0.7722540197448593
2100-Jan-01 21:00:00, 10778.140268036999, 0.7717931605521674, null, null, 10778.140268036999, 0.7717931605521674
2100-Jan-01 22:00:00, 10784.053518843504, 0.77221659227745532, null, null, 10784.053518843504, 0.77221659227745532
2100-Jan-01 23:00:00, 10800.64437752788, 0.77340461831365959, null, null, 10800.64437752788, 0.77340461831365959
2100-Jan-02 00:00:00, 10827.988685630909, 0.77536266946618859, null, null, 10827.988685630909, 0.77536266946618859
2100-Jan-02 01:00:00, 10866.009998598454, 0.77808527174949593, null, null, 10866.009998598454, 0.77808527174949593
2100-Jan-02 02:00:00, 10913.561558335441, 0.78149030895126903, null, null, 10913.561558335441, 0.78149030895126903
2100-Jan-02 03:00:00, 10969.477040222817, 0.78549426375390163, null, null, 10969.477040222817, 0.78549426375390163
2100-Jan-02 04:00:00, 11032.729635339647, 0.79002360917753811, null, null, 11032.729635339647, 0.79002360917753811
2100-Jan-02 05:00:00, 11101.78038036177, 0.79496814426557627, null, null, 11101.78038036177, 0.79496814426557627
2100-Jan-02 06:00:00, 11176.188581077269, 0.80029631211022001, null, null, 11176.188581077269, 0.80029631211022001
2100-Jan-02 07:00:00, 11254.164232353209, 0.80587993533721036, null, null, 11254.164232353209, 0.80587993533721036
2100-Jan-02 08:00:00, 11328.985328700739, 0.81123766950933729, null, null, 11328.985328700739, 0.81123766950933729
2100-Jan-02 09:00:00, 11390.790612035802, 0.81566337689277602, null, null, 11390.790612035802, 0.81566337689277602
2100-Jan-02 10:00:00, 11430.701275989541, 0.81852127043531409, null, null, 11430.701275989541, 0.81852127043531409
2100-Jan-02 11:00:00, 11438.457463949726, 0.81907666985216709, null, null, 11438.457463949726, 0.81907666985216709
2100-Jan-02 12:00:00, 11414.637984863872, 0.81737102206978529, null, null, 11414.637984863872, 0.81737102206978529
2100-Jan-02 13:00:00, 11362.493674969233, 0.81363711058435562, null, null, 11362.493674969233, 0.81363711058435562
2100-Jan-02 14:00:00, 11278.005657774254, 0.80758715463666086, null, null, 11278.005657774254, 0.80758715463666086
2100-Jan-02 15:00:00, 11171.164326361199, 0.79993653896473271, null, null, 11171.164326361199, 0.79993653896473271
2100-Jan-02 16:00:00, 11062.044681928834, 0.79212277952568233, null, null, 11062.044681928834, 0.79212277952568233
2100-Jan-02 17:00:00, 10966.18321338531, 0.78525840181835327, null, null, 10966.18321338531, 0.78525840181835327
2100-Jan-02 18:00:00, 10891.546203698177, 0.77991384958874255, null, null, 10891.546203698177, 0.77991384958874255
2100-Jan-02 19:00:00, 10841.433381595429, 0.77632540739064215, null, null, 10841.433381595429, 0.77632540739064215
2100-Jan-02 20:00:00, 10814.821368158642, 0.77441979385729975, null, null, 10814.821368158642, 0.77441979385729975
2100-Jan-02 21:00:00, 10808.943342107626, 0.77399888448045895, null, null, 10808.943342107626, 0.77399888448045895
2100-Jan-02 22:00:00, 10820.212584462599, 0.77480584411893816, null, null, 10820.212584462599, 0.77480584411893816
2100-Jan-02 23:00:00, 10844.40072671475, 0.77653789086284941, null, null, 10844.40072671475, 0.77653789086284941
2100-Jan-03 00:00:00, 10878.463626455105, 0.77897704199601314, null, null, 10878.463626455105, 0.77897704199601314
2100-Jan-03 01:00:00, 10920.361035987422, 0.78197720095829626, null, null, 10920.361035987422, 0.78197720095829626
