Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 614.18307307184114, 0.96316047668825755, null, null, 614.18307307184114, 0.96316047668825755
2100-Jan-01 01:00:00, 614.38715194640486, 0.96348051270801249, null, null, 614.38715194640486, 0.96348051270801249
2100-Jan-01 02:00:00, 614.86902876185468, 0.96423619081706935, null, null, 614.86902876185468, 0.96423619081706935
2100-Jan-01 03:00:00, 615.61526106302767, 0.96540643058828801, null, null, 615.61526106302767, 0.96540643058828801
2100-Jan-01 04:00:00, 616.60203633086837, 0.9669538892842825, null, null, 616.60203633086837, 0.9669538892842825
2100-Jan-01 05:00:00, 617.80779775404494, 0.96884476156330934, null, null, 617.80779775404494, 0.96884476156330934
2100-Jan-01 06:00:00, 619.20450855512627, 0.97103508021575413, null, null, 619.20450855512627, 0.97103508021575413
2100-Jan-01 07:00:00, 620.7519626548044, 0.97346179416090528, null, null, 620.7519626548044, 0.97346179416090528
2100-Jan-01 08:00:00, 622.3616909284184, 0.97598616632179558, null, null, 622.3616909284184, 0.97598616632179558
2100-Jan-01 09:00:00, 623.87800362313124, 0.97836404438760349, null, null, 623.87800362313124, 0.97836404438760349
2100-Jan-01 10:00:00, 625.12158756310521, 0.98031422985011807, null, null, 625.12158756310521, 0.98031422985011807
2100-Jan-01 11:00:00, 625.90953282319242, 0.98154988378716668, null, null, 625.90953282319242, 0.98154988378716668
2100-Jan-01 12:00:00, 626.12490713770978, 0.98188763328976925, null, null, 626.12490713770978, 0.98188763328976925
2100-Jan-01 13:00:00, 625.73592471452162, 0.98127763195211037, null, null, 625.73592471452162, 0.98127763195211037
2100-Jan-01 14:00:00, 624.78782639727524, 0.97979082636071058, null, null, 624.78782639727524, 0.97979082636071058
2100-Jan-01 15:00:00, 623.41139173884926, 0.97763230470834861, null, null, 623.41139173884926, 0.97763230470834861
2100-Jan-01 16:00:00, 621.7945005323719, 0.97509669965268519, null, null, 621.7945005323719, 0.97509669965268519
2100-Jan-01 17:00:00, 620.15227225837975, 0.97252136106626319, null, null, 620.15227225837975, 0.97252136106626319
2100-Jan-01 18:00:00, 618.6743949548536, 0.97020375729214459, null, null, 618.6743949548536, 0.97020375729214459
2100-Jan-01 19:00:00, 617.48661906914015, 0.96834108989142853, null, null, 617.48661906914015, 0.96834108989142853
2100-Jan-01 20:00:00, 616.63840249214684, 0.96701091861440891, null, null, 616.63840249214684, 0.96701091861440891
2100-Jan-01 21:00:00, 616.12844556568427, 0.96621120534011506, null, null, 616.12844556568427, 0.96621120534011506
2100-Jan-01 22:00:00, 615.92710149293623, 0.96589545803025123, null, null, 615.92710149293623, 0.96589545803025123
2100-Jan-01 23:00:00, 616.00062039663294, 0.96601075020523086, null, null, 616.00062039663294, 0.96601075020523086
2100-Jan-02 00:00:00, 616.33158425897568, 0.96652976696977022, null, null, 616.33158425897568, 0.96652976696977022
2100-Jan-02 01:00:00, 616.91281487027868, 0.96744125147201887, null, null, 616.91281487027868, 0.96744125147201887
2100-Jan-02 02:00:00, 617.73058666487577, 0.9687236793115992, null, null, 617.73058666487577, 0.9687236793115992
2100-Jan-02 03:00:00, 618.76225295315123, 0.97034153600216022, null, null, 618.76225295315123, 0.97034153600216022
2100-Jan-02 04:00:00, 619.98706830343281, 0.97226228860566655, null, null, 619.98706830343281, 0.97226228860566655
2100-Jan-02 05:00:00, 621.37757695197149, 0.97444288105681842, null, null, 621.37757695197149, 0.97444288105681842
