Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 12915.525048114045, 0.74630922985919623, null, null, 12915.525048114045, 0.74630922985919623
2100-Jan-01 01:00:00, 12949.278775986797, 0.74825965143011564, null, null, 12949.278775986797, 0.74825965143011564
2100-Jan-01 02:00:00, 12991.313595893575, 0.7506885866809111, null, null, 12991.313595893575, 0.7506885866809111
2100-Jan-01 03:00:00, 13040.968890248116, 0.75355786256014301, null, null, 13040.968890248116, 0.75355786256014301
2100-Jan-01 04:00:00, 13097.513142702357, 0.75682520921038632, null, null, 13097.513142702357, 0.75682520921038632
2100-Jan-01 05:00:00, 13160.636210121222, 0.76047270535601164, null, null, 13160.636210121222, 0.76047270535601164
2100-Jan-01 06:00:00, 13228.545924834336, 0.76439679258426585, null, null, 13228.545924834336, 0.76439679258426585
2100-Jan-01 07:00:00, 13299.088081725848, 0.76847299255183887, null, null, 13299.088081725848, 0.76847299255183887
2100-Jan-01 08:00:00, 13365.738451060883, 0.77232430991005374, null, null, 13365.738451060883, 0.77232430991005374
2100-Jan-01 09:00:00, 13415.920176094343, 0.77522400499973942, null, null, 13415.920176094343, 0.77522400499973942
2100-Jan-01 10:00:00, 13438.950027926578, 0.77655475933768991, null, null, 13438.950027926578, 0.77655475933768991
2100-Jan-01 11:00:00, 13425.390228185548, 0.7757712214122805, null, null, 13425.390228185548, 0.7757712214122805
2100-Jan-01 12:00:00, 13375.949189984065, 0.77291432608621891, null, null, 13375.949189984065, 0.77291432608621891
2100-Jan-01 13:00:00, 13297.086080358602, 0.76835730913262057, null, null, 13297.086080358602, 0.76835730913262057
2100-Jan-01 14:00:00, 13197.954145552119, 0.76262908069093738, null, null, 13197.954145552119, 0.76262908069093738
2100-Jan-01 15:00:00, 13091.772988716681, 0.7564935208055894, null, null, 13091.772988716681, 0.7564935208055894
2100-Jan-01 16:00:00, 12991.485925206949, 0.75069854453834761, null, null, 12991.485925206949, 0.75069854453834761
2100-Jan-01 17:00:00, 12908.670774796865, 0.74591316330971158, null, null, 12908.670774796865, 0.74591316330971158
2100-Jan-01 18:00:00, 12849.924259888692, 0.74251856137640249, null, null, 12849.924259888692, 0.74251856137640249
2100-Jan-01 19:00:00, 12815.769384889552, 0.74054495996557423, null, null, 12815.769384889552, 0.74054495996557423
2100-Jan-01 20:00:00, 12801.950184923855, 0.73974643288709707, null, null, 12801.950184923855, 0.73974643288709707
2100-Jan-01 21:00:00, 12803.711019534223, 0.73984818075387582, null, null, 12803.711019534223, 0.73984818075387582
2100-Jan-01 22:00:00, 12816.898079397912, 0.74061018032062309, null, null, 12816.898079397912, 0.74061018032062309
2100-Jan-01 23:00:00, 12839.597355398524, 0.74192183270233192, null, null, 12839.597355398524, 0.74192183270233192
2100-Jan-02 00:00:00, 12872.170183280496, 0.74380401728254608, null, null, 12872.170183280496, 0.74380401728254608
2100-Jan-02 01:00:00, 12914.762731447838, 0.74626518023969213, null, null, 12914.762731447838, 0.74626518023969213
2100-Jan-02 02:00:00, 12966.198782554089, 0.74923735516445134, null, null, 12966.198782554089, 0.74923735516445134
2100-Jan-02 03:00:00, 13025.334976510652, 0.75265447426755516, null, null, 13025.334976510652, 0.75265447426755516
2100-Jan-02 04:00:00, 13091.1989952841, 0.75646035323438987, null, null, 13091.1989952841, 0.75646035323438987
