Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 7313.0896616956525, 0.52539436692470654, null, null, 7313.0896616956525, 0.52539436692470654
2100-Jan-01 01:00:00, 7317.750053331265, 0.52572918348327258, null, null, 7317.750053331265, 0.52572918348327258
2100-Jan-01 02:00:00, 7324.3826955022359, 0.52620569245494675, null, null, 7324.3826955022359, 0.52620569245494675
2100-Jan-01 03:00:00, 7332.8594484828545, 0.52681468789625197, null, null, 7332.8594484828545, 0.52681468789625197
2100-Jan-01 04:00:00, 7343.0445634901298, 0.52754641720614015, null, null, 7343.0445634901298, 0.52754641720614015
2100-Jan-01 05:00:00, 7354.8453386177416, 0.52839422040071427, null, null, 7354.8453386177416, 0.52839422040071427
2100-Jan-01 06:00:00, 7368.0267315241872, 0.52934121133090095, null, null, 7368.0267315241872, 0.52934121133090095
2100-Jan-01 07:00:00, 7382.2374473206855, 0.53036215191481784, null, null, 7382.2374473206855, 0.53036215191481784
2100-Jan-01 08:00:00, 7396.6013828802643, 0.53139410026756406, null, null, 7396.6013828802643, 0.53139410026756406
2100-Jan-01 09:00:00, 7409.3187368374874, 0.53230775324331103, null, null, 7409.3187368374874, 0.53230775324331103
2100-Jan-01 10:00:00, 7418.3346513654833, 0.53295548367255685, null, null, 7418.3346513654833, 0.53295548367255685
2100-Jan-01 11:00:00, 7421.6351211933788, 0.5331925993563511, null, null, 7421.6351211933788, 0.5331925993563511
2100-Jan-01 12:00:00, 7418.30077779562, 0.5329530500933698, null, null, 7418.30077779562, 0.5329530500933698
2100-Jan-01 13:00:00, 7408.588841280829, 0.53225531535021087, null, null, 7408.588841280829, 0.53225531535021087
2100-Jan-01 14:00:00, 7393.5878944006317, 0.5311776021873772, null, null, 7393.5878944006317, 0.5311776021873772
2100-Jan-01 15:00:00, 7375.2263329035986, 0.52985845235813167, null, null, 7375.2263329035986, 0.52985845235813167
