Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 7296.5419376856607, 0.52540977964001712, null, null, 7296.5419376856607, 0.52540977964001712
2100-Jan-01 01:00:00, 7301.1865640227579, 0.52574423014014793, null, null, 7301.1865640227579, 0.52574423014014793
2100-Jan-01 02:00:00, 7307.7988926115568, 0.5262203710485972, null, null, 7307.7988926115568, 0.5262203710485972
2100-Jan-01 03:00:00, 7316.2512142615988, 0.52682900627519114, null, null, 7316.2512142615988, 0.52682900627519114
2100-Jan-01 04:00:00, 7326.408118315554, 0.52756038516211989, null, null, 7326.408118315554, 0.52756038516211989
2100-Jan-01 05:00:00, 7338.1771135972667, 0.52840784759985515, null, null, 7338.1771135972667, 0.52840784759985515
2100-Jan-01 06:00:00, 7351.3237161001171, 0.52935450885158619, null, null, 7351.3237161001171, 0.52935450885158619
2100-Jan-01 07:00:00, 7365.4974517912524, 0.53037513196452857, null, null, 7365.4974517912524, 0.53037513196452857
2100-Jan-01 08:00:00, 7379.8244226892439, 0.53140678924639029, null, null, 7379.8244226892439, 0.53140678924639029
2100-Jan-01 09:00:00, 7392.5096824512011, 0.53232023010551599, null, null, 7392.5096824512011, 0.53232023010551599
2100-Jan-01 10:00:00, 7401.5037938636533, 0.53296787855811611, null, null, 7401.5037938636533, 0.53296787855811611
2100-Jan-01 11:00:00, 7404.7980487069954, 0.53320509143595607, null, null, 7404.7980487069954, 0.53320509143595607
2100-Jan-01 12:00:00, 7401.4751192455051, 0.53296581375468854, null, null, 7401.4751192455051, 0.53296581375468854
2100-Jan-01 13:00:00, 7391.7908778617611, 0.5322684703864371, null, null, 7391.7908778617611, 0.5322684703864371
2100-Jan-01 14:00:00, 7376.8303918956153, 0.53119119491787814, null, null, 7376.8303918956153, 0.53119119491787814
2100-Jan-01 15:00:00, 7358.5165311036399, 0.52987244945663825, null, null, 7358.5165311036399, 0.52987244945663825
2100-Jan-01 16:00:00, 7339.1699826407294, 0.52847934216670511, null, null, 7339.1699826407294, 0.52847934216670511
2100-Jan-01 17:00:00, 7321.1578537224286, 0.52718232383026098, null, null, 7321.1578537224286, 0.52718232383026098
2100-Jan-01 18:00:00, 7306.3337975025361, 0.52611487240212107, null, null, 7306.3337975025361, 0.52611487240212107
2100-Jan-01 19:00:00, 7295.6286336180274, 0.52534401439217537, null, null, 7295.6286336180274, 0.52534401439217537
2100-Jan-01 20:00:00, 7289.0099685820669, 0.52486741720850205, null, null, 7289.0099685820669, 0.52486741720850205
2100-Jan-01 21:00:00, 7285.9482200457996, 0.52464694665717904, null, null, 7285.9482200457996, 0.52464694665717904
2100-Jan-01 22:00:00, 7285.769397978328, 0.52463407002824058, null, null, 7285.769397978328, 0.52463407002824058
2100-Jan-01 23:00:00, 7287.9840424321646, 0.52479354226377473, null, null, 7287.9840424321646, 0.52479354226377473
2100-Jan-02 00:00:00, 7292.4427322820475, 0.52511460383945219, null, null, 7292.4427322820475, 0.52511460383945219
2100-Jan-02 01:00:00, 7299.1232786931014, 0.52559565698047206, null, null, 7299.1232786931014, 0.52559565698047206
2100-Jan-02 02:00:00, 7307.8985052506587, 0.52622754396080784, null, null, 7307.8985052506587, 0.52622754396080784
2100-Jan-02 03:00:00, 7318.5857910996565, 0.52699711460822229, null, null, 7318.5857910996565, 0.52699711460822229
2100-Jan-02 04:00:00, 7330.9987907030809, 0.52789095054338253, null, null, 7330.9987907030809, 0.52789095054338253
2100-Jan-02 05:00:00, 7344.8868356264129, 0.5288910016203332, null, null, 7344.8868356264129, 0.5288910016203332
2100-Jan-02 06:00:00, 7360.1093241308163, 0.5299871433815917, null, null, 7360.1093241308163, 0.5299871433815917
2100-Jan-02 07:00:00, 7376.4037621441112, 0.53116047414005763, null, null, 7376.4037621441112, 0.53116047414005763
2100-Jan-02 08:00:00, 7392.7948638176676, 0.53234076546050912, null, null, 7392.7948638176676, 0.53234076546050912
2100-Jan-02 09:00:00, 7407.5676330907163, 0.53340452381545489, null, null, 7407.5676330907163, 0.53340452381545489
2100-Jan-02 10:00:00, 7418.8363219688836, 0.53421596016309381, null, null, 7418.8363219688836, 0.53421596016309381
2100-Jan-02 11:00:00, 7424.5005155441604, 0.53462382771509864, null, null, 7424.5005155441604, 0.53462382771509864
2100-Jan-02 12:00:00, 7423.7641422045017, 0.5345708029045203, null, null, 7423.7641422045017, 0.5345708029045203
2100-Jan-02 13:00:00, 7416.8166221939282, 0.5340705255143573, null, null, 7416.8166221939282, 0.5340705255143573
2100-Jan-02 14:00:00, 7403.2337054463569, 0.53309244612330353, null, null, 7403.2337054463569, 0.53309244612330353
2100-Jan-02 15:00:00, 7384.075195706384, 0.5317128791357254, null, null, 7384.075195706384, 0.5317128791357254
2100-Jan-02 16:00:00, 7362.5088574796637, 0.53015992910650411, null, null, 7362.5088574796637, 0.53015992910650411
2100-Jan-02 17:00:00, 7341.9594987308228, 0.52868020978957564, null, null, 7341.9594987308228, 0.52868020978957564
2100-Jan-02 18:00:00, 7324.8220432487842, 0.52744617498441637, null, null, 7324.8220432487842, 0.52744617498441637
2100-Jan-02 19:00:00, 7312.382438437995, 0.52655042326007029, null, null, 7312.382438437995, 0.52655042326007029
2100-Jan-02 20:00:00, 7304.9050580436424, 0.52601199165523149, null, null, 7304.9050580436424, 0.52601199165523149
2100-Jan-02 21:00:00, 7302.0256610566494, 0.52580465188396008, null, null, 7302.0256610566494, 0.52580465188396008
2100-Jan-02 22:00:00, 7303.0672196786118, 0.5258796524925663, null, null, 7303.0672196786118, 0.5258796524925663
2100-Jan-02 23:00:00, 7307.1915665059078, 0.52617663867810394, null, null, 7307.1915665059078, 0.52617663867810394
2100-Jan-03 00:00:00, 7313.6699258843601, 0.52664313272453456, null, null, 7313.6699258843601, 0.52664313272453456
2100-Jan-03 01:00:00, 7321.9735019175996, 0.52724105706884827, null, null, 7321.9735019175996, 0.52724105706884827
2100-Jan-03 02:00:00, 7331.766368614587, 0.52794622233442889, null, null, 7331.766368614587, 0.52794622233442889
2100-Jan-03 03:00:00, 7342.8105828881553, 0.52874149470280962, null, null, 7342.8105828881553, 0.52874149470280962
2100-Jan-03 04:00:00, 7354.8958414536955, 0.52961173064389533, null, null, 7354.8958414536955, 0.52961173064389533
2100-Jan-03 05:00:00, 7367.8398689677588, 0.53054380486506747, null, null, 7367.8398689677588, 0.53054380486506747
2100-Jan-03 06:00:00, 7381.4915959481332, 0.53152683914702203, null, null, 7381.4915959481332, 0.53152683914702203
2100-Jan-03 07:00:00, 7395.7240611281104, 0.53255169125611823, null, null, 7395.7240611281104, 0.53255169125611823
2100-Jan-03 08:00:00, 7410.0077538839432, 0.53358023216321926, null, null, 7410.0077538839432, 0.53358023216321926
2100-Jan-03 09:00:00, 7423.1391522734948, 0.53452579859635185, null, null, 7423.1391522734948, 0.53452579859635185
2100-Jan-03 10:00:00, 7433.4954527550626, 0.53527153563183749, null, null, 7433.4954527550626, 0.53527153563183749
2100-Jan-03 11:00:00, 7439.5694238029027, 0.5357089104618652, null, null, 7439.5694238029027, 0.5357089104618652
2100-Jan-03 12:00:00, 7440.2206756263422, 0.53575580583777971, null, null, 7440.2206756263422, 0.53575580583777971
2100-Jan-03 13:00:00, 7434.8806683500134, 0.53537128231001907, null, null, 7434.8806683500134, 0.53537128231001907
2100-Jan-03 14:00:00, 7423.7327453222706, 0.53456854207615589, null, null, 7423.7327453222706, 0.53456854207615589
2100-Jan-03 15:00:00, 7407.9166654261362, 0.53342965695441391, null, null, 7407.9166654261362, 0.53342965695441391
2100-Jan-03 16:00:00, 7389.4330066200419, 0.53209868466874899, null, null, 7389.4330066200419, 0.53209868466874899
2100-Jan-03 17:00:00, 7370.9310925010495, 0.53076639785354274, null, null, 7370.9310925010495, 0.53076639785354274
2100-Jan-03 18:00:00, 7354.7733820940894, 0.52960291258382042, null, null, 7354.7733820940894, 0.52960291258382042
2100-Jan-03 19:00:00, 7342.3593724013299, 0.5287090039140937, null, null, 7342.3593724013299, 0.5287090039140937
2100-Jan-03 20:00:00, 7334.1160132667719, 0.52811541567142062, null, null, 7334.1160132667719, 0.52811541567142062
2100-Jan-03 21:00:00, 7329.8203577959721, 0.52780609388397692, null, null, 7329.8203577959721, 0.52780609388397692
2100-Jan-03 22:00:00, 7329.2338675374176, 0.52776386186226865, null, null, 7329.2338675374176, 0.52776386186226865
2100-Jan-03 23:00:00, 7332.0893304014971, 0.52796947818394524, null, null, 7332.0893304014971, 0.52796947818394524
2100-Jan-04 00:00:00, 7337.9057478252253, 0.52838830707891971, null, null, 7337.9057478252253, 0.52838830707891971
2100-Jan-04 01:00:00, 7346.0425958579654, 0.52897422566451235, null, null, 7346.0425958579654, 0.52897422566451235
2100-Jan-04 02:00:00, 7356.0261639328928, 0.52969312296505089, null, null, 7356.0261639328928, 0.52969312296505089
2100-Jan-04 03:00:00, 7367.4775786867303, 0.53051771704725648, null, null, 7367.4775786867303, 0.53051771704725648
2100-Jan-04 04:00:00, 7380.1419992135552, 0.53142965731363123, null, null, 7380.1419992135552, 0.53142965731363123
2100-Jan-04 05:00:00, 7393.8677862306686, 0.53241802451464737, null, null, 7393.8677862306686, 0.53241802451464737
2100-Jan-04 06:00:00, 7408.5507153186436, 0.53347531365277157, null, null, 7408.5507153186436, 0.53347531365277157
2100-Jan-04 07:00:00, 7423.8963978854845, 0.53458032637862551, null, null, 7423.8963978854845, 0.53458032637862551
2100-Jan-04 08:00:00, 7439.5917870638395, 0.5357105207967473, null, null, 7439.5917870638395, 0.5357105207967473
2100-Jan-04 09:00:00, 7454.889773846041, 0.536812099042006, null, null, 7454.889773846041, 0.536812099042006
2100-Jan-04 10:00:00, 7468.7191440089755, 0.53780792506369157, null, null, 7468.7191440089755, 0.53780792506369157
2100-Jan-04 11:00:00, 7479.4957809272255, 0.53858392970764957, null, null, 7479.4957809272255, 0.53858392970764957
2100-Jan-04 12:00:00, 7486.1824366572291, 0.53906542276883307, null, null, 7486.1824366572291, 0.53906542276883307
2100-Jan-04 13:00:00, 7488.6451691497405, 0.53924275934104127, null, null, 7488.6451691497405, 0.53924275934104127
2100-Jan-04 14:00:00, 7487.3880813381011, 0.53915223889509001, null, null, 7487.3880813381011, 0.53915223889509001
2100-Jan-04 15:00:00, 7483.3251357798372, 0.53885967409539615, null, null, 7483.3251357798372, 0.53885967409539615
2100-Jan-04 16:00:00, 7477.7362169642465, 0.53845722693228737, null, null, 7477.7362169642465, 0.53845722693228737
2100-Jan-04 17:00:00, 7471.967324657795, 0.53804182022848368, null, null, 7471.967324657795, 0.53804182022848368
2100-Jan-04 18:00:00, 7467.0667721674035, 0.53768894098430464, null, null, 7467.0667721674035, 0.53768894098430464
2100-Jan-04 19:00:00, 7463.6951483869243, 0.53744615691992736, null, null, 7463.6951483869243, 0.53744615691992736
2100-Jan-04 20:00:00, 7462.1257995009182, 0.53733315116193725, null, null, 7462.1257995009182, 0.53733315116193725
2100-Jan-04 21:00:00, 7462.4768590322838, 0.5373584302753297, null, null, 7462.4768590322838, 0.5373584302753297
2100-Jan-04 22:00:00, 7464.685727355878, 0.53751748658297038, null, null, 7464.685727355878, 0.53751748658297038
2100-Jan-04 23:00:00, 7468.5182929211442, 0.53779346216788437, null, null, 7468.5182929211442, 0.53779346216788437
2100-Jan-05 00:00:00, 7473.6081398923152, 0.53815997213909583, null, null, 7473.6081398923152, 0.53815997213909583
2100-Jan-05 01:00:00, 7479.6699579143451, 0.5385964718533951, null, null, 7479.6699579143451, 0.5385964718533951
2100-Jan-05 02:00:00, 7486.6383056043787, 0.53909824900420755, null, null, 7486.6383056043787, 0.53909824900420755
2100-Jan-05 03:00:00, 7494.3794173455708, 0.53965567138988613, null, null, 7494.3794173455708, 0.53965567138988613
2100-Jan-05 04:00:00, 7502.8317919132887, 0.54026431042697887, null, null, 7502.8317919132887, 0.54026431042697887
2100-Jan-05 05:00:00, 7511.9994929880268, 0.54092445873320671, null, null, 7511.9994929880268, 0.54092445873320671
2100-Jan-05 06:00:00, 7521.7211890280987, 0.54162449913834165, null, null, 7521.7211890280987, 0.54162449913834165
2100-Jan-05 07:00:00, 7531.8662045847404, 0.542355021957724, null, null, 7531.8662045847404, 0.542355021957724
2100-Jan-05 08:00:00, 7542.2058494695875, 0.54309955965611578, null, null, 7542.2058494695875, 0.54309955965611578
2100-Jan-05 09:00:00, 7551.6185008907978, 0.54377734635991082, null, null, 7551.6185008907978, 0.54377734635991082
2100-Jan-05 10:00:00, 7558.1746746444351, 0.54424944366800532, null, null, 7558.1746746444351, 0.54424944366800532
2100-Jan-05 11:00:00, 7560.0268529296827, 0.54438281542040767, null, null, 7560.0268529296827, 0.54438281542040767
2100-Jan-05 12:00:00, 7556.6016506229344, 0.54413617327066321, null, null, 7556.6016506229344, 0.54413617327066321
2100-Jan-05 13:00:00, 7548.4220115939224, 0.54354717338873682, null, null, 7548.4220115939224, 0.54354717338873682
2100-Jan-05 14:00:00, 7536.0016414031525, 0.54265280671193128, null, null, 7536.0016414031525, 0.54265280671193128
2100-Jan-05 15:00:00, 7520.368514825791, 0.54152709570249091, null, null, 7520.368514825791, 0.54152709570249091
2100-Jan-05 16:00:00, 7503.0993694884, 0.5402835781672285, null, null, 7503.0993694884, 0.5402835781672285
2100-Jan-05 17:00:00, 7486.1126082892724, 0.53906039456400201, null, null, 7486.1126082892724, 0.53906039456400201
2100-Jan-05 18:00:00, 7471.0558093669497, 0.53797618378697598, null, null, 7471.0558093669497, 0.53797618378697598
2100-Jan-05 19:00:00, 7459.0086216067557, 0.53710868925046495, null, null, 7459.0086216067557, 0.53710868925046495
2100-Jan-05 20:00:00, 7450.4736613476671, 0.53649410337851888, null, null, 7450.4736613476671, 0.53649410337851888
2100-Jan-05 21:00:00, 7445.491614304864, 0.53613535587027861, null, null, 7445.491614304864, 0.53613535587027861
2100-Jan-05 22:00:00, 7443.8396214369041, 0.53601639908004362, null, null, 7443.8396214369041, 0.53601639908004362
2100-Jan-05 23:00:00, 7445.154176303864, 0.53611105761676869, null, null, 7445.154176303864, 0.53611105761676869
2100-Jan-06 00:00:00, 7449.0131283334194, 0.53638893323960557, null, null, 7449.0131283334194, 0.53638893323960557
2100-Jan-06 01:00:00, 7455.0787395939424, 0.53682570609762392, null, null, 7455.0787395939424, 0.53682570609762392
2100-Jan-06 02:00:00, 7463.0658596342364, 0.53740084306197888, null, null, 7463.0658596342364, 0.53740084306197888
2100-Jan-06 03:00:00, 7472.6682868925909, 0.53809229515434109, null, null, 7472.6682868925909, 0.53809229515434109
2100-Jan-06 04:00:00, 7483.6441998664368, 0.53888264927910134, null, null, 7483.6441998664368, 0.53888264927910134
