Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 9908.2388025272194, 0.70787570038486558, null, null, 9908.2388025272194, 0.70787570038486558
2100-Jan-01 01:00:00, 9937.0577760173019, 0.70993461836718763, null, null, 9937.0577760173019, 0.70993461836718763
2100-Jan-01 02:00:00, 9975.4635474824718, 0.71267844730758356, null, null, 9975.4635474824718, 0.71267844730758356
2100-Jan-01 03:00:00, 10022.574172034942, 0.71604417829320965, null, null, 10022.574172034942, 0.71604417829320965
2100-Jan-01 04:00:00, 10077.440571092933, 0.71996400616926615, null, null, 10077.440571092933, 0.71996400616926615
2100-Jan-01 05:00:00, 10139.508697449959, 0.7243983480631403, null, null, 10139.508697449959, 0.7243983480631403
2100-Jan-01 06:00:00, 10207.029821032524, 0.72922226920587563, null, null, 10207.029821032524, 0.72922226920587563
2100-Jan-01 07:00:00, 10277.909228995377, 0.7342861167326199, null, null, 10277.909228995377, 0.7342861167326199
2100-Jan-01 08:00:00, 10346.346902798301, 0.73917551910184809, null, null, 10346.346902798301, 0.73917551910184809
2100-Jan-01 09:00:00, 10401.375158058854, 0.7431069104933824, null, null, 10401.375158058854, 0.7431069104933824
2100-Jan-01 10:00:00, 10433.171230139176, 0.74537852174962349, null, null, 10433.171230139176, 0.74537852174962349
2100-Jan-01 11:00:00, 10432.684637652061, 0.74534375805402797, null, null, 10432.684637652061, 0.74534375805402797
2100-Jan-01 12:00:00, 10399.130857901966, 0.74294657064115499, null, null, 10399.130857901966, 0.74294657064115499
2100-Jan-01 13:00:00, 10336.81671202809, 0.73849465234028566, null, null, 10336.81671202809, 0.73849465234028566
2100-Jan-01 14:00:00, 10252.907323490908, 0.73249990207604365, null, null, 10252.907323490908, 0.73249990207604365
2100-Jan-01 15:00:00, 10158.573468241961, 0.72576039516818414, null, null, 10158.573468241961, 0.72576039516818414
2100-Jan-01 16:00:00, 10065.396622299451, 0.71910354863917403, null, null, 10065.396622299451, 0.71910354863917403
2100-Jan-01 17:00:00, 9984.3123623994343, 0.71331063443808784, null, null, 9984.3123623994343, 0.71331063443808784
2100-Jan-01 18:00:00, 9922.3712979366319, 0.70888537024501985, null, null, 9922.3712979366319, 0.70888537024501985
2100-Jan-01 19:00:00, 9881.5579248752656, 0.70596953468466639, null, null, 9881.5579248752656, 0.70596953468466639
2100-Jan-01 20:00:00, 9859.5685510189596, 0.7043985447509572, null, null, 9859.5685510189596, 0.7043985447509572
2100-Jan-01 21:00:00, 9853.1791990921283, 0.70394206938128223, null, null, 9853.1791990921283, 0.70394206938128223
2100-Jan-01 22:00:00, 9859.1890509615496, 0.70437143207490149, null, null, 9859.1890509615496, 0.70437143207490149
2100-Jan-01 23:00:00, 9875.9110766835674, 0.70556610611392523, null, null, 9875.9110766835674, 0.70556610611392523
2100-Jan-02 00:00:00, 9903.4133692158284, 0.70753095627311779, null, null, 9903.4133692158284, 0.70753095627311779
2100-Jan-02 01:00:00, 9941.6118899358826, 0.71025997856933831, null, null, 9941.6118899358826, 0.71025997856933831
2100-Jan-02 02:00:00, 9989.3502871469027, 0.71367055960543357, null, null, 9989.3502871469027, 0.71367055960543357
2100-Jan-02 03:00:00, 10045.455139683663, 0.71767886648781498, null, null, 10045.455139683663, 0.71767886648781498
2100-Jan-02 04:00:00, 10108.893188555186, 0.72221107994885159, null, null, 10108.893188555186, 0.72221107994885159
2100-Jan-02 05:00:00, 10178.119480124602, 0.72715682364825129, null, null, 10178.119480124602, 0.72715682364825129
2100-Jan-02 06:00:00, 10252.691757038701, 0.73248450133163512, null, null, 10252.691757038701, 0.73248450133163512
2100-Jan-02 07:00:00, 10330.813984227318, 0.73806579861250632, null, null, 10330.813984227318, 0.73806579861250632
