Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 9886.2063174155464, 0.70792420861476046, null, null, 9886.2063174155464, 0.70792420861476046
2100-Jan-01 01:00:00, 9914.9325465623533, 0.7099812153554973, null, null, 9914.9325465623533, 0.7099812153554973
2100-Jan-01 02:00:00, 9953.2238783333323, 0.71272315294717226, null, null, 9953.2238783333323, 0.71272315294717226
2100-Jan-01 03:00:00, 10000.200961382552, 0.71608705344377266, null, null, 10000.200961382552, 0.71608705344377266
2100-Jan-01 04:00:00, 10054.916837068093, 0.72000510772563764, null, null, 10054.916837068093, 0.72000510772563764
2100-Jan-01 05:00:00, 10116.81877577767, 0.72443773633622011, null, null, 10116.81877577767, 0.72443773633622011
2100-Jan-01 06:00:00, 10184.162270251732, 0.7292600198795971, null, null, 10184.162270251732, 0.7292600198795971
2100-Jan-01 07:00:00, 10254.857483930558, 0.73432231087268229, null, null, 10254.857483930558, 0.73432231087268229
2100-Jan-01 08:00:00, 10323.119149078973, 0.73921034210806014, null, null, 10323.119149078973, 0.73921034210806014
2100-Jan-01 09:00:00, 10378.009571716218, 0.74314089521998017, null, null, 10378.009571716218, 0.74314089521998017
2100-Jan-01 10:00:00, 10409.731400330837, 0.74541240864958125, null, null, 10409.731400330837, 0.74541240864958125
2100-Jan-01 11:00:00, 10409.257930186082, 0.74537850474683376, null, null, 10409.257930186082, 0.74537850474683376
2100-Jan-01 12:00:00, 10375.803763372764, 0.74298294331449088, null, null, 10375.803763372764, 0.74298294331449088
2100-Jan-01 13:00:00, 10313.660650669999, 0.73853304489355009, null, null, 10313.660650669999, 0.73853304489355009
2100-Jan-01 14:00:00, 10229.972123394879, 0.73254033823346265, null, null, 10229.972123394879, 0.73254033823346265
2100-Jan-01 15:00:00, 10135.878214005304, 0.72580253060519773, null, null, 10135.878214005304, 0.72580253060519773
2100-Jan-01 16:00:00, 10042.930845518258, 0.71914682363668103, null, null, 10042.930845518258, 0.71914682363668103
2100-Jan-01 17:00:00, 9962.0398198399544, 0.71335443841845314, null, null, 9962.0398198399544, 0.71335443841845314
2100-Jan-01 18:00:00, 9900.2405063812475, 0.70892915852154037, null, null, 9900.2405063812475, 0.70892915852154037
2100-Jan-01 19:00:00, 9859.5145560138626, 0.70601288454765754, null, null, 9859.5145560138626, 0.70601288454765754
2100-Jan-01 20:00:00, 9837.5653417848753, 0.70444116131896073, null, null, 9837.5653417848753, 0.70444116131896073
2100-Jan-01 21:00:00, 9831.1777273684111, 0.70398376171232435, null, null, 9831.1777273684111, 0.70398376171232435
2100-Jan-01 22:00:00, 9837.1592563731883, 0.70441208265273947, null, null, 9837.1592563731883, 0.70441208265273947
2100-Jan-01 23:00:00, 9853.8272337057897, 0.705605630944525, null, null, 9853.8272337057897, 0.705605630944525
2100-Jan-02 00:00:00, 9881.2498604125449, 0.70756929027816839, null, null, 9881.2498604125449, 0.70756929027816839
2100-Jan-02 01:00:00, 9919.3436317847718, 0.71029708110975653, null, null, 9919.3436317847718, 0.71029708110975653
2100-Jan-02 02:00:00, 9966.9551619856957, 0.71370641263251178, null, null, 9966.9551619856957, 0.71370641263251178
