Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 5035.2701729768314, 0.37911633294716551, null, null, 5035.2701729768314, 0.37911633294716551
2100-Jan-01 01:00:00, 5036.747884151283, 0.37922759300320374, null, null, 5036.747884151283, 0.37922759300320374
2100-Jan-01 02:00:00, 5041.085682884026, 0.37955419520966455, null, null, 5041.085682884026, 0.37955419520966455
2100-Jan-01 03:00:00, 5048.1445430743433, 0.38008567199208271, null, null, 5048.1445430743433, 0.38008567199208271
2100-Jan-01 04:00:00, 5057.6783103743001, 0.38080348985959833, null, null, 5057.6783103743001, 0.38080348985959833
2100-Jan-01 05:00:00, 5069.4642462287175, 0.38169087834680548, null, null, 5069.4642462287175, 0.38169087834680548
2100-Jan-01 06:00:00, 5083.2134426928687, 0.3827260849524875, null, null, 5083.2134426928687, 0.3827260849524875
2100-Jan-01 07:00:00, 5098.5117051971165, 0.38387792407567889, null, null, 5098.5117051971165, 0.38387792407567889
2100-Jan-01 08:00:00, 5114.4479869116731, 0.38507780103895689, null, null, 5114.4479869116731, 0.38507780103895689
2100-Jan-01 09:00:00, 5129.4201998580729, 0.38620509118890872, null, null, 5129.4201998580729, 0.38620509118890872
2100-Jan-01 10:00:00, 5141.584235539739, 0.38712094762620997, null, null, 5141.584235539739, 0.38712094762620997
2100-Jan-01 11:00:00, 5149.0600121040607, 0.38768381494010473, null, null, 5149.0600121040607, 0.38768381494010473
2100-Jan-01 12:00:00, 5150.6463510159692, 0.38780325381238651, null, null, 5150.6463510159692, 0.38780325381238651
2100-Jan-01 13:00:00, 5146.0176638997154, 0.38745474999320878, null, null, 5146.0176638997154, 0.38745474999320878
2100-Jan-01 14:00:00, 5135.6405102259232, 0.38667343174968116, null, null, 5135.6405102259232, 0.38667343174968116
2100-Jan-01 15:00:00, 5120.8610340594687, 0.38556065316687999, null, null, 5120.8610340594687, 0.38556065316687999
2100-Jan-01 16:00:00, 5103.6131105416434, 0.38426201986809011, null, null, 5103.6131105416434, 0.38426201986809011
2100-Jan-01 17:00:00, 5086.1117832154196, 0.38294430725095296, null, null, 5086.1117832154196, 0.38294430725095296
2100-Jan-01 18:00:00, 5070.3110774386751, 0.38175463809194632, null, null, 5070.3110774386751, 0.38175463809194632
2100-Jan-01 19:00:00, 5057.5069762673857, 0.380790589745783, null, null, 5057.5069762673857, 0.380790589745783
2100-Jan-01 20:00:00, 5048.2096165644289, 0.38009057151526332, null, null, 5048.2096165644289, 0.38009057151526332
2100-Jan-01 21:00:00, 5042.4058080002924, 0.37965359027207773, null, null, 5042.4058080002924, 0.37965359027207773
2100-Jan-01 22:00:00, 5039.7896646472491, 0.37945661520611351, null, null, 5039.7896646472491, 0.37945661520611351
2100-Jan-01 23:00:00, 5040.0121353697377, 0.3794733655058195, null, null, 5040.0121353697377, 0.3794733655058195
2100-Jan-02 00:00:00, 5042.8918438928558, 0.37969018496093043, null, null, 5042.8918438928558, 0.37969018496093043
2100-Jan-02 01:00:00, 5048.3529377160494, 0.38010136247335885, null, null, 5048.3529377160494, 0.38010136247335885
2100-Jan-02 02:00:00, 5056.2523731090896, 0.38069612797266311, null, null, 5056.2523731090896, 0.38069612797266311
2100-Jan-02 03:00:00, 5066.3552620089731, 0.38145679623083367, null, null, 5066.3552620089731, 0.38145679623083367
2100-Jan-02 04:00:00, 5078.446817174412, 0.38236719545400771, null, null, 5078.446817174412, 0.38236719545400771
2100-Jan-02 05:00:00, 5092.2432960030274, 0.38340596205071559, null, null, 5092.2432960030274, 0.38340596205071559
2100-Jan-02 06:00:00, 5107.5239195762724, 0.38455647310081281, null, null, 5107.5239195762724, 0.38455647310081281
2100-Jan-02 07:00:00, 5124.0272905710408, 0.38579904743701854, null, null, 5124.0272905710408, 0.38579904743701854
2100-Jan-02 08:00:00, 5140.9447930890137, 0.38707280262728799, null, null, 5140.9447930890137, 0.38707280262728799
2100-Jan-02 09:00:00, 5156.8589342832274, 0.3882710125831178, null, null, 5156.8589342832274, 0.3882710125831178
2100-Jan-02 10:00:00, 5170.1167696169186, 0.38926922355131993, null, null, 5170.1167696169186, 0.38926922355131993
2100-Jan-02 11:00:00, 5178.8397699511042, 0.38992599702829073, null, null, 5178.8397699511042, 0.38992599702829073
2100-Jan-02 12:00:00, 5181.942611486129, 0.39015961664830395, null, null, 5181.942611486129, 0.39015961664830395
2100-Jan-02 13:00:00, 5179.067704640478, 0.38994315872182816, null, null, 5179.067704640478, 0.38994315872182816
2100-Jan-02 14:00:00, 5169.7352384168535, 0.38924049724577831, null, null, 5169.7352384168535, 0.38924049724577831
2100-Jan-02 15:00:00, 5154.4794139558835, 0.38809185337424018, null, null, 5154.4794139558835, 0.38809185337424018
2100-Jan-02 16:00:00, 5135.489393057589, 0.38666205381270141, null, null, 5135.489393057589, 0.38666205381270141
2100-Jan-02 17:00:00, 5115.5623208683783, 0.38516170164187025, null, null, 5115.5623208683783, 0.38516170164187025
2100-Jan-02 18:00:00, 5097.0551806025032, 0.38376825920285429, null, null, 5097.0551806025032, 0.38376825920285429
2100-Jan-02 19:00:00, 5081.6357569344582, 0.38260729759476403, null, null, 5081.6357569344582, 0.38260729759476403
2100-Jan-02 20:00:00, 5070.1771014616106, 0.38174455075216457, null, null, 5070.1771014616106, 0.38174455075216457
2100-Jan-02 21:00:00, 5062.9219649023571, 0.38119829589931942, null, null, 5062.9219649023571, 0.38119829589931942
2100-Jan-02 22:00:00, 5059.6777172606498, 0.38095402950906743, null, null, 5059.6777172606498, 0.38095402950906743
2100-Jan-02 23:00:00, 5059.8142554902743, 0.38096430976636131, null, null, 5059.8142554902743, 0.38096430976636131
2100-Jan-03 00:00:00, 5062.6969362307063, 0.38118135300611339, null, null, 5062.6969362307063, 0.38118135300611339
2100-Jan-03 01:00:00, 5067.9016253810832, 0.38157322525865117, null, null, 5067.9016253810832, 0.38157322525865117
2100-Jan-03 02:00:00, 5075.1927881777128, 0.38212219260447783, null, null, 5075.1927881777128, 0.38212219260447783
2100-Jan-03 03:00:00, 5084.3600113924449, 0.38281241257859744, null, null, 5084.3600113924449, 0.38281241257859744
2100-Jan-03 04:00:00, 5095.1301705884489, 0.38362332105408686, null, null, 5095.1301705884489, 0.38362332105408686
2100-Jan-03 05:00:00, 5107.217578652313, 0.38453340803305408, null, null, 5107.217578652313, 0.38453340803305408
2100-Jan-03 06:00:00, 5120.2428855390563, 0.38551411143382003, null, null, 5120.2428855390563, 0.38551411143382003
2100-Jan-03 07:00:00, 5134.0194020332774, 0.38655137502338971, null, null, 5134.0194020332774, 0.38655137502338971
2100-Jan-03 08:00:00, 5148.1414516523018, 0.38761465454590582, null, null, 5148.1414516523018, 0.38761465454590582
2100-Jan-03 09:00:00, 5161.6477345506391, 0.38863157166619167, null, null, 5161.6477345506391, 0.38863157166619167
2100-Jan-03 10:00:00, 5173.16514492653, 0.38949874229194859, null, null, 5173.16514492653, 0.38949874229194859
2100-Jan-03 11:00:00, 5181.2733816302307, 0.39010922889151017, null, null, 5181.2733816302307, 0.39010922889151017
2100-Jan-03 12:00:00, 5184.7350978859449, 0.39036986896195036, null, null, 5184.7350978859449, 0.39036986896195036
2100-Jan-03 13:00:00, 5182.7287292699984, 0.39021880514887031, null, null, 5182.7287292699984, 0.39021880514887031
2100-Jan-03 14:00:00, 5175.0475845916144, 0.38964047522748224, null, null, 5175.0475845916144, 0.38964047522748224
2100-Jan-03 15:00:00, 5162.299791993315, 0.38868066647501937, null, null, 5162.299791993315, 0.38868066647501937
2100-Jan-03 16:00:00, 5145.9067552487277, 0.38744639944207449, null, null, 5145.9067552487277, 0.38744639944207449
2100-Jan-03 17:00:00, 5127.9966602026761, 0.38609790982317882, null, null, 5127.9966602026761, 0.38609790982317882
2100-Jan-03 18:00:00, 5110.7687100378398, 0.38480078036114085, null, null, 5110.7687100378398, 0.38480078036114085
