Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 17.069924049447565, 2.1539879933181352, 11.792534383388372, 2.4180885792709081, 5.2773896660591948, 1.7314270557936986
2100-Jan-01 01:00:00, 17.113630927035885, 2.1595031959211433, 11.834409662455066, 2.4266752096569593, 5.2792212645808201, 1.732027973943838
2100-Jan-01 02:00:00, 17.162292807457149, 2.1656436512539297, 11.881240920837204, 2.4362780759590708, 5.2810518866199461, 1.7326285717257035
2100-Jan-01 03:00:00, 17.215448878520078, 2.1723512112002914, 11.932567342603825, 2.4468026867215835, 5.2828815359162533, 1.7332288503662243
2100-Jan-01 04:00:00, 17.273235833361781, 2.179643124540906, 11.988525618191803, 2.458277070659407, 5.2847102151699774, 1.7338288107513045
2100-Jan-01 05:00:00, 17.335939463222054, 2.1875554541719722, 12.04940153789609, 2.4707598297851221, 5.2865379253259626, 1.734428453190932
2100-Jan-01 06:00:00, 17.402886594047651, 2.19600325485156, 12.114521929028568, 2.4841129283605152, 5.2883646650190839, 1.7350277772372318
2100-Jan-01 07:00:00, 17.472898401606972, 2.204837775288583, 12.182707971509224, 2.4980946463888651, 5.2901904300977485, 1.7356267815281321
2100-Jan-01 08:00:00, 17.54167699811131, 2.213516681570677, 12.249661784767151, 2.5118236927426065, 5.2920152133441594, 1.7362254636955898
2100-Jan-01 09:00:00, 17.598184573073148, 2.2206471548901097, 12.304345568714099, 2.5230367389915709, 5.2938390043590466, 1.7368238203277706
2100-Jan-01 10:00:00, 17.630657473710436, 2.2247447851946331, 12.334995684115432, 2.5293216215787862, 5.2956617895950036, 1.7374218469799876
2100-Jan-01 11:00:00, 17.627529859517466, 2.2243501236015368, 12.330046306944965, 2.5283067394490151, 5.2974835525725004, 1.7380195382455705
2100-Jan-01 12:00:00, 17.586638248414804, 2.2191901686370374, 12.287333974143168, 2.5195484691074395, 5.2993042742716367, 1.7386168878843948
2100-Jan-01 13:00:00, 17.514105076138335, 2.2100374868940955, 12.212981142554645, 2.5043022355960134, 5.3011239335836926, 1.7392138889710271
2100-Jan-01 14:00:00, 17.420613773432983, 2.198240179365154, 12.117671265517142, 2.4847587076601738, 5.302942507915839, 1.7398105340931225
2100-Jan-01 15:00:00, 17.319947039376238, 2.1855374317807681, 12.015187065550228, 2.4637440669189266, 5.3047599738260116, 1.7404068155597145
2100-Jan-01 16:00:00, 17.225313843107791, 2.1735960330996091, 11.918737535423244, 2.4439668502754341, 5.3065763076845478, 1.7410027256182894
2100-Jan-01 17:00:00, 17.14737258997922, 2.1637609264560886, 11.838981103658011, 2.4276125950742298, 5.3083914863212085, 1.7415982566670627
2100-Jan-01 18:00:00, 17.09234087774345, 2.156816686571704, 11.78213539010425, 2.4159562397687506, 5.3102054876391991, 1.7421934014564295
2100-Jan-01 19:00:00, 17.06130588461329, 2.1529005002792854, 11.749287593487932, 2.4092207171686195, 5.3120182911253595, 1.7427881532563509
2100-Jan-01 20:00:00, 17.050949891194826, 2.1515937173423705, 11.737120012967708, 2.4067257244438363, 5.3138298782271196, 1.7433825059800256
2100-Jan-01 21:00:00, 17.056346058466527, 2.1522746389141076, 11.740705825797459, 2.40746100430558, 5.315640232669069, 1.7439764542877518
2100-Jan-01 22:00:00, 17.072857972573285, 2.1543582137812027, 11.755408632059654, 2.4104758513901836, 5.3174493405136314, 1.744569993606834
2100-Jan-01 23:00:00, 17.097812903257974, 2.1575071804030341, 11.778555713109043, 2.4152222180751797, 5.3192571901489325, 1.7451631201276019
2100-Jan-02 00:00:00, 17.130719851401377, 2.1616595814911883, 11.809656079288704, 2.4215994257071638, 5.321063772112673, 1.7457558307456271
2100-Jan-02 01:00:00, 17.171779921679047, 2.1668407936703815, 11.848910842919768, 2.4296487128690454, 5.3228690787592789, 1.7463481229525188
2100-Jan-02 02:00:00, 17.220701119591219, 2.1730139712789232, 11.896028015720178, 2.4393102066355339, 5.3246731038710404, 1.7469399947083462
2100-Jan-02 03:00:00, 17.277123959896151, 2.1801337522582456, 11.950648117713067, 2.4505101947410308, 5.3264758421830827, 1.7475314442857877
2100-Jan-02 04:00:00, 17.340388971998394, 2.1881169205529964, 12.012111683115256, 2.463113452082359, 5.3282772888831369, 1.7481224701060154
2100-Jan-02 05:00:00, 17.409634923496245, 2.1968548005623152, 12.079557484369611, 2.4769433818015099, 5.3300774391266339, 1.7487130705796037
2100-Jan-02 06:00:00, 17.48456037048976, 2.206309354241085, 12.152684082900343, 2.4919381731668997, 5.3318762875894175, 1.749303243959782
2100-Jan-02 07:00:00, 17.563828352419669, 2.216311875683886, 12.230154524322726, 2.5078236803483267, 5.3336738280969413, 1.7498929882207808
2100-Jan-02 08:00:00, 17.642199616036283, 2.2262012436952698, 12.306729562696649, 2.5235255829020344, 5.335470053339634, 1.7504823009644463
2100-Jan-02 09:00:00, 17.709518105191798, 2.2346959046527091, 12.372253150469895, 2.5369613579539632, 5.3372649547219027, 1.7510711793707023
2100-Jan-02 10:00:00, 17.75513510355858, 2.24045213804242, 12.41607658127614, 2.5459474617118056, 5.33905852228244, 1.7516596201714036
2100-Jan-02 11:00:00, 17.765981870509634, 2.2418208498018406, 12.425131125734342, 2.5478041186299079, 5.3408507447752909, 1.7522476196769321
2100-Jan-02 12:00:00, 17.740662352951922, 2.238625877366232, 12.398020743139217, 2.5422450670807106, 5.3426416098127039, 1.752835173823065
2100-Jan-02 13:00:00, 17.684375739005812, 2.2315232862666319, 12.339944634877137, 2.5303364162723772, 5.3444311041286765, 1.7534222782574393
2100-Jan-02 14:00:00, 17.589387760181282, 2.2195371189407016, 12.243168546251336, 2.5104922379944492, 5.3462192139299471, 1.7540089284547065
2100-Jan-02 15:00:00, 17.464456707552113, 2.2037725504179417, 12.116450782296766, 2.484508444532636, 5.3480059252553467, 1.7545951198344307
2100-Jan-02 16:00:00, 17.334694859848334, 2.1873984024642041, 11.98490363543185, 2.4575343740632882, 5.3497912244164842, 1.7551808479056701
2100-Jan-02 17:00:00, 17.223556881472341, 2.1733743288754708, 11.871981783096222, 2.4343794666781937, 5.3515750983761183, 1.7557661083911145
2100-Jan-02 18:00:00, 17.143238923076481, 2.1632393149450424, 11.789881387910178, 2.4175445759330239, 5.3533575351663032, 1.7563508973642721
2100-Jan-02 19:00:00, 17.096267236859958, 2.1573121387113807, 11.741128712678149, 2.4075477183149077, 5.3551385241818101, 1.7569352113457377
2100-Jan-02 20:00:00, 17.079055616701417, 2.1551402706316134, 11.722137560281597, 2.4036535351627277, 5.3569180564198202, 1.7575190473818303
2100-Jan-02 21:00:00, 17.085807863566572, 2.1559923106660817, 11.727111738970436, 2.4046735029056818, 5.3586961245961371, 1.7581024030827217
2100-Jan-02 22:00:00, 17.110555673658034, 2.1591151415377077, 11.750082950507887, 2.409383807108735, 5.3604727231501492, 1.7586852766240642
2100-Jan-02 23:00:00, 17.149235852430539, 2.163996044370903, 11.786988004339355, 2.416951280417353, 5.3622478480911857, 1.7592676666965827
