Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, -70.140757011418827, -26.552376215709725, -1.2022053842540656, -0.98606084666508009, -68.938551627164756, -48.466360817747976
2100-Jan-01 01:00:00, -70.094073092201, -26.534703623637562, -1.1542828116110382, -0.94675427461535278, -68.939790280589961, -48.467231637085156
2100-Jan-01 02:00:00, -70.041161754565181, -26.514673589705161, -1.0999632146774776, -0.90220079944018827, -68.941198539887708, -48.468221695646562
2100-Jan-01 03:00:00, -69.981891247942798, -26.492236238621583, -1.0391063636315288, -0.85228540324108326, -68.942784884311266, -48.469336954661998
2100-Jan-01 04:00:00, -69.918443753701141, -26.468217653581586, -0.97389621075770705, -0.79879938546399853, -68.94454754294344, -48.470576169110942
2100-Jan-01 05:00:00, -69.852003223264148, -26.443066029400413, -0.90552777968538212, -0.74272291640861388, -68.946475443578763, -48.471931554821936
2100-Jan-01 06:00:00, -69.784190624359056, -26.417394997107447, -0.83564123662315115, -0.68540127675783391, -68.948549387735909, -48.473389614549966
2100-Jan-01 07:00:00, -69.717620764477502, -26.392194414172273, -0.7668774193305814, -0.62900050798111984, -68.950743345146918, -48.474932048050391
2100-Jan-01 08:00:00, -69.65974166057795, -26.370283790345976, -0.70671586867338232, -0.579655404095622, -68.953025791904565, -48.476536692846267
2100-Jan-01 09:00:00, -69.622176349785704, -26.356063124540309, -0.66681527784625716, -0.54692854154056525, -68.95536107193945, -48.478178481397222
2100-Jan-01 10:00:00, -69.61440232418623, -26.353120201463586, -0.65669145883394719, -0.53862488421419552, -68.957710865352283, -48.479830473391623
2100-Jan-01 11:00:00, -69.643372267155414, -26.364087018153917, -0.683336321376943, -0.56047926622124589, -68.960035945778472, -48.481465091239059
2100-Jan-01 12:00:00, -69.707440946622881, -26.388340758109806, -0.7451425648255029, -0.61117336353797802, -68.962298381797382, -48.483055667742789
