Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 16.898132595079776, 2.4192029484724076, 12.106211819111929, 4.9648178392027233, 4.7919207759678466, 1.0539569735555896
2100-Jan-01 01:00:00, 17.075108628274002, 2.4445395316068708, 12.282098105806522, 5.0369496824993911, 4.7930105224674797, 1.054196657385184
2100-Jan-01 02:00:00, 17.270341022799979, 2.4724897670436605, 12.476246572349281, 5.1165709368230283, 4.7940944504506984, 1.0544350614636642
2100-Jan-01 03:00:00, 17.481740087763228, 2.5027544864371105, 12.686567469790512, 5.202824585708048, 4.7951726179727139, 1.0546721985599594
2100-Jan-01 04:00:00, 17.699468503146178, 2.5339253404647342, 12.903223425523125, 5.2916762735905172, 4.7962450776230536, 1.0549080802408506
2100-Jan-01 05:00:00, 17.92427566708546, 2.5661096159034287, 13.126963793777421, 5.3834333143772195, 4.7973118733080407, 1.0551427161632951
2100-Jan-01 06:00:00, 18.149319497148884, 2.5983277733928238, 13.350946459433167, 5.4752897225365649, 4.7983730377157174, 1.0553761135168511
2100-Jan-01 07:00:00, 18.363785478907364, 2.6290315646252473, 13.564356888313199, 5.5628104036717483, 4.7994285905941645, 1.055608276645001
2100-Jan-01 08:00:00, 18.53130131918498, 2.6530137894323507, 13.730822781307143, 5.6310788965334382, 4.8004785378778365, 1.0558392068529965
2100-Jan-01 09:00:00, 18.602942487527329, 2.6632702201184424, 13.801419615798782, 5.660031010416164, 4.8015228717285456, 1.0560689024168703
2100-Jan-01 10:00:00, 18.553070622420375, 2.6561303682777901, 13.750509050987567, 5.6391523339023779, 4.8025615714328067, 1.0562973587808042
2100-Jan-01 11:00:00, 18.363262217029003, 2.6289566524021466, 13.559667611981903, 5.5608873080634407, 4.8035946050471026, 1.0565245689189944
2100-Jan-01 12:00:00, 18.06128112958185, 2.5857238553445727, 13.25665919787853, 5.4366220463740662, 4.8046219317033181, 1.0567505238427211
2100-Jan-01 13:00:00, 17.687773816596497, 2.5322510832636347, 12.882130312134151, 5.2830258826009446, 4.8056435044623438, 1.0569752132279817
2100-Jan-01 14:00:00, 17.289003229523722, 2.4751615217643108, 12.482343956114796, 5.1190715043121671, 4.8066592734089255, 1.0571986260961868
2100-Jan-01 15:00:00, 16.923660655896384, 2.4228576457976199, 12.115991466878702, 4.9688285215217745, 4.8076691890176804, 1.0574207515544973
2100-Jan-01 16:00:00, 16.638968372757148, 2.382099981783413, 11.830295167377832, 4.8516630443642654, 4.8086732053793151, 1.0576415795054135
2100-Jan-01 17:00:00, 16.469439401118869, 2.3578295491938239, 11.659768117971693, 4.7817290510054482, 4.8096712831471784, 1.0578611012948524
2100-Jan-01 18:00:00, 16.417221865288099, 2.3503538819310079, 11.606558473200518, 4.7599075103348554, 4.8106633920875819, 1.0580793102730786
2100-Jan-01 19:00:00, 16.460077906983397, 2.3564893209711366, 11.648428394068475, 4.7770785736829344, 4.8116495129149213, 1.0582962021983282
2100-Jan-01 20:00:00, 16.561921390657311, 2.3710696335944599, 11.749291752267979, 4.8184431398736765, 4.8126296383893301, 1.0585117754782316
2100-Jan-01 21:00:00, 16.695915258163311, 2.3902527212832214, 11.88231148455702, 4.8729951954384072, 4.8136037736062915, 1.0587260312335127
2100-Jan-01 22:00:00, 16.843123536362775, 2.4113276358429157, 12.028551601001196, 4.9329689964735843, 4.8145719353615775, 1.0589389731583105
2100-Jan-01 23:00:00, 16.997409051756811, 2.433415755441203, 12.181874900911906, 4.9958476463713497, 4.815534150844905, 1.0591506072328558
2100-Jan-02 00:00:00, 17.165901921388496, 2.4575378556032192, 12.349411465725797, 5.0645552270857079, 4.8164904556626968, 1.059360941288588
2100-Jan-02 01:00:00, 17.352643882932146, 2.4842725673489099, 12.535202991564999, 5.1407492583517849, 4.8174408913671458, 1.0595699844646864
2100-Jan-02 02:00:00, 17.551858688496893, 2.5127929403717801, 12.733473185646464, 5.2220608536935922, 4.8183855028504299, 1.0597777466349421
2100-Jan-02 03:00:00, 17.756193597882064, 2.5420463275421694, 12.93686926223107, 5.3054745990120828, 4.8193243356509932, 1.0599842378152884
2100-Jan-02 04:00:00, 17.965856552390733, 2.5720624985527163, 13.145599118899987, 5.3910757541420518, 4.8202574334907444, 1.0601894676221224
2100-Jan-02 05:00:00, 18.17321032188309, 2.6017480775781072, 13.352025485685559, 5.4757322365836414, 4.8211848361975305, 1.0603934448153627
2100-Jan-02 06:00:00, 18.381257264143613, 2.6315328939360922, 13.559150686038713, 5.5606753141562928, 4.8221065781048997, 1.0605961769464869
2100-Jan-02 07:00:00, 18.584610866722574, 2.6606457933747407, 13.761588179586907, 5.6436959397912148, 4.8230226871356674, 1.0607976701569668
2100-Jan-02 08:00:00, 18.745669256035015, 2.6837035441710815, 13.921736071586809, 5.7093733889381566, 4.8239331844482072, 1.0609979291004716
2100-Jan-02 09:00:00, 18.822303801617242, 2.6946748463303121, 13.99746571675832, 5.7404304940773914, 4.8248380848589214, 1.0611969570357891
2100-Jan-02 10:00:00, 18.789803611395723, 2.6900219916099801, 13.964066213658533, 5.726733191296967, 4.8257373977371891, 1.0613947560236632
2100-Jan-02 11:00:00, 18.619376703219764, 2.6656230069033291, 13.792745574644783, 5.656473742882536, 4.8266311285749817, 1.0615913272720228
2100-Jan-02 12:00:00, 18.346843476467285, 2.6266060810976772, 13.519324195470716, 5.5443422717645623, 4.827519280996567, 1.0617866715780064
2100-Jan-02 13:00:00, 18.00271933431409, 2.5773399190141846, 13.174317475299617, 5.402853295316441, 4.8284018590144733, 1.0619807898241478
2100-Jan-02 14:00:00, 17.575491154866857, 2.5161762569601787, 12.746212285233867, 5.2272852219627044, 4.8292788696329891, 1.0621736835510023
2100-Jan-02 15:00:00, 17.127177442710781, 2.4519939073315351, 12.297027117356624, 5.0430721445852269, 4.8301503253541593, 1.0623653555083263
2100-Jan-02 16:00:00, 16.760760037093046, 2.3995361542008644, 11.929743790404883, 4.8924474206056745, 4.8310162466881641, 1.0625558102072232
2100-Jan-02 17:00:00, 16.531257312797031, 2.3666796439222653, 11.699380648523071, 4.7979743473273722, 4.8318766642739597, 1.0627450543865651
2100-Jan-02 18:00:00, 16.437624029196996, 2.3532747357476, 11.60489240859305, 4.7592242489308738, 4.8327316206039468, 1.0629330973923248
2100-Jan-02 19:00:00, 16.460537923230568, 2.356555178701583, 11.626956752129367, 4.7682729462472766, 4.8335811711012022, 1.0631199514145075
2100-Jan-02 20:00:00, 16.565816701008824, 2.3716273015044833, 11.731391316573454, 4.8111020819280865, 4.8344253844353693, 1.0633056315566285
2100-Jan-02 21:00:00, 16.7230244098131, 2.3941337737742434, 11.887760067728035, 4.875229686568253, 4.8352643420850647, 1.0634901557394674
2100-Jan-02 22:00:00, 16.906627424790468, 2.4204191016163863, 12.070529287745144, 4.9501842551448227, 4.8360981370453242, 1.0636735444167777
2100-Jan-02 23:00:00, 17.084995570282008, 2.4459549850081599, 12.24806869848722, 5.0229940528572889, 4.8369268717947875, 1.0638558201281805
2100-Jan-03 00:00:00, 17.255356881978233, 2.4703445786654581, 12.417606226322098, 5.0925222384851097, 4.8377506556561354, 1.0640370069186058
2100-Jan-03 01:00:00, 17.424339308748802, 2.4945367657478585, 12.585769707015416, 5.161486920527973, 4.8385696017333872, 1.0642171296646692
2100-Jan-03 02:00:00, 17.599868304782973, 2.5196661853662081, 12.76048448117154, 5.2331383206904247, 4.8393838236114322, 1.0643962133487506
2100-Jan-03 03:00:00, 17.779834754185696, 2.5454308882155599, 12.939641322017795, 5.3066114345545392, 4.8401934321679008, 1.0645742823577835
2100-Jan-03 04:00:00, 17.957934867587575, 2.5709283990819705, 13.116936335076815, 5.3793210035584016, 4.8409985325107598, 1.0647513598096945
2100-Jan-03 05:00:00, 18.131252264660812, 2.5957411975176523, 13.289453043123702, 5.4500709658479716, 4.8417992215371113, 1.0649274670164757
2100-Jan-03 06:00:00, 18.289849365633589, 2.6184465806204122, 13.447253779671463, 5.5147858348390155, 4.842595585962127, 1.0651026230506586
2100-Jan-03 07:00:00, 18.446753975777334, 2.6409096600969684, 13.603366274605492, 5.5788083475252144, 4.843387701171844, 1.065276844492993
2100-Jan-03 08:00:00, 18.583491496874753, 2.660485539996384, 13.73931586616499, 5.6345619529876076, 4.8441756307097634, 1.0654501453195269
2100-Jan-03 09:00:00, 18.663352881086354, 2.6719188090316885, 13.818393454462944, 5.6669920662987758, 4.8449594266234088, 1.0656225369778309
2100-Jan-03 10:00:00, 18.654246435453835, 2.6706150945531602, 13.808507305034299, 5.6629377071170808, 4.8457391304195356, 1.0657940285970908
2100-Jan-03 11:00:00, 18.542600027087865, 2.654631356777073, 13.696085252425709, 5.6168328627073905, 4.846514774662154, 1.0659646273395837
2100-Jan-03 12:00:00, 18.326961391682175, 2.6237596838485562, 13.47967500663905, 5.5280819416990825, 4.8472863850431267, 1.0661343388560955
2100-Jan-03 13:00:00, 18.021559819770463, 2.5800371968175306, 13.173505836957059, 5.4025204383846175, 4.8480539828134042, 1.0663031678206576
2100-Jan-03 14:00:00, 17.655638328888916, 2.5276504407858131, 12.806820741452565, 5.2521410521048875, 4.8488175874363497, 1.0664711185141309
2100-Jan-03 15:00:00, 17.276314263384968, 2.4733449195969874, 12.426737044093494, 5.0962668323874212, 4.8495772192914739, 1.0666381954188782
2100-Jan-03 16:00:00, 16.938021783910507, 2.4249136412183963, 12.087688881644825, 4.9572214901758604, 4.8503329022656807, 1.0668044037886943
2100-Jan-03 17:00:00, 16.697284469379301, 2.3904487429318957, 11.84619980328333, 4.8581856148635678, 4.8510846660959706, 1.0669697501640716
2100-Jan-03 18:00:00, 16.576878753143962, 2.3732109882811674, 11.725046204844476, 4.8084999199657439, 4.8518325482994866, 1.0671342427967017
2100-Jan-03 19:00:00, 16.561458896685, 2.3710034211431625, 11.70888230114125, 4.8018710224496566, 4.8525765955437512, 1.0672978919508531
2100-Jan-03 20:00:00, 16.619034319827403, 2.379246144570851, 11.765717455525055, 4.8251794026923589, 4.8533168643023483, 1.0674607100475841
2100-Jan-03 21:00:00, 16.712060064790833, 2.392564075131113, 11.858006643907002, 4.8630276590825927, 4.8540534208838331, 1.0676227116711017
2100-Jan-03 22:00:00, 16.841092081060371, 2.411036804733051, 11.98630574044058, 4.9156437583827808, 4.8547863406197918, 1.0677839133901792
2100-Jan-03 23:00:00, 17.00495326329121, 2.4344958143580815, 12.149437556895476, 4.9825449298291788, 4.8555157063957344, 1.0679443334350354
2100-Jan-04 00:00:00, 17.193483847542385, 2.4614865923467968, 12.337242240958012, 5.0595645673220169, 4.8562416065843719, 1.0681039912427681
2100-Jan-04 01:00:00, 17.378478959553057, 2.4879712182609945, 12.521514827017322, 5.1351356738095939, 4.8569641325357367, 1.0682629069053213
2100-Jan-04 02:00:00, 17.563535587682267, 2.5144646510640309, 12.705852211891408, 5.2107333546142556, 4.8576833757908595, 1.0684211005566482
2100-Jan-04 03:00:00, 17.751153681496287, 2.5413247933423446, 12.892754256210358, 5.2873828150468958, 4.8583994252859295, 1.068578591757781
2100-Jan-04 04:00:00, 17.949948603978285, 2.5697850542560166, 13.090836239249933, 5.3686172241018397, 4.8591123647283503, 1.0687353989197088
2100-Jan-04 05:00:00, 18.159774823720156, 2.5998245989577873, 13.299952553474279, 5.4543768674025062, 4.8598222702458758, 1.068891538786318
2100-Jan-04 06:00:00, 18.373147490674139, 2.630371866954063, 13.512618282043778, 5.5415921432266115, 4.8605292086303606, 1.0690470260481146
2100-Jan-04 07:00:00, 18.563940867898395, 2.6576865952610431, 13.702707631737832, 5.6195487334882808, 4.8612332361605644, 1.0692018730833066
2100-Jan-04 08:00:00, 18.734696505807676, 2.682132642205822, 13.872762107754719, 5.6892889221434997, 4.8619343980529557, 1.0693560898370107
2100-Jan-04 09:00:00, 18.871374754454379, 2.7017000364286856, 14.008742025743127, 5.7450549646256226, 4.8626327287112545, 1.0695096838761387
2100-Jan-04 10:00:00, 18.953936954219696, 2.7135199648131261, 14.090608701682896, 5.7786288966875361, 4.8633282525368005, 1.0696626605676325
2100-Jan-04 11:00:00, 18.943583092374336, 2.7120376653363385, 14.079562106937951, 5.7740986330946287, 4.8640209854363841, 1.0698150234101045
2100-Jan-04 12:00:00, 18.849721048400117, 2.6986000069291491, 13.985010111603916, 5.7353223882890045, 4.8647109367962011, 1.0699667744679977
2100-Jan-04 13:00:00, 18.699273606807839, 2.677061361031901, 13.833875494915388, 5.6733413282953489, 4.8653981118924525, 1.0701179149017837
2100-Jan-04 14:00:00, 18.522033435480239, 2.6516869628461315, 13.655950920934879, 5.6003735732180413, 4.8660825145453588, 1.0702684455516993
2100-Jan-04 15:00:00, 18.344834534172652, 2.6263184730383164, 13.4780703842008, 5.5274238780351013, 4.8667641499718508, 1.0704183675651802
2100-Jan-04 16:00:00, 18.196543155152966, 2.6050884975165292, 13.329100127586434, 5.4663304329012572, 4.867443027566531, 1.070567683008518
2100-Jan-04 17:00:00, 18.091454573688278, 2.5900436039639612, 13.223335410115004, 5.4229557948306253, 4.868119163573275, 1.0707163954544654
2100-Jan-04 18:00:00, 18.037578211665846, 2.5823304526364832, 13.168785628234728, 5.4005846572484906, 4.8687925834311168, 1.0708645104981995
2100-Jan-04 19:00:00, 18.030914680922653, 2.5813764754363127, 13.161451357243525, 5.3975768361398941, 4.8694633236791276, 1.0710120361762911
2100-Jan-04 20:00:00, 18.053968008233976, 2.5846768802052922, 13.183836574869792, 5.4067571255207447, 4.8701314333641843, 1.0711589832763344
2100-Jan-04 21:00:00, 18.108604824963731, 2.5924989012116995, 13.237807850141653, 5.4288910146578271, 4.8707969748220767, 1.0713053655087481
2100-Jan-04 22:00:00, 18.179970094749756, 2.6027158331782028, 13.308510070909202, 5.4578863479778521, 4.8714600238405543, 1.0714511995426366
2100-Jan-04 23:00:00, 18.263681191526391, 2.6147002421655521, 13.391560522325074, 5.491945752265857, 4.8721206692013164, 1.0715965049050529
2100-Jan-05 00:00:00, 18.354034208205395, 2.6276355344603273, 13.481255196491231, 5.5287299854376739, 4.8727790117141634, 1.0717413037685657
2100-Jan-05 01:00:00, 18.452071184103268, 2.6416708924986767, 13.578636021404481, 5.5686663473607583, 4.8734351626987884, 1.0718856206173373
2100-Jan-05 02:00:00, 18.561361293731512, 2.6573172933044384, 13.687272051504596, 5.6132185250592963, 4.8740892422269146, 1.0720294818604919
2100-Jan-05 03:00:00, 18.674891656204611, 2.673570745340673, 13.800150279093186, 5.6595104491031734, 4.8747413771114259, 1.0721729153898349
2100-Jan-05 04:00:00, 18.793302629814541, 2.6905229248123881, 13.917910930988652, 5.7078046797033481, 4.8753916988258865, 1.0723159501222637
2100-Jan-05 05:00:00, 18.916310989832855, 2.7081332841564558, 14.040270648323913, 5.7579850099753545, 4.8760403415089426, 1.0724586155608455
2100-Jan-05 06:00:00, 19.029400995418047, 2.7243236929732335, 14.152713555298218, 5.8040984068644237, 4.876687440119829, 1.0726009413891318
2100-Jan-05 07:00:00, 19.140376924677366, 2.7402114423303301, 14.26304379580502, 5.8493453886995619, 4.8773331288723458, 1.0727429571267195
2100-Jan-05 08:00:00, 19.242447410344564, 2.7548242534494709, 14.364469870374904, 5.8909407276799932, 4.8779775399696597, 1.072884691850978
2100-Jan-05 09:00:00, 19.297488588045816, 2.7627041643587411, 14.418867785302231, 5.9132495838673815, 4.8786208027435851, 1.0730261740077383
2100-Jan-05 10:00:00, 19.255890511396462, 2.7567488205291983, 14.376627468252506, 5.8959266191980388, 4.8792630431439568, 1.0731674312989825
2100-Jan-05 11:00:00, 19.094336573442455, 2.7336201250454466, 14.214432189870092, 5.8294095266855654, 4.8799043835723612, 1.073308490646276
2100-Jan-05 12:00:00, 18.845682449786445, 2.6980218253094392, 13.965137506739508, 5.7271725339318813, 4.8805449430469361, 1.0734493782270123
2100-Jan-05 13:00:00, 18.552185966033846, 2.6560037173992606, 13.671001128338055, 5.6065457383276112, 4.8811848376957894, 1.0735901195829383
2100-Jan-05 14:00:00, 18.224446639000995, 2.6090832697209714, 13.342622457619861, 5.4718760078821571, 4.8818241813811323, 1.0737307397574296
2100-Jan-05 15:00:00, 17.900375829407135, 2.5626880213897101, 13.017912742885526, 5.3387109345823154, 4.882463086521609, 1.0738712634763574
2100-Jan-05 16:00:00, 17.619246196463763, 2.5224404003527208, 12.736144531612396, 5.2231563859958943, 4.8831016648513685, 1.074011715315041
2100-Jan-05 17:00:00, 17.418745380247611, 2.4937359170003726, 12.535005352080409, 5.1406682054135509, 4.8837400281672005, 1.0741521198625781
