Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 54.357201754210223, 3.8768973064454371, 48.070590640520891, 9.8569944718915803, 6.2866111136893332, 0.68751215154082768
2100-Jan-01 01:00:00, 56.562378132221035, 4.0341762333262716, 50.274468393150684, 10.308905100301562, 6.287909739070348, 0.68765417093945136
2100-Jan-01 02:00:00, 58.935410754518351, 4.2034271050523726, 52.646204778099694, 10.795235559813744, 6.2892059764186579, 0.68779592917964272
2100-Jan-01 03:00:00, 61.440577083737033, 4.3821020971511606, 55.150077241331012, 11.308660851650874, 6.2904998424060201, 0.68793742808464731
2100-Jan-01 04:00:00, 63.901349337258054, 4.5576107880618801, 57.609557998059586, 11.812983513381633, 6.2917913391984701, 0.68807866789134575
2100-Jan-01 05:00:00, 66.341548186425811, 4.7316521301513292, 60.048467732134021, 12.313088035624586, 6.2930804542917942, 0.68821964723226037
2100-Jan-01 06:00:00, 68.681309421427073, 4.8985299998164891, 62.386942260182089, 12.792598068442842, 6.2943671612449847, 0.68836036321576766
2100-Jan-01 07:00:00, 70.777392230257021, 5.0480280890004119, 64.481740809049938, 13.22214173413917, 6.2956514212070829, 0.68850081159307497
2100-Jan-01 08:00:00, 72.139167034088032, 5.1451534173576388, 65.842233848902794, 13.501114224266477, 6.2969331851852361, 0.68864098700625886
2100-Jan-01 09:00:00, 72.191703874091189, 5.1489004817193837, 65.893491477276214, 13.511624728772182, 6.2982123968149759, 0.688780883291226
2100-Jan-01 10:00:00, 70.769722609577911, 5.047481071663376, 64.470233614211097, 13.219782155144983, 6.2994889953668185, 0.68892049380651943
2100-Jan-01 11:00:00, 67.787875884917597, 4.8348079913355546, 61.487112965869734, 12.60808582797525, 6.3007629190478589, 0.68905981179438469
2100-Jan-01 12:00:00, 63.775773816117322, 4.548654414592411, 57.473739707915719, 11.785133634333105, 6.3020341082016049, 0.68919883073070864
2100-Jan-01 13:00:00, 59.32716261819256, 4.2313678690368963, 53.023860109899637, 10.872674727259598, 6.3033025082929264, 0.6893375446514568
2100-Jan-01 14:00:00, 55.012589552812528, 3.923641272453247, 48.708021480155153, 9.9877012549530679, 6.3045680726573767, 0.68947594845334337
2100-Jan-01 15:00:00, 51.480666316270892, 3.6717353015712981, 45.174835551684524, 9.2632126705389801, 6.3058307645863669, 0.68961403812186806
2100-Jan-01 16:00:00, 49.132289430371728, 3.5042429412281533, 42.825198871517941, 8.7814138105966855, 6.3070905588537887, 0.68975181089827031
2100-Jan-01 17:00:00, 48.196499297780015, 3.4374999499158378, 41.888151855334094, 8.5892699834592499, 6.3083474424459212, 0.68988926535935213
2100-Jan-01 18:00:00, 48.567567248727222, 3.4639654833338458, 42.257965834291426, 8.6651012619527972, 6.3096014144357957, 0.69002640140373916
2100-Jan-01 19:00:00, 49.91519032942427, 3.5600814739119189, 43.604337844340229, 8.9411781997088671, 6.3108524850840428, 0.69016322015354747
2100-Jan-01 20:00:00, 51.782618343497681, 3.6932713071649008, 45.470517669370246, 9.3238430260355596, 6.3121006741274384, 0.69029972376721715
2100-Jan-01 21:00:00, 53.861134696985431, 3.8415165109683751, 47.547788688569234, 9.7497926280694731, 6.3133460084161968, 0.69043591518112335
2100-Jan-01 22:00:00, 55.936053959133588, 3.9895051608420022, 49.621465439982792, 10.175005216531899, 6.3145885191507984, 0.69057179780739208
2100-Jan-01 23:00:00, 57.936579509320353, 4.1321878572777813, 51.620751270386791, 10.584963761152141, 6.3158282389335625, 0.69070737521145642
2100-Jan-02 00:00:00, 59.974918324291366, 4.2775674943149697, 53.657853125439452, 11.002676575918516, 6.3170651988519113, 0.69084265079307816
2100-Jan-02 01:00:00, 62.114401934123151, 4.4301610417467696, 55.796102508130296, 11.441129943432223, 6.318299425992854, 0.69097762751452851
2100-Jan-02 02:00:00, 64.278358470808897, 4.5845000621083569, 57.958827529554796, 11.88460210169676, 6.3195309412541034, 0.69111230766120935
2100-Jan-02 03:00:00, 66.370916533520315, 4.7337467572121614, 60.050156775512498, 12.313434378180869, 6.3207597580078136, 0.69124669269551708
2100-Jan-02 04:00:00, 68.430201441874971, 4.8806203242236474, 62.108215560504227, 12.735444463686063, 6.3219858813707379, 0.69138078317702678
2100-Jan-02 05:00:00, 70.351683641315205, 5.0176654428645406, 64.028474333015765, 13.129198313036362, 6.3232093082994449, 0.69151457877290468
2100-Jan-02 06:00:00, 72.205542928524878, 5.14988751915189, 65.881112900309063, 13.509086470699849, 6.3244300282158141, 0.69164807832631336
2100-Jan-02 07:00:00, 73.936325050307246, 5.2733314112110001, 67.610677025935203, 13.863737907220957, 6.3256480243720388, 0.6917812800056905
