Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 14.191582063234124, 2.4505425582321654, 8.4301383518570496, 6.9144835563131961, 5.7614437113770745, 1.2601582920772243
2100-Jan-01 01:00:00, 14.291033231470252, 2.467715366671889, 8.5295317209387367, 6.9960069889589374, 5.7615015105315139, 1.26017093406201
2100-Jan-01 02:00:00, 14.398945071274163, 2.4863491282073067, 8.6374567114699499, 7.0845281426098667, 5.7614883598042139, 1.2601680576999583
2100-Jan-01 03:00:00, 14.514697435048031, 2.5063367583658005, 8.7532894019970797, 7.1795352706668956, 5.7614080330509507, 1.2601504884188421
2100-Jan-01 04:00:00, 14.638818876417472, 2.5277695255590316, 8.8775517296000359, 7.2814564711286378, 5.7612671468174366, 1.2601196734071374
2100-Jan-01 05:00:00, 14.771785935294318, 2.5507297166898586, 9.0107114621895583, 7.390675411900884, 5.7610744731047605, 1.2600775313002528
2100-Jan-01 06:00:00, 14.910554226219601, 2.5746916401125142, 9.1497139455985579, 7.5046866351694206, 5.7608402806210428, 1.26002630809734
2100-Jan-01 07:00:00, 15.051920416808425, 2.5991021578961901, 9.2913446632155168, 7.6208535623486844, 5.7605757535929092, 1.2599684500421926
2100-Jan-01 08:00:00, 15.181344728732856, 2.6214506024196793, 9.4210522231029135, 7.7272409966395283, 5.7602925056299421, 1.259906497294387
2100-Jan-01 09:00:00, 15.267016294873418, 2.6362440072650588, 9.5070141162801782, 7.7977477987862347, 5.7600021785932398, 1.2598429961927462
2100-Jan-01 10:00:00, 15.287585624394659, 2.6397958323654249, 9.527869541237818, 7.8148536263433543, 5.7597160831568406, 1.2597804206379781
2100-Jan-01 11:00:00, 15.222696258767414, 2.6285910102858483, 9.463251463152309, 7.7618532342128512, 5.7594447956151056, 1.2597210839053152
