Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 11.812837076371789, 2.076215740363434, 2.5886762527665086, 2.1232580813373594, 9.2241608236052794, 2.0633860110069087
2100-Jan-01 01:00:00, 11.856723900440853, 2.0839292569672487, 2.6352759434475281, 2.1614796124077493, 9.221447956993325, 2.06277916002893
2100-Jan-01 02:00:00, 11.905340543002726, 2.0924740830643156, 2.6868116215056999, 2.2037496895551998, 9.2185289214970272, 2.0621261903849839
2100-Jan-01 03:00:00, 11.958705149796092, 2.1018534079366029, 2.7433075127716195, 2.2500881830475881, 9.2153976370244735, 2.0614257419972435
2100-Jan-01 04:00:00, 12.015384951287125, 2.1118154090423102, 2.803325331189602, 2.2993153963169308, 9.2120596200975235, 2.060679048876505
2100-Jan-01 05:00:00, 12.074790679814807, 2.1222565171215573, 2.866260074576108, 2.350935100538146, 9.2085306052386997, 2.0598896307352148
2100-Jan-01 06:00:00, 12.135629235054601, 2.1329494577922183, 2.9307942751779335, 2.4038666955199584, 9.204834959876667, 2.0590629384119254
2100-Jan-01 07:00:00, 12.195612859454348, 2.1434921364339061, 2.9946088135578197, 2.4562080163696027, 9.2010040458965285, 2.0582059873605343
2100-Jan-01 08:00:00, 12.247968433113702, 2.1526941143689724, 3.0508938095150011, 2.502373531426346, 9.1970746235987004, 2.0573270006260524
2100-Jan-01 09:00:00, 12.281564081053915, 2.158598861265101, 3.0884767710021301, 2.5331994512812748, 9.1930873100517854, 2.0564350639879629
2100-Jan-01 10:00:00, 12.28678971530082, 2.1595173149783506, 3.0977047343164958, 2.5407683188291466, 9.1890849809843242, 2.0555397684735883
2100-Jan-01 11:00:00, 12.256331325126364, 2.1541639702485886, 3.0712204348975791, 2.5190456322978831, 9.1851108902287848, 2.0546507896896897
2100-Jan-01 12:00:00, 12.19124845753576, 2.1427250522946717, 3.0100421534548993, 2.4688665956815119, 9.1812063040808614, 2.0537773586437154
2100-Jan-01 13:00:00, 12.098808003016426, 2.1264777845571623, 2.9214003706193976, 2.3961617213085611, 9.1774076323970277, 2.0529276199885986
2100-Jan-01 14:00:00, 11.990000421459564, 2.1073538423543954, 2.8162571198286854, 2.3099221783371764, 9.1737433016308785, 2.0521079325409097
2100-Jan-01 15:00:00, 11.879218666055937, 2.0878829207775489, 2.7089878066359483, 2.2219388177788288, 9.1702308594199895, 2.0513222215953815
2100-Jan-01 16:00:00, 11.780782507380643, 2.0705818523939552, 2.6139076235509875, 2.1439531033062562, 9.1668748838296548, 2.0505715112360545
2100-Jan-01 17:00:00, 11.706834002298487, 2.0575847163769847, 2.5431678126249504, 2.085931604843299, 9.1636661896735365, 2.0498537467952622
2100-Jan-01 18:00:00, 11.66328821134573, 2.0499311395081787, 2.5027055830376606, 2.0527440805755091, 9.1605826283080702, 2.0491639737625436
2100-Jan-01 19:00:00, 11.649037413627823, 2.0474264295605717, 2.4914459251086658, 2.0435087968410972, 9.1575914885191576, 2.0484948748477008
2100-Jan-01 20:00:00, 11.657404667714779, 2.0488970521152248, 2.5027514864951601, 2.0527817310491798, 9.1546531812196186, 2.0478375942241462
2100-Jan-01 21:00:00, 11.680744158133752, 2.052999184148931, 2.5290185445385931, 2.0743262340375597, 9.1517256135951595, 2.0471827159974865
2100-Jan-01 22:00:00, 11.712587828507345, 2.0585960047292167, 2.5638193013343402, 2.1028701618555941, 9.1487685271730044, 2.0465212346038406
2100-Jan-01 23:00:00, 11.749253640577411, 2.0650403614625659, 2.6035064903518697, 2.1354219901180032, 9.1457471502255405, 2.0458453718292646
2100-Jan-02 00:00:00, 11.790437792375343, 2.0722788583336875, 2.6478030310353424, 2.1717544545893555, 9.1426347613400001, 2.0451491502639594
2100-Jan-02 01:00:00, 11.836863416310518, 2.0804385925742621, 2.6974493514512625, 2.2124748617546444, 9.1394140648592543, 2.044428700979612
2100-Jan-02 02:00:00, 11.887989908280106, 2.0894245479963636, 2.7519123629149149, 2.2571459669577711, 9.1360775453651915, 2.0436823428250706
2100-Jan-02 03:00:00, 11.942334207302922, 2.098976062869609, 2.8097071014980557, 2.304549787974127, 9.1326271058048665, 2.0429105014774676
2100-Jan-02 04:00:00, 11.999140758036422, 2.1089603413309241, 2.8700674886373099, 2.3540579795253525, 9.1290732693991128, 2.0421155309142622
2100-Jan-02 05:00:00, 12.056949177791848, 2.119120707570278, 2.9315150503334499, 2.4044578824913465, 9.1254341274583979, 2.0413014780463499
2100-Jan-02 06:00:00, 12.115496792019252, 2.1294109940978729, 2.9937626413664926, 2.4555139774987635, 9.1217341506527596, 2.0404738168067205
2100-Jan-02 07:00:00, 12.17383922927918, 2.1396652188693728, 3.055836284101431, 2.5064273983771579, 9.1180029451777482, 2.0396391699127041
