Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 9.3554687666367684, 2.0462530110754069, null, null, 9.3554687666367684, 2.0462530110754069
2100-Jan-01 01:00:00, 9.384555942522276, 2.0526150355473027, null, null, 9.384555942522276, 2.0526150355473027
2100-Jan-01 02:00:00, 9.4163753521877087, 2.0595746614583774, null, null, 9.4163753521877087, 2.0595746614583774
2100-Jan-01 03:00:00, 9.4504927533015781, 2.0670369101709474, null, null, 9.4504927533015781, 2.0670369101709474
2100-Jan-01 04:00:00, 9.4868970050778536, 2.0749993449426611, null, null, 9.4868970050778536, 2.0749993449426611
2100-Jan-01 05:00:00, 9.5256702913766169, 2.0834799412459777, null, null, 9.5256702913766169, 2.0834799412459777
2100-Jan-01 06:00:00, 9.5659424717719883, 2.0922883796526643, null, null, 9.5659424717719883, 2.0922883796526643
2100-Jan-01 07:00:00, 9.6068130133800924, 2.1012276932152418, null, null, 9.6068130133800924, 2.1012276932152418
2100-Jan-01 08:00:00, 9.6444010510802034, 2.1094490487926936, null, null, 9.6444010510802034, 2.1094490487926936
2100-Jan-01 09:00:00, 9.6699025140740602, 2.1150267966041234, null, null, 9.6699025140740602, 2.1150267966041234
2100-Jan-01 10:00:00, 9.6768291077420923, 2.116541799593632, null, null, 9.6768291077420923, 2.116541799593632
2100-Jan-01 11:00:00, 9.6590635866802046, 2.1126560775765961, null, null, 9.6590635866802046, 2.1126560775765961
2100-Jan-01 12:00:00, 9.6189496849808638, 2.1038822583072738, null, null, 9.6189496849808638, 2.1038822583072738
2100-Jan-01 13:00:00, 9.5629793628955166, 2.0916402805983179, null, null, 9.5629793628955166, 2.0916402805983179
2100-Jan-01 14:00:00, 9.4986171580792451, 2.0775628079788357, null, null, 9.4986171580792451, 2.0775628079788357
2100-Jan-01 15:00:00, 9.4349576382058906, 2.0636390284789772, null, null, 9.4349576382058906, 2.0636390284789772
2100-Jan-01 16:00:00, 9.3795043078662186, 2.0515101285796611, null, null, 9.3795043078662186, 2.0515101285796611
2100-Jan-01 17:00:00, 9.337687749049163, 2.0423638996170506, null, null, 9.337687749049163, 2.0423638996170506
2100-Jan-01 18:00:00, 9.3116683882610456, 2.0366728758226245, null, null, 9.3116683882610456, 2.0366728758226245
2100-Jan-01 19:00:00, 9.3002510126262798, 2.0341756370573649, null, null, 9.3002510126262798, 2.0341756370573649
2100-Jan-01 20:00:00, 9.2999437354338106, 2.0341084285725728, null, null, 9.2999437354338106, 2.0341084285725728
2100-Jan-01 21:00:00, 9.3074391523028623, 2.035747846085489, null, null, 9.3074391523028623, 2.035747846085489
2100-Jan-01 22:00:00, 9.3202006289961155, 2.0385390702091226, null, null, 9.3202006289961155, 2.0385390702091226
2100-Jan-01 23:00:00, 9.3372915967822561, 2.0422772521395993, null, null, 9.3372915967822561, 2.0422772521395993
