Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 6.2221175905017185, 1.3918480651623393, null, null, 6.2221175905017185, 1.3918480651623393
2100-Jan-01 01:00:00, 6.2254472683110436, 1.392592892875592, null, null, 6.2254472683110436, 1.392592892875592
2100-Jan-01 02:00:00, 6.230893776782974, 1.3938112421221762, null, null, 6.230893776782974, 1.3938112421221762
2100-Jan-01 03:00:00, 6.2383557869682509, 1.3954804462616888, null, null, 6.2383557869682509, 1.3954804462616888
2100-Jan-01 04:00:00, 6.2476299624028337, 1.3975550202225386, null, null, 6.2476299624028337, 1.3975550202225386
2100-Jan-01 05:00:00, 6.2585489790289053, 1.399997534678979, null, null, 6.2585489790289053, 1.399997534678979
2100-Jan-01 06:00:00, 6.2708819420006341, 1.4027563399249814, null, null, 6.2708819420006341, 1.4027563399249814
2100-Jan-01 07:00:00, 6.2842733249161089, 1.4057519069694238, null, null, 6.2842733249161089, 1.4057519069694238
2100-Jan-01 08:00:00, 6.2978614337998629, 1.4087914803596693, null, null, 6.2978614337998629, 1.4087914803596693
2100-Jan-01 09:00:00, 6.3100985593039747, 1.4115288473747265, null, null, 6.3100985593039747, 1.4115288473747265
2100-Jan-01 10:00:00, 6.319264493836612, 1.4135792085353918, null, null, 6.319264493836612, 1.4135792085353918
2100-Jan-01 11:00:00, 6.3236852938835728, 1.4145681133418879, null, null, 6.3236852938835728, 1.4145681133418879
2100-Jan-01 12:00:00, 6.3224537992204173, 1.4142926358313395, null, null, 6.3224537992204173, 1.4142926358313395
2100-Jan-01 13:00:00, 6.3155707520746134, 1.4127529420353024, null, null, 6.3155707520746134, 1.4127529420353024
2100-Jan-01 14:00:00, 6.3037760665062752, 1.4101145460151838, null, null, 6.3037760665062752, 1.4101145460151838
2100-Jan-01 15:00:00, 6.2886005952884849, 1.4067198897835738, null, null, 6.2886005952884849, 1.4067198897835738
2100-Jan-01 16:00:00, 6.2720361440175401, 1.4030145275629793, null, null, 6.2720361440175401, 1.4030145275629793
2100-Jan-01 17:00:00, 6.2562162808550124, 1.39947572495862, null, null, 6.2562162808550124, 1.39947572495862
2100-Jan-01 18:00:00, 6.2428761497357232, 1.3964916226144699, null, null, 6.2428761497357232, 1.3964916226144699
2100-Jan-01 19:00:00, 6.2329868110536912, 1.3942794405542445, null, null, 6.2329868110536912, 1.3942794405542445
2100-Jan-01 20:00:00, 6.2266956086150653, 1.392872138648682, null, null, 6.2266956086150653, 1.392872138648682
2100-Jan-01 21:00:00, 6.2236739970144814, 1.3921962233836982, null, null, 6.2236739970144814, 1.3921962233836982
