Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 9.1064325103904498, 1.9917831387555649, null, null, 9.1064325103904498, 1.9917831387555649
2100-Jan-01 01:00:00, 9.1402121337904259, 1.9991715078281755, null, null, 9.1402121337904259, 1.9991715078281755
2100-Jan-01 02:00:00, 9.180319082928813, 2.0079438064148745, null, null, 9.180319082928813, 2.0079438064148745
2100-Jan-01 03:00:00, 9.2260440780608359, 2.0179448989634357, null, null, 9.2260440780608359, 2.0179448989634357
2100-Jan-01 04:00:00, 9.2753594114835245, 2.028731279852038, null, null, 9.2753594114835245, 2.028731279852038
2100-Jan-01 05:00:00, 9.328423583473274, 2.0403376166826916, null, null, 9.328423583473274, 2.0403376166826916
2100-Jan-01 06:00:00, 9.3834698557967897, 2.052377483770075, null, null, 9.3834698557967897, 2.052377483770075
2100-Jan-01 07:00:00, 9.4380083555262519, 2.0643062894851805, null, null, 9.4380083555262519, 2.0643062894851805
2100-Jan-01 08:00:00, 9.4835293820015956, 2.0742627694666642, null, null, 9.4835293820015956, 2.0742627694666642
2100-Jan-01 09:00:00, 9.5086981582342531, 2.079767751144848, null, null, 9.5086981582342531, 2.079767751144848
2100-Jan-01 10:00:00, 9.5075940105065069, 2.0795262490171695, null, null, 9.5075940105065069, 2.0795262490171695
2100-Jan-01 11:00:00, 9.4748481065737913, 2.0723639778157881, null, null, 9.4748481065737913, 2.0723639778157881
2100-Jan-01 12:00:00, 9.4155710142374858, 2.0593987345226332, null, null, 9.4155710142374858, 2.0593987345226332
2100-Jan-01 13:00:00, 9.3373078783483034, 2.0422808132870287, null, null, 9.3373078783483034, 2.0422808132870287
2100-Jan-01 14:00:00, 9.2489212666633236, 2.022948658500288, null, null, 9.2489212666633236, 2.022948658500288
2100-Jan-01 15:00:00, 9.1632727449304525, 2.0042153860302809, null, null, 9.1632727449304525, 2.0042153860302809
2100-Jan-01 16:00:00, 9.0909893166449738, 1.9884053623457931, null, null, 9.0909893166449738, 1.9884053623457931
2100-Jan-01 17:00:00, 9.0407959483562816, 1.9774269353360181, null, null, 9.0407959483562816, 1.9774269353360181
2100-Jan-01 18:00:00, 9.0146434246885558, 1.9717067858023947, null, null, 9.0146434246885558, 1.9717067858023947
2100-Jan-01 19:00:00, 9.0091826302207529, 1.9705123863124991, null, null, 9.0091826302207529, 1.9705123863124991
2100-Jan-01 20:00:00, 9.0179131409486288, 1.9724219468391562, null, null, 9.0179131409486288, 1.9724219468391562
2100-Jan-01 21:00:00, 9.0361398606935932, 1.9764085434587897, null, null, 9.0361398606935932, 1.9764085434587897
2100-Jan-01 22:00:00, 9.0601661359778092, 1.9816636342908578, null, null, 9.0601661359778092, 1.9816636342908578
2100-Jan-01 23:00:00, 9.0887355445767923, 1.9879124113247562, null, null, 9.0887355445767923, 1.9879124113247562
2100-Jan-02 00:00:00, 9.1231220007831428, 1.9954335084827506, null, null, 9.1231220007831428, 1.9954335084827506
2100-Jan-02 01:00:00, 9.1636869062010273, 2.0043059724849126, null, null, 9.1636869062010273, 2.0043059724849126
2100-Jan-02 02:00:00, 9.2088910070888801, 2.0141931336589836, null, null, 9.2088910070888801, 2.0141931336589836
2100-Jan-02 03:00:00, 9.257163364671241, 2.0247513920978202, null, null, 9.257163364671241, 2.0247513920978202
2100-Jan-02 04:00:00, 9.3085119289676435, 2.0359824866508389, null, null, 9.3085119289676435, 2.0359824866508389
2100-Jan-02 05:00:00, 9.3610295893084743, 2.0474692890001021, null, null, 9.3610295893084743, 2.0474692890001021
2100-Jan-02 06:00:00, 9.4152776981072197, 2.0593345796384979, null, null, 9.4152776981072197, 2.0593345796384979
2100-Jan-02 07:00:00, 9.4698052299564317, 2.0712609864296643, null, null, 9.4698052299564317, 2.0712609864296643
2100-Jan-02 08:00:00, 9.5157300865564238, 2.0813057932100647, null, null, 9.5157300865564238, 2.0813057932100647
2100-Jan-02 09:00:00, 9.5436516418018122, 2.0874128700353904, null, null, 9.5436516418018122, 2.0874128700353904
2100-Jan-02 10:00:00, 9.5479045405890179, 2.088343075369425, null, null, 9.5479045405890179, 2.088343075369425
2100-Jan-02 11:00:00, 9.5207451285168077, 2.0824026965259841, null, null, 9.5207451285168077, 2.0824026965259841
2100-Jan-02 12:00:00, 9.4697017196815949, 2.071238346387049, null, null, 9.4697017196815949, 2.071238346387049
