Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 563.79076348087085, 3.1249645714162821, 446.09267729369219, 5.0017725166036522, 117.69808618717867, 1.2901506683948634
2100-Jan-01 01:00:00, 567.24077044170258, 3.1440871789900129, 449.51189883553172, 5.040110219073699, 117.7288716061709, 1.2904881235751156
2100-Jan-01 02:00:00, 570.99900654941371, 3.1649182309481976, 453.23937828485833, 5.0819042345660721, 117.75962826455535, 1.2908252634952089
2100-Jan-01 03:00:00, 575.04170696099231, 3.18732600414589, 457.25135031090872, 5.1268880965272716, 117.7903566500836, 1.2911620935016452
2100-Jan-01 04:00:00, 579.38507935521568, 3.2114003340774695, 461.56402220845342, 5.1752435277375142, 117.82105714676223, 1.2914986178037227
2100-Jan-01 05:00:00, 584.04388689041355, 3.2372230495874841, 466.19215688673745, 5.227136055939094, 117.85173000367611, 1.2918348391317915
2100-Jan-01 06:00:00, 588.91010067986917, 3.2641953710123675, 471.02772536663895, 5.281354416284433, 117.88237531323023, 1.2921707584987516
2100-Jan-01 07:00:00, 593.87067107013104, 3.2916906897151379, 475.95767807211382, 5.3366310509514614, 117.91299299801726, 1.2925063750561006
2100-Jan-01 08:00:00, 598.41567601020495, 3.3168826232029325, 480.47209320235646, 5.3872485093324727, 117.94358280784851, 1.2928416860613883
2100-Jan-01 09:00:00, 601.42923804988493, 3.3335861153808146, 483.45509372460231, 5.4206951243266941, 117.97414432528265, 1.2931766869388206
2100-Jan-01 10:00:00, 602.16192804648892, 3.3376472501661421, 484.1572510647959, 5.4285679979811512, 118.00467698169298, 1.2935113714553812
2100-Jan-01 11:00:00, 599.89921401955576, 3.3251055385464685, 481.86403393975962, 5.4028555149603648, 118.03518007979619, 1.2938457319677805
2100-Jan-01 12:00:00, 595.05142258565627, 3.2982353280679932, 476.98576976209779, 5.3481584330880771, 118.06565282355847, 1.2941797597502731
2100-Jan-01 13:00:00, 588.44915200902483, 3.2616404368791145, 470.35305765716879, 5.2737897675492418, 118.09609435185598, 1.2945134453636276
2100-Jan-01 14:00:00, 581.01984526278738, 3.2204614714259781, 462.89334148847189, 5.1901483961180599, 118.12650377431549, 1.2948467790479938
2100-Jan-01 15:00:00, 573.85103872195282, 3.1807263996395361, 455.69415851255752, 5.1094282287990556, 118.15688020939525, 1.2951797511403291
2100-Jan-01 16:00:00, 567.7900909322708, 3.1471319381144447, 449.60286811332094, 5.0411302036120276, 118.18722281894986, 1.2955123524532806
2100-Jan-01 17:00:00, 563.4271583414012, 3.1229491904408788, 445.20962750105747, 4.9918714032063454, 118.21753084034377, 1.2958445746271985
2100-Jan-01 18:00:00, 560.95465657070588, 3.1092446728491341, 442.7068529575763, 4.9638092771862903, 118.24780361312955, 1.2961764104225708
2100-Jan-01 19:00:00, 560.18508047224918, 3.1049790867514866, 441.90703987321939, 4.9548414476132381, 118.27804059902975, 1.2965078539390555
2100-Jan-01 20:00:00, 560.67041796907858, 3.1076692026260493, 442.36217657583484, 4.9599446254198103, 118.30824139324379, 1.2968389007394201
2100-Jan-01 21:00:00, 562.0016447416848, 3.1150478912644211, 443.663239013733, 4.9745326665948957, 118.33840572795175, 1.2971695478879495
2100-Jan-01 22:00:00, 563.87265358448872, 3.1254184697224119, 445.50412011737217, 4.9951733741859226, 118.36853346711652, 1.2974997938934694
2100-Jan-01 23:00:00, 566.18772781184475, 3.1382504020797639, 447.78910321919824, 5.0207935339898304, 118.39862459264653, 1.2978296385576686
2100-Jan-02 00:00:00, 569.00904058040521, 3.1538883000690863, 450.58036139581696, 5.0520902558263225, 118.42867918458826, 1.2981590827579788
2100-Jan-02 01:00:00, 572.36886071416279, 3.1725110224767756, 453.91016331836931, 5.0894253491593862, 118.45869739579346, 1.2984881281698881
2100-Jan-02 02:00:00, 576.21190629415617, 3.1938121541407121, 457.72322687072705, 5.1321789684206358, 118.48867942342912, 1.2988167769546479
2100-Jan-02 03:00:00, 580.49972969442922, 3.2175785885739669, 461.98110421414492, 5.1799200208059357, 118.51862548028433, 1.2991450314447515
2100-Jan-02 04:00:00, 585.17231017203733, 3.2434776443858526, 466.62377440568042, 5.2319755270934536, 118.54853576635692, 1.2994728938324802
2100-Jan-02 05:00:00, 590.15136032120222, 3.2710753922087878, 471.57294987676119, 5.2874676952260478, 118.57841044444106, 1.2998003659023067
2100-Jan-02 06:00:00, 595.44265805112298, 3.3004038576854646, 476.83440843101857, 5.3464613082877745, 118.60824962010444, 1.3001274488114141
2100-Jan-02 07:00:00, 600.89549503356409, 3.3306276986697183, 482.25744170547608, 5.40726656282225, 118.63805332808803, 1.3004541429406162
2100-Jan-02 08:00:00, 606.02607231639672, 3.3590653270919675, 487.35825079246399, 5.4644589087233717, 118.66782152393269, 1.3007804478025731
2100-Jan-02 09:00:00, 609.83271647252525, 3.38016469390395, 491.13516238846205, 5.5068071775474916, 118.69755408406319, 1.3011063620427115
2100-Jan-02 10:00:00, 611.54868572256817, 3.3896759229970206, 492.82143491143279, 5.5257143508552167, 118.72725081113536, 1.3014318834978384
2100-Jan-02 11:00:00, 610.17006821062205, 3.3820345582187703, 491.41315676518661, 5.5099241635552128, 118.75691144543548, 1.3017570093210948
2100-Jan-02 12:00:00, 606.31001075363497, 3.3606391335717944, 487.52347507224749, 5.4663114705423874, 118.78653568138751, 1.3020817361629011
2100-Jan-02 13:00:00, 600.64336703072979, 3.3292302102265685, 481.8272438431348, 5.4024430094350606, 118.81612318759503, 1.3024060603906464
2100-Jan-02 14:00:00, 592.00586344562726, 3.2813544832063575, 473.1601898158662, 5.3052644749284958, 118.84567362976104, 1.3027299783399258
2100-Jan-02 15:00:00, 582.00922722886332, 3.2259453916883407, 463.13404053479678, 5.1928472117139233, 118.87518669406654, 1.3030534865708037
2100-Jan-02 16:00:00, 573.08813429842064, 3.1764977931256664, 454.18347218797345, 5.0924897993557519, 118.90466211044718, 1.3033765821229626
2100-Jan-02 17:00:00, 566.5746703487124, 3.1403951369658412, 447.64057067562038, 5.0191281267054153, 118.93409967309202, 1.3036992627404007
2100-Jan-02 18:00:00, 562.70369681748548, 3.1189392069905271, 443.74019755916225, 4.9753955571040631, 118.96349925832327, 1.3040215270674205
2100-Jan-02 19:00:00, 561.2053961141263, 3.1106344653760711, 442.21253527812252, 4.9582667863331276, 118.99286083600374, 1.3043433747736723
2100-Jan-02 20:00:00, 561.56010030008781, 3.1126005103811707, 442.53791582554749, 4.9619150853579423, 119.02218447454035, 1.3046648066090007
2100-Jan-02 21:00:00, 563.27699052684625, 3.1221168442396854, 444.22552018642233, 4.9808371917738858, 119.05147034042392, 1.3049858243983989
2100-Jan-02 22:00:00, 565.93366678104576, 3.1368421993002036, 446.85294809362563, 5.0102969820025312, 119.08071868742016, 1.3053064309235265
2100-Jan-02 23:00:00, 569.22579244255758, 3.1550897065728618, 450.11586260168309, 5.046882106442232, 119.10992984087443, 1.3056266297506653
2100-Jan-03 00:00:00, 572.94588749428647, 3.1757093512920829, 453.80678331996819, 5.0882662105743144, 119.13910417431831, 1.3059464249742914
2100-Jan-03 01:00:00, 576.93538486998773, 3.1978222321059731, 457.76714278743054, 5.1326713715386196, 119.16824208255713, 1.3062658209220739
2100-Jan-03 02:00:00, 581.10846028023479, 3.2209526444070837, 461.91111632992067, 5.1791352881850559, 119.19734395031409, 1.3065848218111664
2100-Jan-03 03:00:00, 585.42404389420653, 3.2448729474205331, 466.1976337717864, 5.2271974650016251, 119.22641012242016, 1.3069034314214423
2100-Jan-03 04:00:00, 589.86381004639156, 3.2694815661309424, 470.60836917219143, 5.2766524240868025, 119.25544087420012, 1.3072216527708818
2100-Jan-03 05:00:00, 594.41659171457115, 3.2947166042621365, 475.13215532773648, 5.3273749542145508, 119.28443638683471, 1.307539487845502
2100-Jan-03 06:00:00, 599.07662115327332, 3.3205460925066617, 479.76322442472349, 5.3793003843120104, 119.31339672854983, 1.3078569373931632
2100-Jan-03 07:00:00, 603.78994147840513, 3.3466709600707132, 484.44761963627252, 5.4318237284928204, 119.34232184213256, 1.3081740007867244
2100-Jan-03 08:00:00, 608.25438234082594, 3.3714163451141159, 488.88317079993868, 5.481556932007857, 119.37121154088732, 1.3084906759797168
2100-Jan-03 09:00:00, 611.7993063707529, 3.3910650565145821, 492.39924085827323, 5.5209805394315952, 119.40006551247969, 1.3088069595484788
2100-Jan-03 10:00:00, 613.74429057262864, 3.4018456636414176, 494.31540724371018, 5.5424653762194636, 119.42888332891842, 1.309122846801573
2100-Jan-03 11:00:00, 613.68510181944657, 3.4015175937816382, 494.22743735382397, 5.5414790220381063, 119.45766446562266, 1.3094383319887926
2100-Jan-03 12:00:00, 611.40937890498844, 3.3889037768433563, 491.92297058178906, 5.515640403400119, 119.4864083231994, 1.3097534085398752
2100-Jan-03 13:00:00, 606.9586975915654, 3.364234657865171, 487.44358333687177, 5.4654156919146581, 119.51511425469359, 1.3100680693632061
2100-Jan-03 14:00:00, 600.68869110271851, 3.3294814312971703, 481.14490950807169, 5.3947923993758273, 119.54378159464679, 1.310382307164345
2100-Jan-03 15:00:00, 593.44809870311849, 3.2893484667464241, 473.87568901449754, 5.3132869429256786, 119.57240968862094, 1.3106961147696521
2100-Jan-03 16:00:00, 586.35764943548884, 3.250047711586892, 466.75665151386488, 5.2334653992694209, 119.60099792162394, 1.3110094854378751
2100-Jan-03 17:00:00, 580.62945119218762, 3.2182976054697798, 460.99990544789762, 5.1689184212008605, 119.62954574429, 1.3113224131471266
2100-Jan-03 18:00:00, 576.82069929033946, 3.1971865559004238, 457.16264659652768, 5.1258935144072435, 119.65805269381177, 1.3116348928243315
2100-Jan-03 19:00:00, 574.91820002007194, 3.1866414331317832, 455.2316816092233, 5.1042427496768816, 119.68651841084862, 1.3119469205305683
2100-Jan-03 20:00:00, 574.61129004489612, 3.1849403006174488, 454.89634739643617, 5.1004828461080294, 119.71494264845995, 1.3122584935589907
2100-Jan-03 21:00:00, 575.57079201252486, 3.1902586028126318, 455.8274667382251, 5.1109229348395724, 119.74332527429974, 1.3125696104588847
2100-Jan-03 22:00:00, 577.60863110674472, 3.2015538835873052, 457.83696484140785, 5.13345424480333, 119.77166626533693, 1.3128802709777945
2100-Jan-03 23:00:00, 580.50841496937369, 3.2176267290868177, 460.70844927364737, 5.1656504960445835, 119.7999656957263, 1.3131904759285697
2100-Jan-04 00:00:00, 583.9761379719082, 3.2368475326691617, 464.14791425425307, 5.2042151761827604, 119.82822371765515, 1.3135002269794156
2100-Jan-04 01:00:00, 587.79586118966654, 3.2580193937589295, 467.93942065214162, 5.2467270878611503, 119.8564405375249, 1.3138095263928067
