Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 470.35725876741139, 4.8681571127130718, 399.94632675597546, 6.7265413010835058, 70.410932011435946, 1.8947424113203557
2100-Jan-01 01:00:00, 472.69389963711245, 4.8923411444414224, 402.26404412829021, 6.7655220857192058, 70.429855508822257, 1.8952516383969484
2100-Jan-01 02:00:00, 475.25509966825268, 4.9188493441476417, 404.80634729238, 6.8082800912041748, 70.448752375872672, 1.8957601488571665
2100-Jan-01 03:00:00, 478.02457723491341, 4.9475131984059333, 407.55695470117786, 6.8545414845476715, 70.467622533735579, 1.8962679405791301
2100-Jan-01 04:00:00, 481.01479496643924, 4.9784616943565112, 410.52832909395198, 6.9045158717013067, 70.48646587248723, 1.8967750106048162
2100-Jan-01 05:00:00, 484.2372139932362, 5.0118134537118415, 413.73193175083992, 6.9583960154661115, 70.505282242396277, 1.8972813549049881
2100-Jan-01 06:00:00, 487.61632964716114, 5.0467870096604468, 417.09225819936961, 7.0149120355643522, 70.524071447791528, 1.897786968214177
2100-Jan-01 07:00:00, 491.07285208304512, 5.0825617191346808, 420.5300188393694, 7.0727303911316151, 70.542833243675702, 1.8982918439395617
2100-Jan-01 08:00:00, 494.19845590834393, 5.1149114494939516, 423.63688857302117, 7.1249836215838247, 70.561567335322778, 1.8987959741501306
2100-Jan-01 09:00:00, 496.19949531353063, 5.1356220349725437, 425.61922193266128, 7.1583237133013586, 70.580273380869386, 1.899299349646417
2100-Jan-01 10:00:00, 496.58431782021563, 5.1396049147689773, 425.98536682372719, 7.1644817614372487, 70.598950996488455, 1.8998019600997205
2100-Jan-01 11:00:00, 494.87164293802306, 5.1218788772642947, 424.25404317436733, 7.1353633041496849, 70.617599763655718, 1.9003037942476468
2100-Jan-01 12:00:00, 491.35641154655912, 5.0854965351568682, 420.72019230812998, 7.0759288445400115, 70.636219238429121, 1.9008048401438145
2100-Jan-01 13:00:00, 486.61359944976863, 5.0364088384903871, 415.95879048821899, 6.9958486841533229, 70.654808961549634, 1.901305085429666
2100-Jan-01 14:00:00, 481.29101892909284, 4.9813205885766578, 410.61765045972049, 6.9060181329191668, 70.673368469372335, 1.9018045176286207
2100-Jan-01 15:00:00, 476.15900481547328, 4.9282046845609928, 405.46710751089483, 6.8193931596401418, 70.691897304578475, 1.9023031244343327
2100-Jan-01 16:00:00, 471.80800542393865, 4.8831722156440343, 401.09761039752721, 6.745904291680203, 70.710395026411419, 1.9028008939861403
2100-Jan-01 17:00:00, 468.64079415031915, 4.8503918517786166, 397.91193293067289, 6.6923256246962177, 70.728861219646248, 1.9032978151104336
2100-Jan-01 18:00:00, 466.79185684928063, 4.8312555099762209, 396.04456134730287, 6.6609190302616801, 70.747295501977774, 1.9037938775194658
2100-Jan-01 19:00:00, 466.13655208699981, 4.8244731621331116, 395.37085455776833, 6.6495882184965565, 70.765697529231474, 1.9042890719515777
2100-Jan-01 20:00:00, 466.36721588374246, 4.8268605125605308, 395.58314888556419, 6.6531587140065103, 70.78406699817829, 1.9047833902469427
2100-Jan-01 21:00:00, 467.20095571320837, 4.8354896479790055, 396.39855206625083, 6.6668726621165275, 70.802403646957529, 1.9052768253589487
2100-Jan-01 22:00:00, 468.42483761895909, 4.8481567202810565, 397.60413036652858, 6.6871488134048382, 70.820707252430495, 1.9057693712829833
2100-Jan-01 23:00:00, 469.97169180943672, 4.8641665279099149, 399.13271418365571, 6.7128574685173206, 70.838977625781027, 1.9062610229380457
2100-Jan-02 00:00:00, 471.88581578933611, 4.8839775462234858, 401.02860118367403, 6.7447436526241979, 70.85721460566208, 1.9067517759823231
2100-Jan-02 01:00:00, 474.19078364373843, 4.9078337649717376, 403.31536559343294, 6.7832038514535187, 70.875418050305498, 1.9072416266008665
2100-Jan-02 02:00:00, 476.84819072610446, 4.9353376993710816, 405.95460289754357, 6.8275921544377143, 70.893587828560868, 1.9077305712644472
2100-Jan-02 03:00:00, 479.83116265682662, 4.9662112019074796, 408.91943884569832, 6.8774565740411182, 70.911723811128311, 1.9082186064936346
2100-Jan-02 04:00:00, 483.09718927817448, 5.0000142961101499, 412.1673634157691, 6.9320821507793564, 70.929825862405352, 1.9087057286393965
2100-Jan-02 05:00:00, 486.59072928076142, 5.0361721342111476, 415.64283544738407, 6.9905347595357377, 70.947893833377336, 1.9091919336917818
2100-Jan-02 06:00:00, 490.31577813744349, 5.0747260690103717, 419.34985058104343, 7.0528816014296378, 70.965927556400061, 1.9096772171395227
2100-Jan-02 07:00:00, 494.16492950312613, 5.1145644540878372, 423.18100266134462, 7.1173162542189399, 70.983926841781525, 1.91016157387805
2100-Jan-02 08:00:00, 497.697704141815, 5.1511283672929062, 426.69581266520487, 7.1764304729897326, 71.001891476610112, 1.9106449981779594
2100-Jan-02 09:00:00, 500.22909631551909, 5.1773280582422432, 429.20927508996715, 7.2187034173270872, 71.019821225551922, 1.9111274837064689
2100-Jan-02 10:00:00, 501.28118163052346, 5.1882170506282463, 430.24346579700068, 7.2360970675213103, 71.037715833522768, 1.9116090235993197
2100-Jan-02 11:00:00, 500.1793369966033, 5.1768130535776224, 429.12376196623495, 7.2172652054469211, 71.055575030368317, 1.9120896105867193
2100-Jan-02 12:00:00, 497.37927133367293, 5.1478326151577303, 426.30587279727325, 7.1698722264173576, 71.073398536399679, 1.9125692371423024
2100-Jan-02 13:00:00, 493.32588055641156, 5.1058803697631543, 422.23469448695766, 7.1014006660694067, 71.091186069453926, 1.9130478956731278
2100-Jan-02 14:00:00, 487.31512308140304, 5.0436695476501159, 416.20618572928868, 7.0000095282351893, 71.108937352114339, 1.9135255787139738
2100-Jan-02 15:00:00, 480.39748768312899, 4.9720726171477283, 409.27083556379586, 6.8833665784072551, 71.126652119333116, 1.9140022791324633
2100-Jan-02 16:00:00, 474.20213249525619, 4.9079512246073813, 403.05780236960476, 6.7788719960348853, 71.144330125651422, 1.914477990323354
2100-Jan-02 17:00:00, 469.63467880334247, 4.8606784723263914, 398.47270765164393, 6.7017570760407299, 71.161971151698552, 1.9149527063834295
2100-Jan-02 18:00:00, 466.86955877325568, 4.8320597181962919, 395.68998376383684, 6.6549555281613646, 71.179575009418826, 1.9154264222521533
2100-Jan-02 19:00:00, 465.73878633507758, 4.8203563208633744, 394.54164478925901, 6.6356420627701578, 71.197141545818567, 1.9158991338125
2100-Jan-02 20:00:00, 465.89668498322641, 4.8219905582706764, 394.68201433874583, 6.6380028834825175, 71.214670644480577, 1.9163708379317088
2100-Jan-02 21:00:00, 467.01103398694772, 4.8335239744716434, 395.77887176194901, 6.6564505007376145, 71.232162224998731, 1.916841532446069
2100-Jan-02 22:00:00, 468.79244512369348, 4.8519614262901634, 397.54282888367925, 6.6861178076707732, 71.249616240014205, 1.9173112160811652
2100-Jan-02 23:00:00, 471.03041141655325, 4.8751241846478157, 399.763378746603, 6.7234643698588172, 71.267032669950254, 1.9177798883101915
2100-Jan-03 00:00:00, 473.58083746331579, 4.9015208745437731, 402.29642594733309, 6.7660667029056238, 71.284411515982711, 1.9182475491647895
2100-Jan-03 01:00:00, 476.33290117069771, 4.9300044968585199, 405.03114837936869, 6.8120609330196826, 71.301752791329051, 1.9187141990006382
2100-Jan-03 02:00:00, 479.22587197049825, 4.9599464954423755, 407.90681545844495, 6.8604256561875863, 71.319056512053308, 1.9191798382500174
2100-Jan-03 03:00:00, 482.23019248196505, 4.9910409539505611, 410.89386979451683, 6.9106637581927775, 71.336322687448202, 1.919644467162992
2100-Jan-03 04:00:00, 485.3322507091749, 5.0231469893977767, 413.97869939763382, 6.9625463042845981, 71.353551311541096, 1.9201080855788397
2100-Jan-03 05:00:00, 488.52346963103616, 5.0561758303545306, 417.15272727537177, 7.0159290413722717, 71.37074235566439, 1.9205706927261217
2100-Jan-03 06:00:00, 491.79904017295087, 5.0900777033129758, 420.41114440989145, 7.0707310884601489, 71.387895763059433, 1.9210322870774756
2100-Jan-03 07:00:00, 495.11966318025566, 5.1244458654074894, 423.7146517344591, 7.1262914898704466, 71.405011445796561, 1.9214928662667339
2100-Jan-03 08:00:00, 498.225057403395, 5.1565864281252205, 426.80296811933476, 7.178232678784914, 71.422089284060249, 1.9219524270696873
2100-Jan-03 09:00:00, 500.62746500702912, 5.1814511398847776, 429.18833587917237, 7.2183512489064752, 71.439129127856745, 1.9224109654500379
2100-Jan-03 10:00:00, 501.87335919914318, 5.1943460374545998, 430.41722839809347, 7.2390195129462125, 71.456130801049696, 1.9228684766679955
2100-Jan-03 11:00:00, 501.70728199574614, 5.1926271527049614, 430.23418788863347, 7.2359410259986241, 71.473094107112658, 1.923324955435078
2100-Jan-03 12:00:00, 499.9881700522759, 5.1748344921705298, 428.4981512158256, 7.206743302207645, 71.490018836450318, 1.9237803961111222
2100-Jan-03 13:00:00, 496.75005876902139, 5.1413203193125598, 425.24315399425853, 7.15199877330204, 71.506904774762859, 1.9242347929293677
2100-Jan-03 14:00:00, 492.24548380288343, 5.0946983564271147, 420.72173209122593, 7.0759547415514268, 71.523751711657482, 1.9246881402281919
2100-Jan-03 15:00:00, 487.07147907424087, 5.0411478531629408, 415.5309196246825, 6.9886524909579686, 71.540559449558401, 1.9251404326908745
