Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 362.15842220046795, 2.0495785916685909, 168.96277767810443, 1.8944793777974553, 193.19564452236349, 2.2076462061041342
2100-Jan-01 01:00:00, 363.78927115159593, 2.0588081246342131, 170.54129506893963, 1.9121783567413806, 193.24797608265629, 2.2082441987287895
2100-Jan-01 02:00:00, 365.58337859915855, 2.0689615933657568, 172.28333029092244, 1.9317107641082307, 193.30004830823614, 2.2088392279362492
2100-Jan-01 03:00:00, 367.54072793066916, 2.0800389038474671, 174.18886596810691, 1.9530764050718328, 193.35186196256228, 2.2094313024505596
2100-Jan-01 04:00:00, 369.61369627991365, 2.0917705419631929, 176.21027838156803, 1.9757413031277915, 193.40341789834562, 2.2100204320156469
2100-Jan-01 05:00:00, 371.78273144788909, 2.1040458551199248, 178.3280144952144, 1.9994862216835421, 193.45471695267469, 2.2106066261969199
2100-Jan-01 06:00:00, 374.00270571412835, 2.1166094500861647, 180.49694586522958, 2.023805162273995, 193.50575984889878, 2.2111898932600895
2100-Jan-01 07:00:00, 376.1950364070525, 2.1290166005999476, 182.63848929449739, 2.0478170181345492, 193.55654711255508, 2.2117702392104674
2100-Jan-01 08:00:00, 378.1286171584386, 2.1399593965432926, 184.52153815610748, 2.0689305277769017, 193.60707900233112, 2.2123476670040763
2100-Jan-01 09:00:00, 379.42178530139984, 2.1472778781214292, 185.76442983781143, 2.0828663347764174, 193.65735546358837, 2.2129221760165612
2100-Jan-01 10:00:00, 379.74322328413905, 2.1490970057948062, 186.03584718190319, 2.085909576419485, 193.70737610223588, 2.2134937617446457
2100-Jan-01 11:00:00, 378.83997580972721, 2.1439852188721527, 185.0828356264515, 2.07522402328514, 193.75714018327568, 2.2140624157895097
2100-Jan-01 12:00:00, 376.74772626569319, 2.1321444618691112, 182.94107961501371, 2.0512097838668422, 193.80664665067948, 2.2146281260839205
2100-Jan-01 13:00:00, 373.7163700614783, 2.1149889785253015, 179.86047589354925, 2.0166688021093151, 193.85589416792902, 2.2151908773554867
2100-Jan-01 14:00:00, 370.12402268806431, 2.0946586539517353, 176.21914151176841, 1.9758406801480921, 193.90488117629587, 2.2157506517926215
2100-Jan-01 15:00:00, 366.46536303209484, 2.0739530454516908, 172.51175706493987, 1.9342719779960449, 193.95360596715497, 2.2163074298708709
2100-Jan-01 16:00:00, 363.23183923726452, 2.0556534264472024, 169.22977247369425, 1.8974730320281392, 194.00206676357027, 2.2168611912851901
2100-Jan-01 17:00:00, 360.83965469940586, 2.0421152345522704, 166.78939289390144, 1.8701105037159957, 194.05026180550442, 2.2174119159236363
2100-Jan-01 18:00:00, 359.49107013827688, 2.0344831324772987, 165.39288070543799, 1.8544522411196793, 194.09818943283892, 2.2179595848160392
2100-Jan-01 19:00:00, 359.14645869271953, 2.0325328582382882, 165.00061053042893, 1.8500539483874454, 194.14584816229058, 2.2185041810129245
2100-Jan-01 20:00:00, 359.57420824669788, 2.0349536395171079, 165.38097149601492, 1.8543187102203422, 194.19323675068296, 2.2190456903085183
2100-Jan-01 21:00:00, 360.5098477576513, 2.0402487440725059, 166.26949351582078, 1.8642811804541592, 194.24035424183049, 2.2195841017764897
