Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 662.17425707614177, 6.8534465225181762, 594.38954205443019, 9.9968059114109398, 67.784715021711563, 1.824071500289753
2100-Jan-01 01:00:00, 687.08249213541183, 7.1112446098415711, 619.28033081849571, 10.415434380876013, 67.802161316916113, 1.8245409761864659
2100-Jan-01 02:00:00, 713.80359329586531, 7.3878057051559551, 645.98401398100543, 10.864553214247035, 67.819579314859837, 1.8250096906102278
2100-Jan-01 03:00:00, 741.9320430824115, 7.678932737524514, 674.09507393472916, 11.337342169029283, 67.836969147682296, 1.8254776471168841
2100-Jan-01 04:00:00, 769.54832591725165, 7.9647588860598386, 701.69399513273152, 11.801517661799796, 67.85433078452013, 1.8259448448759088
2100-Jan-01 05:00:00, 796.9339228587437, 8.2481974554697821, 729.06225882780768, 12.261813815978996, 67.87166403093596, 1.8264112786550355
2100-Jan-01 06:00:00, 823.18077240138973, 8.5198500873908394, 755.29180386285816, 12.702958305085772, 67.8889685385316, 1.8268769390789474
2100-Jan-01 07:00:00, 846.70037031790253, 8.7632758999008171, 778.79412649426149, 13.098234704131139, 67.90624382364102, 1.8273418131322998
2100-Jan-01 08:00:00, 861.9810591783679, 8.9214297133620306, 794.05756988544204, 13.354944606182995, 67.923489292925908, 1.8278058848484913
2100-Jan-01 09:00:00, 862.50674084189768, 8.9268704732985142, 794.56603656678067, 13.363496309007699, 67.940704275117028, 1.8282691361638175
2100-Jan-01 10:00:00, 846.37333010266229, 8.7598910618435983, 778.41544204740308, 13.091865758096475, 67.957888055259261, 1.8287315478389961
2100-Jan-01 11:00:00, 812.5887839467963, 8.4102239192561594, 744.61374403539003, 12.523368181012126, 67.975039911406228, 1.8291931004466118
2100-Jan-01 12:00:00, 767.15480068355373, 7.9399861060640129, 699.1626415333975, 11.758943812774408, 67.992159150156255, 1.8296537753273807
2100-Jan-01 13:00:00, 716.80749172551941, 7.4188957951537358, 648.79824658582913, 10.911884694950325, 68.009245139690265, 1.830113555479193
2100-Jan-01 14:00:00, 668.01297073365345, 6.9138767059395949, 599.98667339427163, 10.090941880680646, 68.02629733938187, 1.8305724263539136
2100-Jan-01 15:00:00, 628.11624473635743, 6.5009490284829523, 560.07292941388687, 9.4196481859926013, 68.043315322470576, 1.8310303764675133
2100-Jan-01 16:00:00, 601.64058715638669, 6.2269282530845995, 533.58028836435381, 8.9740787876188186, 68.060298792032896, 1.8314873978298478
2100-Jan-01 17:00:00, 591.16141688782409, 6.11846974345743, 523.08416929988584, 8.7975486542859258, 68.077247587938302, 1.83194348613184
2100-Jan-01 18:00:00, 595.46399848453302, 6.1630010923685443, 527.36983680003823, 8.8696276246725567, 68.094161684494807, 1.8323986406821244
2100-Jan-01 19:00:00, 610.78235757711968, 6.3215447894873851, 542.67131639816432, 9.1269772428559026, 68.111041178955361, 1.8328528640977564
2100-Jan-01 20:00:00, 631.91822883354155, 6.5402992363943415, 563.79034256231296, 9.4821699080419091, 68.127886271228633, 1.8333061617582331
2100-Jan-01 21:00:00, 655.36242298230013, 6.7829446264031752, 587.21772574502347, 9.8761859297241408, 68.144697237276716, 1.8337585410896329
2100-Jan-01 22:00:00, 678.69970024078634, 7.0244834358072739, 610.53822584317118, 10.268404326488723, 68.161474397615109, 1.8342100107169559
2100-Jan-01 23:00:00, 701.18331905575428, 7.2571869538532008, 633.00510097183439, 10.646265937782994, 68.178218083919916, 1.834660579565532
2100-Jan-02 00:00:00, 724.10920700431302, 7.4944679193357118, 655.91427839692051, 11.031566458914456, 68.194928607392569, 1.8351102560097219
2100-Jan-02 01:00:00, 748.1919204020536, 7.7437219285708796, 679.98031417184029, 11.436323729487219, 68.21160623021332, 1.8355590471047376
2100-Jan-02 02:00:00, 772.56858883722839, 7.9960183471228579, 704.34033769384894, 11.846025465330722, 68.22825114337941, 1.8360069579902718
2100-Jan-02 03:00:00, 796.17804587790522, 8.2403741938276678, 727.93318242600196, 12.242824320287344, 68.244863451903299, 1.8364539914921865
2100-Jan-02 04:00:00, 819.43127582873421, 8.4810431208371622, 751.16983266060913, 12.633632478896294, 68.26144316812514, 1.8369001479425524
2100-Jan-02 05:00:00, 841.16587778086944, 8.70599437887142, 772.88788756776421, 12.998899974905358, 68.277990213105269, 1.8373454252171209
2100-Jan-02 06:00:00, 862.16752618229327, 8.9233596307908059, 793.87302175673153, 13.351840763175165, 68.294504425561698, 1.8377898189758297
2100-Jan-02 07:00:00, 881.78946334713123, 9.1264449902567897, 813.47847776971253, 13.681577282241525, 68.310985577418691, 1.8382333230812118
2100-Jan-02 08:00:00, 894.32452892436424, 9.2561818392384403, 825.99709553050161, 13.892123032426158, 68.327433393862634, 1.8386759301380946
2100-Jan-02 09:00:00, 894.35721551901088, 9.2565201426774824, 826.01336794164445, 13.892396711763354, 68.343847577366475, 1.8391176321400915
2100-Jan-02 10:00:00, 879.79434520018037, 9.1057956892908933, 811.4341173670939, 13.647193981877063, 68.360227833086427, 1.8395584211530225
2100-Jan-02 11:00:00, 847.62619581456647, 8.7728581140427355, 779.24962191945076, 13.105895504056074, 68.376573895115698, 1.8399982900213949
2100-Jan-02 12:00:00, 805.21954935439771, 8.333952975994336, 736.82666380320893, 12.39240031534505, 68.39288555118884, 1.8404372330331937
2100-Jan-02 13:00:00, 757.45218447032539, 7.8395648640189117, 689.04302180474076, 11.588745874945612, 68.409162665584617, 1.8408752465361904
