Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 421.56177843026177, 9.2558552273153598, 382.77057361495656, 11.993824873258205, 38.791204815305186, 2.8457146679292729
2100-Jan-01 01:00:00, 436.88085042580349, 9.59220240076057, 398.07812197518217, 12.473475261577143, 38.802728450621345, 2.8465600394046677
2100-Jan-01 02:00:00, 453.28469143224817, 9.9523668779409142, 414.47045741316379, 12.987116628127515, 38.814234019084367, 2.8474040854994969
2100-Jan-01 03:00:00, 470.52341598178214, 10.330862146957456, 431.69769439423681, 13.526918999688487, 38.825721587545324, 2.8482468111179418
2100-Jan-01 04:00:00, 487.44357514411257, 10.702362960462947, 448.60638402083413, 14.056739932113897, 38.837191123278437, 2.849088213859245
2100-Jan-01 05:00:00, 504.22279808364021, 11.070769363276357, 465.3741555897069, 14.582145304351739, 38.848642493933333, 2.8499282840142115
2100-Jan-01 06:00:00, 520.30014855746606, 11.423765379610318, 481.4400730840203, 15.085558612838838, 38.860075473445768, 2.8507670049988154
2100-Jan-01 07:00:00, 534.70931601808456, 11.740134592346456, 495.83782626445401, 15.536701260988766, 38.871489753630499, 2.8516043542046523
2100-Jan-01 08:00:00, 544.07122777263373, 11.945685722180073, 505.18834281263332, 15.82969258708318, 38.882884960000403, 2.8524403041594244
2100-Jan-01 09:00:00, 544.37001914753671, 11.952246017374694, 505.47575847650597, 15.838698538365598, 38.894260671030771, 2.853274823940168
2100-Jan-01 10:00:00, 534.42054789073904, 11.733794368640869, 495.5149314513975, 15.526583597544295, 38.905616439341578, 2.8541078807271778
2100-Jan-01 11:00:00, 513.60220807374799, 11.276704686230296, 474.68525626002651, 14.87390156388445, 38.916951813721489, 2.8549394414196843
2100-Jan-01 12:00:00, 485.61414632102475, 10.662195826719868, 446.68587996008966, 13.996562397682734, 38.928266360935062, 2.8557694742356268
2100-Jan-01 13:00:00, 454.61022042114183, 9.9814703333502113, 415.67066073518674, 13.024724086612885, 38.939559685955082, 2.8565979501958907
2100-Jan-01 14:00:00, 424.57611576203698, 9.3220383382536731, 385.62528431254822, 12.083275062303231, 38.95083144948876, 2.8574248444100285
2100-Jan-01 15:00:00, 400.03633413461898, 8.783240283792745, 361.07425275251063, 11.313987156474987, 38.96208138210838, 2.8582501371128797
2100-Jan-01 16:00:00, 383.77090130197229, 8.4261147111917527, 344.79759200836241, 10.803970368499197, 38.973309293609894, 2.8590738143511145
2100-Jan-01 17:00:00, 377.35930951259286, 8.2853411201889884, 338.37479443537495, 10.602716890314401, 38.984515077217907, 2.8598958682917126
2100-Jan-01 18:00:00, 380.04665684803985, 8.3443448040026134, 341.0509581400334, 10.686572445099371, 38.995698708006451, 2.86071629710611
2100-Jan-01 19:00:00, 389.50388455587438, 8.5519887010404769, 350.49702432008871, 10.982557746254621, 39.00686023578568, 2.861535104448369
2100-Jan-01 20:00:00, 402.51936282462088, 8.837757925703988, 363.50136305188573, 11.390038812180551, 39.017999772735152, 2.8623522985479588
2100-Jan-01 21:00:00, 416.926810781874, 9.15408938484142, 377.89769330495847, 11.841136873983586, 39.029117476915516, 2.8631678910001757
2100-Jan-01 22:00:00, 431.24427737148943, 9.4684452035042543, 392.20406383838082, 12.289416116374921, 39.040213533108606, 2.8639818953605762
2100-Jan-01 23:00:00, 445.0319205421365, 9.771168162849829, 405.9806324095469, 12.721094417129603, 39.051288132589576, 2.8647943256610655
2100-Jan-02 00:00:00, 459.09726013738731, 10.07998825441846, 420.03491868380354, 13.161474790939728, 39.062341453583748, 2.865605194976216
2100-Jan-02 01:00:00, 473.8794770344424, 10.404548180243307, 434.80610339022087, 13.624318632006608, 39.07337364422154, 2.8664145141728437
2100-Jan-02 02:00:00, 488.84895681520482, 10.733219669852469, 449.76457200630739, 14.093030871976092, 39.084384808897397, 2.8672222909093041
