Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 360.18297525498917, 5.3846906656509539, 234.67959201345948, 7.8939690783214012, 125.50338324152972, 3.3772679355145661
2100-Jan-01 01:00:00, 362.53894399090086, 5.4199121051202903, 237.03328176958132, 7.9731406585827225, 125.50566222131954, 3.3773292623503139
2100-Jan-01 02:00:00, 365.12203798943159, 5.4585290390065762, 239.61587043513012, 8.0600117618301503, 125.50616755430146, 3.3773428607476839
2100-Jan-01 03:00:00, 367.91571159596867, 5.5002941118319812, 242.41073603895219, 8.1540232711622878, 125.50497555701649, 3.3773107843677028
2100-Jan-01 04:00:00, 370.93217179431753, 5.5453898164855886, 245.42993614525486, 8.2555807695196695, 125.50223564906267, 3.3772370540582903
2100-Jan-01 05:00:00, 374.18258401861567, 5.5939830748185377, 248.68443024302297, 8.3650529036449388, 125.49815377559268, 3.3771272117573825
2100-Jan-01 06:00:00, 377.59094352910432, 5.6449376254280388, 252.09796733002358, 8.4798748017967842, 125.49297619908076, 3.3769878843330075
2100-Jan-01 07:00:00, 381.07745213419366, 5.6970604952784125, 255.59047716548312, 8.5973531236666716, 125.48697496871054, 3.3768263925677697
2100-Jan-01 08:00:00, 384.23285823653379, 5.7442334239088684, 258.7524226342519, 8.7037121791927596, 125.48043560228189, 3.3766504196817193
2100-Jan-01 09:00:00, 386.26199916710254, 5.7745688283526482, 260.78835236777195, 8.7721951956500259, 125.47364679933061, 3.3764677345147089
2100-Jan-01 10:00:00, 386.67205988043872, 5.7806991849967631, 261.20516875830117, 8.7862157402996282, 125.46689112213757, 3.3762859407544337
2100-Jan-01 11:00:00, 384.98046582152978, 5.7554100642862984, 259.5200312631639, 8.7295323995574545, 125.46043455836589, 3.3761121960693381
2100-Jan-01 12:00:00, 381.48200809430796, 5.703108556546769, 256.02749502781415, 8.6120531896686501, 125.45451306649377, 3.3759528500492264
2100-Jan-01 13:00:00, 376.75207516806233, 5.6323966478034997, 251.30275935275662, 8.4531262160781768, 125.44931581530574, 3.3758129931837235
2100-Jan-01 14:00:00, 371.43929384834831, 5.5529712280965962, 245.99432673519692, 8.2745652999889518, 125.44496711315141, 3.3756959705826781
2100-Jan-01 15:00:00, 366.3154480767102, 5.4763703713258325, 240.87393702617686, 8.1023296245935335, 125.44151105053335, 3.37560296871164
2100-Jan-01 16:00:00, 361.97247163063309, 5.411443413815479, 236.53356852649051, 7.9563316942618698, 125.43890310414255, 3.3755327894583345
2100-Jan-01 17:00:00, 358.81448866994003, 5.3642319614732621, 233.37747702424176, 7.850169549895794, 125.43701164569828, 3.3754818907352067
2100-Jan-01 18:00:00, 356.9768218487369, 5.3367590711410537, 231.5411915592708, 7.7884020116318773, 125.43563028946608, 3.3754447187483643
2100-Jan-01 19:00:00, 356.33504220276575, 5.327164545284802, 230.90054251046379, 7.7668523586009117, 125.43449969230197, 3.3754142946318848
2100-Jan-01 20:00:00, 356.58124403949955, 5.3308452321112352, 231.14790855989219, 7.7751730648389827, 125.43333547960735, 3.3753829659290076
2100-Jan-01 21:00:00, 357.43232074972894, 5.3435687230371487, 232.00046290105692, 7.8038506228192137, 125.43185784867202, 3.3753432032114654
2100-Jan-01 22:00:00, 358.67522102313018, 5.3621499274813083, 233.24540276916582, 7.8457269391145719, 125.42981825396434, 3.375288318174666
2100-Jan-01 23:00:00, 360.24290764552666, 5.3855866474326275, 234.81588809523592, 7.8985536996163708, 125.42701955029077, 3.3752130056856027
2100-Jan-02 00:00:00, 362.17994279047952, 5.4145450818413643, 236.75661497347403, 7.9638343566809198, 125.42332781700547, 3.3751136619696895
2100-Jan-02 01:00:00, 364.50999387248061, 5.4493790556094446, 239.09131775306497, 8.0423672678345444, 125.41867611941564, 3.3749884858293329
2100-Jan-02 02:00:00, 367.1945166836727, 5.4895123376251185, 241.78145466599207, 8.1328559951452668, 125.41306201768064, 3.3748374116089686
2100-Jan-02 03:00:00, 370.20646233265546, 5.5345405503274092, 244.79992112098026, 8.2343888155119416, 125.40654121167519, 3.37466193817975
2100-Jan-02 04:00:00, 373.50304430164823, 5.5838240405990467, 248.10382499285708, 8.3455229570816361, 125.39921930879113, 3.37446490741294
2100-Jan-02 05:00:00, 377.02838433037959, 5.6365274354014145, 251.63714137326076, 8.4643738976833802, 125.39124295711886, 3.3742502655758089
2100-Jan-02 06:00:00, 380.78620762169459, 5.6927064260535536, 255.40341660014545, 8.5910609262673159, 125.38279102154912, 3.3740228258825078
2100-Jan-02 07:00:00, 384.66862380091675, 5.7507480648779037, 259.29455764224485, 8.7219480937546301, 125.37406615867189, 3.3737880417764865
2100-Jan-02 08:00:00, 388.23455995652773, 5.8040583667261023, 262.86927294117424, 8.8421915788887464, 125.36528701535347, 3.3735517969959492
2100-Jan-02 09:00:00, 390.79751641662205, 5.8423742469183004, 265.44083537717017, 8.9286917904263579, 125.35668103945189, 3.3733202121118162
2100-Jan-02 10:00:00, 391.8782407401884, 5.8585309410905611, 266.5297636502263, 8.9653203103682291, 125.34847708996212, 3.3730994456683887
2100-Jan-02 11:00:00, 390.80054250615854, 5.8424194865803614, 265.45964638820755, 8.9293245405440267, 125.34089611795099, 3.3728954434093903
2100-Jan-02 12:00:00, 388.02028119713009, 5.8008549259339359, 262.68614278916408, 8.8360315896673853, 125.33413840796604, 3.3727135949471401
2100-Jan-02 13:00:00, 383.98261496306804, 5.7404923181061331, 258.6542478913907, 8.700409853763567, 125.32836707167738, 3.3725582895801502
2100-Jan-02 14:00:00, 377.98183899865734, 5.6507814640621588, 252.65814926209458, 8.4987177647151331, 125.32368973656276, 3.3724324235397436
2100-Jan-02 15:00:00, 371.06998397490383, 5.5474500914385922, 245.74984172533013, 8.266341503912594, 125.32014224957368, 3.3723369614593564
2100-Jan-02 16:00:00, 364.87963025921943, 5.4549050736005738, 239.56195362345488, 8.0581981501713162, 125.31767663576451, 3.3722706123439461
2100-Jan-02 17:00:00, 360.31899601460759, 5.3867241590833785, 235.00284108475128, 7.9048422784641188, 125.31615492985631, 3.372229663578755
2100-Jan-02 18:00:00, 357.56361150884499, 5.3455315035505748, 232.24825857658749, 7.8121857804850237, 125.31535293225748, 3.3722080820029845
2100-Jan-02 19:00:00, 356.44569173794378, 5.3288187420685613, 231.1307145556957, 7.7745947063362468, 125.31497718224809, 3.3721979706543839
2100-Jan-02 20:00:00, 356.61925315106464, 5.3314134635999926, 231.30455947028776, 7.7804423659833386, 125.31469368077691, 3.3721903416932872
2100-Jan-02 21:00:00, 357.75179043531944, 5.3483447550879131, 232.43762766915489, 7.8185556303228019, 125.31416276616453, 3.3721760548999709
2100-Jan-02 22:00:00, 359.55370653419186, 5.3752831765694262, 234.24063313933016, 7.8792037220784392, 125.31307339486172, 3.3721467401621856
2100-Jan-02 23:00:00, 361.81470122140934, 5.4090847658275729, 236.50352993157247, 7.9553212794345516, 125.31117128983689, 3.3720955549419598
2100-Jan-03 00:00:00, 364.39054575239493, 5.4475933210760461, 239.08226801659566, 8.042062859857511, 125.30827773579925, 3.3720176900508418
2100-Jan-03 01:00:00, 367.17014794272563, 5.4891480279799492, 241.86584975694487, 8.1356948113909731, 125.30429818578078, 3.371910601251098
2100-Jan-03 02:00:00, 370.0924826795565, 5.5328365686950693, 244.79326100832048, 8.234164787836832, 125.29922167123604, 3.371773993381626
2100-Jan-03 03:00:00, 373.12769797944645, 5.5782126597831834, 247.83458487360937, 8.336466467943616, 125.29311310583708, 3.3716096132548037
2100-Jan-03 04:00:00, 376.26190679256757, 5.6250686915772086, 250.97580577699634, 8.4421284067034694, 125.28610101557125, 3.3714209194761655
2100-Jan-03 05:00:00, 379.48625307840985, 5.6732722673733988, 254.20788995250612, 8.5508467333423823, 125.27836312590374, 3.3712126945981766
2100-Jan-03 06:00:00, 382.79587209616682, 5.7227506599019753, 257.52576034260005, 8.6624506697587087, 125.27011175356677, 3.3709906520165513
2100-Jan-03 07:00:00, 386.15097807303908, 5.772909076809781, 260.88939775619275, 8.7755940816155995, 125.26158031684635, 3.3707610729650903
2100-Jan-03 08:00:00, 389.29039218649365, 5.8198429271961407, 264.03738049085382, 8.8814834695819762, 125.25301169563984, 3.3705304932874367
2100-Jan-03 09:00:00, 391.72513831508195, 5.8562420788844127, 266.48048968279613, 8.9636628710829349, 125.24464863228579, 3.3703054451255556
2100-Jan-03 10:00:00, 393.00060388760204, 5.8753101304985842, 267.7638782266701, 9.0068324939457192, 125.23672566093192, 3.3700922397408379
2100-Jan-03 11:00:00, 392.86056150627445, 5.8732165143219826, 267.631100282565, 9.0023662130217748, 125.22946122370946, 3.3698967553621122
2100-Jan-03 12:00:00, 391.16335951136205, 5.8478435556660129, 265.94031108086659, 8.9454927645823314, 125.22304843049548, 3.3697241885329214
2100-Jan-03 13:00:00, 387.9427287545783, 5.799695526566957, 262.72508493682795, 8.837341495257661, 125.21764381775031, 3.3695787516143567
2100-Jan-03 14:00:00, 383.45131590476387, 5.7325494632893719, 258.23796116526916, 8.6864071255522006, 125.2133547394947, 3.3694633334790725
2100-Jan-03 15:00:00, 378.28703458111863, 5.6553441000471434, 253.07680762323821, 8.5128002681356225, 125.21022695788044, 3.369379165576325
2100-Jan-03 16:00:00, 373.23737970288141, 5.5798523879018003, 248.02914510923927, 8.3430109334029101, 125.20823459364213, 3.3693255515008786
2100-Jan-03 17:00:00, 369.13968801980303, 5.5185924070796446, 243.93241298044137, 8.2052082532915449, 125.20727503936165, 3.3692997301100909
2100-Jan-03 18:00:00, 366.38335063087766, 5.4773855060621157, 241.17617914065636, 8.1124962091073272, 125.20717149022127, 3.3692969436259137
2100-Jan-03 19:00:00, 364.96516601467761, 5.4561838225022088, 239.75748113271612, 8.0647751520265984, 125.20768488196147, 3.3693107588826643
2100-Jan-03 20:00:00, 364.67354387053911, 5.4518241077313263, 239.46500897582985, 8.0549372017262684, 125.20853489470929, 3.3693336325353407
2100-Jan-03 21:00:00, 365.28412117884977, 5.4609521625217869, 240.07469421861458, 8.0754453184004085, 125.20942696023516, 3.3693576378188568
2100-Jan-03 22:00:00, 366.66801925288752, 5.4816412665423417, 241.45793874133321, 8.1219738187971195, 125.2100805115543, 3.3693752247384863
2100-Jan-03 23:00:00, 368.67404504655116, 5.5116311025654037, 243.46379118354753, 8.1894451187881607, 125.21025386300364, 3.3693798895871647
