Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 210.19603461339176, 7.2323165922837829, 101.06363548054216, 6.4116869229897286, 109.13239913284961, 8.2048048761232444
2100-Jan-01 01:00:00, 212.6118900885466, 7.3154400996784785, 103.51976915656, 6.5675091442739628, 109.09212093198661, 8.2017766756853536
2100-Jan-01 02:00:00, 215.27101119960491, 7.4069337654261291, 106.22350457671008, 6.739039734423157, 109.04750662289482, 8.1984224774482595
2100-Jan-01 03:00:00, 218.14179848752616, 7.5057103316612528, 109.14292671125096, 6.9242539376696497, 108.99887177627518, 8.1947660066855441
2100-Jan-01 04:00:00, 221.09298589933263, 7.6072532638321873, 112.14626360484696, 7.1147918675040609, 108.94672229448565, 8.1908452982078241
2100-Jan-01 05:00:00, 224.13477338350913, 7.7119135164981012, 115.24306430477264, 7.31125933531687, 108.89170907873648, 8.1867092881464991
2100-Jan-01 06:00:00, 227.17198896396113, 7.8164164614620608, 118.33740223680056, 7.5075705600195892, 108.83458672716057, 8.1824147087872099
2100-Jan-01 07:00:00, 230.05948025368986, 7.9157677703637255, 121.2833032215546, 7.694464636514657, 108.77617703213527, 8.1780233442211916
2100-Jan-01 08:00:00, 232.30262792042919, 7.992948836690406, 123.58529048203692, 7.8405074890673454, 108.71733743839228, 8.1735996589591835
2100-Jan-01 09:00:00, 233.23100449457039, 8.0248919383450037, 124.57207192416558, 7.9031109530953474, 108.6589325704048, 8.1692086573000928
2100-Jan-01 10:00:00, 232.49345027567398, 7.9995145537295214, 123.89164648934094, 7.8599433504082796, 108.60180378633304, 8.1649135943321429
2100-Jan-01 11:00:00, 229.83785348502505, 7.9081421509781986, 121.29112381728461, 7.6949607913495157, 108.54672966774045, 8.1607730054660763
2100-Jan-01 12:00:00, 225.65175077884433, 7.7641088911947813, 117.15737699209438, 7.4327073078289736, 108.49437378674995, 8.1568367794593364
2100-Jan-01 13:00:00, 220.49964947607322, 7.5868380506401873, 112.05442623045447, 7.1089655137455177, 108.44522324561873, 8.1531415376911553
2100-Jan-01 14:00:00, 215.02080304443484, 7.398324732456075, 106.62127450770483, 6.764275084930695, 108.39952853673, 8.1497061127093691
2100-Jan-01 15:00:00, 210.02381419130938, 7.2263909209529826, 101.66655449476019, 6.4499373573888343, 108.35725969654918, 8.1465282517919935
2100-Jan-01 16:00:00, 206.15343667289551, 7.0932209703575237, 97.835344819764515, 6.2068774589832305, 108.31809185313098, 8.1435835303782032
2100-Jan-01 17:00:00, 203.87534202529136, 7.014837466363435, 95.593914310624783, 6.0646764524994659, 108.28142771466658, 8.1408270428049256
2100-Jan-01 18:00:00, 203.20938543747303, 6.9919235760577596, 94.962927791028449, 6.0246453572688026, 108.24645764644457, 8.1381979190199996
2100-Jan-01 19:00:00, 203.84161003870099, 7.0136768335914761, 95.629360114260137, 6.0669252078956379, 108.21224992444085, 8.1356261100381815
2100-Jan-01 20:00:00, 205.27003188928762, 7.0628252348435714, 97.09217535089013, 6.1597292444697667, 108.17785653839749, 8.1330403424406832
2100-Jan-01 21:00:00, 207.12335550907659, 7.1265934367077239, 98.980939644262349, 6.2795563738110243, 108.14241586481424, 8.1303758375480992
2100-Jan-01 22:00:00, 209.14223956780575, 7.1960581566426161, 101.03700486566771, 6.4099974214758575, 108.10523470213802, 8.1275804789996773
2100-Jan-01 23:00:00, 211.24743633592726, 7.2684926797015841, 103.18159757850196, 6.546054837050086, 108.0658387574253, 8.1246186084475145
2100-Jan-02 00:00:00, 213.5401460375567, 7.347379050925869, 105.51615623651514, 6.6941640867061345, 108.02398980104155, 8.1214723152831905
2100-Jan-02 01:00:00, 216.07628720998537, 7.4346412864645472, 108.09661180516974, 6.857873547049901, 107.97967540481561, 8.1181406651304755
2100-Jan-02 02:00:00, 218.77738375292716, 7.5275792211920454, 110.84430196509264, 7.0321927171751151, 107.93308178783451, 8.11463765833469
2100-Jan-02 03:00:00, 221.54567860096185, 7.6228292804931135, 113.66111837834295, 7.2108974003722386, 107.8845602226189, 8.1109897043078245
2100-Jan-02 04:00:00, 224.38310743703107, 7.720458066346624, 116.54851430539914, 7.3940797945041448, 107.83459313163195, 8.107233072592285
2100-Jan-02 05:00:00, 227.18756532742702, 7.8169524049309711, 119.40380349354903, 7.5752252704408312, 107.78376183387799, 8.1034114679818732
2100-Jan-02 06:00:00, 230.00088710591396, 7.9137517275985365, 122.26817041696694, 7.7569466567554848, 107.73271668894702, 8.0995737858878307
2100-Jan-02 07:00:00, 232.74773760423608, 8.0082639407907461, 125.06558752626982, 7.9344206078218731, 107.68215007796624, 8.095772080989553
2100-Jan-02 08:00:00, 234.91215336065011, 8.0827360402121524, 127.27938087457827, 8.0748682554258782, 107.63277248607184, 8.0920597690641713
2100-Jan-02 09:00:00, 235.91525471286241, 8.1172502334351151, 128.32996339972678, 8.1415193926622109, 107.58529131313564, 8.0884900339321071
2100-Jan-02 10:00:00, 235.41876824229212, 8.1001673833920389, 127.87838013225246, 8.112870012329326, 107.54038811003967, 8.0851141160319902
2100-Jan-02 11:00:00, 233.02889493444744, 8.0179378569903061, 125.53020794666949, 7.9638970922117904, 107.49868698777794, 8.0819789373500264
2100-Jan-02 12:00:00, 229.24630742840677, 7.8877885397968583, 121.78559702618638, 7.7263311986400263, 107.46071040222039, 8.0791237772249218
2100-Jan-02 13:00:00, 224.4948293261117, 7.7243021354015191, 117.0680047959369, 7.4270373500973212, 107.42682453017478, 8.0765761656045356
2100-Jan-02 14:00:00, 218.60601485296155, 7.5216828485944252, 111.20883118932338, 7.0553192082115253, 107.39718366363819, 8.07434770248795
2100-Jan-02 15:00:00, 212.43836383666309, 7.309469498030345, 105.06667640768053, 6.6656481528889566, 107.37168742898255, 8.0724308415732491
2100-Jan-02 16:00:00, 207.41429297957967, 7.1366038629229793, 100.06433485877852, 6.3482892162059565, 107.34995812080116, 8.0707971861680896
2100-Jan-02 17:00:00, 204.2898279861555, 7.0290988852219787, 96.958485733841087, 6.1512476975187083, 107.33134225231443, 8.0693976057524939
2100-Jan-02 18:00:00, 203.04465155894806, 6.9862554978508671, 95.72970435331689, 6.0732912548154658, 107.31494720563117, 8.0681649914231119
2100-Jan-02 19:00:00, 203.40496973355332, 6.9986531394975904, 96.105249998196683, 6.0971166504566625, 107.29971973535663, 8.0670201579607088
2100-Jan-02 20:00:00, 204.89284280480382, 7.0498471076436084, 97.608287425599428, 6.19247246634652, 107.28455537920438, 8.0658800695516764
2100-Jan-02 21:00:00, 207.08488764129191, 7.1252698541817239, 99.816471946498709, 6.332564278291323, 107.26841569479321, 8.0646666538986889
2100-Jan-02 22:00:00, 209.62835554086729, 7.2127841839637954, 102.37792509696065, 6.4950681857608865, 107.25043044390662, 8.0633144846497302
2100-Jan-02 23:00:00, 212.09420911408026, 7.2976280000923524, 104.86424008725416, 6.6528051723030677, 107.2299690268261, 8.0617761519825422
2100-Jan-03 00:00:00, 214.4452866509217, 7.378522661643502, 107.23861185084829, 6.8034402480606939, 107.20667480007342, 8.0600248426851699
2100-Jan-03 01:00:00, 216.77004012169124, 7.4585115783256848, 109.58957668100487, 6.9525903393497197, 107.18046344068638, 8.0580542171787446
2100-Jan-03 02:00:00, 219.17321835113245, 7.5411988935976906, 112.02172527674004, 7.1068908973288103, 107.15149307439241, 8.055876163690316
2100-Jan-03 03:00:00, 221.62708106996496, 7.6256301346020257, 114.50696233442028, 7.2645594975873644, 107.12011873554466, 8.05351737445441
2100-Jan-03 04:00:00, 224.04943085317407, 7.7089770947939291, 116.96258779362455, 7.4203494765414861, 107.08684305954952, 8.0510156386653087
2100-Jan-03 05:00:00, 226.40325989837109, 7.7899664288234174, 119.35098952707732, 7.571874642724266, 107.05227037129377, 8.048416390747775
2100-Jan-03 06:00:00, 228.55815756130551, 7.8641110346004917, 121.54109095336739, 7.7108192255922434, 107.01706660793813, 8.0457696972678061
2100-Jan-03 07:00:00, 230.68510162607865, 7.9372938274101248, 123.7031764080608, 7.8479864170387952, 106.98192521801785, 8.0431276931547959
2100-Jan-03 08:00:00, 232.52710645392148, 8.0006725781271744, 125.57956796828037, 7.9670285944932608, 106.94753848564112, 8.0405424257940457
2100-Jan-03 09:00:00, 233.58119102962684, 8.0369409757711452, 126.6666165839663, 8.035993216245755, 106.91457444566052, 8.0380641194604667
2100-Jan-03 10:00:00, 233.4102991370155, 8.0310610157961957, 126.52664106138911, 8.027112878393476, 106.8836580756264, 8.0357397612898094
2100-Jan-03 11:00:00, 231.83282547736806, 7.9767841168835085, 124.97747476818589, 7.928830551457196, 106.85535070918218, 8.0336115535341168
2100-Jan-03 12:00:00, 228.83407907770896, 7.8736047996228589, 122.00395787516953, 7.7401844643894835, 106.83012120253944, 8.0317147457962754
2100-Jan-03 13:00:00, 224.61437638303647, 7.7284154487898808, 117.80606853471446, 7.4738616464899046, 106.808307848322, 8.0300747716321403
