Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 171.17154454971717, 4.6244030151578412, 80.359219031124184, 5.8349761676297991, 90.812325518592999, 3.9071073508892562
2100-Jan-01 01:00:00, 173.14451707693951, 4.6777052163368493, 82.367985421996224, 5.9808350268670241, 90.77653165494327, 3.9055673565439517
2100-Jan-01 02:00:00, 175.33417447586191, 4.7368614172368089, 84.597010209672888, 6.1426871039524409, 90.737164266189012, 3.9038736149388478
2100-Jan-01 03:00:00, 177.71511362016656, 4.8011853221638443, 87.020662899098767, 6.3186713388904945, 90.694450721067781, 3.9020359083811456
2100-Jan-01 04:00:00, 180.17125005489362, 4.8675407713961896, 89.522467653713505, 6.500330285993825, 90.648782401180128, 3.900071075663595
2100-Jan-01 05:00:00, 182.70881928151817, 4.9360962244280797, 92.108141014360584, 6.6880790299283248, 90.600678267157576, 3.8980014445361637
2100-Jan-01 06:00:00, 185.24969571743165, 5.0047410256553597, 94.698944661956531, 6.8762002899529602, 90.550751055475118, 3.8958533773584989
2100-Jan-01 07:00:00, 187.6705889283333, 5.070144337247358, 97.17091206214711, 7.0556927121190247, 90.499676866186206, 3.8936559626433502
2100-Jan-01 08:00:00, 189.55886220873737, 5.1211582874591954, 99.110693771122072, 7.1965425135324663, 90.44816843761528, 3.8914398652275759
2100-Jan-01 09:00:00, 190.3614634461135, 5.1428415151934264, 99.96451270867837, 7.2585392976249352, 90.396950737435134, 3.8892362761032282
2100-Jan-01 10:00:00, 189.79010152265357, 5.1274054927602286, 99.443366647972653, 7.2206982772574495, 90.346734874680919, 3.887075790008661
2100-Jan-01 11:00:00, 187.63748241226136, 5.0692499253102152, 97.339297791893117, 7.0679193954029476, 90.298184620368232, 3.8849869650123909
2100-Jan-01 12:00:00, 184.21798065567148, 4.976868015249698, 93.966108119432747, 6.8229881779893242, 90.251872536238736, 3.8829944349972849
2100-Jan-01 13:00:00, 179.99109697779929, 4.8626737215889531, 89.782868530428658, 6.5192382959021131, 90.20822844737063, 3.8811166927473684
2100-Jan-01 14:00:00, 175.47944890313545, 4.7407861788043721, 85.311960208396599, 6.1946004532096559, 90.167488694738836, 3.8793639065911707
2100-Jan-01 15:00:00, 171.3464189667144, 4.6291274556795612, 81.216760693598786, 5.8972432630995906, 90.129658273115595, 3.8777362914236555
2100-Jan-01 16:00:00, 168.12525620069664, 4.5421039095249016, 78.03075955328849, 5.6659040222770578, 90.09449664740815, 3.8762234984686654
2100-Jan-01 17:00:00, 166.20498987162188, 4.4902256290230849, 76.143456161850636, 5.5288647324121136, 90.061533709771226, 3.8748053018173558
2100-Jan-01 18:00:00, 165.60894658823702, 4.4741228102742072, 75.57882976287037, 5.4878665542144329, 90.030116825366648, 3.8734536225238436
2100-Jan-01 19:00:00, 166.08600322236208, 4.4870110630679312, 76.086519855886834, 5.5247305211495199, 89.999483366475246, 3.8721356493111299
2100-Jan-01 20:00:00, 167.22942820277694, 4.5179020498902265, 77.260581062596856, 5.6099804681137675, 89.968847140180102, 3.8708175570337024
2100-Jan-01 21:00:00, 168.7370067363689, 4.558631078390083, 78.799523149379155, 5.7217248393010882, 89.937483586989742, 3.8694681722610929
2100-Jan-01 22:00:00, 170.39482440685833, 4.6034189959973029, 80.490025105387545, 5.84447414851003, 89.904799301470774, 3.8680619643319325
2100-Jan-01 23:00:00, 172.13197124753884, 4.6503500855598068, 82.261594712093853, 5.973109873932211, 89.870376535444976, 3.8665809600584566
2100-Jan-02 00:00:00, 174.02818696563395, 4.7015786101794568, 84.194196339352331, 6.113438321278224, 89.833990626281604, 3.8650154935609393
2100-Jan-02 01:00:00, 176.12929521760674, 4.7583425504778036, 86.33369063707184, 6.2687894855688819, 89.795604580534899, 3.8633639732342431
2100-Jan-02 02:00:00, 178.37025579107217, 4.8188847677023112, 88.614906801195659, 6.4344312390771998, 89.755348989876509, 3.8616320176513681
2100-Jan-02 03:00:00, 180.66773176267608, 4.8809538156757135, 90.954236050438752, 6.6042926511484881, 89.713495712237332, 3.8598313232215204
2100-Jan-02 04:00:00, 183.02475940081899, 4.9446317228028098, 93.354328911385906, 6.7785661795945646, 89.670430489433102, 3.8579784860914805
2100-Jan-02 05:00:00, 185.35479711290841, 5.0075804649524613, 95.728170766834324, 6.9509335920615625, 89.62662634607409, 3.8560938576609232
2100-Jan-02 06:00:00, 187.69224380962146, 5.0707293696403601, 98.109625225586029, 7.1238537644904403, 89.582618584035416, 3.8542004687450948
2100-Jan-02 07:00:00, 189.97690343320852, 5.132452168717264, 100.43792154845009, 7.2929140629713149, 89.538981884758442, 3.8523230444247729
2100-Jan-02 08:00:00, 191.78400450486581, 5.1812731550935345, 102.28769466801265, 7.4272282362336179, 89.496309836853158, 3.8504871232423103
2100-Jan-02 09:00:00, 192.63823504537834, 5.2043512099044413, 103.18303835925393, 7.4922401808893655, 89.455196686124395, 3.8487182720151973
2100-Jan-02 10:00:00, 192.26140132012583, 5.194170598285524, 102.84518338699812, 7.467708139202097, 89.416217933127712, 3.8470412510657597
2100-Jan-02 11:00:00, 190.32810780137766, 5.1419403727488993, 100.9482038626097, 7.3299662540924251, 89.379903938767953, 3.8454788786290566
2100-Jan-02 12:00:00, 187.24344805915166, 5.0586046182564655, 97.896744709333746, 7.108396263112736, 89.346703349817915, 3.8440504572732572
2100-Jan-02 13:00:00, 183.35123190885548, 4.9534517661955455, 94.034293965627072, 6.8279392314255141, 89.316937943228425, 3.842769831122304
2100-Jan-02 14:00:00, 178.51584275722144, 4.822817972879605, 89.225086454688011, 6.4787370919591378, 89.290756302533424, 3.8416433928306555
2100-Jan-02 15:00:00, 173.43543475112639, 4.6855647035735366, 84.167337321756008, 6.1114880568350136, 89.268097429370385, 3.8406685180062019
2100-Jan-02 16:00:00, 169.27359934314461, 4.5731277663484269, 80.024928912823384, 5.8107029741259666, 89.248670430321212, 3.8398326912573846
2100-Jan-02 17:00:00, 166.6566837793626, 4.5024286775752227, 77.424729922066291, 5.6218995073291289, 89.231953857296318, 3.839113477813898
2100-Jan-02 18:00:00, 165.57705179216447, 4.4732611343951127, 76.359828167329994, 5.5445757548752033, 89.21722362483446, 3.8384797246399387
2100-Jan-02 19:00:00, 165.81892401341102, 4.4797956003436319, 76.615308706455124, 5.5631264933599933, 89.203615306955896, 3.8378942406925458
2100-Jan-02 20:00:00, 166.99607357267098, 4.5115976968045439, 77.80586102519807, 5.6495738791103554, 89.190212547472925, 3.8373176006847154
2100-Jan-02 21:00:00, 168.76374102265501, 4.5593533369549331, 79.587597730107845, 5.7789478493341466, 89.176143292547167, 3.8367122853926769
2100-Jan-02 22:00:00, 170.83211516317343, 4.6152329262701404, 81.671449926471766, 5.9302587760610113, 89.160665236701661, 3.8360463578831006
2100-Jan-02 23:00:00, 172.84060164380725, 4.6694945791715021, 83.697374362557966, 6.0773635008767579, 89.143227281249281, 3.835296107699071
2100-Jan-03 00:00:00, 174.75760971456296, 4.7212848339466458, 85.634108551583722, 6.2179920183294, 89.123501162979238, 3.8344474116519511
2100-Jan-03 01:00:00, 176.6591153895202, 4.7726562730473656, 87.557731870445409, 6.3576685402815052, 89.101383519074787, 3.8334958226623517
2100-Jan-03 02:00:00, 178.63606522235844, 4.8260659258716272, 89.559091080418497, 6.5029895555160655, 89.076974141939942, 3.8324456341963082
2100-Jan-03 03:00:00, 180.6643745425485, 4.8808631163779923, 91.613834105435089, 6.6521868315240837, 89.050540437113412, 3.8313083511034112
2100-Jan-03 04:00:00, 182.67179379852587, 4.9350959369349825, 93.649315923712166, 6.7999855289540623, 89.022477874813688, 3.8301009880850114
2100-Jan-03 05:00:00, 184.62482716643834, 4.9878594579923918, 95.631554652495254, 6.9439181838560753, 88.993272513943083, 3.8288444573278562
2100-Jan-03 06:00:00, 186.40989544057797, 5.0360852021189002, 97.446427642798, 7.0756982182238808, 88.96346779777997, 3.8275621399227342
2100-Jan-03 07:00:00, 188.17661699159345, 5.0838152876827856, 99.242981114112808, 7.2061480510543161, 88.93363587748064, 3.8262786520874976
2100-Jan-03 08:00:00, 189.7172883770142, 5.1254383589639918, 100.81293525904017, 7.320144243779569, 88.904353117974011, 3.8250187913332518
2100-Jan-03 09:00:00, 190.61749858065718, 5.1497586091022578, 101.74131851874637, 7.3875552298509239, 88.876180061910802, 3.8238066744337784
2100-Jan-03 10:00:00, 190.5148700218376, 5.1469859764307762, 101.66522502286413, 7.382029992792404, 88.84964499897346, 3.8226650305119128
