Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 265.5525588855175, 7.1190360434045594, 204.71500483538631, 14.864594115928998, 60.837554050131182, 2.5855566429534527
2100-Jan-01 01:00:00, 278.02636182033399, 7.4534385928055897, 217.20397437398265, 15.77143269020309, 60.822387446351321, 2.5849120721161412
2100-Jan-01 02:00:00, 291.4545829775937, 7.8134275562655571, 230.64955061064811, 16.747731587167308, 60.805032366945618, 2.5841744924821963
2100-Jan-01 03:00:00, 305.63417455265426, 8.1935595494471034, 244.84825931202667, 17.778716306563016, 60.785915240627574, 2.5833620269957458
2100-Jan-01 04:00:00, 319.56933573328917, 8.5671387577663136, 258.80381647218826, 18.792045510322442, 60.765519261100899, 2.5824952110762354
2100-Jan-01 05:00:00, 333.39402892138958, 8.9377564972757479, 272.64967263069764, 19.797409197020809, 60.744356290691933, 2.5815957985410036
2100-Jan-01 06:00:00, 346.65558722261807, 9.2932774982195099, 285.93264221267674, 20.761901036049014, 60.722945009941348, 2.5806858329770823
2100-Jan-01 07:00:00, 358.54457695350993, 9.6120021483192826, 297.84278351383108, 21.6267102201505, 60.701793439678859, 2.5797869049406921
2100-Jan-01 08:00:00, 366.28957480251432, 9.8196330560181355, 305.60818967754159, 22.190565375085079, 60.681385124972756, 2.5789195647840453
2100-Jan-01 09:00:00, 366.64188330933138, 9.8290778791783975, 305.9797164496868, 22.217542365245524, 60.662166859644564, 2.5781028009551705
2100-Jan-01 10:00:00, 358.66487692881867, 9.6152271967384646, 298.02034371612092, 21.639603072534737, 60.64453321269778, 2.5773533823811565
2100-Jan-01 11:00:00, 341.87207963282378, 9.1650393705638624, 281.24327704570385, 20.421400788280277, 60.628802587119907, 2.5766848409827436
2100-Jan-01 12:00:00, 319.25003750922929, 8.5585788870754893, 258.63485296140794, 18.779776873686981, 60.615184547821372, 2.5761060831328915
2100-Jan-01 13:00:00, 294.14804345992042, 7.8856348900440132, 233.54429890728963, 16.957922620950853, 60.603744552630801, 2.5756198907469194
2100-Jan-01 14:00:00, 269.78564168016499, 7.2325181695655161, 209.19126536764969, 15.189620588818718, 60.59437631251528, 2.5752217466097718
2100-Jan-01 15:00:00, 249.82698687331305, 6.6974588067630529, 189.2401940062002, 13.740950139848197, 60.586792867112855, 2.574899455091928
2100-Jan-01 16:00:00, 236.54124240859034, 6.3412894137631577, 175.96069952091014, 12.776710631624159, 60.580542887680195, 2.57463383501412
2100-Jan-01 17:00:00, 231.22993005973393, 6.1989016913176389, 170.65487724088291, 12.391448717348373, 60.575052818851027, 2.5744005106447703
2100-Jan-01 18:00:00, 233.29988467206954, 6.2543938377886565, 172.73019456029243, 12.542139916753058, 60.569690111777113, 2.5741725990675275
2100-Jan-01 19:00:00, 240.88821297777312, 6.4578246875767773, 180.32437556460937, 13.093562214121251, 60.563837413163746, 2.5739238631672228
