Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 158.03609308751382, 4.2527158715020317, null, null, 158.03609308751382, 4.2527158715020317
2100-Jan-01 01:00:00, 158.22133901223202, 4.2577007978488499, null, null, 158.22133901223202, 4.2577007978488499
2100-Jan-01 02:00:00, 158.42866352353539, 4.2632798540159946, null, null, 158.42866352353539, 4.2632798540159946
2100-Jan-01 03:00:00, 158.65345105047842, 4.2693288360230159, null, null, 158.65345105047842, 4.2693288360230159
2100-Jan-01 04:00:00, 158.89400590156109, 4.2758021131914123, null, null, 158.89400590156109, 4.2758021131914123
2100-Jan-01 05:00:00, 159.15014516305467, 4.2826947633537102, null, null, 159.15014516305467, 4.2826947633537102
2100-Jan-01 06:00:00, 159.41899744451544, 4.2899295180361401, null, null, 159.41899744451544, 4.2899295180361401
2100-Jan-01 07:00:00, 159.69631433281603, 4.2973920533929109, null, null, 159.69631433281603, 4.2973920533929109
2100-Jan-01 08:00:00, 159.96561538249094, 4.3046388843274768, null, null, 159.96561538249094, 4.3046388843274768
2100-Jan-01 09:00:00, 160.18752728914498, 4.3106104840365402, null, null, 160.18752728914498, 4.3106104840365402
2100-Jan-01 10:00:00, 160.32083491632878, 4.3141977624287167, null, null, 160.32083491632878, 4.3141977624287167
2100-Jan-01 11:00:00, 160.32496988764166, 4.3143090335806855, null, null, 160.32496988764166, 4.3143090335806855
2100-Jan-01 12:00:00, 160.18892265444171, 4.3106480330041723, null, null, 160.18892265444171, 4.3106480330041723
2100-Jan-01 13:00:00, 159.93128390330961, 4.3037150319115245, null, null, 159.93128390330961, 4.3037150319115245
2100-Jan-01 14:00:00, 159.58796303043431, 4.2944763441119838, null, null, 159.58796303043431, 4.2944763441119838
2100-Jan-01 15:00:00, 159.20897535728582, 4.2842778707049645, null, null, 159.20897535728582, 4.2842778707049645
2100-Jan-01 16:00:00, 158.84460251002815, 4.2744726789895573, null, null, 158.84460251002815, 4.2744726789895573
2100-Jan-01 17:00:00, 158.5365520282285, 4.2661831095147678, null, null, 158.5365520282285, 4.2661831095147678
2100-Jan-01 18:00:00, 158.31107103395706, 4.2601154664572469, null, null, 158.31107103395706, 4.2601154664572469
2100-Jan-01 19:00:00, 158.17561442487815, 4.2564703594435551, null, null, 158.17561442487815, 4.2564703594435551
2100-Jan-01 20:00:00, 158.12100762278399, 4.2550009026288436, null, null, 158.12100762278399, 4.2550009026288436
2100-Jan-01 21:00:00, 158.13102105445017, 4.2552703618323902, null, null, 158.13102105445017, 4.2552703618323902
2100-Jan-01 22:00:00, 158.18912411339591, 4.2568339021359618, null, null, 158.18912411339591, 4.2568339021359618
2100-Jan-01 23:00:00, 158.2844000618926, 4.2593977565721755, null, null, 158.2844000618926, 4.2593977565721755
2100-Jan-02 00:00:00, 158.41312604242842, 4.2628617438791521, null, null, 158.41312604242842, 4.2628617438791521
2100-Jan-02 01:00:00, 158.57413642757274, 4.2671944972837856, null, null, 158.57413642757274, 4.2671944972837856
2100-Jan-02 02:00:00, 158.76496942585754, 4.2723297705290104, null, null, 158.76496942585754, 4.2723297705290104
2100-Jan-02 03:00:00, 158.98326911855418, 4.2782041663694645, null, null, 158.98326911855418, 4.2782041663694645
2100-Jan-02 04:00:00, 159.22623130062729, 4.2847422242756732, null, null, 159.22623130062729, 4.2847422242756732
2100-Jan-02 05:00:00, 159.49043344757388, 4.291851844879762, null, null, 159.49043344757388, 4.291851844879762
2100-Jan-02 06:00:00, 159.7743951139943, 4.2994931897275848, null, null, 159.7743951139943, 4.2994931897275848
2100-Jan-02 07:00:00, 160.07353643579106, 4.3075430157019756, null, null, 160.07353643579106, 4.3075430157019756
2100-Jan-02 08:00:00, 160.3672191397032, 4.3154459514915944, null, null, 160.3672191397032, 4.3154459514915944
2100-Jan-02 09:00:00, 160.61871972481316, 4.3222137759112789, null, null, 160.61871972481316, 4.3222137759112789
2100-Jan-02 10:00:00, 160.79067711391335, 4.326841110740693, null, null, 160.79067711391335, 4.326841110740693
2100-Jan-02 11:00:00, 160.83754612361429, 4.3281023452950453, null, null, 160.83754612361429, 4.3281023452950453
2100-Jan-02 12:00:00, 160.75128441157793, 4.3257810619431663, null, null, 160.75128441157793, 4.3257810619431663
2100-Jan-02 13:00:00, 160.54753613451155, 4.3202982414384126, null, null, 160.54753613451155, 4.3202982414384126
2100-Jan-02 14:00:00, 160.20474849250886, 4.3110739027622325, null, null, 160.20474849250886, 4.3110739027622325
2100-Jan-02 15:00:00, 159.74832893624534, 4.2987917547220951, null, null, 159.74832893624534, 4.2987917547220951
2100-Jan-02 16:00:00, 159.26221281598416, 4.2857104787955702, null, null, 159.26221281598416, 4.2857104787955702
2100-Jan-02 17:00:00, 158.82849479621314, 4.2740392240182503, null, null, 158.82849479621314, 4.2740392240182503
2100-Jan-02 18:00:00, 158.49602992085502, 4.265092668680607, null, null, 158.49602992085502, 4.265092668680607
2100-Jan-02 19:00:00, 158.2822698661692, 4.2593404334823335, null, null, 158.2822698661692, 4.2593404334823335
2100-Jan-02 20:00:00, 158.18143000706041, 4.2566268554576325, null, null, 158.18143000706041, 4.2566268554576325
2100-Jan-02 21:00:00, 158.17643853803011, 4.2564925361439077, null, null, 158.17643853803011, 4.2564925361439077
2100-Jan-02 22:00:00, 158.24691949478205, 4.2583891629053117, null, null, 158.24691949478205, 4.2583891629053117
2100-Jan-02 23:00:00, 158.37719856251471, 4.2618949434409288, null, null, 158.37719856251471, 4.2618949434409288
2100-Jan-03 00:00:00, 158.55306405491876, 4.2666274444549988, null, null, 158.55306405491876, 4.2666274444549988
2100-Jan-03 01:00:00, 158.76074856765146, 4.2722161881799803, null, null, 158.76074856765146, 4.2722161881799803
2100-Jan-03 02:00:00, 158.98938744146596, 4.2783688090687724, null, null, 158.98938744146596, 4.2783688090687724
2100-Jan-03 03:00:00, 159.23191584126889, 4.2848951939912387, null, null, 159.23191584126889, 4.2848951939912387
2100-Jan-03 04:00:00, 159.48440660675297, 4.291689663943032, null, null, 159.48440660675297, 4.291689663943032
2100-Jan-03 05:00:00, 159.74485806559997, 4.2986983543703579, null, null, 159.74485806559997, 4.2986983543703579
2100-Jan-03 06:00:00, 160.01598687141865, 4.3059943698134129, null, null, 160.01598687141865, 4.3059943698134129
2100-Jan-03 07:00:00, 160.29614023153246, 4.3135332339914259, null, null, 160.29614023153246, 4.3135332339914259
2100-Jan-03 08:00:00, 160.57213233321269, 4.3209601196369398, null, null, 160.57213233321269, 4.3209601196369398
2100-Jan-03 09:00:00, 160.81744910883475, 4.3275615391282196, null, null, 160.81744910883475, 4.3275615391282196
2100-Jan-03 10:00:00, 161.00038441502807, 4.3324842872480147, null, null, 161.00038441502807, 4.3324842872480147
2100-Jan-03 11:00:00, 161.094744712308, 4.3350235017150531, null, null, 161.094744712308, 4.3350235017150531
2100-Jan-03 12:00:00, 161.08192700221247, 4.3346785800070142, null, null, 161.08192700221247, 4.3346785800070142
2100-Jan-03 13:00:00, 160.95358264444874, 4.3312248620833671, null, null, 160.95358264444874, 4.3312248620833671
2100-Jan-03 14:00:00, 160.7151563615524, 4.3248088642081539, null, null, 160.7151563615524, 4.3248088642081539
2100-Jan-03 15:00:00, 160.39286724944921, 4.316136136380754, null, null, 160.39286724944921, 4.316136136380754
2100-Jan-03 16:00:00, 160.03206150173793, 4.306426934515259, null, null, 160.03206150173793, 4.306426934515259
2100-Jan-03 17:00:00, 159.6901283060059, 4.297225588796862, null, null, 159.6901283060059, 4.297225588796862
2100-Jan-03 18:00:00, 159.41274316314156, 4.2897612167250667, null, null, 159.41274316314156, 4.2897612167250667
2100-Jan-03 19:00:00, 159.22231095448552, 4.2846367286389917, null, null, 159.22231095448552, 4.2846367286389917
2100-Jan-03 20:00:00, 159.12140845811598, 4.2819214650596313, null, null, 159.12140845811598, 4.2819214650596313
2100-Jan-03 21:00:00, 159.10505585274106, 4.2814814201112927, null, null, 159.10505585274106, 4.2814814201112927
2100-Jan-03 22:00:00, 159.16453700193517, 4.2830820445148143, null, null, 159.16453700193517, 4.2830820445148143
2100-Jan-03 23:00:00, 159.28727206290677, 4.2863848175180328, null, null, 159.28727206290677, 4.2863848175180328
2100-Jan-04 00:00:00, 159.4573430579423, 4.2909613899056414, null, null, 159.4573430579423, 4.2909613899056414
2100-Jan-04 01:00:00, 159.66374753732248, 4.296515688219781, null, null, 159.66374753732248, 4.296515688219781
2100-Jan-04 02:00:00, 159.89784911497509, 4.3028153092454389, null, null, 159.89784911497509, 4.3028153092454389
2100-Jan-04 03:00:00, 160.14999142172761, 4.3096004022508057, null, null, 160.14999142172761, 4.3096004022508057
2100-Jan-04 04:00:00, 160.41190727771288, 4.316648499277159, null, null, 160.41190727771288, 4.316648499277159
2100-Jan-04 05:00:00, 160.67853533102161, 4.3238234004781511, null, null, 160.67853533102161, 4.3238234004781511
2100-Jan-04 06:00:00, 160.94846885980738, 4.3310872512839422, null, null, 160.94846885980738, 4.3310872512839422
2100-Jan-04 07:00:00, 161.22001561852778, 4.3383945137459774, null, null, 161.22001561852778, 4.3383945137459774
2100-Jan-04 08:00:00, 161.49098239110498, 4.3456861689107926, null, null, 161.49098239110498, 4.3456861689107926
2100-Jan-04 09:00:00, 161.74884040283516, 4.3526250702570293, null, null, 161.74884040283516, 4.3526250702570293
2100-Jan-04 10:00:00, 161.9737441063215, 4.3586771785488123, null, null, 161.9737441063215, 4.3586771785488123
2100-Jan-04 11:00:00, 162.13193976660688, 4.3629341883378725, null, null, 162.13193976660688, 4.3629341883378725
2100-Jan-04 12:00:00, 162.20735577318624, 4.3649636161848875, null, null, 162.20735577318624, 4.3649636161848875
2100-Jan-04 13:00:00, 162.20548617875266, 4.3649133058173915, null, null, 162.20548617875266, 4.3649133058173915
2100-Jan-04 14:00:00, 162.14258244214778, 4.363220580353163, null, null, 162.14258244214778, 4.363220580353163
2100-Jan-04 15:00:00, 162.04033332594855, 4.3604690795357728, null, null, 162.04033332594855, 4.3604690795357728
2100-Jan-04 16:00:00, 161.92475016656093, 4.357358762602451, null, null, 161.92475016656093, 4.357358762602451
2100-Jan-04 17:00:00, 161.82439091097973, 4.3546581175110415, null, null, 161.82439091097973, 4.3546581175110415
2100-Jan-04 18:00:00, 161.75654298872044, 4.3528323451181441, null, null, 161.75654298872044, 4.3528323451181441
2100-Jan-04 19:00:00, 161.72726081115033, 4.352044368277717, null, null, 161.72726081115033, 4.352044368277717
2100-Jan-04 20:00:00, 161.73992844371438, 4.3523852514329953, null, null, 161.73992844371438, 4.3523852514329953
2100-Jan-04 21:00:00, 161.79263208374593, 4.3538034945828308, null, null, 161.79263208374593, 4.3538034945828308
2100-Jan-04 22:00:00, 161.88251056974445, 4.3562221045120246, null, null, 161.88251056974445, 4.3562221045120246
2100-Jan-04 23:00:00, 162.00219299803405, 4.3594427318534335, null, null, 162.00219299803405, 4.3594427318534335
2100-Jan-05 00:00:00, 162.14047822809479, 4.3631639564242537, null, null, 162.14047822809479, 4.3631639564242537
2100-Jan-05 01:00:00, 162.28846866752377, 4.3671463460056108, null, null, 162.28846866752377, 4.3671463460056108
2100-Jan-05 02:00:00, 162.44310392633207, 4.3713075461883042, null, null, 162.44310392633207, 4.3713075461883042
2100-Jan-05 03:00:00, 162.60184748510949, 4.3755792998030785, null, null, 162.60184748510949, 4.3755792998030785
2100-Jan-05 04:00:00, 162.7644966828671, 4.3799561532881102, null, null, 162.7644966828671, 4.3799561532881102
2100-Jan-05 05:00:00, 162.93256708765298, 4.3844788902401488, null, null, 162.93256708765298, 4.3844788902401488
2100-Jan-05 06:00:00, 163.10810346223209, 4.3892025347672581, null, null, 163.10810346223209, 4.3892025347672581
2100-Jan-05 07:00:00, 163.29027424559345, 4.3941047097488664, null, null, 163.29027424559345, 4.3941047097488664
2100-Jan-05 08:00:00, 163.47267352914665, 4.3990130336194628, null, null, 163.47267352914665, 4.3990130336194628
2100-Jan-05 09:00:00, 163.63173034050519, 4.4032932167910399, null, null, 163.63173034050519, 4.4032932167910399
2100-Jan-05 10:00:00, 163.72664630714829, 4.4058473841961945, null, null, 163.72664630714829, 4.4058473841961945
2100-Jan-05 11:00:00, 163.72276125920686, 4.4057428384261792, null, null, 163.72276125920686, 4.4057428384261792
2100-Jan-05 12:00:00, 163.6190563737386, 4.4029521631837909, null, null, 163.6190563737386, 4.4029521631837909
2100-Jan-05 13:00:00, 163.43704090250293, 4.3980541676167002, null, null, 163.43704090250293, 4.3980541676167002
2100-Jan-05 14:00:00, 163.19029484892187, 4.3914142865756425, null, null, 163.19029484892187, 4.3914142865756425
2100-Jan-05 15:00:00, 162.90056108454644, 4.3836176158645594, null, null, 162.90056108454644, 4.3836176158645594
2100-Jan-05 16:00:00, 162.5983752492622, 4.375485862714064, null, null, 162.5983752492622, 4.375485862714064
2100-Jan-05 17:00:00, 162.31750899079404, 4.3679278146009946, null, null, 162.31750899079404, 4.3679278146009946
2100-Jan-05 18:00:00, 162.08354028875067, 4.3616317692282225, null, null, 162.08354028875067, 4.3616317692282225
2100-Jan-05 19:00:00, 161.91016007576394, 4.3569661465266751, null, null, 161.91016007576394, 4.3569661465266751
2100-Jan-05 20:00:00, 161.8009927299953, 4.3540284777009655, null, null, 161.8009927299953, 4.3540284777009655
2100-Jan-05 21:00:00, 161.7525633967023, 4.352725255188199, null, null, 161.7525633967023, 4.352725255188199
2100-Jan-05 22:00:00, 161.75784467848504, 4.352867373298186, null, null, 161.75784467848504, 4.352867373298186
2100-Jan-05 23:00:00, 161.80941909194354, 4.3542552292138401, null, null, 161.80941909194354, 4.3542552292138401
2100-Jan-06 00:00:00, 161.89992102431478, 4.3566906159452978, null, null, 161.89992102431478, 4.3566906159452978
2100-Jan-06 01:00:00, 162.02298399826833, 4.3600022130134226, null, null, 162.02298399826833, 4.3600022130134226
2100-Jan-06 02:00:00, 162.17310217535339, 4.364041859538581, null, null, 162.17310217535339, 4.364041859538581
2100-Jan-06 03:00:00, 162.34454118257526, 4.3686552448277451, null, null, 162.34454118257526, 4.3686552448277451
2100-Jan-06 04:00:00, 162.5331878786821, 4.3737316851710011, null, null, 162.5331878786821, 4.3737316851710011
2100-Jan-06 05:00:00, 162.73635492264179, 4.3791988648230262, null, null, 162.73635492264179, 4.3791988648230262
2100-Jan-06 06:00:00, 162.95134579326907, 4.3849842210026324, null, null, 162.95134579326907, 4.3849842210026324
2100-Jan-06 07:00:00, 163.17549702615861, 4.3910160804791776, null, null, 163.17549702615861, 4.3910160804791776
