Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 132.97392624018408, 4.5560312479467564, null, null, 132.97392624018408, 4.5560312479467564
2100-Jan-01 01:00:00, 133.14056899941946, 4.5617408606489418, null, null, 133.14056899941946, 4.5617408606489418
2100-Jan-01 02:00:00, 133.3252681260889, 4.5680691312834005, null, null, 133.3252681260889, 4.5680691312834005
2100-Jan-01 03:00:00, 133.52417970788224, 4.5748843574548239, null, null, 133.52417970788224, 4.5748843574548239
2100-Jan-01 04:00:00, 133.73599074473015, 4.5821415523788573, null, null, 133.73599074473015, 4.5821415523788573
2100-Jan-01 05:00:00, 133.96058064088211, 4.5898365841326259, null, null, 133.96058064088211, 4.5898365841326259
2100-Jan-01 06:00:00, 134.19541887308111, 4.5978827504327668, null, null, 134.19541887308111, 4.5978827504327668
2100-Jan-01 07:00:00, 134.43679390655734, 4.6061528844814941, null, null, 134.43679390655734, 4.6061528844814941
2100-Jan-01 08:00:00, 134.67218148085911, 4.6142178726654191, null, null, 134.67218148085911, 4.6142178726654191
2100-Jan-01 09:00:00, 134.86904875615502, 4.6209630555994501, null, null, 134.86904875615502, 4.6209630555994501
2100-Jan-01 10:00:00, 134.99131166698558, 4.625152099707261, null, null, 134.99131166698558, 4.625152099707261
2100-Jan-01 11:00:00, 135.00268989550224, 4.6255419472971901, null, null, 135.00268989550224, 4.6255419472971901
2100-Jan-01 12:00:00, 134.89307393692474, 4.6217862205417761, null, null, 134.89307393692474, 4.6217862205417761
2100-Jan-01 13:00:00, 134.67857870251325, 4.6144370580544685, null, null, 134.67857870251325, 4.6144370580544685
2100-Jan-01 14:00:00, 134.39030073274787, 4.6045599078831376, null, null, 134.39030073274787, 4.6045599078831376
2100-Jan-01 15:00:00, 134.07114575490243, 4.593624831412769, null, null, 134.07114575490243, 4.593624831412769
2100-Jan-01 16:00:00, 133.76432937212655, 4.583112507178738, null, null, 133.76432937212655, 4.583112507178738
2100-Jan-01 17:00:00, 133.50607234892891, 4.5742639524209814, null, null, 133.50607234892891, 4.5742639524209814
2100-Jan-01 18:00:00, 133.31912229850045, 4.5678585593064032, null, null, 133.31912229850045, 4.5678585593064032
2100-Jan-01 19:00:00, 133.2095945344287, 4.5641058543232678, null, null, 133.2095945344287, 4.5641058543232678
2100-Jan-01 20:00:00, 133.16911933362738, 4.5627190690727168, null, null, 133.16911933362738, 4.5627190690727168
2100-Jan-01 21:00:00, 133.18339138929571, 4.563208066678758, null, null, 133.18339138929571, 4.563208066678758
2100-Jan-01 22:00:00, 133.23804725119473, 4.5650807181205577, null, null, 133.23804725119473, 4.5650807181205577
2100-Jan-01 23:00:00, 133.32380913267838, 4.5680191423889092, null, null, 133.32380913267838, 4.5680191423889092
2100-Jan-02 00:00:00, 133.43763136045112, 4.5719189868253807, null, null, 133.43763136045112, 4.5719189868253807
2100-Jan-02 01:00:00, 133.57852513852114, 4.5767463727173254, null, null, 133.57852513852114, 4.5767463727173254
2100-Jan-02 02:00:00, 133.74429268991193, 4.5824259985310949, null, null, 133.74429268991193, 4.5824259985310949
2100-Jan-02 03:00:00, 133.93295450943717, 4.5888900412901155, null, null, 133.93295450943717, 4.5888900412901155
2100-Jan-02 04:00:00, 134.14207250560918, 4.596054965662935, null, null, 134.14207250560918, 4.596054965662935
2100-Jan-02 05:00:00, 134.36867160466076, 4.6038188379138809, null, null, 134.36867160466076, 4.6038188379138809
2100-Jan-02 06:00:00, 134.61158170252915, 4.61214156724603, null, null, 134.61158170252915, 4.61214156724603
2100-Jan-02 07:00:00, 134.86678564241706, 4.6208855154590678, null, null, 134.86678564241706, 4.6208855154590678
2100-Jan-02 08:00:00, 135.11855733782289, 4.6295118660832166, null, null, 135.11855733782289, 4.6295118660832166
2100-Jan-02 09:00:00, 135.33659900376733, 4.6369825385036343, null, null, 135.33659900376733, 4.6369825385036343
2100-Jan-02 10:00:00, 135.48810845628597, 4.6421736449073618, null, null, 135.48810845628597, 4.6421736449073618
2100-Jan-02 11:00:00, 135.53257015868445, 4.6436970180316424, null, null, 135.53257015868445, 4.6436970180316424
2100-Jan-02 12:00:00, 135.46197958193565, 4.6412784019723015, null, null, 135.46197958193565, 4.6412784019723015
2100-Jan-02 13:00:00, 135.28995223097283, 4.6353842992060761, null, null, 135.28995223097283, 4.6353842992060761
2100-Jan-02 14:00:00, 134.99308862316278, 4.6252129828299786, null, null, 134.99308862316278, 4.6252129828299786
2100-Jan-02 15:00:00, 134.59385866892913, 4.6115343301945781, null, null, 134.59385866892913, 4.6115343301945781
2100-Jan-02 16:00:00, 134.16879768662091, 4.5969706396092427, null, null, 134.16879768662091, 4.5969706396092427
2100-Jan-02 17:00:00, 133.79147540616586, 4.5840426006402, null, null, 133.79147540616586, 4.5840426006402
2100-Jan-02 18:00:00, 133.50453160189014, 4.574211162435363, null, null, 133.50453160189014, 4.574211162435363
2100-Jan-02 19:00:00, 133.32222537146623, 4.5679648786262623, null, null, 133.32222537146623, 4.5679648786262623
2100-Jan-02 20:00:00, 133.23837265359691, 4.565091867249973, null, null, 133.23837265359691, 4.565091867249973
2100-Jan-02 21:00:00, 133.23731336591183, 4.5650555733092713, null, null, 133.23731336591183, 4.5650555733092713
2100-Jan-02 22:00:00, 133.30088564811771, 4.567233724413196, null, null, 133.30088564811771, 4.567233724413196
2100-Jan-02 23:00:00, 133.41546565550689, 4.5711595323427314, null, null, 133.41546565550689, 4.5711595323427314
2100-Jan-03 00:00:00, 133.56865530104682, 4.5764082065127418, null, null, 133.56865530104682, 4.5764082065127418
2100-Jan-03 01:00:00, 133.74842984085748, 4.5825677480418321, null, null, 133.74842984085748, 4.5825677480418321
2100-Jan-03 02:00:00, 133.9453564331499, 4.5893149633298531, null, null, 133.9453564331499, 4.5893149633298531
2100-Jan-03 03:00:00, 134.15338760071555, 4.5964426501386493, null, null, 134.15338760071555, 4.5964426501386493
2100-Jan-03 04:00:00, 134.3692384250445, 4.6038382586488575, null, null, 134.3692384250445, 4.6038382586488575
2100-Jan-03 05:00:00, 134.5912627924416, 4.6114453887402087, null, null, 134.5912627924416, 4.6114453887402087
2100-Jan-03 06:00:00, 134.82189741738068, 4.6193475285640941, null, null, 134.82189741738068, 4.6193475285640941
